windows_min_CS:GO,windows_min_CS:GO,macos_min_CS:GO,macos_min_CS:GO,linux_min_CS:GO,linux_min_CS:GO
операционная система,windows 7/vista/xp,операционная система,macos x 10.11 (el capitan),операционная система,ubuntu 12.04
процессор,intel core™ 2 duo e6600 or amd phenom™ x3 8750,процессор,intel core duo (2ghz ),процессор,dual core from intel or amd at 2.8 ghz
оперативная память,2 gb,оперативная память,2 gb,оперативная память,4 gb
видео карта,video card must be 256 mb or more and should be a directx 9-compatible with support for pixel shader 3.0,видео карта,ati radeon hd 2400 / nvidia 8600m,видео карта,"nvidia geforce 8600 / 9600gt, ati/amd radeon hd2600/3600 (graphic drivers: nvidia 310, amd 12.11), opengl 2.1"
directx,version 9.0c,диск,15 gb,диск,15 gb
,,,,,
windows_min_PUBG,windows_min_PUBG,windows_req_PUBG,windows_req_PUBG
операционная система,windows 10,операционная система,windows 10
процессор,intel core i5-4430 / amd fx-6300,процессор,intel core i5-6600k / amd ryzen 5 1600
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 960 2gb / amd radeon r7 370 2gb,видео карта,nvidia geforce gtx 1060 3gb / amd radeon rx 580 4gb
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_GTA 5,windows_min_GTA 5,windows_req_GTA 5,windows_req_GTA 5
операционная система,"windows 10, windows 8.1, windows 8, windows 7 service pack 1",операционная система,"windows 10, windows 8.1, windows 8, windows 7 service pack 1"
процессор,intel core 2 quad cpu q6600 @ 2.40ghz (4 cpus) / amd phenom 9850 quad-core (4 cpus) @ 2.5ghz,процессор,intel core i5 3470 @ 3.2ghz (4 cpus) / amd x8 fx-8350 @ 4ghz (8 cpus)
оперативная память,4 gb,оперативная память,8 gb
видео карта,"nvidia 9800 gt 1gb / amd hd 4870 1gb (dx 10, 10.1, 11)",видео карта,nvidia gtx 660 2gb / amd hd 7870 2gb
диск,72 gb,диск,72 gb
звуковая карта,100% directx 10 compatible,звуковая карта,100% directx 10 compatible
,,,
windows_min_Tom Clancy's Rainbow Six® Siege,windows_min_Tom Clancy's Rainbow Six® Siege,windows_req_Tom Clancy's Rainbow Six® Siege,windows_req_Tom Clancy's Rainbow Six® Siege
операционная система,"windows 8.1, windows 10",операционная система,"windows 8.1, windows 10"
процессор,intel core i3 560 @ 3.3 ghz or amd phenom ii x4 945 @ 3.0 ghz,процессор,intel core i5-2500k @ 3.3 ghz or amd fx-8120 @ 3.1 ghz
оперативная память,6 gb,оперативная память,8 gb
