windows_min_The Elder ScrollsЃ Online,windows_min_The Elder ScrollsЃ Online,windows_req_The Elder ScrollsЃ Online,windows_req_The Elder ScrollsЃ Online
операционна€ система,mac high sierra v 10.13,операционна€ система,mac high sierra v 10.13
процессор,intel core 2 duo,процессор,intel i5
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,4 gb
видео карта,amd radeon pro 560 graphics (4gb of vram),видео карта,amd radeon pro 560 graphics (4gb of vram)
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,85 gb,диск,85 gb
звукова€ карта,directx compatible sound card,звукова€ карта,directx compatible sound card
,,,
windows_min_Half-Life 2,windows_min_Half-Life 2
операционна€ система,"leopard 10.5.8, snow leopard 10.6.3, or higher"
процессор,1.7 ghz
оперативна€ пам€ть,1 gb
видео карта,"nvidia geforce8 or higher, ati x1600 or higher, intel hd 3000 or higher"
,
windows_min_Squad,windows_min_Squad,windows_req_Squad,windows_req_Squad
операционна€ система,windows 10 (x64),операционна€ система,windows 10 (x64)
процессор,intel core i or amd ryzen with 4 physical cores,процессор,intel core i or amd ryzen with 6 physical cores
оперативна€ пам€ть,8 gb,оперативна€ пам€ть,16 gb
видео карта,geforce gtx 770 or amd radeon hd 7970 with at least 4 gb of vram,видео карта,nvidia gtx 1060 or amd radeon 570 with at least 6gb of vram
directx,version 11,directx,version 12
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,65 gb,диск,65 gb
,,,
windows_min_Stick Fight: The Game,windows_min_Stick Fight: The Game
операционна€ система,os 10.10
процессор,2gz
оперативна€ пам€ть,1 gb
directx,version 9.0
,
windows_min_Scrap Mechanic,windows_min_Scrap Mechanic,windows_req_Scrap Mechanic,windows_req_Scrap Mechanic
операционна€ система,microsoft windows 7,операционна€ система,microsoft windows 7
процессор,2.6 ghz dual core,процессор,intel core i5 6600k
оперативна€ пам€ть,8 gb,оперативна€ пам€ть,16 gb
видео карта,intel hd graphics 520 or a dedicated graphics card with 2 gb memory and directx feature level 10.1,видео карта,nvidia geforce gtx 970
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Insurgency,windows_min_Insurgency,windows_req_Insurgency,windows_req_Insurgency,macos_min_Insurgency,macos_min_Insurgency,macos_req_Insurgency,macos_req_Insurgency,linux_min_Insurgency,linux_min_Insurgency,linux_req_Insurgency,linux_req_Insurgency
операционна€ система,windows 7,операционна€ система,Ч,операционна€ система,macos x 10.6.6 or higher,операционна€ система,Ч,операционна€ система,ubuntu 12.04,операционна€ система,Ч
процессор,intel coreЩ 2 duo e6600 or amd phenomЩ x3 8750,процессор,Ч,процессор,intel core i3 (2ghz ),процессор,intel core i5 (3ghz ),процессор,dual core from intel or amd at 2.8 ghz,процессор,Ч
