windows_min_Pipeline Panic,windows_min_Pipeline Panic
операционная система,"windows 7 (sp1+), windows 10 and windows 11"
процессор,"x86, x64 architecture with sse2 instruction set support"
оперативная память,500 mb
видео карта,"dx10, dx11, dx12 capable"
directx,version 10
,
windows_min_Pocket Witch,windows_min_Pocket Witch
операционная система,windows 8/10
процессор,2.4 ghz dual core
оперативная память,4 gb
видео карта,graphics card supporting directx 9.0c
,
windows_min_Dork,windows_min_Dork,windows_req_Dork,windows_req_Dork
операционная система,windows 7,операционная система,windows 10
процессор,1 ghz,процессор,"2,4 ghz"
оперативная память,4 gb,оперативная память,8 mb
видео карта,integrated graphics,видео карта,4 gb
directx,version 8.0,directx,—
,,,
windows_min_Automaton Lung,windows_min_Automaton Lung
операционная система,3.3.2
процессор,intel core 2 cpu
оперативная память,4 gb
видео карта,nvidia gt/s 4xx
directx,version 10
,
windows_min_My Coworker is an Idiot,windows_min_My Coworker is an Idiot
операционная система,windows 7/8/10/11
процессор,2ghz
оперативная память,4 gb
видео карта,graphics card with 1gb memory
directx,version 10
,
windows_min_DON'T LOOK AWAY,windows_min_DON'T LOOK AWAY,windows_req_DON'T LOOK AWAY,windows_req_DON'T LOOK AWAY
операционная система,windows 10,операционная система,windows 10
процессор,"quad-core intel or amd, 2.5 ghz or faster",процессор,"quad-core intel or amd, 2.5 ghz or faster"
оперативная память,4 gb,оперативная память,8 gb
видео карта,dedicated gpu with at least 2gb vram and directx 11 support,видео карта,dedicated gpu with 4gb vram and directx 12 support
directx,version 11,directx,version 12
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Brisk Square,windows_min_Brisk Square,windows_req_Brisk Square,windows_req_Brisk Square
операционная система,windows 7/8.1/10/11 (64bit),операционная система,windows 7/8.1/10/11 (64bit)
процессор,intel core i5-4590 / amd fx 8350,процессор,intel core i7-6700hq
оперативная память,6 gb,оперативная память,8 gb
видео карта,nvidia gtx 970 / amd radeon r9 290,видео карта,nvidia gtx 1060
directx,version 11,directx,version 12
диск,3 gb,диск,6 gb
,,,
windows_min_Graveyard Architect,windows_min_Graveyard Architect
операционная система,windows 32bit
процессор,intel core i3 4130 or amd equivalent
оперативная память,4 gb
видео карта,gtx 750 ti or radeon rx 560x
,
windows_min_FRAIM - Survival Rhythm Aim Trainer,windows_min_FRAIM - Survival Rhythm Aim Trainer
операционная система,windows 7/8/10
процессор,intel core™ 2 duo e6600 or amd phenom™ x3 8750
оперативная память,4 gb
видео карта,gtx 560 and up
сеть,широкополосное подключение
,
windows_min_NecroCity: Prologue,windows_min_NecroCity: Prologue,windows_req_NecroCity: Prologue,windows_req_NecroCity: Prologue
операционная система,windows 8.1x64 / windows 10x64,операционная система,windows 8.1x64 / windows 10x64
процессор,intel core i3 2.5 ghz or amd phenom ii 2.6 ghz,процессор,fourth generation intel core i5 2.5 ghz or amd fx8350 4.0 ghz
оперативная память,8 gb,оперативная память,16 gb
видео карта,2gb & amd 7970 or nvidia 770,видео карта,4gb & nvidia 960
directx,version 11,directx,version 11
диск,10 gb,диск,15 gb
,,,
windows_min_Sword King,windows_min_Sword King
операционная система,windows 10
процессор,i5-4590
оперативная память,8 gb
видео карта,gtx 1660
directx,version 11
диск,20 gb
,
windows_min_Stickman's Arena,windows_min_Stickman's Arena
операционная система,windows 7
процессор,2.0 ghz
оперативная память,2 mb
видео карта,512mb vram
directx,version 9.0c
диск,100 mb
,
windows_min_Mount Farewell,windows_min_Mount Farewell
операционная система,windows 7 and up
процессор,intel core 2 duo 2.10 ghz or an equivalent
оперативная память,4 gb
видео карта,"2nd generation intel core hd graphics (2000 / 3000), 512mb"
диск,250 mb
,
windows_min_Road Stones,windows_min_Road Stones
операционная система,windows xp sp3+ or higher
процессор,1 ghz
оперативная память,1 gb
видео карта,opengl 2.1 or higher
диск,100 mb
,
windows_min_VariDungeon,windows_min_VariDungeon
операционная система,10.12
процессор,intel core i5 6gen
видео карта,intel hd graphics 520
directx,version 9.0
,
windows_min_DEATHWATCH,windows_min_DEATHWATCH,windows_req_DEATHWATCH,windows_req_DEATHWATCH
операционная система,windows 7,операционная система,windows 10/11
процессор,ryzen 3 1600,процессор,ryzen 5 3600
оперативная память,4 gb,оперативная память,16 gb
видео карта,geforce 1060,видео карта,rtx 2060
диск,3 gb,диск,3 gb
,,,
windows_min_Winter Survival: Prologue,windows_min_Winter Survival: Prologue,windows_req_Winter Survival: Prologue,windows_req_Winter Survival: Prologue
операционная система,windows 10 (),операционная система,windows 10 ()
процессор,intel core i3 3.0 ghz or ryzen 3xxx,процессор,intel core i5 (recent generation)
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 960 4gb vram,видео карта,nvidia geforce gtx 1070 6gb vram
directx,version 11,directx,version 12
,,,
windows_min_MetaMorphic Rippers,windows_min_MetaMorphic Rippers
операционная система,windows 10
процессор,3ghz or faster
оперативная память,8 gb
видео карта,geforce gtx 650 or radeon hd 7770
directx,version 11
сеть,широкополосное подключение
диск,5 gb
,
windows_min_Temple Trashers,windows_min_Temple Trashers
операционная система,"windows 7 (sp1+), windows 10 and windows 11"
процессор,"x86, x64 architecture with sse2 instruction set support."
оперативная память,2 gb
видео карта,"dx10, dx11, dx12 capable graphic"
directx,version 10
диск,2 gb
,
windows_min_Space Bot,windows_min_Space Bot,windows_req_Space Bot,windows_req_Space Bot
операционная система,"windows vista, 7, 8/8.1, 10",операционная система,"windows vista, 7, 8/8.1, 10"
процессор,"dual core cpu, intel i5",процессор,intel i7
оперативная память,4 gb,оперативная память,8 gb
видео карта,"512mb vram, opengl 3.0 support",видео карта,"2gb vram, opengl 3.0 support"
,,,
windows_min_The Thing at the Window,windows_min_The Thing at the Window
операционная система,windows 10 (7/8 might work?)
процессор,"intel i5-4590, amd fx 8350"
оперативная память,8 gb
видео карта,"nvidia gtx 970, amd radeon 9290"
диск,5 gb
,
windows_min_Pressure Within,windows_min_Pressure Within,windows_req_Pressure Within,windows_req_Pressure Within
операционная система,win 10,операционная система,win 10
процессор,intel 5,процессор,intel i5
оперативная память,8 gb,оперативная память,8 gb
видео карта,4gb,видео карта,6gb
,,,
windows_min_Cursed Angel: Time Paradox,windows_min_Cursed Angel: Time Paradox,windows_req_Cursed Angel: Time Paradox,windows_req_Cursed Angel: Time Paradox
операционная система,windows 7 64bit,операционная система,windows 7 / 8 (8.1)/ 10 64bit
процессор,intel i3 / ryzen 3 series,процессор,intel core™ i5-4570 3.20ghz
оперативная память,8 gb,оперативная память,16 gb
видео карта,geforce gtx 1050 2gb,видео карта,nvidia geforce gtx 770 4gb |; amd radeon r9 290x 4gb @1080p
directx,version 11,directx,version 11
диск,35 gb,диск,35 gb
,,,
windows_min_,windows_min_,windows_req_,windows_req_
операционная система,"windows 2000, xp",операционная система,windows 7 or above
процессор,p4 1.5g,процессор,p4 2.8
оперативная память,1024 mb,оперативная память,2048 mb
видео карта,geforce 5200,видео карта,geforce 7600 or above
directx,version 9.0c,directx,version 9.0c
диск,1 gb,диск,1 gb
,,,
windows_min_Clockwork Survivors,windows_min_Clockwork Survivors
операционная система,"windows 10, windows 11"
процессор,pentium 4
,
windows_min_Stay Out Of The Farm: Prologue,windows_min_Stay Out Of The Farm: Prologue
операционная система,windows 7 / windows 8 / windows 10
процессор,"intel core i3, 2.4ghz"
видео карта,nvidia geforce gtx 460 / amd radeon hd 6850
,
windows_min_The secret pyramid VR,windows_min_The secret pyramid VR
операционная система,windows 10 -
процессор,intel i5-7500 / ryzen 5 1600
оперативная память,12 gb
видео карта,nvidia gtx 1060 / rx 580
directx,version 11
диск,3 gb
vr support,steamvr or openxr
,
windows_min_Pantazil,windows_min_Pantazil,windows_req_Pantazil,windows_req_Pantazil
операционная система,windows 10 (64bits),операционная система,windows 10 (64bits)
процессор,intel(r) core(tm) i3-7100 cpu @3.90ghz 3.91ghz,процессор,intel(r) core(tm) i7-6700 cpu @ 3.40ghz 3.40 ghz
оперативная память,4 gb,оперативная память,16 gb
,,,
windows_min_Nightmare Hunter,windows_min_Nightmare Hunter,windows_req_Nightmare Hunter,windows_req_Nightmare Hunter
операционная система,"windows 10, windows 11",операционная система,"windows 10, windows 11"
процессор,intel i5-4590,процессор,intel i7-4770
оперативная память,8 gb,оперативная память,16 gb
