windows_min_Gatekeeper: Eclipse,windows_min_Gatekeeper: Eclipse,windows_req_Gatekeeper: Eclipse,windows_req_Gatekeeper: Eclipse
операционная система,windows 7 or above,операционная система,windows 7 or above
процессор,intel core i3-6100,процессор,intel core i5-9100
оперативная память,4 gb,оперативная память,8 gb
видео карта,geforce gtx 750,видео карта,geforce gtx 1060
directx,version 11,directx,version 11
,,,
windows_min_Knockback Knockout,windows_min_Knockback Knockout,windows_req_Knockback Knockout,windows_req_Knockback Knockout
операционная система,windows 7,операционная система,windows 7
процессор,intel i3+,процессор,intel i3+
оперативная память,4 gb,оперативная память,4 gb
видео карта,intel hd 4000,видео карта,intel hd 4000
directx,version 10,directx,version 10
,,,
windows_min_Iron Mandate,windows_min_Iron Mandate
операционная система,"windows 8, 10"
процессор,2 ghz or faster
,
windows_min_Cyber Skirmish,windows_min_Cyber Skirmish,windows_req_Cyber Skirmish,windows_req_Cyber Skirmish
операционная система,windows 7 on 32 bits,операционная система,windows 10/11 on s
процессор,"1 ghz, 32 bits",процессор,"2 ghz, s"
оперативная память,2000 mb,оперативная память,3000 mb
видео карта,card with directx 9 with wddm 1.0,видео карта,card with directx 12 with newest wddm
directx,version 9.0,directx,version 12
диск,1 gb,диск,1 gb
звуковая карта,need sound card for music/vfx,звуковая карта,need sound card for music/vfx
,,,
windows_min_KABENAGURI,windows_min_KABENAGURI
операционная система,windows10
процессор,intel i5+
оперативная память,8 gb
видео карта,intel uhd graphics 620
directx,version 10
,
windows_min_The Dreamland,windows_min_The Dreamland,windows_req_The Dreamland,windows_req_The Dreamland
операционная система,win10 64bit,операционная система,win10 64bit
процессор,intel core i5-12600k,процессор,intel core i7-13700k
оперативная память,32 gb,оперативная память,64 gb
видео карта,nvidia geforce gtx 1060 6 gb,видео карта,nvidia geforce rtx 3080
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Body. Electric.,windows_min_Body. Electric.,windows_req_Body. Electric.,windows_req_Body. Electric.
операционная система,10.3,операционная система,12.5.1
процессор,3.2 ghz 8-core intel xeon w,процессор,4.0 ghz 16-core
оперативная память,6 gb,оперативная память,10 gb
видео карта,nvidia 1660ti,видео карта,nvidia 3080ti
directx,version 11,directx,version 12
диск,40 gb,диск,64 gb
,,,
windows_min_Epic Princess,windows_min_Epic Princess,windows_req_Epic Princess,windows_req_Epic Princess
,,,
windows_min_Christmas Blaster,windows_min_Christmas Blaster,windows_req_Christmas Blaster,windows_req_Christmas Blaster
операционная система,microsoft windows vista / 7 / 8 / 10,операционная система,microsoft windows vista / 7 / 8 / 10
процессор,2.4 ghz intel core 2 duo,процессор,2.8 ghz intel core 2 duo
оперативная память,1 gb,оперативная память,2 gb
видео карта,opengl 3.2 compatible gpu with at least 256mb of vram,видео карта,opengl 3.2 compatible gpu with at least 512mb of vram
диск,300 mb,диск,300 mb
,,,
windows_min_Oxyjet,windows_min_Oxyjet,windows_req_Oxyjet,windows_req_Oxyjet
операционная система,windows 7 (sp1+),операционная система,—
процессор,"x86, x64 architecture with sse2 instruction set support.",процессор,—
оперативная память,1 gb,оперативная память,—
видео карта,geforce 8800 gt / amd hd 6850 / intel hd graphics 4400,видео карта,—
directx,version 10,directx,version 10
диск,400 mb,диск,400 mb
звуковая карта,directx compatible sound card,звуковая карта,—
,,,
windows_min_God Souls,windows_min_God Souls,windows_req_God Souls,windows_req_God Souls
операционная система,win7/8/10,операционная система,win10
процессор,intel core-i3,процессор,intel core-i5
оперативная память,4 gb,оперативная память,8 gb
видео карта,integrated,видео карта,independent
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,5 gb,диск,10 gb
,,,
windows_min_Many Minigames,windows_min_Many Minigames,windows_req_Many Minigames,windows_req_Many Minigames
операционная система,macos big sur,операционная система,macos big sur
процессор,3.2 ghz 6-core intel core i7,процессор,3.2 ghz 6-core intel core i7
оперативная память,16 gb,оперативная память,32 gb
видео карта,intel uhd graphics 630,видео карта,intel uhd graphics 630
,,,
windows_min_Kitball 20000,windows_min_Kitball 20000
операционная система,windows 7 and up
процессор,intel i3
оперативная память,8 gb
,
windows_min_ClinkClink Tag Game,windows_min_ClinkClink Tag Game
операционная система,windows11
оперативная память,1 mb
,
windows_min_Rampage Ball 2048,windows_min_Rampage Ball 2048
операционная система,"windows 7, windows 8.1, windows 10, windows 11 (x64 only)"
процессор,dual core 2.0ghz
оперативная память,4 gb
видео карта,directx 11 compatible video card
диск,500 mb
,
windows_min_Rat Cage,windows_min_Rat Cage,windows_req_Rat Cage,windows_req_Rat Cage
операционная система,windows 10 ( os required),операционная система,windows 10 ( os required)
процессор,intel cpu core i3,процессор,intel cpu core i7
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia gtx 460,видео карта,nvidia gpu geforce gtx 660
directx,version 11,directx,version 11
диск,1 gb,диск,1 gb
,,,
windows_min_Jam Scrapz Collection,windows_min_Jam Scrapz Collection,windows_req_Jam Scrapz Collection,windows_req_Jam Scrapz Collection
операционная система,windows 10,операционная система,—
процессор,i5,процессор,i9
оперативная память,4 gb,оперативная память,8 gb
видео карта,sm5-compliant video card,видео карта,sm6-compliant video card
directx,version 11,directx,version 12
,,,
windows_min_Repossession,windows_min_Repossession
операционная система,"windows 7, windows 8.1, windows 10"
процессор,2.5 ghz intel core i3 / amd fx
оперативная память,2 gb
directx,version 10
,
windows_min_TetsunoEbi,windows_min_TetsunoEbi,windows_req_TetsunoEbi,windows_req_TetsunoEbi
операционная система,windows 8/8.1/10/11 (64bit),операционная система,windows 8/8.1/10/11 (64bit)
процессор,intel core2 duo 2.0ghz,процессор,intel core i7-7700hq cpu @ 2.80ghz
оперативная память,4 gb,оперативная память,16 gb
видео карта,directx 9 / opengl 4.1,видео карта,directx 9 / opengl 4.1
directx,version 9.0,directx,version 9.0
,,,
windows_min_Delivery Man,windows_min_Delivery Man,windows_req_Delivery Man,windows_req_Delivery Man
операционная система,windows 10,операционная система,windows 10
процессор,core i5,процессор,core i7
оперативная память,4 gb,оперативная память,8 gb
видео карта,graphics with shader model 2.0,видео карта,amd radeon hd7770 or geforce gtx
directx,version 9.0,directx,version 11
диск,3 gb,диск,3 gb
,,,
windows_min_Ruins of Istanbul,windows_min_Ruins of Istanbul,windows_req_Ruins of Istanbul,windows_req_Ruins of Istanbul
операционная система,windows 10 64bit,операционная система,windows 10 64bit
процессор,i5 8600k,процессор,i7 9700k
оперативная память,8 gb,оперативная память,16 gb
видео карта,gtx 1060 / rx 590,видео карта,rtx 2070 / 6600 xt
directx,version 11,directx,version 12
диск,4 gb,диск,4 gb
vr support,steamvr or oculus pc,vr support,oculus touch / htc vive controllers
,,,
windows_min_Counterspell,windows_min_Counterspell
,
windows_min_Jacob's Quest,windows_min_Jacob's Quest,windows_req_Jacob's Quest,windows_req_Jacob's Quest
операционная система,windows 10 or higher,операционная система,windows 10 or higher
процессор,intel dual core or higher,процессор,intel core i3 or higher
оперативная память,4 gb,оперативная память,8 gb
видео карта,intel hd / nvidia geforce / amd radeon,видео карта,intel uhd / nvidia rtx / amd ryzen
directx,version 9.0c,directx,version 12
диск,2 gb,диск,8 gb
звуковая карта,yes,звуковая карта,yes
,,,
windows_min_Delivering Letters,windows_min_Delivering Letters,windows_req_Delivering Letters,windows_req_Delivering Letters
операционная система,windows 10,операционная система,windows 10
процессор,intel i5 or amd equivalent (amd fx 8500+ series),процессор,intel core i5-10600 / amd ryzen 5 3600
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia gtx 970 / amd radeon r9 390,видео карта,nvidia gtx 1070
directx,version 12,directx,version 12
,,,
windows_min_Cabbagers,windows_min_Cabbagers,windows_req_Cabbagers,windows_req_Cabbagers
операционная система,windows 10,операционная система,windows 11
процессор,intel(r) core(tm) i3-7100,процессор,intel(r) core(tm) i5-7600
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 1650,видео карта,nvidia geforce gtx 1070
directx,version 12,directx,version 12
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,1 gb,диск,1 gb
,,,
windows_min_Zankinzoken,windows_min_Zankinzoken
операционная система,"windows 7, 10 (64bit)"
процессор,intel core™ 2 duo
оперативная память,1 gb
видео карта,intel uhd 600 graphics
,
windows_min_Orbit,windows_min_Orbit,windows_req_Orbit,windows_req_Orbit
операционная система,windows 10,операционная система,—
оперативная память,8 gb,оперативная память,—
directx,version 8.0,directx,version 8.0
сеть,широкополосное подключение,сеть,—
,,,
windows_min_Robox,windows_min_Robox
операционная система,windows 10
процессор,"intel i3, amd fx-4300"
оперативная память,2 gb
диск,300 mb
,
windows_min_Touch the Balls VR,windows_min_Touch the Balls VR
операционная система,"windows 7 sp1, windows 8.1, windows 10"
процессор,intel core i5-4590 / amd fx 8350 equivalent
оперативная память,4 gb
видео карта,"nvidia geforce gtx 970, amd radeon r9 290"
,
windows_min_Eggcelerate! to the North Pole,windows_min_Eggcelerate! to the North Pole,windows_req_Eggcelerate! to the North Pole,windows_req_Eggcelerate! to the North Pole,macos_min_Eggcelerate! to the North Pole,macos_min_Eggcelerate! to the North Pole,macos_req_Eggcelerate! to the North Pole,macos_req_Eggcelerate! to the North Pole,linux_min_Eggcelerate! to the North Pole,linux_min_Eggcelerate! to the North Pole,linux_req_Eggcelerate! to the North Pole,linux_req_Eggcelerate! to the North Pole
операционная система,windows 7 (sp1+),операционная система,windows 10,операционная система,sierra 10.12+,операционная система,catalina 10.15+,операционная система,ubuntu 16.04 and 18.04,операционная система,—
процессор,"x86, x64 with sse2 support",процессор,"x86, x64 with sse2 support",процессор,x64 with sse2 support,процессор,x64 with sse2 support,процессор,x64 with sse2 support,процессор,—
оперативная память,350 mb,оперативная память,1 gb,оперативная память,350 mb,оперативная память,1 gb,оперативная память,350 mb,оперативная память,1 gb
видео карта,nvidia gtx 600 series (or similar),видео карта,nvidia gtx 900 series (or similar),видео карта,metal capable intel and amd gpus,видео карта,metal capable intel and amd gpus,видео карта,"opengl 3.2+, vulkan capable",видео карта,"opengl 3.2+, vulkan capable"
directx,version 10,directx,version 10,диск,500 mb,диск,500 mb,диск,500 mb,диск,500 mb
,,,,,,,,,,,
windows_min_Robot Revolt,windows_min_Robot Revolt
операционная система,windows 7
процессор,dual-core 2.0 ghz
оперативная память,2 gb
видео карта,anything with shader model 5.0
,
windows_min_Nelu's Adventure,windows_min_Nelu's Adventure,windows_req_Nelu's Adventure,windows_req_Nelu's Adventure
операционная система,windows10,операционная система,windows 10
процессор,i5-2400,процессор,i7-7700k
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia gtx1060,видео карта,nvidia gtx1070
диск,500 mb,диск,500 mb
,,,
windows_min_2023,windows_min_2023,windows_req_2023,windows_req_2023
операционная система,windows7 (64x),операционная система,windows7/8/10 (64x)
процессор,intel core i5 / amd fx 4300,процессор,intel core i9 / amd fx 9590
оперативная память,4 gb,оперативная память,16 gb
видео карта,gtx 10,видео карта,gtx 30
directx,version 10,directx,version 12
диск,1 gb,диск,3 gb
,,,
windows_min_Strix STG,windows_min_Strix STG,windows_req_Strix STG,windows_req_Strix STG
операционная система,windows 10,операционная система,windows 11
оперативная память,4 gb,оперативная память,32 gb
диск,1 gb,диск,2 gb
процессор,—,процессор,intel(r) core(tm) i9-12900k
видео карта,—,видео карта,nvidia geforce rtx 3070
,,,
windows_min_Cat Life,windows_min_Cat Life,windows_req_Cat Life,windows_req_Cat Life
операционная система,windows 10 ( versions),операционная система,windows 10 ( versions)
процессор,intel i5 6600,процессор,intel i5 12600
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia gtx 970 4gb,видео карта,nvidia rtx 3060
directx,version 11,directx,version 11
,,,
windows_min_Off The Tracks,windows_min_Off The Tracks,windows_req_Off The Tracks,windows_req_Off The Tracks
операционная система,windows 7/8/10 - 64bit,операционная система,windows 7/8/10 - 64bit
процессор,2.6 ghz dual core cpu,процессор,2.8 ghz quad core cpu
оперативная память,3 gb,оперативная память,4 gb
видео карта,nvidia gtx 460 / ati radeon hd 6850,видео карта,nvidia gtx 960 / radeon hd 7870
directx,version 11,directx,version 11
диск,2 gb,диск,2 gb
,,,
windows_min_Memory Lost: Chapter One,windows_min_Memory Lost: Chapter One,windows_req_Memory Lost: Chapter One,windows_req_Memory Lost: Chapter One
операционная система,steamos 3.0 (arch-based),операционная система,steamos 3.0 (arch-based)
процессор,intel core i5-760 (4 * 2800) / amd athlon ii x4 645 am3 (4 * 3100),процессор,intel core i5-760 (4 * 2800) / amd athlon ii x4 645 am3 (4 * 3100)
видео карта,geforce gtx 660 (2048 mb) / radeon hd 7970 (3072 mb),видео карта,geforce gtx 1050 (4096 mb) / amd radeon rx 560 4gb
directx,version 12,directx,version 12
,,,
windows_min_Souls of Tartarus,windows_min_Souls of Tartarus
операционная система,windows
процессор,intel core i5-6500
оперативная память,16 gb
,
windows_min_BAT HERO,windows_min_BAT HERO,macos_min_BAT HERO,macos_min_BAT HERO,linux_min_BAT HERO,linux_min_BAT HERO
операционная система,windows 10,операционная система,mac os x 10.12+,операционная система,ubuntu 16.04
процессор,intel(r) core(tm) i7-4790k cpu @ 4.00ghz,процессор,intel(r) core(tm) i7-4790k cpu @ 4.00ghz,процессор,intel(r) core(tm) i7-4790k cpu @ 4.00ghz
оперативная память,16 gb,оперативная память,16 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 1070,видео карта,nvidia geforce gtx 1070,видео карта,nvidia geforce gtx 1070
directx,version 11,,,,
,,,,,
windows_min_VR T72 Battle in Afghanistan,windows_min_VR T72 Battle in Afghanistan,windows_req_VR T72 Battle in Afghanistan,windows_req_VR T72 Battle in Afghanistan
операционная система,microsoft windows 7,операционная система,microsoft windows 10
процессор,intel pentium g4560 / amd fx 8300,процессор,intel core i5-4590 / amd fx 8350 or higher
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia gtx 960,видео карта,nvidia gtx 1050 or higher
диск,5 gb,диск,6 gb
звуковая карта,nvidia high definition audio,звуковая карта,nvidia high definition audio
,,,
windows_min_Super Beast Hunt,windows_min_Super Beast Hunt
операционная система,windows 7/8/10/11
оперативная память,2 gb
видео карта,intel hd graphics
,
windows_min_Neko Loop,windows_min_Neko Loop,windows_req_Neko Loop,windows_req_Neko Loop
операционная система,windows 7 64bits,операционная система,windows 10 s
процессор,2 core 1.6ghz,процессор,quad core 1.6ghz+
оперативная память,2 gb,оперативная память,4 gb
видео карта,intel hd graphics,видео карта,discrete gpu
,,,
windows_min_Medusa,windows_min_Medusa
операционная система,windows 10
процессор,intel(r) celeron(r) cpu n3060 @ 1.60ghz
оперативная память,4 gb
видео карта,intel(r) hd graphics 400
диск,200 mb
,
windows_min_Ruler of the Waves 1916,windows_min_Ruler of the Waves 1916,windows_req_Ruler of the Waves 1916,windows_req_Ruler of the Waves 1916
операционная система,windows 10,операционная система,windows 11
процессор,—,процессор,amd ryzen 7 5800x
оперативная память,—,оперативная память,64 gb
,,,
windows_min_Retail Wars,windows_min_Retail Wars,windows_req_Retail Wars,windows_req_Retail Wars
операционная система,windows 10,операционная система,windows 11
