windows_min_Arena Battle,windows_min_Arena Battle
операционная система,windows 7-10
процессор,dual core cpu
оперативная память,512 mb
видео карта,128mb
,
windows_min_Die Knguru-Verschwrung,windows_min_Die Knguru-Verschwrung
операционная система,windows 10
процессор,i5 / ryzen 5
оперативная память,8000 mb
видео карта,nvidia gtx 970 / amd rx 580
,
windows_min_Hexa Rhythm,windows_min_Hexa Rhythm,windows_req_Hexa Rhythm,windows_req_Hexa Rhythm
операционная система,windows 8.1,операционная система,"windows 10, 11"
,,,
windows_min_Flife,windows_min_Flife,windows_req_Flife,windows_req_Flife
операционная система,windows 10,операционная система,windows 10
процессор,2 ghz dual core cpu,процессор,2 ghz dual core cpu
оперативная память,2 gb,оперативная память,4 gb
видео карта,intel hd graphics 4000,видео карта,geforce gtx 1060
,,,
windows_min_Super Ninja Miner,windows_min_Super Ninja Miner,windows_req_Super Ninja Miner,windows_req_Super Ninja Miner
операционная система,windows 7 sp1,операционная система,windows 10
процессор,1 ghz,процессор,2 ghz
оперативная память,2 gb,оперативная память,4 gb
видео карта,1 gb,видео карта,2 gb
,,,
windows_min_A Blast From The Past,windows_min_A Blast From The Past
операционная система,macos 10.15 catalina
процессор,intel core i5
оперативная память,8 gb
видео карта,direct x 9 compatible
,
windows_min_The Cenozoic Era,windows_min_The Cenozoic Era,windows_req_The Cenozoic Era,windows_req_The Cenozoic Era
операционная система,windows 8 version,операционная система,windows 10 or 11 version
процессор,"quad-core intel or amd, 2.5 ghz or faster",процессор,"quad-core intel or amd, 3.5 ghz or faster"
оперативная память,4 gb,оперативная память,16 gb
видео карта,directx 11 compatible graphics card with 2048mb vram,видео карта,directx 11 or 12 compatible graphics card with 4096mb vram
,,,
windows_min_DAB 12,windows_min_DAB 12
операционная система,windows 10
процессор,intel(r) core(tm) i9-10900x cpu @ 3.70ghz 3.70 ghz
оперативная память,32 gb
видео карта,nvidia geforece gtx 1660 ti
directx,version 12
,
windows_min_Mama Die and Retry,windows_min_Mama Die and Retry
операционная система,windows 7 service pack 1 (32 or )
процессор,"core i3 2100t - 2,5 ghz"
оперативная память,2 mb
видео карта,geforce 610m
directx,version 9.0c
,
windows_min_System Escape,windows_min_System Escape,windows_req_System Escape,windows_req_System Escape
операционная система,vulkan-supported distribution,операционная система,—
процессор,intel i5,процессор,—
оперативная память,4 gb,оперативная память,4 gb
видео карта,vulkan compatible 3d accelerated,видео карта,—
диск,250 mb,диск,—
звуковая карта,beep boop,звуковая карта,—
,,,
windows_min_Stay Still,windows_min_Stay Still,windows_req_Stay Still,windows_req_Stay Still
операционная система,windows 10 operating system,операционная система,windows 10 operating system
процессор,intel core i3-4170 or amd fx-8120,процессор,intel core i3-4170 or amd fx-8300 or higher
оперативная память,6 gb,оперативная память,8 gb
видео карта,dx11 compatible geforce gtx 460 1gb or amd hd 6850 1gb,видео карта,dx11 compatible geforce 760 or amd hd 8800 or higher with 4gb of
directx,version 11,directx,version 11
диск,5 gb,диск,5 gb
звуковая карта,dx11 compatible,звуковая карта,dx11 compatible
,,,
windows_min_LOST EGG 3: The Final,windows_min_LOST EGG 3: The Final,windows_req_LOST EGG 3: The Final,windows_req_LOST EGG 3: The Final
операционная система,windows 7/8.1/10/11 ( versions),операционная система,windows 7/8.1/10/11 ( versions)
процессор,intel core2quad q8400 @ 2.6 ghz or amd athlon ii x4 620 @ 2.6 ghz,процессор,intel core2quad q8400 @ 2.6 ghz or amd athlon ii x4 620 @ 2.6 ghz
оперативная память,4 gb,оперативная память,4 gb
видео карта,nvidia geforce gtx 650 or amd radeon hd 7750,видео карта,nvidia geforce gtx1050ti or amd radeon rx560
directx,version 11,directx,version 11
,,,
windows_min_BreakoutForce,windows_min_BreakoutForce,windows_req_BreakoutForce,windows_req_BreakoutForce
операционная система,mac os x 10.8+,операционная система,mac os catalina
процессор,intel core i5,процессор,intel core i7
оперативная память,4 gb,оперативная память,8 gb
directx,version 10,directx,version 10
диск,769 mb,диск,769 mb
,,,
