windows_min_ Backdate Hero,windows_min_ Backdate Hero,windows_req_ Backdate Hero,windows_req_ Backdate Hero
операционная система,windows 7+,операционная система,windows 7+
процессор,dual core from intel or amd at 2.8 ghz,процессор,dual core from intel or amd at 2.8 ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia gtx650,видео карта,nvidia gtx750
диск,10 gb,диск,10 gb
,,,
windows_min_Anyone There?,windows_min_Anyone There?,windows_req_Anyone There?,windows_req_Anyone There?
операционная система,"windows 7 - 64bits, x64",операционная система,"windows 7 - 64bits, x64"
процессор,intel i3 6300 / amd ryzen 3 1300x,процессор,intel i5 6500 / amd ryzen 5 1500x
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia gtx 650 ti / amd r7 250x / intel iris plus 655,видео карта,nvidia gtx 1050 ti / amd r9 280x
directx,version 11,directx,version 11
,,,
windows_min_Battle Mage,windows_min_Battle Mage,windows_req_Battle Mage,windows_req_Battle Mage
операционная система,windows 10 version,операционная система,windows 10 version
процессор,"quad-core intel or amd, 2.5 ghz or faster",процессор,"quad-core intel or amd, 2.5 ghz or faster"
видео карта,directx 11 or 12 compatible graphics card,видео карта,directx 11 or 12 compatible graphics card
directx,version 11,directx,version 11
,,,
windows_min_DARK NIGHT WITH FLOPPA,windows_min_DARK NIGHT WITH FLOPPA,windows_req_DARK NIGHT WITH FLOPPA,windows_req_DARK NIGHT WITH FLOPPA
операционная система,windows 7 / 8 / 10 / 11,операционная система,windows 7 / 8 / 10 / 11
процессор,intel core 2 duo or amd athlon 64 x2 5600,процессор,intel core i5 2300 or amd fx6120
оперативная память,2 gb,оперативная память,8 gb
видео карта,geforce 240 gt or radeon hd 6570,видео карта,geforce gtx 550 ti or radeon hd 6770
,,,
windows_min_Rogue Blaster,windows_min_Rogue Blaster
операционная система,windows10()
процессор,intel core i5
оперативная память,4 gb
видео карта,nvidia gtx 960
directx,version 11
,
windows_min_FleeTing,windows_min_FleeTing,windows_req_FleeTing,windows_req_FleeTing
операционная система,"windows xp, vista, 7,8,10",операционная система,"windows xp, vista, 7,8,10"
процессор,2.0 ghz cpu dual core,процессор,core i3 or higher
оперативная память,512 mb,оперативная память,1024 mb
видео карта,512 mb,видео карта,512 mb
directx,version 11,directx,version 11
диск,100 mb mb,диск,100 mb mb
,,,
windows_min_The Voices Games Extra Collection,windows_min_The Voices Games Extra Collection
операционная система,windows 7
,
windows_min_Exhibitors,windows_min_Exhibitors,windows_req_Exhibitors,windows_req_Exhibitors
операционная система,macos catalina,операционная система,macos monterey
процессор,2.5 ghz,процессор,3.0 ghz+
оперативная память,4 mb,оперативная память,8 mb
видео карта,any,видео карта,any
диск,1 gb,диск,4 gb
,,,
windows_min_Office Mayhem,windows_min_Office Mayhem,windows_req_Office Mayhem,windows_req_Office Mayhem
операционная система,"windows 7 (sp1+), windows 10 and windows 11 versions only.",операционная система,requires a and operating system
процессор,"x86, x64 architecture with instruction set support.",процессор,—
оперативная память,4 gb,оперативная память,—
видео карта,"dx10, dx11, and dx12-capable gpus",видео карта,—
directx,version 10,directx,—
диск,5 gb,диск,—
,,,
windows_min_CarKour,windows_min_CarKour,windows_req_CarKour,windows_req_CarKour
операционная система,"windows 7, windows 8, windows 10 ,",операционная система,"windows 7, windows 8, windows 10"
процессор,intel i5 4590 or amd ryzen3 1200,процессор,intel core™ i5-8300h @ 2.30ghz
оперативная память,8 gb,оперативная память,16 mb
видео карта,2 gb (geforce 950gt / amd r9 270),видео карта,nvidia geforce 1050gtx 4 gb
directx,version 11,directx,version 11
диск,2 gb,диск,3 gb
