windows_min_Unusual Ghost,windows_min_Unusual Ghost,windows_req_Unusual Ghost,windows_req_Unusual Ghost
операционная система,windows 7 x64,операционная система,windows 11 x64
процессор,intel celeron,процессор,intel dual core
оперативная память,1 gb,оперативная память,2 gb
видео карта,intel hd graphics 512mb,видео карта,nvidia geforce gt 820m 2048mb
directx,version 9.0a,directx,version 12
,,,
windows_min_P.e.n.a.n.c.e,windows_min_P.e.n.a.n.c.e
операционная система,"windows 7, 10, 11"
процессор,1.5ghz (x86-64)
оперативная память,2 gb
видео карта,"ati, nvidia or intel hd"
,
windows_min_File Destined,windows_min_File Destined,windows_req_File Destined,windows_req_File Destined
операционная система,"windows 10,",операционная система,"windows 10,"
процессор,intel i5 or new-gen i3 / amd equivalen,процессор,intel i7 or amd equivalent
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia gtx 960,видео карта,nvidia gtx 1060
directx,version 11,directx,version 11
,,,
windows_min_The Way of the Tiger (CPC/Spectrum),windows_min_The Way of the Tiger (CPC/Spectrum)
оперативная память,100 mb
,
windows_min_BOOM Adventures,windows_min_BOOM Adventures,windows_req_BOOM Adventures,windows_req_BOOM Adventures
операционная система,windows 10,операционная система,windows 10
процессор,intel core i5,процессор,intel core i5 or higher
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia gtx 1060,видео карта,nvidia gtx 1060 or higher
directx,version 11,directx,version 12
диск,3 gb,диск,3 gb
,,,
windows_min_Variant 22,windows_min_Variant 22,windows_req_Variant 22,windows_req_Variant 22
операционная система,windows 10 ( versions only),операционная система,windows 10 ( versions only)
процессор,core i3 / amd fx,процессор,—
оперативная память,8 gb,оперативная память,16 gb
видео карта,"6gb vram geforce gtx 1060, amd rx 550",видео карта,"8gb vram geforce rtx 2080, amd radeon vii"
directx,version 11,directx,version 12
диск,18 gb,диск,18 gb
,,,
windows_min_Akari: School Trip,windows_min_Akari: School Trip,windows_req_Akari: School Trip,windows_req_Akari: School Trip
операционная система,windows 10 (),операционная система,windows 10 ()
процессор,amd ryzen 3 1200  intel core i5-7500,процессор,amd ryzen 5 3600  intel core i7 8700
оперативная память,4 gb,оперативная память,16 gb
видео карта,amd radeon rx 560 with 4gb vram  nvidia geforce gtx 1050 ti with 4gb vram,видео карта,amd radeon rx 5700  nvidia geforce gtx 1070
directx,version 12,directx,version 12
диск,5 gb,диск,5 gb
,,,
windows_min_Rope Bowling,windows_min_Rope Bowling,windows_req_Rope Bowling,windows_req_Rope Bowling,macos_min_Rope Bowling,macos_min_Rope Bowling,macos_req_Rope Bowling,macos_req_Rope Bowling,linux_min_Rope Bowling,linux_min_Rope Bowling,linux_req_Rope Bowling,linux_req_Rope Bowling
операционная система,"windows 7, 8, 8.1, 10, 11",операционная система,"windows 7, 8, 8.1, 10, 11",операционная система,macos64,операционная система,—,операционная система,linux 32 & 64,операционная система,—
процессор,2 ghz dual-core 32-bit cpu,процессор,2 ghz dual-core cpu,процессор,2 ghz dual-core 32-bit cpu,процессор,—,процессор,2 ghz dual-core 32-bit cpu,процессор,—
оперативная память,1 gb,оперативная память,2 gb,оперативная память,2 gb,оперативная память,4 gb,оперативная память,1 gb,оперативная память,2 gb
,,,,,,,,,,,
windows_min_Zombies Rocket Boom Boom,windows_min_Zombies Rocket Boom Boom,windows_req_Zombies Rocket Boom Boom,windows_req_Zombies Rocket Boom Boom
операционная система,windows 7,операционная система,windows 10
процессор,intel dual core,процессор,intel dual core
оперативная память,2 gb,оперативная память,4 gb
видео карта,intel hd graphics,видео карта,intel hd graphics
,,,
windows_min_Terix Survivors,windows_min_Terix Survivors,windows_req_Terix Survivors,windows_req_Terix Survivors
операционная система,windows 7+,операционная система,windows 7+
процессор,2 ghz,процессор,4 ghz
оперативная память,250 mb,оперативная память,1 gb
видео карта,"128mb, opengl 3+",видео карта,gtx 660 / rx 460
диск,250 mb,диск,1 gb
,,,
windows_min_Side Scape,windows_min_Side Scape
операционная система,windows 7
процессор,2.0 ghz
оперативная память,4 gb
видео карта,directx compatible graphics card with 32 mb of video memory
directx,version 9.0
,
windows_min_Break Everything - Park,windows_min_Break Everything - Park
операционная система,windows 7/8/10
процессор,3ghz duo core
оперативная память,4 gb
видео карта,nvidia geforce 1050 or higher with 2gb memory
сеть,широкополосное подключение
,
windows_min_In The Gym (Memes Horror Game),windows_min_In The Gym (Memes Horror Game),windows_req_In The Gym (Memes Horror Game),windows_req_In The Gym (Memes Horror Game)
операционная система,windows 7 / 8 / 10 / 11,операционная система,windows 7 / 8 / 10 / 11
