windows_min_WarZone,windows_min_WarZone
операционная система,"windows 10, windows 11"
процессор,dual core cpu at 1.4 ghz
оперативная память,4 gb
видео карта,2 gb of gpu
directx,version 12
,
windows_min_Castle Destroyers,windows_min_Castle Destroyers
операционная система,windows 7
оперативная память,4 gb
видео карта,dedicated gpu recommended
,
windows_min_Snafu,windows_min_Snafu,windows_req_Snafu,windows_req_Snafu
операционная система,windows 10,операционная система,windows 10
процессор,i5 + anything post 2017 should suffice,процессор,i5 + anything post 2017 should suffice
оперативная память,4 gb,оперативная память,4 gb
видео карта,gtx 960 or slightly lower,видео карта,gtx 970 or slightly lower
directx,version 11,directx,version 11
диск,2 gb,диск,4 gb
звуковая карта,directx 11 or higher compatible sound card,звуковая карта,directx 11 or higher compatible sound card
,,,
windows_min_Castle Kingdom Wars,windows_min_Castle Kingdom Wars
,
windows_min_The Backrooms: Liminal Reality,windows_min_The Backrooms: Liminal Reality,windows_req_The Backrooms: Liminal Reality,windows_req_The Backrooms: Liminal Reality
операционная система,64bit os version,операционная система,64bit os version
процессор,intel i5 4th generation or amd fx 6300,процессор,intel i7 7th generation
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 750ti,видео карта,nvidia geforce gtx 750ti
,,,
windows_min_The Final Bastion,windows_min_The Final Bastion
операционная система,windows 7
процессор,"x86, x64"
,
windows_min_Jack the Nipper II (C64/CPC/Spectrum),windows_min_Jack the Nipper II (C64/CPC/Spectrum)
оперативная память,100 mb
,
windows_min_The Crimping,windows_min_The Crimping,windows_req_The Crimping,windows_req_The Crimping
операционная система,windows 10,операционная система,windows 10
процессор,2.4 ghz or higher intel-compatible cpu,процессор,2.4 ghz or higher intel-compatible cpu
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce 1050,видео карта,nvidia geforce 2060
directx,version 11,directx,version 12
,,,
windows_min_The Last Pawn,windows_min_The Last Pawn,windows_req_The Last Pawn,windows_req_The Last Pawn
операционная система,windows,операционная система,windows
процессор,intel core i5 8th gen,процессор,intel core i5 8th gen
оперативная память,8 gb,оперативная память,12 gb
,,,
windows_min_First Person Hooper,windows_min_First Person Hooper,windows_req_First Person Hooper,windows_req_First Person Hooper
операционная система,windows 10,операционная система,windows 10
процессор,dual-core cpu @ 2ghz,процессор,quad-core cpu @ 2.3ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,geforce gt 630 / 640m or amd radeon hd 7450,видео карта,geforce gtx 1080 or amd equivalent
диск,2 gb,диск,2 gb
,,,
windows_min_Echo Storm,windows_min_Echo Storm,windows_req_Echo Storm,windows_req_Echo Storm
операционная система,big sur and above,операционная система,big sur and above
процессор,m1 and above,процессор,m1 and above
оперативная память,4069 mb,оперативная память,8192 mb
видео карта,m1 and above,видео карта,m1 and above
directx,version 10,directx,version 11
,,,
windows_min_Misteri Rumah Pak RT,windows_min_Misteri Rumah Pak RT,windows_req_Misteri Rumah Pak RT,windows_req_Misteri Rumah Pak RT
операционная система,"windows 8, 10, 11",операционная система,"windows 8, 10, 11"
процессор,intel core i3,процессор,intel core i7
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 760,видео карта,nvidia geforce gtx 1650
directx,version 11,directx,version 11
диск,600 mb,диск,600 mb
звуковая карта,-,звуковая карта,-
vr support,-,vr support,-
дополнительно,-,дополнительно,-
,,,
windows_min_Limbus Company,windows_min_Limbus Company,windows_req_Limbus Company,windows_req_Limbus Company
операционная система,windows 10,операционная система,windows 10
процессор,intel core i5,процессор,intel core i5
оперативная память,8 gb,оперативная память,8 gb
видео карта,geforce gt 1030,видео карта,geforce gt 1030
directx,version 10,directx,version 10
,,,
windows_min_Eternal Hunt,windows_min_Eternal Hunt
операционная система,windows 7 / windows 8 / windows 10
процессор,intel i3 generations
оперативная память,3 gb
видео карта,geforce 1050 ti
directx,version 10
диск,3 gb
,
windows_min_Soul Guardians,windows_min_Soul Guardians,windows_req_Soul Guardians,windows_req_Soul Guardians
операционная система,windows xp or higher,операционная система,windows xp or higher
процессор,"intel pentium4, intel pentium4 1.2g",процессор,"intel pentium4, intel pentium4 2.4g"
оперативная память,1 gb,оперативная память,2 gb
видео карта,geforce4 mx 200,видео карта,geforce4 mx 440
directx,version 9.0,directx,version 9.0
,,,
windows_min_Horror Adventure,windows_min_Horror Adventure,windows_req_Horror Adventure,windows_req_Horror Adventure
операционная система,windows 7 required,операционная система,windows 10
процессор,intel core i3 515 7u,процессор,intel core i5 6600k
оперативная память,2 gb,оперативная память,4 gb
видео карта,1 gb amd or nvidia graphic card,видео карта,2 gb nvidia gtx 970 graphic card
,,,
windows_min_Hkons Beanrunner,windows_min_Hkons Beanrunner,windows_req_Hkons Beanrunner,windows_req_Hkons Beanrunner
,,,
windows_min_Hot 21,windows_min_Hot 21,windows_req_Hot 21,windows_req_Hot 21
операционная система,windows 10,операционная система,windows 10
процессор,intel i5-4590,процессор,intel core i7-3770
оперативная память,8 gb,оперативная память,8 gb
,,,
windows_min_Aircraft Infinity,windows_min_Aircraft Infinity
операционная система,windows 10
процессор,i3
оперативная память,1 mb
видео карта,gtx210
,
windows_min_Vagrant Knight,windows_min_Vagrant Knight,windows_req_Vagrant Knight,windows_req_Vagrant Knight
операционная система,windows 10 (x64),операционная система,windows 10 (x64)
процессор,i3,процессор,—
оперативная память,4 gb,оперативная память,—
видео карта,intel hd 4000,видео карта,—
,,,
windows_min_EXTERMINATOR,windows_min_EXTERMINATOR,windows_req_EXTERMINATOR,windows_req_EXTERMINATOR
операционная система,window7/8/10,операционная система,window7/8/10
процессор,i3,процессор,i3
оперативная память,100 mb,оперативная память,100 mb
видео карта,nvidia gt 1030,видео карта,nvidia gt 1030
диск,62 mb,диск,62 mb
,,,
windows_min_Krakout (C64/CPC/Spectrum),windows_min_Krakout (C64/CPC/Spectrum)
оперативная память,100 mb
,
windows_min_Street Boss,windows_min_Street Boss
,
windows_min_Magic and Legend - Time Knights,windows_min_Magic and Legend - Time Knights,windows_req_Magic and Legend - Time Knights,windows_req_Magic and Legend - Time Knights
операционная система,windows 10,операционная система,windows 10
процессор,core 2 or higher,процессор,core 2 or higher
оперативная память,2 gb,оперативная память,2 gb
,,,
windows_min_Speedrush,windows_min_Speedrush,windows_req_Speedrush,windows_req_Speedrush
операционная система,any,операционная система,any
процессор,2.5+ ghz intel core i3,процессор,somewhat recent generation of intel i5
оперативная память,4 gb,оперативная память,8 gb
видео карта,gtx 660,видео карта,gtx 1660 super
диск,64 gb,диск,128 gb
дополнительно,minimum requirements to run speedrush decently smoothly.,дополнительно,recommended requirements to run speedrush smoothly.
,,,
windows_min_Kingdom of EXPLORERS,windows_min_Kingdom of EXPLORERS,windows_req_Kingdom of EXPLORERS,windows_req_Kingdom of EXPLORERS
операционная система,windows xp/vista/7/8/10,операционная система,windows xp/vista/7/8/10
процессор,intel core i5-760 (4 * 2800) / amd athlon ii x4 645 am3 (4 * 3100),процессор,intel core i5-4670k (4 * 3400) / amd fx-6350 (6 * 3900)
оперативная память,4 gb,оперативная память,8 gb
видео карта,geforce gtx 460 (1024 mb) / radeon hd 6850 (1024 mb),видео карта,geforce gtx 660 (2048 mb) / radeon hd 7970 (3072 mb)
directx,version 10,directx,version 10
,,,
windows_min_VOLLEYGON,windows_min_VOLLEYGON,windows_req_VOLLEYGON,windows_req_VOLLEYGON
операционная система,macos 10.15+,операционная система,—
процессор,intel core i3,процессор,—
оперативная память,4 gb,оперативная память,—
видео карта,intel hd 4000,видео карта,nvidia geforce gtx 460 or amd radeon hd6850
диск,200 mb,диск,—
дополнительно,an xbox one gamepad () is the recommended controller for volleygon,дополнительно,—
,,,
windows_min_Dust Devil,windows_min_Dust Devil,windows_req_Dust Devil,windows_req_Dust Devil
операционная система,windows 10,операционная система,windows 10
процессор,intel core i5,процессор,intel core i7
оперативная память,2 gb,оперативная память,4 gb
видео карта,geforce gtx 965,видео карта,geforce rtx 2060
,,,
windows_min_Cargo Truck Simulator 2023,windows_min_Cargo Truck Simulator 2023,windows_req_Cargo Truck Simulator 2023,windows_req_Cargo Truck Simulator 2023
операционная система,windows 8,операционная система,windows 10 x64
процессор,"intel i5-2550k, 3.4 ghz",процессор,"intel core i7-3770, 3.4 ghz"
оперативная память,2 gb,оперативная память,4 gb
видео карта,geforce gtx 670 / radeon hd 7950,видео карта,geforce gtx 970 or geforce gtx 1060 / radeon r9 290x or radeon rx 480
,,,
windows_min_Z / Beat The Soul Z,windows_min_Z / Beat The Soul Z,windows_req_Z / Beat The Soul Z,windows_req_Z / Beat The Soul Z
операционная система,"windows 7, 8, 8.1, 10 x64",операционная система,"windows 7, 8, 8.1, 10 x64"
процессор,intel pentium e2180 (2 * 2000),процессор,intel core i3-3240 (2 * 3400)
оперативная память,1 mb,оперативная память,1 mb
видео карта,geforce 7600 gt (256 mb),видео карта,geforce 8800 gts (512 mb)
,,,
windows_min_Question Mark,windows_min_Question Mark,windows_req_Question Mark,windows_req_Question Mark
операционная система,windows 10 or higher,операционная система,windows 10 or higher
процессор,intel core 2 quad or amd athlon ii x2 250,процессор,intel i5-4570 or amd ryzen 3 3200g
оперативная память,2 gb,оперативная память,4 gb
видео карта,"1 gb, s",видео карта,"4 gb, 128 bits"
directx,version 10,directx,version 10
,,,
windows_min_Obsta-Loop,windows_min_Obsta-Loop,windows_req_Obsta-Loop,windows_req_Obsta-Loop
,,,
windows_min_Vanessa,windows_min_Vanessa,windows_req_Vanessa,windows_req_Vanessa
операционная система,windows 7,операционная система,windows 7
процессор,intel core i5 2.6ghz or similar,процессор,intel core i5-6600 3.3ghz or similar
оперативная память,6 gb,оперативная память,8 gb
видео карта,geforce gtx 700 series or similar,видео карта,geforce gtx 1050 series or similar
directx,version 11,directx,version 11
,,,
windows_min_RUSLICSTAN INVADES,windows_min_RUSLICSTAN INVADES,windows_req_RUSLICSTAN INVADES,windows_req_RUSLICSTAN INVADES
операционная система,windows 7,операционная система,windows 11
процессор,core i3 / ryzen r3,процессор,core i5 / ryzen r5
оперативная память,8 gb,оперативная память,16 gb
видео карта,gtx 1050 ti,видео карта,rtx 3070
directx,version 12,directx,version 12
,,,
windows_min_Retro Golden Age - Operation Alexandra,windows_min_Retro Golden Age - Operation Alexandra,windows_req_Retro Golden Age - Operation Alexandra,windows_req_Retro Golden Age - Operation Alexandra
операционная система,windows 7,операционная система,windows 10
процессор,1.5 ghz core2duo,процессор,dual core 2.4 ghz
видео карта,opengl 1.4,видео карта,dedicated with 128 mb
,,,
windows_min_Warp Tango,windows_min_Warp Tango
операционная система,windows 10
оперативная память,1 gb
,
windows_min_Death Gunfire - Kill the Zombie,windows_min_Death Gunfire - Kill the Zombie
операционная система,windows 10
процессор,intel i5-4590 / amd fx 8350
оперативная память,4 gb
видео карта,nvidia geforce gtx 970/ amd radeon™
directx,version 11
сеть,широкополосное подключение
,
windows_min_Magnetik,windows_min_Magnetik,windows_req_Magnetik,windows_req_Magnetik
операционная система,"windows 10, 8, 7, vista ()",операционная система,"windows 10, 8, 7 ()"
процессор,dual core 3ghz+,процессор,quad core 3ghz+
оперативная память,4 gb,оперативная память,8 gb
видео карта,"directx 10.1 capable gpu with 512 mb vram - geforce gtx 260, radeon hd 4850 or intel hd graphics 5500",видео карта,"directx 11 capable gpu with 2 gb vram - geforce gtx 750 ti, radeon r7 360"
directx,version 11,directx,version 11
,,,
windows_min_Fool's Curse,windows_min_Fool's Curse
операционная система,windows 7
процессор,2ghz duo core
оперативная память,1 gb
видео карта,intel integrated graphics
,
windows_min_Defending Earth,windows_min_Defending Earth,macos_min_Defending Earth,macos_min_Defending Earth,linux_min_Defending Earth,linux_min_Defending Earth
операционная система,windows 7,операционная система,macos 10.15,операционная система,"ubuntu 18.04, and centos 7"
процессор,dual,процессор,dual,процессор,dual
оперативная память,4 gb,оперативная память,4 gb,оперативная память,4 gb
видео карта,integrated,видео карта,integrated,видео карта,integrated
directx,version 10,диск,1 gb,диск,1 gb
диск,1 gb,звуковая карта,integrated,звуковая карта,integrated
звуковая карта,integrated,,,vr support,n/a
,,,,,
windows_min_R-Lyke: Reverse,windows_min_R-Lyke: Reverse
,
windows_min_The Voidness - Lidar Horror Survival Game,windows_min_The Voidness - Lidar Horror Survival Game,windows_req_The Voidness - Lidar Horror Survival Game,windows_req_The Voidness - Lidar Horror Survival Game
операционная система,windows 7,операционная система,windows 10
процессор,intel core i5 2500k or amd equivalent,процессор,intel core i7 4790k or amd equivalent
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 660 2 gb or amd equivalent,видео карта,nvidia geforce gtx 970 or amd equivalent
,,,
windows_min_Bedrock High,windows_min_Bedrock High
операционная система,windows 7
процессор,1.6 ghz
оперативная память,2 gb
видео карта,opengl 2.0
,
windows_min_The Faceless,windows_min_The Faceless,windows_req_The Faceless,windows_req_The Faceless
операционная система,"windows 8.1, 10",операционная система,"windows 8.1, 10"
процессор,intel core i5-3570k or amd fx-8310,процессор,intel core i5-3570k or amd fx-8310
оперативная память,8 gb,оперативная память,16 gb
видео карта,geforce gtx 670 / geforce gtx 1050 / amd radeon hd 7870,видео карта,geforce gtx 670 / geforce gtx 1050 / amd radeon hd 7870
directx,version 11,directx,version 11
,,,
windows_min_Tartarus Longo Itinere,windows_min_Tartarus Longo Itinere,windows_req_Tartarus Longo Itinere,windows_req_Tartarus Longo Itinere
операционная система,catalina (10.15.6),операционная система,catalina (10.15.6)
процессор,2.0 ghz intel,процессор,3.1 ghz intel core i5
оперативная память,4 gb,оперативная память,8 mb
видео карта,256 mb nvidia or ati graphics card,видео карта,intel iris plus graphics 650 1536 mb
directx,version 9.0,directx,version 9.0
диск,500 mb,диск,1 gb
,,,
windows_min_,windows_min_
операционная система,windows10
процессор,core i 3
оперативная память,4 gb
видео карта,
,
windows_min_Polyturned,windows_min_Polyturned
операционная система,windows 10
процессор,intel i5 6600k / ryzen 3 1300
оперативная память,4 gb
видео карта,rx 580 / gtx 1060
,
windows_min_GRADIENT,windows_min_GRADIENT
операционная система,windows 10
процессор,"quad-core intel or amd, 2.5 ghz or faster."
оперативная память,4 gb
видео карта,gtx 1080 / rx5700
directx,version 11
,
