windows_min_Velvet Guard,windows_min_Velvet Guard,macos_min_Velvet Guard,macos_min_Velvet Guard,linux_min_Velvet Guard,linux_min_Velvet Guard
операционная система,windows vista,операционная система,mac osx 10.6.8,операционная система,only needs support for mono
оперативная память,1500 mb,оперативная память,1500 mb,оперативная память,1500 mb
видео карта,256 mb video memory,видео карта,"256 video memory, opengl 2.0",видео карта,"256 mb video memory, opengl 2.0"
directx,version 10,диск,90 mb,диск,70 mb
,,,,,
windows_min_Wetpants,windows_min_Wetpants,windows_req_Wetpants,windows_req_Wetpants
операционная система,windows 10,операционная система,windows 10
процессор,"intel i5-4590, amd fx 8350",процессор,i5-6500 cpu
оперативная память,4 gb,оперативная память,8 gb
видео карта,"nvidia geforce gtx 970, amd radeon r9 290",видео карта,"nvidia gtx 980, amd r9 390"
,,,
windows_min_Flappy Hypership Out of Control,windows_min_Flappy Hypership Out of Control,windows_req_Flappy Hypership Out of Control,windows_req_Flappy Hypership Out of Control
операционная система,windows 7/8/10,операционная система,windows 7/8/10
процессор,intel/amd,процессор,intel/amd
оперативная память,128 mb,оперативная память,128 mb
,,,
windows_min_It's time to get out from the solar system,windows_min_It's time to get out from the solar system
операционная система,"ubuntu 12.04+, steamos+"
процессор,"sse2 instruction set support (pentium 4, intel atom, athlon xp or highter) 2ghz"
оперативная память,1 gb
видео карта,shader model 2.0 capabilities; generally everything made since 2004 should work.
directx,version 9.0c
диск,200 mb
,
windows_min_Jet Buster,windows_min_Jet Buster,windows_req_Jet Buster,windows_req_Jet Buster
операционная система,windows vista and higher,операционная система,windows vista and higher
процессор,"1,8 ghz single core",процессор,2 ghz single core
оперативная память,512 mb,оперативная память,512 mb
видео карта,pixel and vertex shader 2.0,видео карта,pixel and vertex shader 3.0
directx,version 9.0,directx,version 9.0
диск,100 mb,диск,100 mb
звуковая карта,any,звуковая карта,any
,,,
windows_min_GALAXY MONSTER,windows_min_GALAXY MONSTER,windows_req_GALAXY MONSTER,windows_req_GALAXY MONSTER
операционная система,windows,операционная система,—
процессор,2x 2ghz with sse2,процессор,—
оперативная память,1 gb,оперативная память,2 gb
видео карта,nvidia geforce gtx 470 or amd radeon hd 4850,видео карта,nvidia geforce gtx 470 or amd radeon hd 4850
,,,
windows_min_S.C.A.R,windows_min_S.C.A.R,windows_req_S.C.A.R,windows_req_S.C.A.R
операционная система,windows 7,операционная система,windows 10
процессор,2.5 ghz or faster,процессор,3.5 ghz or faster
оперативная память,4 gb,оперативная память,8 gb
видео карта,sapphire radeon hd 6450 1gb / nvidia geforce gtx 460,видео карта,nvidia gtx 1050ti/ amd radeon rx 460
directx,version 12,directx,version 12
,,,
windows_min_Total Seclusion,windows_min_Total Seclusion,windows_req_Total Seclusion,windows_req_Total Seclusion
операционная система,windows 7,операционная система,"windows 7, 8, 8.1, 10"
процессор,requires a and operating system,процессор,requires a and operating system
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 760 or amd radeon r7 260x with 2 gb video,видео карта,intelcore i7-3770 or amd fx-9590
directx,version 11,directx,version 11
,,,
windows_min_Nukklerma: Robot Warfare,windows_min_Nukklerma: Robot Warfare,windows_req_Nukklerma: Robot Warfare,windows_req_Nukklerma: Robot Warfare
операционная система,windows 7/8/10,операционная система,windows 7/8/10
процессор,intel core i5,процессор,intel core i5
оперативная память,6 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 940m,видео карта,nvidia geforce gtx 1060
directx,version 11,directx,version 11
диск,6 gb,диск,6 gb
,,,
windows_min_Skitt,windows_min_Skitt,windows_req_Skitt,windows_req_Skitt
операционная система,windows 10,операционная система,windows 10
процессор,2.4 ghz,процессор,2.4 ghz
