windows_min_Trine 3: The Artifacts of Power,windows_min_Trine 3: The Artifacts of Power,windows_req_Trine 3: The Artifacts of Power,windows_req_Trine 3: The Artifacts of Power,macos_min_Trine 3: The Artifacts of Power,macos_min_Trine 3: The Artifacts of Power,macos_req_Trine 3: The Artifacts of Power,macos_req_Trine 3: The Artifacts of Power,linux_min_Trine 3: The Artifacts of Power,linux_min_Trine 3: The Artifacts of Power,linux_req_Trine 3: The Artifacts of Power,linux_req_Trine 3: The Artifacts of Power
операционная система,( / 32 bit *) windows 10 / 8 / 7 / vista,операционная система,os: ( / 32 bit *) windows 10 / 8 / 7 / vista,операционная система,"os x version mavericks 10.9, . note that trine 3 only works on a 32-bit operating system.",операционная система,"os x version mavericks 10.9, . note that trine 3 only works on a 32-bit operating system.",операционная система,ubuntu 12.04 lts (64bit),операционная система,ubuntu 12.04 lts (64bit)
процессор,intel core i3 / i5/i7 1.8 ghz cpu dual-core. amd 2.0 ghz dual-core.,процессор,intel quad-core 2.0 ghz or dual-core 2.6 ghz,процессор,intel mac,процессор,intel mac,оперативная память,4 gb,оперативная память,8 gb
оперативная память,4 gb,оперативная память,8 gb,оперативная память,4 gb,оперативная память,8 gb,видео карта,opengl 4.1,видео карта,opengl 4.1
видео карта,nvidia geforce 260 / radeon hd 4000 series / intel hd graphics 4000,видео карта,nvidia geforce gtx 560 2gb / radeon hd 6850 2gb,видео карта,opengl 4.1,видео карта,opengl 4.1,сеть,широкополосное подключение,сеть,широкополосное подключение
directx,version 10,directx,version 10,сеть,широкополосное подключение,сеть,широкополосное подключение,диск,4 gb,диск,4 gb
сеть,широкополосное подключение,сеть,широкополосное подключение,диск,4 gb,диск,4 gb,дополнительно,trine 3: the artifacts of power runs best with proprietary drivers and may not function correctly with open source drivers.,дополнительно,trine 3: the artifacts of power runs best with proprietary drivers and may not function correctly with open source drivers.
диск,6 gb,диск,6 gb,дополнительно,"keyboard, mouse/trackpad with secondary click enabled. *note: please be advised that trine 3: the artifacts of power does not run on older macbooks. requires at least intel hd graphics 4000 . all macs produced since ...  late 2013 are able to run the game.  еще",дополнительно,"keyboard, mouse/trackpad with secondary click enabled. *note: please be advised that trine 3: the artifacts of power does not run on older macbooks. requires at least intel hd graphics 4000 . all macs produced since ...  late 2013 are able to run the game.  еще",,,,
,,,,,,,,,,,
windows_min_Rebel Galaxy,windows_min_Rebel Galaxy,windows_req_Rebel Galaxy,windows_req_Rebel Galaxy
операционная система,yosemite or higher,операционная система,yosemite or higher
процессор,"intel core™ 2 duo 2.4 ghz, amd athlon™ x2 2.8 ghz, or higher",процессор,—
оперативная память,2 gb,оперативная память,4 gb
видео карта,"shader model 3.0, 512mb vram",видео карта,"shader model 3.0, 2gb vram"
directx,version 9.0b,directx,version 11
диск,2 gb,диск,2 gb
,,,
windows_min_Azur Lane Crosswave,windows_min_Azur Lane Crosswave,windows_req_Azur Lane Crosswave,windows_req_Azur Lane Crosswave
операционная система,windows 7 64bit (directx 11 equivalent),операционная система,windows 10 64bit (directx 11 equivalent)
процессор,intel cpu core-i5 3.2ghz or above,процессор,intel cpu core i7 3770 or above
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 750ti or amd r7 260x equivalent,видео карта,geforce gtx 970 or amd rx 560 2gb equivalent
directx,version 11,directx,version 12
диск,4 gb,диск,4 gb
звуковая карта,directsound (directx) compatible sound card,звуковая карта,directsound (directx) compatible sound card
,,,
windows_min_The Walking Dead: Saints & Sinners,windows_min_The Walking Dead: Saints & Sinners,windows_req_The Walking Dead: Saints & Sinners,windows_req_The Walking Dead: Saints & Sinners
операционная система,windows 10,операционная система,windows 10
процессор,intel i5-4590 / amd ryzen 5 1500x,процессор,intel i7 8700k / amd ryzen 7 1800x
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia gtx 1060 / amd radeon rx 480,видео карта,nvidia gtx 1070 / amd radeon vega 56
directx,version 11,directx,version 11
диск,40 gb,диск,40 gb
,,,
windows_min_DOOM 3,windows_min_DOOM 3,windows_req_DOOM 3,windows_req_DOOM 3
операционная система,windows vista/ windows 7,операционная система,windows vista-64/ windows 7-64
процессор,2.0 ghz dual core,процессор,2.4 ghz dual core
оперативная память,3 gb,оперативная память,3 gb system
видео карта,"nvidia geforce 9800 gt / ati radeon hd 5750, 512 mb video",видео карта,"nvidia geforce gtx 260 / ati radeon hd 5850, 768 mb video"
диск,11 gb,диск,11 gb
звуковая карта,windows compatible sound card,звуковая карта,windows compatible sound card
,,,
windows_min_Genital Jousting,windows_min_Genital Jousting
операционная система,mac os x 10.8
процессор,intel core™ duo or faster
оперативная память,4 gb
диск,500 mb
,
windows_min_Darksiders Genesis,windows_min_Darksiders Genesis,windows_req_Darksiders Genesis,windows_req_Darksiders Genesis
операционная система,"windows 7, 8, windows 10 ()",операционная система,"windows 7, 8, windows 10 ()"
процессор,amd fx-8320 (3.5 ghz) / intel i5-4690k (3.5 ghz),процессор,intel core i7-3930k (3.2 ghz)/amd ryzen 5 1600 (3.2 ghz)
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 960,видео карта,nvidia geforce gtx 1060
directx,version 11,directx,version 11
,,,
windows_min_CastleMiner Z,windows_min_CastleMiner Z,windows_req_CastleMiner Z,windows_req_CastleMiner Z
операционная система,"windows 8, 7, vista, xp",операционная система,"windows 8, 7"
процессор,2.8 ghz dual core,процессор,3.0 ghz quad core
оперативная память,1 gb,оперативная память,8 gb
видео карта,directx 9.0c with 500 mb memory,видео карта,directx 9.0c with 1 gb memory
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,100 mb,диск,100 mb
,,,
windows_min_Persona® 5 Strikers,windows_min_Persona® 5 Strikers,windows_req_Persona® 5 Strikers,windows_req_Persona® 5 Strikers
операционная система,"8.1, 64bits",операционная система,"10, 64bits"
процессор,intel core i5-2300 / amd fx-6350,процессор,intel core i5-3470 / amd fx-8350
оперативная память,6 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 660 (2gb) / amd radeon hd 7870 (2gb),видео карта,nvidia geforce gtx 680 (2 gb) / amd radeon hd 7970 (3 gb)
directx,version 11,directx,version 11
,,,
windows_min_Sniper Ghost Warrior Contracts,windows_min_Sniper Ghost Warrior Contracts,windows_req_Sniper Ghost Warrior Contracts,windows_req_Sniper Ghost Warrior Contracts
операционная система,windows 7,операционная система,windows 8.1 / 10
процессор,intel core i5 4460 / amd fx 6350,процессор,intel core i5 4690k / amd ryzen 5 1600x
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 760 or amd radeon hd 7870 (2gb vram),видео карта,nvidia geforce gtx 970 or amd radeon rx 580x (4gb vram)
directx,version 10,directx,version 11
,,,
windows_min_Ballistic Overkill,windows_min_Ballistic Overkill,windows_req_Ballistic Overkill,windows_req_Ballistic Overkill,macos_min_Ballistic Overkill,macos_min_Ballistic Overkill,macos_req_Ballistic Overkill,macos_req_Ballistic Overkill,linux_min_Ballistic Overkill,linux_min_Ballistic Overkill,linux_req_Ballistic Overkill,linux_req_Ballistic Overkill
операционная система,windows 7,операционная система,windows 7,операционная система,os x 10.11: el capitan (gala),операционная система,os x 10.11: el capitan (gala),операционная система,linux ubuntu 12.04,операционная система,linux ubuntu 12.04
процессор,intel core 2 duo 2.0 ghz,процессор,intel core i5 2.5 ghz,процессор,intel core 2 duo 2.0 ghz,процессор,intel core i5 2.5 ghz,процессор,intel core 2 duo 2.0 ghz,процессор,intel core i5 2.5 ghz
оперативная память,2 gb,оперативная память,4 gb,оперативная память,2 gb,оперативная память,4 gb,оперативная память,2 gb,оперативная память,4 gb
видео карта,intel hd graphics 4000,видео карта,geforce 200 series,видео карта,intel hd graphics 4000,видео карта,geforce 200 series,видео карта,intel hd graphics 4000,видео карта,geforce 200 series
directx,version 9.0c,directx,version 9.0c,сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,широкополосное подключение
сеть,широкополосное подключение,сеть,широкополосное подключение,диск,4 gb,диск,8 gb,диск,4 gb,диск,8 gb
,,,,,,,,,,,
windows_min_The Last Spell,windows_min_The Last Spell,windows_req_The Last Spell,windows_req_The Last Spell
операционная система,windows 7,операционная система,windows 10
процессор,intel core i5-3470 or amd fx-8370,процессор,intel core i5-8400 or amd ryzen 5 2600
оперативная память,4 gb,оперативная память,8 gb
