windows_min_War Solution - Casual Math Game,windows_min_War Solution - Casual Math Game
операционная система,win 7 -
процессор,intel core i5
оперативная память,4 gb
видео карта,radeon hd 6450
directx,version 9.0
диск,500 mb
,
windows_min_Escape 2042 - The Truth Defenders,windows_min_Escape 2042 - The Truth Defenders,windows_req_Escape 2042 - The Truth Defenders,windows_req_Escape 2042 - The Truth Defenders
операционная система,windows 7,операционная система,windows 7
процессор,2ghz 32bits,процессор,i3-2100
оперативная память,512 mb,оперативная память,512 mb
видео карта,any graphic card compatible with opengl 1.2,видео карта,any graphic card compatible with opengl 1.2
диск,8 mb,диск,8 mb
,,,
windows_min_Impulsion,windows_min_Impulsion,windows_req_Impulsion,windows_req_Impulsion
операционная система,windows 7,операционная система,windows 10
процессор,2.9 ghz dual-core,процессор,3.3 ghz quad-core
оперативная память,2 gb,оперативная память,4 gb
видео карта,nvidia gtx 660,видео карта,nvidia gtx 960
directx,version 10,directx,version 11
,,,
windows_min_Gunslingers of the Wasteland vs. The Zombies From Mars,windows_min_Gunslingers of the Wasteland vs. The Zombies From Mars,windows_req_Gunslingers of the Wasteland vs. The Zombies From Mars,windows_req_Gunslingers of the Wasteland vs. The Zombies From Mars
операционная система,windows 7 (),операционная система,windows 10 ()
процессор,2.9 ghz dual-core,процессор,3.3 ghz quad-core
оперативная память,4 gb,оперативная память,8 gb
видео карта,radeon hd graphics,видео карта,radeon 6900
диск,4 gb,диск,4 gb
,,,
windows_min_7 Bones and 7 Stones - The Ritual,windows_min_7 Bones and 7 Stones - The Ritual
операционная система,windows 10
процессор,2.8ghz
оперативная память,4 gb
видео карта,geforce 8600
directx,version 9.0
сеть,широкополосное подключение
,
windows_min_Aces of the Luftwaffe,windows_min_Aces of the Luftwaffe
операционная система,win7
процессор,~2.0ghz
оперативная память,1 gb
видео карта,512mb
directx,version 10
,
windows_min_Shred! Downhill Mountain Biking,windows_min_Shred! Downhill Mountain Biking,windows_req_Shred! Downhill Mountain Biking,windows_req_Shred! Downhill Mountain Biking
операционная система,osx yosemite,операционная система,osx yosemite
процессор,dual core mac mini or similar,процессор,quad core intel/intel i5
оперативная память,1 gb,оперативная память,4 gb
видео карта,512mb on-board graphics,видео карта,1gb dedicated graphics
directx,version 9.0c,directx,version 9.0c
диск,1 gb,диск,1 gb
,,,
windows_min_SkyKeepers,windows_min_SkyKeepers
операционная система,windows 7
процессор,2.5 ghz dual core
