windows_min_Mass Effect 3,windows_min_Mass Effect 3,windows_req_Mass Effect 3,windows_req_Mass Effect 3
операционная система,win 7,операционная система,win 7
процессор,1.8 ghz intel core 2 duo (equivalent amd cpu),процессор,2.4 ghz intel core 2 duo (equivalent amd cpu)
оперативная память,2 gb,оперативная память,4 gb
видео карта,"supported chipsets: nvidia 7900 ; ati x1800 . please note that nvidia geforce 9300, 8500, 8400, and 8300 are below minimum system requirements, as are amd/ati radeon hd3200, hd3300, and hd4350. updates to your video ...  and sound card drivers may be required.  еще",видео карта,amd/ati radeon hd 4850 512 mb / nvidia geforce 9800 gt 512 mb
directx,version 9.0c,directx,version 9.0c
диск,15 gb,диск,15 gb
звуковая карта,directx 9.0c compatible,звуковая карта,directx 9.0c compatible
,,,
windows_min_Mass Effect™: Andromeda,windows_min_Mass Effect™: Andromeda,windows_req_Mass Effect™: Andromeda,windows_req_Mass Effect™: Andromeda
операционная система,"windows 7, windows 8.1 and windows 10",операционная система,"windows 7, windows 8.1 and windows 10"
процессор,intel core i5 3570 or amd fx-6350,процессор,intel core i7-4790 or amd fx-8350
оперативная память,8 gb,оперативная память,16 gb
видео карта,"nvidia gtx 660 2gb, amd radeon 7850 2gb",видео карта,"nvidia gtx 1060 3gb, amd rx 480 4gb"
directx,version 11,directx,version 11
,,,
windows_min_Battlefield 3™,windows_min_Battlefield 3™,windows_req_Battlefield 3™,windows_req_Battlefield 3™
операционная система,windows 7,операционная система,windows 7
процессор,2 ghz dual core (core 2 duo 2.4 ghz or althon x2 2.7 ghz),процессор,quad-core cpu
оперативная память,2 gb,оперативная память,4 gb
видео карта,"graphics card (amd): directx 10.1 compatible with 512 mb (ati radeon 3000, 4000, 5000 or 6000 series, with ati radeon 3870 or higher performance) graphics card (nvidia): directx 10.0 compatible with 512 mb (nvidia geforce ...  8, 9, 200, 300, 400 or 500 series with nvidia geforce 8800 gt or higher performance)  еще",видео карта,graphics card: directx 11 compatible with 1024 mb (nvidia geforce gtx 560 or ati radeon 6950)
directx,version 10,directx,version 11
диск,20 gb,диск,20 gb
,,,
windows_min_Battlefield™ Hardline,windows_min_Battlefield™ Hardline,windows_req_Battlefield™ Hardline,windows_req_Battlefield™ Hardline
операционная система,(with kb971512 update),операционная система,windows 8 (with kb971512 update)
процессор,"athlon ii/phenom ii 2.8 ghz, intel core i3 / i5 2.4ghz",процессор,"intel quad-core cpu, amd six-core cpu"
оперативная память,4 gb,оперативная память,8 gb
видео карта,ati 5770 with 1gb vram /nvidia gtx260 with 896mb vram,видео карта,"amd 290, nvidia gtx760"
directx,version 11,directx,—
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_STAR WARS™ Battlefront,windows_min_STAR WARS™ Battlefront,windows_req_STAR WARS™ Battlefront,windows_req_STAR WARS™ Battlefront
операционная система,"windows 7, windows 8.1 and windows 10",операционная система,os: windows 10
процессор,intel i3 6300t,процессор,(intel): intel i5 6600
оперативная память,8 gb,оперативная память,16 gb
видео карта,graphics card (nvidia): nvidia geforce gtx 660 2gb graphics card (amd): amd radeon hd 7850 2gb,видео карта,graphics card (nvidia): nvidia geforce gtx 970 4gb graphics card (amd): amd radeon r9 290 4gb
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_No Place for Bravery,windows_min_No Place for Bravery
операционная система,windows 10
процессор,3.2 ghz quad core
оперативная память,2 gb
видео карта,"geforce 960, radeon rx 570 with 4gb of video"
directx,version 11
диск,2 gb
,
