windows_min_CROSSFIRE II (2002),windows_min_CROSSFIRE II (2002),windows_req_CROSSFIRE II (2002),windows_req_CROSSFIRE II (2002)
операционная система,windows vista,операционная система,"windows 7, 8, 10"
процессор,2x 2ghz,процессор,2x 3ghz
оперативная память,2 gb,оперативная память,4 gb
видео карта,sm3.0 gpu with 768mb,видео карта,geforce gtx 470 / radeon hd 4850
,,,
windows_min_CROSSFIRE II (2002),windows_min_CROSSFIRE II (2002),windows_req_CROSSFIRE II (2002),windows_req_CROSSFIRE II (2002)
операционная система,windows vista,операционная система,"windows 7, 8, 10"
процессор,2x 2ghz,процессор,2x 3ghz
оперативная память,2 gb,оперативная память,4 gb
видео карта,sm3.0 gpu with 768mb,видео карта,geforce gtx 470 / radeon hd 4850
,,,
windows_min_Dark Fracture: Prologue,windows_min_Dark Fracture: Prologue,windows_req_Dark Fracture: Prologue,windows_req_Dark Fracture: Prologue
операционная система,"windows 7, 8, 10",операционная система,"windows 7, 8, 10"
процессор,intel core i3 equivalent or higher,процессор,intel core i7-4770k equivalent or higher
оперативная память,6 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 560 or amd radeon r7 250x,видео карта,nvidia geforce gtx 1050 or amd radeon 520
directx,version 10,directx,version 12
,,,
windows_min_War Identity,windows_min_War Identity,windows_req_War Identity,windows_req_War Identity
операционная система,"windows 7, windows 8.1, windows 10",операционная система,"windows 7, windows 8.1, windows 10"
процессор,core i5 / amd fx,процессор,core i7 / amd ryzen 7
оперативная память,8 gb,оперативная память,16 gb
видео карта,gtx 1030 / rx 550,видео карта,gtx 1060 / rx 580
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_TOUHOU SKY ARENA MATSURI CLIMAX,windows_min_TOUHOU SKY ARENA MATSURI CLIMAX,windows_req_TOUHOU SKY ARENA MATSURI CLIMAX,windows_req_TOUHOU SKY ARENA MATSURI CLIMAX
операционная система,windows 10/8.1,операционная система,windows 10/8.1
процессор,"2.66 ghz intel core 2 quad q8400, 3.0 ghz amd phenom ii x4 940",процессор,"3.5 ghz intel core i7 3700, 4.0 ghz amd fx-8350"
