windows_min_Retrowave Drift,windows_min_Retrowave Drift,windows_req_Retrowave Drift,windows_req_Retrowave Drift
операционная система,windows 7/8/10 - 64bits,операционная система,windows 7/8/10 - 64bits
процессор,"amd athlon x2 2.8 ghz, intel core 2 duo 2.4 ghz",процессор,intel core 2 quad
оперативная память,2 gb,оперативная память,4 gb
видео карта,"amd radeon hd 6450, nvidia geforce gt 460",видео карта,geforce gtx 570
диск,2 gb,диск,2 gb
,,,
windows_min_Siren Head: Awakening,windows_min_Siren Head: Awakening,windows_req_Siren Head: Awakening,windows_req_Siren Head: Awakening
операционная система,mac os x sierra,операционная система,mac os x catalina
процессор,intel core i3-2120 / amd athlon 64 fx-72,процессор,intel core i5-2400 / amd fx-6120
оперативная память,2 gb,оперативная память,4 gb
видео карта,nvidia gt 520 / radeon hd 2900 gt,видео карта,nvidia gt 720 / radeon hd 8670d
directx,version 9.0,directx,version 11
диск,1 gb,диск,1 gb
звуковая карта,any compatible soundcard or onboard chipset,звуковая карта,any compatible soundcard or onboard chipset
,,,
windows_min_Killer Inside Us,windows_min_Killer Inside Us
операционная система,windows 7 sp1+
процессор,sse2 instruction set support
оперативная память,1 gb
directx,version 10
,
windows_min_911 Emergency Manager,windows_min_911 Emergency Manager,windows_req_911 Emergency Manager,windows_req_911 Emergency Manager
операционная система,windows 7,операционная система,windows 10
процессор,3 ghz,процессор,"3 ghz, multi core"
оперативная память,4096 mb,оперативная память,8192 mb
видео карта,geforce gt 710,видео карта,nvidia geforce gtx 1050
directx,version 10,directx,version 10
диск,2560 mb,диск,4096 mb
звуковая карта,необходимо,звуковая карта,необходимо
дополнительно,requires a and operating system,дополнительно,requires a and operating system
,,,
windows_min_Prison Simulator Prologue,windows_min_Prison Simulator Prologue,windows_req_Prison Simulator Prologue,windows_req_Prison Simulator Prologue
операционная система,windows 7,операционная система,windows 10
процессор,intel core i3 / ryzen 3 3300x,процессор,intel core i5 / ryzen 5 3600x
оперативная память,4 gb,оперативная память,8 gb
видео карта,gtx 960,видео карта,gtx 970
,,,
windows_min_Foglight,windows_min_Foglight,windows_req_Foglight,windows_req_Foglight
операционная система,windows 7,операционная система,windows 10
процессор,quad-core intel or amd 2.5 ghz or faster,процессор,intel core i7-9700k or amd 3700x
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia geforce 470 gtx or amd radeon 6870,видео карта,nvidia gtx 1080 ti or amd radeon 5700 xt
,,,
windows_min_Martha,windows_min_Martha,windows_req_Martha,windows_req_Martha
операционная система,windows 7 -,операционная система,windows 10 -
процессор,requires a and operating system,процессор,requires a and operating system
оперативная память,4 gb,оперативная память,16 gb
видео карта,intel i5 or amd equivalent (amd fx 8500+ series),видео карта,intel i7 or amd equivalent (amd fx 9500+ series)
directx,version 10,directx,version 11
,,,
windows_min_Auto Island,windows_min_Auto Island
операционная система,windows 7
процессор,"quard-core intel / amd, 2ghz"
оперативная память,4 gb
видео карта,1 gb
,
windows_min_Tandem: A Tale of Shadows,windows_min_Tandem: A Tale of Shadows,windows_req_Tandem: A Tale of Shadows,windows_req_Tandem: A Tale of Shadows
операционная система,windows 10,операционная система,windows 10
процессор,intel core i5-7600k,процессор,intel core i5-8600k or amd ryzen 3 3100
оперативная память,6 gb,оперативная память,6 gb
видео карта,"nvidia gtx 670, 2 gb",видео карта,"nvidia gtx 1660 ti or radeon rx 5600 xt, 8gb"
,,,
windows_min_Young Souls,windows_min_Young Souls,windows_req_Young Souls,windows_req_Young Souls
операционная система,windows 7,операционная система,windows 10
процессор,intel core i3-2100 or amd phenom ii x4 965,процессор,intel core i5-4570 or amd ryzen 3 1200
оперативная память,8 gb,оперативная память,8 gb
видео карта,"geforce gtx 650 ti, 2 gb or amd radeon r7 360, 2 gb",видео карта,"nvidia geforce gtx 760, 2 gb or amd radeon hd 7950, 3 gb"
directx,version 9.0,directx,version 9.0
,,,
windows_min_Last Year: The Nightmare,windows_min_Last Year: The Nightmare,windows_req_Last Year: The Nightmare,windows_req_Last Year: The Nightmare
операционная система,windows 7,операционная система,windows 7
процессор,intel core i3 4130t (2.9 ghz) / amd fx 6300 (3.5 ghz),процессор,intel i5 6600k (3.5 ghz) / amd ryzen 5 1600x (3.6 ghz)
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 470 (1gb) / amd radeon hd 7700 (1gb),видео карта,nvidia geforce gtx 780 (3gb) / amd radeon 7870 (2gb)
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Krunker,windows_min_Krunker,windows_req_Krunker,windows_req_Krunker
операционная система,os x version 10.11 (el capitan),операционная система,os x version 11.0.1 (big sur)
процессор,2.33ghz or faster x86-compatible,процессор,3.5ghz or faster x86-compatible
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,100 mb,диск,2 mb
,,,
windows_min_Techlie,windows_min_Techlie,windows_req_Techlie,windows_req_Techlie
операционная система,"windows 7, 8 or 10",операционная система,windows 10
процессор,2 ghz or faster,процессор,i5-8400 or faster
оперативная память,3 gb,оперативная память,3 gb
видео карта,2 gb vram,видео карта,gtx 1050
directx,version 11,directx,version 12
диск,2 gb,диск,5 gb
,,,
windows_min_Tadpole Tales,windows_min_Tadpole Tales,windows_req_Tadpole Tales,windows_req_Tadpole Tales
операционная система,windows 10,операционная система,windows 10
процессор,intel core i5 or amd equivalent,процессор,intel(r) core(tm) i7-7700hq cpu @ 2.81 ghz
оперативная память,2 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 970 or amd equivalent,видео карта,nvidia geforce gtx 1070
directx,version 11,directx,—
,,,
windows_min_Quiet Godo,windows_min_Quiet Godo
операционная система,windows 7
,
