windows_min_Lamp Chronicle,windows_min_Lamp Chronicle,windows_req_Lamp Chronicle,windows_req_Lamp Chronicle
операционная система,windows 7+,операционная система,windows 10
процессор,intel core i5,процессор,intel core i5+
оперативная память,8 gb,оперативная память,8 gb
видео карта,geforce 650 ti,видео карта,geforce gtx 960
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,4 gb,диск,6 gb
,,,
windows_min_Myth of Empires,windows_min_Myth of Empires,windows_req_Myth of Empires,windows_req_Myth of Empires
операционная система,"requires and operating system operating system: windows 7, windows 8.1, windows 10",операционная система,"requires and operating system operating system: windows 7, windows 8.1, windows 10"
процессор,intel core i5-4430 / amd fx-6300,процессор,intel core i5-6600k / amd ryzen 5 1600
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 960 2gb / amd radeon r7 370 2gb,видео карта,nvidia geforce gtx 1060 3gb / amd radeon rx 580 4gb
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,60 gb,диск,60 gb
,,,
windows_min_Orange Cast: Prologue,windows_min_Orange Cast: Prologue
операционная система,windows 7
процессор,intel core i5 2500k
оперативная память,4 gb
видео карта,gtx 650 / 650ti
,
windows_min_Industrial Firefighters,windows_min_Industrial Firefighters,windows_req_Industrial Firefighters,windows_req_Industrial Firefighters
операционная система,win 7/8.1/10 (64bit),операционная система,win 10 (64bit)
процессор,"amd / intel dual-core (with hyper-threading) cpu, running at 3 ghz (intel core i5-3000 series architectures are recommended)",процессор,amd / intel quad-core running at 3.5 ghz (intel core i7 series architectures are recommended)
оперативная память,8 gb,оперативная память,16 gb
видео карта,"amd/nvidia dedicated graphic card, with at least 2048mb of dedicated vram and shader model 5.1 support. amd r7 265 and nvidia geforce gtx 950 ti architectures are recommended.",видео карта,"amd/nvidia dedicated graphic card, with at least 4096mb of dedicated vram (or more) and shader model 5.1 support. ati/amd radeon hd 7870 and nvidia geforce gtx 1050 ti architectures are recommended."
directx,version 11,directx,version 11
диск,12 gb,диск,12 gb
,,,
windows_min_Urban Street Fighter,windows_min_Urban Street Fighter
операционная система,macos 10.11 or higher
процессор,intel dual-core 1.3ghz
,
windows_min_Jet Kave Adventure,windows_min_Jet Kave Adventure,windows_req_Jet Kave Adventure,windows_req_Jet Kave Adventure
операционная система,"windows 7, windows 8.1, windows 10",операционная система,"windows 7, windows 8.1, windows 10"
процессор,intel core i3-6006u,процессор,intel core i5-10400f
оперативная память,4 gb,оперативная память,12 gb
видео карта,intel hd graphics 520,видео карта,geforce gt 1030 2gb
directx,version 11,directx,version 11
,,,
windows_min_ZombieWave-UnlimitedChallenges,windows_min_ZombieWave-UnlimitedChallenges,macos_min_ZombieWave-UnlimitedChallenges,macos_min_ZombieWave-UnlimitedChallenges,linux_min_ZombieWave-UnlimitedChallenges,linux_min_ZombieWave-UnlimitedChallenges
операционная система,windows7,операционная система,any,операционная система,any
процессор,arm ryzen 5 3500u,процессор,any,процессор,any
оперативная память,2048 mb,оперативная память,2048 mb,оперативная память,2048 mb
видео карта,amd raeon vega 8 graphics,видео карта,any,видео карта,any
диск,4 gb,диск,4 gb,диск,4 gb
звуковая карта,null,звуковая карта,any,звуковая карта,any
,,,,,
windows_min_Surprising My Neighbors 2,windows_min_Surprising My Neighbors 2,windows_req_Surprising My Neighbors 2,windows_req_Surprising My Neighbors 2
операционная система,"windows xp, 7, 8, 10, 11",операционная система,"windows xp, 7, 8, 10, 11"
процессор,dual core 2.4 ghz,процессор,dual core 3.0 ghz
