windows_min_Super Raft Boat,windows_min_Super Raft Boat,windows_req_Super Raft Boat,windows_req_Super Raft Boat
операционная система,mac os x,операционная система,mac os x
процессор,1.2 ghz,процессор,2.4 ghz
оперативная память,2 gb,оперативная память,4 gb
видео карта,256 mb,видео карта,2048 mb
диск,200 mb,диск,200 mb
дополнительно,minimum requirements for playing the game around 60fps,дополнительно,minimum requirements for playing the game at a steady 60fps
,,,
windows_min_Skate City,windows_min_Skate City,windows_req_Skate City,windows_req_Skate City
операционная система,windows 7 sp!,операционная система,windows 10
процессор,min - 2.4 ghz intel i#,процессор,min - 2.4 ghz intel i5
оперативная память,2 gb,оперативная память,4 gb
видео карта,nvidia gt 460 or amd radeon hd 5550 w/ 1024 mb,видео карта,nvidia gt 1050 or amd radeon rx 560 w/ 2048 mb
directx,version 11,directx,version 12
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_IronSurvival,windows_min_IronSurvival,windows_req_IronSurvival,windows_req_IronSurvival
операционная система,windows 7 sp1 (),операционная система,windows 7/ 8 / 10 ()
процессор,"intel core i3, 2.4ghz",процессор,"intel core i5, 2.8ghz"
оперативная память,4 gb,оперативная память,6 gb
видео карта,nvidia geforce gtx 460 / amd radeon hd 6850,видео карта,nvidia geforce gtx 970 / amd r9 390
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Citor3 Hallucinations VR Adult XXX Game,windows_min_Citor3 Hallucinations VR Adult XXX Game,windows_req_Citor3 Hallucinations VR Adult XXX Game,windows_req_Citor3 Hallucinations VR Adult XXX Game
операционная система,7/8/10,операционная система,10
процессор,intel core i5-4590 / amd fx 8350,процессор,intel i7
,,,
windows_min_Oaths of Light,windows_min_Oaths of Light,windows_req_Oaths of Light,windows_req_Oaths of Light
,,,
windows_min_SMASH LEGENDS,windows_min_SMASH LEGENDS,windows_req_SMASH LEGENDS,windows_req_SMASH LEGENDS
операционная система,"windows 7, 8, 8.1, 10, 11 (64bit)",операционная система,"windows 7, 8, 8.1, 10, 11 (64bit)"
процессор,intel dual core 2.8ghz,процессор,intel dual core i3 3.4ghz
оперативная память,2 gb,оперативная память,2 gb
видео карта,geforce gtx 450 or radeon r5 330,видео карта,geforce gtx 560 or radeon r7 260
directx,version 11,directx,version 11
,,,
windows_min_Siren Head Hentai Edition,windows_min_Siren Head Hentai Edition
операционная система,"windows xp, 7, 8, 10"
процессор,2.0 ghz dual core
оперативная память,2 gb
видео карта,geforce gtx 460 or radeon hd 5850
,
windows_min_Oplitak,windows_min_Oplitak
операционная система,windows 10
процессор,intel core i5 3317u
оперативная память,4 gb
видео карта,intel hd 4000
,
windows_min_Retail Royale,windows_min_Retail Royale,windows_req_Retail Royale,windows_req_Retail Royale
операционная система,win 7,операционная система,win 10
процессор,i5-5500,процессор,i5-8500
оперативная память,4 gb,оперативная память,8 gb
видео карта,gt 1030,видео карта,gtx 1060
directx,version 11,directx,version 12
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Six F and Six 0,windows_min_Six F and Six 0
операционная система,—
,
windows_min_Hero's everyday life,windows_min_Hero's everyday life
операционная система,windows 7/8/10
процессор,intel core 2 duo e6320 (2*1866)
оперативная память,1 gb
видео карта,geforce 7600 gs (512 mb)
,
windows_min_Beam Car Crash Derby,windows_min_Beam Car Crash Derby,windows_req_Beam Car Crash Derby,windows_req_Beam Car Crash Derby
операционная система,10.7,операционная система,—
процессор,intel,процессор,—
оперативная память,2 gb,оперативная память,—
видео карта,opengl 2.1 or higher,видео карта,—
,,,
windows_min_OMFG: One Million Fatal Guns,windows_min_OMFG: One Million Fatal Guns,windows_req_OMFG: One Million Fatal Guns,windows_req_OMFG: One Million Fatal Guns
операционная система,windows 10,операционная система,windows 10
процессор,intel core i5-8400,процессор,intel core i7-4790
оперативная память,4 gb,оперативная память,6 gb
видео карта,nvidia gtx 760,видео карта,nvidia gtx 960
,,,
windows_min_Role Player: Full Immersion,windows_min_Role Player: Full Immersion,windows_req_Role Player: Full Immersion,windows_req_Role Player: Full Immersion
операционная система,"windows 8.1, 10 ( versions)",операционная система,"windows 8.1, 10 ( versions)"
процессор,amd athlon 240ge 3.50 ghz,процессор,intel core i3-7100 cpu 3.90ghz
оперативная память,8 mb,оперативная память,8 mb
видео карта,nvidia geforce gt 710,видео карта,nvidia geforce gtx 1060
directx,version 12,directx,version 12
