windows_min_Fimbul Winter,windows_min_Fimbul Winter,windows_req_Fimbul Winter,windows_req_Fimbul Winter
операционная система,windows 7,операционная система,windows 10
процессор,intel dual core,процессор,intel i3
оперативная память,2 gb,оперативная память,4 gb
видео карта,intel hd graphics,видео карта,gt 730
,,,
windows_min_Chased by Darkness,windows_min_Chased by Darkness,windows_req_Chased by Darkness,windows_req_Chased by Darkness
операционная система,windows 10 rs5 (build 1809),операционная система,windows 10 rs5 (build 1809)
процессор,intel core™ i5-4460 or amd fx™-6300,процессор,intel core™ i7-3770 or amd fx™-9590
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 760 or amd radeon™ r7 260x with 2gb video,видео карта,nvidia geforce gtx 1060 or amd radeon™ rx 480 with 3gb vram
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,4 gb,диск,4 gb
звуковая карта,directx compatible,звуковая карта,directx compatible
,,,
windows_min_Hide and Run,windows_min_Hide and Run,windows_req_Hide and Run,windows_req_Hide and Run
операционная система,"windows 7, 8 or 10",операционная система,"windows 7, 8 or 10"
процессор,intel i3 3.00 ghz or amd equivalent,процессор,intel core i5 3.00ghz or amd equivalent
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 750 / amd equivalent,видео карта,nvidia geforce gtx 960 / amd equivalent
directx,version 10,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Degenerate Souls,windows_min_Degenerate Souls
операционная система,windows xp/vista/7/8/10
процессор,intel core 2 duo
оперативная память,2 gb
видео карта,gtx 260
directx,version 9.0
,
windows_min_HALF DEAD 3,windows_min_HALF DEAD 3,windows_req_HALF DEAD 3,windows_req_HALF DEAD 3
операционная система,windows 7 sp1 64bit,операционная система,windows 10 64bit
процессор,intel core i3,процессор,intel core i5
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 760 / amd radeon rx 460,видео карта,nvidia geforce gtx 1060 / amd radeon rx 580
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,10 gb,диск,10 gb
звуковая карта,directx compatible sound card,звуковая карта,directx compatible sound card
,,,
windows_min_Silverwing,windows_min_Silverwing,windows_req_Silverwing,windows_req_Silverwing
операционная система,windows 10,операционная система,windows 10
процессор,intel core i3-6100,процессор,intel core i7-10700
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 770,видео карта,nvidia geforce gtx 3060
,,,
windows_min_Lasagna Boy,windows_min_Lasagna Boy
операционная система,windows 10 home
процессор,intel(r) core(tm) i7-6700hq cpu @ 2.6ghz
оперативная память,16 mb
видео карта,nvidia geforce gtx 960m
диск,411 mb
,
windows_min_,windows_min_,windows_req_,windows_req_
операционная система,"windows 7, windows 8, windows 10",операционная система,"windows 7, windows 8, windows 10"
процессор,intel core-i3 or faster,процессор,intel core-i7
оперативная память,4 gb,оперативная память,4 gb
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,1 gb,диск,1 gb
,,,
windows_min_Scavengers,windows_min_Scavengers
операционная система,windows 10
процессор,core i5-6500
оперативная память,8 gb
видео карта,nvidia geforce gtx 760 / amd radeon r9 380
сеть,широкополосное подключение
,
windows_min_Predator: Hunting Grounds,windows_min_Predator: Hunting Grounds,windows_req_Predator: Hunting Grounds,windows_req_Predator: Hunting Grounds
операционная система,windows 10 ( versions),операционная система,windows 10 ( versions)
процессор,intel core i5-6400 or amd fx-8320,процессор,intel core i7-5930k or amd ryzen 5 1600x
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia gtx 960 or amd r9 280x,видео карта,nvidia gtx 1660 or amd r9 fury x
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Resident Evil Village Gameplay Demo,windows_min_Resident Evil Village Gameplay Demo,windows_req_Resident Evil Village Gameplay Demo,windows_req_Resident Evil Village Gameplay Demo
операционная система,windows 10 (),операционная система,windows 10 ()
процессор,amd ryzen 3 1200  intel core i5-7500,процессор,amd ryzen 5 3600  intel core i7 8700
оперативная память,8 gb,оперативная память,16 gb
видео карта,amd radeon rx 560 with 4gb vram  nvidia geforce gtx 1050 ti with 4gb vram,видео карта,amd radeon rx 5700  nvidia geforce gtx 1070
directx,version 12,directx,version 12
,,,
windows_min_Match Match Mania!,windows_min_Match Match Mania!,windows_req_Match Match Mania!,windows_req_Match Match Mania!
операционная система,macos 10.13: high sierra,операционная система,macos mojave
процессор,intel core i5,процессор,intel core i5
оперативная память,8 gb,оперативная память,8 gb
видео карта,intel iris graphics,видео карта,intel iris plus graphics 640
,,,
windows_min_Muck,windows_min_Muck,windows_req_Muck,windows_req_Muck
операционная система,windows 7,операционная система,windows 10
процессор,dual core 2.00ghz,процессор,i5
оперативная память,2 gb,оперативная память,8 gb
видео карта,intel hd 520,видео карта,geforce gtx 660
,,,
windows_min_Last Kids on Earth and the Staff of Doom,windows_min_Last Kids on Earth and the Staff of Doom,windows_req_Last Kids on Earth and the Staff of Doom,windows_req_Last Kids on Earth and the Staff of Doom
операционная система,windows 10,операционная система,windows 10
