windows_min_Jump Challenge!,windows_min_Jump Challenge!,macos_min_Jump Challenge!,macos_min_Jump Challenge!,linux_min_Jump Challenge!,linux_min_Jump Challenge!
операционная система,microsoft windows 7/8/8.1/10 (32bit/64bit),операционная система,mac osx 10.10,операционная система,ubuntu 18.04 or steam os 2.0 ()
процессор,intel core i3-3220,процессор,intel core i3,процессор,intel core i3
оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb
видео карта,directx 9 / opengl 4.1 capable gpu,диск,400 mb,диск,400 mb
,,,,,
windows_min_Dungeons Of Honor,windows_min_Dungeons Of Honor
сеть,широкополосное подключение
,
windows_min_G-MODE+ --,windows_min_G-MODE+ --
операционная система,windows 7 sp1+
процессор,2 ghz dual core
оперативная память,1 gb
видео карта,graphics card with dx10 (shader model 4.0) capabilities
directx,version 10
,
windows_min_SOMETHING,windows_min_SOMETHING
операционная система,"windows xp, 7, vista, 8, 8.1, 10"
процессор,intel quad-core 2.0 ghz or dual-core 2.6 ghz
оперативная память,1 gb
видео карта,nvidia geforce gtx 560 or amd radeon hd 5700
,
windows_min_Tiny Gods Of The Nile,windows_min_Tiny Gods Of The Nile,windows_req_Tiny Gods Of The Nile,windows_req_Tiny Gods Of The Nile
операционная система,windows 10,операционная система,windows 10
процессор,intel i3-2100 / amd a8-5600k,процессор,intel i5-650 / amd a10-5800k
оперативная память,4 gb,оперативная память,4 gb
видео карта,geforce gtx 630 / radeon hd 6570,видео карта,nvidia geforce gtx 650 / radeon hd 7510
,,,
windows_min_Chaos Chain,windows_min_Chaos Chain
операционная система,microsoft windows (32-bit/)
процессор,intel dual-core 2.4 ghz
оперативная память,512 mb
видео карта,directx 9.0 compatible
directx,version 9.0
диск,1500 mb
звуковая карта,directsound compatible
,
windows_min_DISGAEA RPG,windows_min_DISGAEA RPG,windows_req_DISGAEA RPG,windows_req_DISGAEA RPG
операционная система,windows 7 sp1/8.1/10 64bit,операционная система,windows 7 sp1/8.1/10 64bit
процессор,intel core i3-2100 3.1ghz,процессор,intel core i5-6500 3.2ghz
оперативная память,6 gb,оперативная память,8 gb
видео карта,geforce gtx 560 ti,видео карта,geforce gtx 750 ti
directx,version 10,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_The Infecting 3,windows_min_The Infecting 3,windows_req_The Infecting 3,windows_req_The Infecting 3
операционная система,windows 10,операционная система,windows 10
процессор,intel core i5,процессор,intel core i7
оперативная память,8 gb,оперативная память,16 gb
видео карта,geforce gtx 780,видео карта,geforce gtx 1660 ti
,,,
windows_min_Sabotage,windows_min_Sabotage,windows_req_Sabotage,windows_req_Sabotage
операционная система,windows 7/8/8.1/10/11 32/s.,операционная система,windows 10/11 s.
процессор,intel i5,процессор,intel i5
оперативная память,4 gb,оперативная память,8 gb
видео карта,intel hd graphics 4400 or 5000 or more,видео карта,nvidia geforce gtx 980m or more
,,,
windows_min_Alien Prop Hunt,windows_min_Alien Prop Hunt,windows_req_Alien Prop Hunt,windows_req_Alien Prop Hunt
операционная система,windows 7,операционная система,windows 10
процессор,quad-core intel or amd of 2.5 ghz or faster.,процессор,"quad-core intel or amd, 2.5 ghz or faster."
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia geforce 470 gtx or amd radeon 6870 hd series card or higher,видео карта,nvidia geforce gtx 970 or radeon rx 480 or higher
directx,version 11,directx,—
диск,8 gb,диск,8 gb
,,,
windows_min_MACE: Mapinguari's Temple,windows_min_MACE: Mapinguari's Temple,windows_req_MACE: Mapinguari's Temple,windows_req_MACE: Mapinguari's Temple
операционная система,windows 7 (sp1+) and windows 10,операционная система,windows 7 (sp1+) and windows 10
процессор,"x86, x64 architecture with sse2 instruction set support.",процессор,"x86, x64 architecture with sse2 instruction set support."
оперативная память,2 gb,оперативная память,8 gb
видео карта,"dx10, dx11, dx12 capable.",видео карта,"dx10, dx11, dx12 capable."
directx,version 10,directx,version 12
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_ArrowBase,windows_min_ArrowBase,windows_req_ArrowBase,windows_req_ArrowBase
операционная система,windows 10,операционная система,windows 10
процессор,intel core i3 1005g1,процессор,intel core i9-12900k
оперативная память,6 gb,оперативная память,64 gb
видео карта,x,видео карта,geforce rtx 3090
диск,600 mb,диск,600 gb
дополнительно,screen with a 16:9 or 16:10 ratio is recommended,дополнительно,"gaming keyboard, gaming mouse, gaming chair"
,,,
windows_min_NanoMachina,windows_min_NanoMachina
операционная система,windows 7
процессор,1.5 ghz core2duo
оперативная память,2 gb
видео карта,directx 9 () compatible graphics card
directx,version 9.0
диск,20 mb
,
windows_min_NEW TERRA®,windows_min_NEW TERRA®,windows_req_NEW TERRA®,windows_req_NEW TERRA®
операционная система,unknown,операционная система,unknown
процессор,intel/amd,процессор,intel/amd
оперативная память,4000 mb,оперативная память,4000 mb
видео карта,integrated,видео карта,integrated
,,,
windows_min_Drone Showcase,windows_min_Drone Showcase
операционная система,windows 10
процессор,core i5-7500 / ryzen 5 1600
оперативная память,12 gb
видео карта,gtx 1060 / rx 580 - 6gb vram
сеть,широкополосное подключение
,
windows_min_SUL 3D - Schtze Unser Land,windows_min_SUL 3D - Schtze Unser Land,windows_req_SUL 3D - Schtze Unser Land,windows_req_SUL 3D - Schtze Unser Land
операционная система,windows xp 32/64,операционная система,windows 7 32/64
процессор,dual core 2.4 ghz,процессор,intel core™ i3
оперативная память,4 gb de gb,оперативная память,4 gb de gb
видео карта,1 gb dx9 compliant,видео карта,2 gb dx9 compliant
directx,version 9.0,directx,version 11
диск,"2,93 gb gb",диск,"2,93 gb gb"
звуковая карта,directx 9.0c compatible sound card,звуковая карта,directx 9.0c compatible sound card
,,,
windows_min_Starbase Gunship,windows_min_Starbase Gunship,windows_req_Starbase Gunship,windows_req_Starbase Gunship
операционная система,os x 10.15,операционная система,os x 10.15
процессор,i5,процессор,i7
оперативная память,2 gb,оперативная память,4 gb
видео карта,integrated graphics 1024 mb video,видео карта,integrated graphics 2048 mb video
directx,version 10,directx,version 11
,,,
windows_min_Alien Shepherd,windows_min_Alien Shepherd,windows_req_Alien Shepherd,windows_req_Alien Shepherd
операционная система,10,операционная система,10
процессор,i3,процессор,i5
оперативная память,2 gb,оперативная память,4 gb
видео карта,gtx 1050,видео карта,gtx 1050
,,,
windows_min_JETBOUNCE,windows_min_JETBOUNCE,windows_req_JETBOUNCE,windows_req_JETBOUNCE
операционная система,windows 7,операционная система,windows 10
процессор,intel i5-4590 / amd fx 8350,процессор,intel i5-6500 / amd ryzen 5 1600x
оперативная память,6 gb,оперативная память,8 gb
видео карта,nvidia gtx 970 / amd radeon r9 290,видео карта,gtx 1060
,,,
windows_min_Lab Bio-Terror,windows_min_Lab Bio-Terror
операционная система,windows xp\vista\7\8\10
процессор,2.3 ghz dual core
оперативная память,1024 mb
видео карта,intel hd 4000
,
windows_min_Steph's Revenge,windows_min_Steph's Revenge
операционная система,windows 7/8/10
процессор,core 2 duo or faster
оперативная память,1024 mb
видео карта,shader model 2.0 compatible
диск,400 mb
,
windows_min_Grey Block,windows_min_Grey Block,windows_req_Grey Block,windows_req_Grey Block
операционная система,7/8/10 ( version),операционная система,7/8/10 ( version)
процессор,intel i5-4460,процессор,intel i5-4460
оперативная память,8 gb,оперативная память,8 mb
видео карта,nvidia geforce gtx 750 ti,видео карта,nvidia geforce gtx 750 ti
directx,version 11,directx,version 11
,,,
windows_min_Teamkill,windows_min_Teamkill,windows_req_Teamkill,windows_req_Teamkill
операционная система,windows vista,операционная система,windows 7
оперативная память,1 gb,оперативная память,4 gb
видео карта,support for opengl 3.3,видео карта,support for opengl 3.3
диск,800 mb,диск,1337 gb
звуковая карта,"technically, no.",звуковая карта,"ideally, yes"
дополнительно,a mouse and keyboard would be helpful,дополнительно,—
,,,
windows_min_Marrakech,windows_min_Marrakech,windows_req_Marrakech,windows_req_Marrakech
операционная система,windows 7 / 10,операционная система,windows 7 / 10
процессор,intel core i3-2330m cpu @ 2.20 ghz,процессор,intel core i7-5500u cpu @ 2.40ghz
оперативная память,4 gb,оперативная память,8 mb
видео карта,intel hd graphics 3000,видео карта,intel hd graphics 5500
,,,
windows_min_Black Magic Gamebox,windows_min_Black Magic Gamebox,windows_req_Black Magic Gamebox,windows_req_Black Magic Gamebox
операционная система,windows 7 64bit,операционная система,windows 7 64bit
оперативная память,4 gb,оперативная память,4 gb
видео карта,"2nd generation intel core hd graphics (2000 / 3000), 512 mb",видео карта,"2nd generation intel core hd graphics (2000 / 3000), 512 mb"
,,,
windows_min_Examination Chambers,windows_min_Examination Chambers
процессор,intel core i7-10700k
оперативная память,16 gb
видео карта,nvidia geforce gtx 1070
,
windows_min_The Dark Dwellers,windows_min_The Dark Dwellers
операционная система,windows 7+
процессор,intel core i3-540 or amd phenom ii x4 965
оперативная память,2 gb
видео карта,geforce gts 250 or radeon hd 5770
directx,version 11
,
windows_min_MedaAbi: The Mystery of Pusini,windows_min_MedaAbi: The Mystery of Pusini
операционная система,sierra 10.12.6 
процессор,sse2  x64 
directx,version 10
,
windows_min_Cosmos Bit,windows_min_Cosmos Bit
операционная система,"xp, vista, windows 7, windows 8.1, windows 10"
процессор,pentium 4
оперативная память,256 mb
directx,version 8.0
,
windows_min_Trails Of Gold Privateers,windows_min_Trails Of Gold Privateers
операционная система,windows 10
процессор,intel core i5-4590 / amd fx 8350
оперативная память,16 gb
видео карта,gtx1070
,
windows_min_MedaAbi,windows_min_MedaAbi
операционная система,windows1087vistaxp
оперативная память,1024 mb
видео карта,vram128mb
directx,version 9.0c
,
windows_min_No Rage Quit Dude,windows_min_No Rage Quit Dude,windows_req_No Rage Quit Dude,windows_req_No Rage Quit Dude
операционная система,windows 10,операционная система,windows 10
процессор,ryzen 3 2200g,процессор,ryzen 3 3100
оперативная память,4 gb,оперативная память,8 gb
видео карта,gtx 950,видео карта,rx 5500
,,,
windows_min_Magnet Crusher,windows_min_Magnet Crusher
операционная система,windows 7
процессор,intel core™ 2 duo / amd athlon™ 64 x2 3800+
оперативная память,1 gb
видео карта,nvidia geforce 6800 gt @ 512mb / ati radeon™ x1900xt @ 512mb
,
windows_min_Nebula Invasion,windows_min_Nebula Invasion,windows_req_Nebula Invasion,windows_req_Nebula Invasion
операционная система,windows 10,операционная система,windows 10
процессор,i5,процессор,i7
оперативная память,8 mb,оперативная память,16 mb
видео карта,nvidia geforce 2g,видео карта,nvidia geforce 4g
,,,
windows_min_SlipDream Resonator,windows_min_SlipDream Resonator
операционная система,windows 7 versions
процессор,"intel or amd, 2ghz+"
оперативная память,2048 mb
directx,version 10
,
windows_min_Jericho Dungeon,windows_min_Jericho Dungeon
,
windows_min_A Contusion,windows_min_A Contusion,windows_req_A Contusion,windows_req_A Contusion
операционная система,"windows 7, 8, 10",операционная система,"windows 7, 8, 10"
процессор,any decent 10-year-old .,процессор,intel core i3-3120m
оперативная память,4 gb,оперативная память,4 gb
видео карта,intel hd 4000,видео карта,geforce gt 740m
,,,
windows_min_Gone Rogue,windows_min_Gone Rogue,windows_req_Gone Rogue,windows_req_Gone Rogue
операционная система,windows (7 sp1/8/8.1/10/11),операционная система,windows (7 sp1/8/8.1/10/11)
процессор,intel core 2 duo / amd phenom ii,процессор,intel core i5 / amd fx
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 660 / radeon hd 7850,видео карта,geforce gtx 1050 / radeon rx 460
directx,version 10,directx,version 12
диск,5 gb,диск,5 gb
,,,
windows_min_The Beast In The Cave,windows_min_The Beast In The Cave,windows_req_The Beast In The Cave,windows_req_The Beast In The Cave
операционная система,windows xpwindows 7windows 8windows 10,операционная система,windows xpwindows 7windows 8windows 10
процессор,i3,процессор,i3
оперативная память,500 mb,оперативная память,500 mb
видео карта,,видео карта,
диск,500 mb,диск,500 mb
,,,
windows_min_Rejoinder,windows_min_Rejoinder
