windows_min_Home Sweet Home : Survive,windows_min_Home Sweet Home : Survive,windows_req_Home Sweet Home : Survive,windows_req_Home Sweet Home : Survive
операционная система,windows 10 ( version),операционная система,windows 10 ( version)
процессор,intel i3-6100,процессор,intel i5-8400
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia gtx 660 2gb,видео карта,nvidia gtx 1060 6gb
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Curse of the Dead Gods,windows_min_Curse of the Dead Gods,windows_req_Curse of the Dead Gods,windows_req_Curse of the Dead Gods
операционная система,windows 7/8/10 (s),операционная система,windows 7/8/10 (s)
процессор,intel core i3-2125 (3.3 ghz)/amd fx-4100 (3.6 ghz),процессор,intel core i7-3820 (3.6 ghz)/amd fx-8350 (4.0 ghz)
оперативная память,4 gb,оперативная память,8 gb
видео карта,"2 gb, geforce gtx 660 / radeon r7 370",видео карта,"2 gb, geforce gtx 760 / radeon r9 280"
,,,
windows_min_Valley,windows_min_Valley,windows_req_Valley,windows_req_Valley,macos_min_Valley,macos_min_Valley,macos_req_Valley,macos_req_Valley,linux_min_Valley,linux_min_Valley,linux_req_Valley,linux_req_Valley
операционная система,windows 7,операционная система,windows 7,операционная система,mavericks,операционная система,mavericks,операционная система,ubuntu,операционная система,ubuntu
процессор,3.0+ ghz dual core,процессор,3.0+ ghz quad core,процессор,2.7 ghz dual core,процессор,2.9 ghz quad core,процессор,3.0+ ghz dual core,процессор,3.0+ ghz quad core
оперативная память,8 gb,оперативная память,16 gb,оперативная память,8 gb,оперативная память,16 gb,оперативная память,8 gb,оперативная память,16 gb
видео карта,"gtx 650, radeon hd 7770",видео карта,"gtx 660, radeon hd 7870",диск,5 gb,диск,5 gb,диск,5 gb,диск,5 gb
directx,version 10,directx,version 11,,,,,,,,
,,,,,,,,,,,
windows_min_Far Cry®,windows_min_Far Cry®,windows_req_Far Cry®,windows_req_Far Cry®
операционная система,windows 2000/xp (only),операционная система,windows 2000/xp (only)
процессор,amd athlon™ 1 ghz or pentium iii 1 ghz,процессор,amd athlon 2-3 ghz or pentium 4 2-3 ghz
оперативная память,256 mb,оперативная память,512-1024 mb
видео карта,64 mb directx 9.0b-compliant graphics card (see supported list*),видео карта,128 mb geforce™ 4 128 mb to geforce fx 5950; ati radeon 9500-9800 xt
звуковая карта,directx 9.0b compliant pci card (sound blaster audigy series recommended),звуковая карта,sound blaster audigy series (see supported list*)
directx,directx 9.0b or higher,directx,—
диск,4 gb,диск,—
multiplay,broadband with 64 kbps upstream (512 kbps upstream to host 8 players),multiplay,—
mouse/keyboard,windows compatible mouse and keyboard required,mouse/keyboard,—
,,,
windows_min_Chronicon,windows_min_Chronicon
операционная система,ubuntu 18.04 lts 64bit. !!other distros might not work!!
процессор,quad core 3 ghz
оперативная память,4 gb
видео карта,"directx 11 and shader model 3.0 compatible dedicated video card, 1 gb vram"
directx,version 11
диск,1000 mb
,
windows_min_Magicite,windows_min_Magicite,windows_req_Magicite,windows_req_Magicite
операционная система,"intel mac, os x version leopard 10.5.8, snow leopard 10.6.3",операционная система,os x mavericks
процессор,1.6ghz,процессор,2.4 ghz
оперативная память,512 mb,оперативная память,4 gb
диск,450 mb,диск,1 gb
звуковая карта,any,звуковая карта,—
,,,
windows_min_Dishonored®: Death of the Outsider™,windows_min_Dishonored®: Death of the Outsider™,windows_req_Dishonored®: Death of the Outsider™,windows_req_Dishonored®: Death of the Outsider™
операционная система,windows 7/8/10 ( version),операционная система,windows 10 ( version)
процессор,intel i5-2400 (4 core)/amd fx-8320 (8 core),процессор,intel i7-4770 (4 core)/amd fx-8350 (8 core)
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia gtx 660 2gb / amd radeon 7970 3gb,видео карта,nvidia gtx 1060 6gb/ amd radeon rx 480 8gb
,,,
windows_min_The Vagrant,windows_min_The Vagrant,windows_req_The Vagrant,windows_req_The Vagrant
операционная система,windows 7 or above ( operating system required),операционная система,windows 10
процессор,2.0 ghz,процессор,3.0 ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,intel hd 5201g or higher,видео карта,nvidia gtx 750 / amd r7 260x ; 2g or higher
directx,version 11,directx,version 11
диск,1200 mb,диск,1200 mb
,,,
windows_min_Domina,windows_min_Domina,windows_req_Domina,windows_req_Domina
операционная система,windows 7,операционная система,windows 7
процессор,2.8 ghz,процессор,3 ghz+
оперативная память,4 gb,оперативная память,4 gb
видео карта,3d accelerated card (not integrated!),видео карта,3d accelerated card (not integrated!)
диск,300 mb,диск,300 mb
звуковая карта,yes.,звуковая карта,yes.
,,,
windows_min_Sword Art Online: Hollow Realization Deluxe Edition,windows_min_Sword Art Online: Hollow Realization Deluxe Edition,windows_req_Sword Art Online: Hollow Realization Deluxe Edition,windows_req_Sword Art Online: Hollow Realization Deluxe Edition
операционная система,windows 7/8/10 ( os required),операционная система,windows 7/8/10 ( os required)
процессор,intel core i5-4460 (3.40 ghz) ; quad-core,процессор,intel core i7-4790 (3.60ghz) ; quad-core
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 650 (2gb) (directx 11 card required),видео карта,nvidia geforce gtx 760 (directx 11 graphic card required)
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,40 gb,диск,40 gb
,,,
windows_min_The Darkness II,windows_min_The Darkness II,windows_req_The Darkness II,windows_req_The Darkness II
операционная система,mac os x snow leopard 10.6.8 or higher,операционная система,mac os x lion 10.7.3 or higher
процессор,intel core 2 duo,процессор,intel core i series
оперативная память,2 gb,оперативная память,4 gb or higher
диск,10 gb free,диск,10 gb free
видео карта,amd hd2600 / nvidia 9600gt with at least 256 mb vram,видео карта,amd hd4870 with at least 512 mb vram
звуковая карта,directx compatible,звуковая карта,directx compatible
additional,initial installation requires one-time internet connection for steam authentication; software installations required (included with the game) include steam client for mac os x.,additional,—
,,,
windows_min_Gothic® 3,windows_min_Gothic® 3
операционная система,windows xp/2000/xp /vista
процессор,intel pentium 4 or amd cpu 2 ghz
оперативная память,1024 mb or higher
видео карта,3d graphics card with 128 mb and shader 1.4
звуковая карта,directx 8.1 compatible
,
windows_min_The Messenger,windows_min_The Messenger
операционная система,windows 7 service pack 1 ()
процессор,intel core i5-4210 1.7ghz
оперативная память,2 gb
видео карта,intel hd graphics 4400
диск,1200 mb
,
windows_min_F.E.A.R.,windows_min_F.E.A.R.,windows_req_F.E.A.R.,windows_req_F.E.A.R.
операционная система,"windows xp, x64 or 2000 with latest service pack installed",операционная система,—
процессор,pentium 4 1.7 ghz,процессор,pentium 4 3.0 ghz
оперативная память,512 mb of or more,оперативная память,1 gb
видео карта,64 mb geforce™ 4 ti or radeon 9000 video card; monitor that can display in 4:3 aspect ratio,видео карта,a 256 mb radeon 9800 pro or geforce™ 6600 supported
directx,9.0c (august edition) or higher,directx,directx 9 compliant video card with hardware t&l and pixel shader 2.0 support
диск,17 gb free hard drive space for installation; additional hard drive space for a swap file and saved game files,диск,—
звуковая карта,16-bit directx 9.0 compliant sound card with support for eax™ 2.0,звуковая карта,sound blaster x-fitm series sound card
,,,
windows_min_Bit Blaster XL,windows_min_Bit Blaster XL,windows_req_Bit Blaster XL,windows_req_Bit Blaster XL,macos_min_Bit Blaster XL,macos_min_Bit Blaster XL,macos_req_Bit Blaster XL,macos_req_Bit Blaster XL,linux_min_Bit Blaster XL,linux_min_Bit Blaster XL,linux_req_Bit Blaster XL,linux_req_Bit Blaster XL
операционная система,windows 7,операционная система,windows 10 (why not recommend the newest?),операционная система,osx 10.5+,операционная система,—,операционная система,most 32-bit and linux os,операционная система,—
процессор,dual core +,процессор,"got four cores? great! bit blaster xl will run smooth on most things, but especially on four cores.",процессор,dual core,процессор,—,процессор,dual core,процессор,—
оперативная память,2 gb,оперативная память,8 gb,оперативная память,1 gb,оперативная память,—,оперативная память,1 gb,оперативная память,—
видео карта,512mb +,видео карта,"something within the last five years would be nice and gorgeous, better is always better.",видео карта,"512mb at least and nothing over... let's say, five years old",видео карта,—,видео карта,"512mb +at least and nothing over... let's say, five years old",видео карта,—
диск,500 mb,диск,501 mb,диск,300 mb,диск,—,диск,300 mb,диск,—
дополнительно,is your computer older than ten years? you should probably get a new computer before you consider more games.,дополнительно,"when you do things right, people won't be sure you've done anything at all.",,,,,,,,
,,,,,,,,,,,
windows_min_Slender: The Arrival,windows_min_Slender: The Arrival,windows_req_Slender: The Arrival,windows_req_Slender: The Arrival
операционная система,macos x 10.6.6 or higher,операционная система,—
процессор,2.4 ghz intel core 2 duo (dual-core),процессор,—
оперативная память,1 gb,оперативная память,—
видео карта,ati radeon hd 2600 / nvidia geforce 8800 / intel hd 4000,видео карта,—
directx,version 9.0c,directx,version 9.0c
диск,2 gb,диск,—
,,,
windows_min_DOOM 64,windows_min_DOOM 64,windows_req_DOOM 64,windows_req_DOOM 64
операционная система,windows 10,операционная система,windows 10
процессор,intel core i5-750,процессор,intel core i5-2400 |; amd phenom ii x6 1075t 3.0 ghz
оперативная память,8 gb,оперативная память,8 gb
,,,
windows_min_Dragonia,windows_min_Dragonia
операционная система,mac os x 10.6
процессор,1.2 ghz
оперативная память,1 gb
видео карта,directx 9 compatible graphics card
,
windows_min_The Wind Road ,windows_min_The Wind Road ,windows_req_The Wind Road ,windows_req_The Wind Road 
операционная система,windows 7 x64 windows 10 x64,операционная система,windows 10 x64
процессор,intel core i5 4590,процессор,intel core i7 6700
оперативная память,8 gb,оперативная память,12 gb
видео карта,nvidia geforce gtx 760,видео карта,nvidia geforce gtx 970
диск,40 gb,диск,40 gb
,,,
windows_min_Tainted Grail: Conquest,windows_min_Tainted Grail: Conquest
операционная система,up to date ubuntu release
процессор,3.2 ghz dual core
оперативная память,8 gb
видео карта,gtx 750 2gb / equivalent radeon
,
windows_min_Metro 2033,windows_min_Metro 2033,windows_req_Metro 2033,windows_req_Metro 2033
операционная система,"windows xp, vista, or 7",операционная система,—
