windows_min_STIX: Combat Devolved,windows_min_STIX: Combat Devolved
операционная система,windows 10
процессор,intel core 2 duo e8400
оперативная память,4 gb
видео карта,nvidia geforce 510
,
windows_min_Darxanadon,windows_min_Darxanadon
операционная система,requires a and operating system
процессор,intel core2 duo and 2.0ghz
оперативная память,4 gb
видео карта,directx 9 / opengl 4.1 capable gpu
,
windows_min_Mazing Mad,windows_min_Mazing Mad,windows_req_Mazing Mad,windows_req_Mazing Mad
операционная система,windows 7,операционная система,windows 10
процессор,"intel core i3 3,20ghz / amd phenom ii x4 955 3,2 ghz",процессор,intel core i5-8400 / amd ryzen 5 1600
оперативная память,4 gb,оперативная память,8 gb
видео карта,geforce gtx 560 / amd r7-260x,видео карта,geforce gtx 970 / amd radeon rx 580
directx,version 11,directx,version 11
,,,
windows_min_Forest Kingdom,windows_min_Forest Kingdom
операционная система,windows 7 (64bit)
процессор, 4 gb
оперативная память,4 gb
видео карта,geforce gtx 630
directx,version 9.0
,
windows_min_Guns N Stuff 2,windows_min_Guns N Stuff 2,windows_req_Guns N Stuff 2,windows_req_Guns N Stuff 2
операционная система,windows 10,операционная система,windows 10
процессор,intel i7-6700te,процессор,intel i7-7700hq
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia gt 1030,видео карта,nvidia gtx 1050ti
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Fireflies & Figments: A Willow's Journey,windows_min_Fireflies & Figments: A Willow's Journey
операционная система,windows xp/vista/7/8 or 10.
процессор,2.3 ghz intel core 2 duo .
оперативная память,512 mb
видео карта,directx 9 compatible video card with at least 512mb of vram
directx,version 9.0
,
windows_min_DREAMVIBE,windows_min_DREAMVIBE,windows_req_DREAMVIBE,windows_req_DREAMVIBE
операционная система,windows 10,операционная система,windows 10
процессор,intel core™ i5-3470 or amd ryzen™ 3 1200,процессор,intel™ core i7-3770 or amd ryzen™ 5 1600
оперативная память,8 gb,оперативная память,12 gb
видео карта,gtx 1060 6gb / amd radeon rx 580,видео карта,gtx 1060 6gb / amd radeon rx 580
,,,
windows_min_Space Dragons,windows_min_Space Dragons,windows_req_Space Dragons,windows_req_Space Dragons
операционная система,windows 7,операционная система,windows 10
процессор,dual core 2.0 ghz,процессор,intelcore i3
оперативная память,2 gb,оперативная память,—
видео карта,on board,видео карта,on board
directx,version 11,directx,version 12
диск,1 gb,диск,2 gb
,,,
windows_min_Dimension Tripper Neptune: TOP NEP,windows_min_Dimension Tripper Neptune: TOP NEP,windows_req_Dimension Tripper Neptune: TOP NEP,windows_req_Dimension Tripper Neptune: TOP NEP
операционная система,windows 8,операционная система,windows 10
оперативная память,4 gb,оперативная память,4 gb
directx,version 11,directx,version 11
,,,
windows_min_Dimension Shifter,windows_min_Dimension Shifter
операционная система,windows vista/windows 7/windows 8/windows 10
процессор,1.7+ ghz
оперативная память,1 gb
