windows_min_Emiko's Pledge,windows_min_Emiko's Pledge,windows_req_Emiko's Pledge,windows_req_Emiko's Pledge
операционная система,ubuntu 14.04 or higher,операционная система,ubuntu 16.04 or higher
процессор,dual core 1 ghz+,процессор,dual core 2 ghz+
оперативная память,4 gb,оперативная память,6 gb
видео карта,128 mb of video memory,видео карта,256 mb of video memory
directx,version 9.0c,directx,version 9.0c
диск,80 mb,диск,80 mb
,,,
windows_min_Helm or High Water,windows_min_Helm or High Water
операционная система,windows 10
процессор,intel i5-6500
оперативная память,8 gb
видео карта,nvidia geforce gtx 1070
,
windows_min_Unnatural Investigations,windows_min_Unnatural Investigations,windows_req_Unnatural Investigations,windows_req_Unnatural Investigations
операционная система,windows 10,операционная система,windows 10
процессор,intel core™ i5-3470 or amd ryzen™ 3 1200,процессор,intel™ core i7-3770 or amd ryzen™ 5 1600
оперативная память,8 gb,оперативная память,16 gb
видео карта,geforce gtx 1050 3 gb or amd radeon™ rx 560 4 gb,видео карта,geforce gtx 1080 ti
directx,version 10,directx,version 12
диск,30 gb,диск,30 gb
,,,
windows_min_Cave Crawler,windows_min_Cave Crawler
операционная система,windows
процессор,single-core
оперативная память,1 gb
видео карта,integrated
,
windows_min_IKUSAAAAAAAN!,windows_min_IKUSAAAAAAAN!
операционная система,windows 7/8/10
процессор,core i3 or faster
оперативная память,1 gb
видео карта,shader model 2.0 compatible
directx,version 9.0c
диск,1 gb
,
windows_min_Alien Defense,windows_min_Alien Defense,windows_req_Alien Defense,windows_req_Alien Defense
операционная система,"windows 7, windows 8.1, windows 10",операционная система,"windows 7, windows 8.1, windows 10"
процессор,intel core i5-4430 / amd fx-6300,процессор,intel core i5-6600k / amd ryzen 5 1600
оперативная память,1 gb,оперативная память,1 gb
видео карта,nvidia geforce gtx 960 2gb / amd radeon r7 370 2gb,видео карта,nvidia geforce gtx 1060 3gb / amd radeon rx 580 4gb
directx,version 11,directx,version 11
,,,
windows_min_Praecantor Lila ~ Bell Spell,windows_min_Praecantor Lila ~ Bell Spell,windows_req_Praecantor Lila ~ Bell Spell,windows_req_Praecantor Lila ~ Bell Spell
операционная система,windows 7,операционная система,windows 10
процессор,intel dual core cpu,процессор,intel i7 /equivalent
оперативная память,2 gb,оперативная память,4 gb
видео карта,integrated graphics,видео карта,4gb dedicated graphics card
directx,version 9.0,directx,version 12
,,,
windows_min_Virago,windows_min_Virago
операционная система,mac os 10.13
процессор,intel core i3
оперативная память,4 gb
видео карта,geforce gtx 470
directx,version 10
