windows_min_WILD WEST,windows_min_WILD WEST
операционная система,microsoft windows xp / vista / 7 or higher
процессор,dual core 2.0 ghz or higher
оперативная память,1024 mb
видео карта,500mb
directx,version 9.0
,
windows_min_Witches of the Fourth 1v1,windows_min_Witches of the Fourth 1v1,windows_req_Witches of the Fourth 1v1,windows_req_Witches of the Fourth 1v1
операционная система,windows 10,операционная система,windows 10
процессор,intel celeron,процессор,intel 13
видео карта,intel celeron,видео карта,geforce gtx 3060 graphics card
диск,50 mb,диск,50 mb
звуковая карта,startech 7.1 usb sound card,звуковая карта,biotech7.1 usb sound card
,,,
windows_min_The Phoenix,windows_min_The Phoenix
операционная система,macos 10.11+
процессор,sse2 instruction set support
оперативная память,200 mb
видео карта,graphics card with dx10 (shader model 4.0) capabilities
,
windows_min_Porcelain Tales,windows_min_Porcelain Tales
операционная система,windows 7
процессор,intel core i5
оперативная память,1 gb
,
windows_min_Mr Meal,windows_min_Mr Meal
операционная система,operating system
процессор,intel i5-2520m
оперативная память,4 gb
видео карта,radeon hd 6630 (256 mb)
directx,version 10
диск,80 mb
,
windows_min_Honored,windows_min_Honored
операционная система,mircrosoft windows 10
процессор,intel(r) core(tm) i7-9750h cpu @ 2.60ghz
,
windows_min_Requiem,windows_min_Requiem,windows_req_Requiem,windows_req_Requiem
операционная система,winx,операционная система,winx
процессор,i7,процессор,i7
оперативная память,32 gb,оперативная память,32 gb
,,,
windows_min_NECROTOPIA,windows_min_NECROTOPIA
операционная система,windows 8+
процессор,intel core i5+
оперативная память,2 gb
,
windows_min_DRAGON NINJA BYOKA,windows_min_DRAGON NINJA BYOKA
операционная система,windows 8+
процессор,intel i5+
оперативная память,2 gb
видео карта,nvidia 450 gts
directx,version 9.0
,
windows_min_Pillars of Sorrow,windows_min_Pillars of Sorrow
операционная система,windows 7
процессор,3.4 ghz
оперативная память,2 gb
видео карта,256 mb
,
windows_min_That Castle,windows_min_That Castle,windows_req_That Castle,windows_req_That Castle
операционная система,microsoft windows 7/8/8.1/10 (32bit/64bit),операционная система,microsoft windows 10 (64bit)
процессор,intel core2 duo,процессор,intel core i3
оперативная память,4 mb,оперативная память,8 mb
видео карта,directx 9 / opengl 4.1 capable gpu,видео карта,directx 9 / opengl 4.1 capable gpu
directx,version 9.0c,directx,version 10
диск,600 mb,диск,600 mb
,,,
windows_min_Xio: Survival,windows_min_Xio: Survival
операционная система,windows 8.1 64bit
процессор,intel core i7-3770 / amd fx-9590
оперативная память,16 gb
видео карта,6 gb of dedicated memory or more
directx,version 11
сеть,широкополосное подключение
,
windows_min_PAIN,windows_min_PAIN
операционная система,macos 10.11
процессор,2.5 ghz
оперативная память,2 gb
,
windows_min_Boat Simulator Apprentice,windows_min_Boat Simulator Apprentice,windows_req_Boat Simulator Apprentice,windows_req_Boat Simulator Apprentice
операционная система,"windows 10, windows 8.1, windows 8, windows 7 service pack 1",операционная система,"windows 10, windows 8.1, windows 8, windows 7 service pack 1"
процессор,intel core 2 quad cpu q6600 @ 2.40ghz (4 cpus) / amd phenom 9850 quad-core (4 cpus) @ 2.5ghz,процессор,intel core i5 3470 @ 3.2ghz (4 cpus) / amd x8 fx-8350 @ 4ghz (8 cpus)
оперативная память,4 gb,оперативная память,8 gb
видео карта,"nvidia 9800 gt 1gb / amd hd 4870 1gb (dx 10, 10.1, 11)",видео карта,nvidia gtx 660 2gb / amd hd 7870 2gb
directx,version 10,directx,version 10
диск,10 gb,диск,10 gb
,,,
windows_min_ ~ Ultimate Vitality of Imagination,windows_min_ ~ Ultimate Vitality of Imagination,windows_req_ ~ Ultimate Vitality of Imagination,windows_req_ ~ Ultimate Vitality of Imagination
операционная система,windows 7 sp1 with platform update (kb2670838),операционная система,windows 10 20h2 or above
процессор,intel(r) atom(tm) x5-z8350,процессор,intel(r) core(tm) i3-4330 cpu or above
