windows_min_EVAN QUEST 2,windows_min_EVAN QUEST 2,windows_req_EVAN QUEST 2,windows_req_EVAN QUEST 2
,,,
windows_min_/Ancient military,windows_min_/Ancient military,windows_req_/Ancient military,windows_req_/Ancient military
операционная система,—,операционная система,—
процессор,—,процессор,—
оперативная память,2 gb,оперативная память,2 gb
видео карта,—,видео карта,—
directx,version 7.0,directx,—
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,70 mb,диск,70 mb
,,,
windows_min_Captain CigArrr,windows_min_Captain CigArrr,windows_req_Captain CigArrr,windows_req_Captain CigArrr
операционная система,windows 10,операционная система,windows 10
процессор,"dual core, 2.5 ghz or higher",процессор,"dual core, 2.5 ghz or higher"
оперативная память,4 gb,оперативная память,4 gb
видео карта,nvidia gtx 900+,видео карта,nvidia gtx 10xx+
directx,version 11,directx,version 11
,,,
windows_min_KONGFU VR,windows_min_KONGFU VR,windows_req_KONGFU VR,windows_req_KONGFU VR
операционная система,win7,операционная система,win10
процессор,intel core™ i5-4590  amd ryzen 1500,процессор,i7 6700
оперативная память,8 gb,оперативная память,8 gb
видео карта,1060,видео карта,1080
directx,version 11,directx,version 11
диск,500 mb,диск,500 mb
звуковая карта,none,звуковая карта,none
,,,
windows_min_SOF - Spirits Of Freedom,windows_min_SOF - Spirits Of Freedom,windows_req_SOF - Spirits Of Freedom,windows_req_SOF - Spirits Of Freedom
операционная система,windows 10,операционная система,windows 10
процессор,i5,процессор,i5
оперативная память,6 gb,оперативная память,8 gb
видео карта,gtx 770,видео карта,gtx 1060
directx,version 11,directx,version 12
диск,7 gb,диск,7 gb
,,,
windows_min_Vincemus - Air Combat,windows_min_Vincemus - Air Combat,windows_req_Vincemus - Air Combat,windows_req_Vincemus - Air Combat
операционная система,macos x 12.01 (monterey),операционная система,macos x 12.01 (monterey)
процессор,intel core core i7,процессор,apple m1
оперативная память,8 gb,оперативная память,16 gb
видео карта,amd radeon pro 5500m,видео карта,—
диск,7 gb,диск,7 gb
,,,
windows_min_Legacy of Aeroja,windows_min_Legacy of Aeroja
операционная система,microsoft windows 7/8/8.1/10/11 (32bit/64bit)
процессор,intel core2 duo .
оперативная память,4 gb
видео карта,directx 9 / opengl 4.1 capable gpu.
directx,version 9.0
,
windows_min_Space Piercer,windows_min_Space Piercer,windows_req_Space Piercer,windows_req_Space Piercer
операционная система,windows 10 ( only),операционная система,windows 10 ( only)
процессор,i7-2600 3.4 ghz,процессор,i7-7700 3.6 ghz
оперативная память,4 mb,оперативная память,—
видео карта,gtx 660,видео карта,gtx 1060
,,,
windows_min_Animaddicts 2,windows_min_Animaddicts 2,windows_req_Animaddicts 2,windows_req_Animaddicts 2
операционная система,linux or steamos,операционная система,linux or steamos
процессор,2 ghz,процессор,2.9 ghz
оперативная память,2 gb,оперативная память,2 gb
видео карта,256 mb,видео карта,512 mb
,,,
windows_min_Square Knight,windows_min_Square Knight
операционная система,windows 7
процессор,2 ghz
оперативная память,2 gb
видео карта,opengl 2.0 support
,
windows_min_Get-A-Grip Chip and the Body Bugs,windows_min_Get-A-Grip Chip and the Body Bugs,macos_min_Get-A-Grip Chip and the Body Bugs,macos_min_Get-A-Grip Chip and the Body Bugs,linux_min_Get-A-Grip Chip and the Body Bugs,linux_min_Get-A-Grip Chip and the Body Bugs
операционная система,windows 7 sp1+ (),операционная система,macos 10.12+,операционная система,ubuntu 16.04+
процессор,"x86, x64 architecture with sse2",процессор,x64 architecture with sse2,процессор,x64 architecture with sse2
оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb
видео карта,"dx10, dx11, dx12 capable gpus",видео карта,metal capable intel and amd gpus,видео карта,"opengl 3.2+, vulkan capable"
,,,,,
