windows_min_Disinfection,windows_min_Disinfection,windows_req_Disinfection,windows_req_Disinfection
операционная система,windows 7,операционная система,windows 10
процессор,intel i3 2100 or amd fx-4100,процессор,intel i5 4460 or amd ryzen 3 1200
оперативная память,4 gb,оперативная память,4 gb
видео карта,gtx950 or radeon hd 7970 with at least 2gb of vram,видео карта,gtx1060 or rx580 with at least 3gb of vram
,,,
windows_min_Minarchy: Active Shooter,windows_min_Minarchy: Active Shooter,windows_req_Minarchy: Active Shooter,windows_req_Minarchy: Active Shooter
операционная система,windows 7,операционная система,windows 10
процессор,intel i3 or amd equivalent,процессор,intel i7 or amd equivalent
оперативная память,8 gb,оперативная память,8 gb
видео карта,"any, including the integrated graphics",видео карта,"any, including the integrated graphics"
directx,version 9.0,directx,version 9.0
диск,100 mb,диск,100 mb
,,,
windows_min_C&T,windows_min_C&T,windows_req_C&T,windows_req_C&T
операционная система,windows 7,операционная система,windows 10
процессор,"intel core i3 2,00 ghz",процессор,"intel core i5-4440 3,10 ghz"
оперативная память,6 gb,оперативная память,8 gb
видео карта,intel hd 520,видео карта,nvidia geforce gtx650
,,,
windows_min_Scary Husband HD: Anime Horror Game,windows_min_Scary Husband HD: Anime Horror Game,macos_min_Scary Husband HD: Anime Horror Game,macos_min_Scary Husband HD: Anime Horror Game,linux_min_Scary Husband HD: Anime Horror Game,linux_min_Scary Husband HD: Anime Horror Game
операционная система,windows10,операционная система,macos catalina,операционная система,linux
процессор,intel core™ i3-3330 / amd ryzen™ 3100,процессор,intel core™ i3-3330 / m1,процессор,intel core™ i3-3330 / amd ryzen™ 3100
оперативная память,8 gb,оперативная память,8 gb,видео карта,nvidia geforce gtx 750 / amd radeon™ r7260x
видео карта,nvidia geforce gtx 750 / amd radeon™ r7260x,видео карта,intel iris / amd radeon™ pro / m1,диск,5 gb
directx,version 11,диск,5 gb,,
,,,,,
windows_min_Bloody Forest,windows_min_Bloody Forest
оперативная память,8 gb
directx,version 12
диск,5 gb
,
windows_min_DogeFight,windows_min_DogeFight
операционная система,windows xp/vista//7/8/8.1/10/11
процессор,1 ghz
,
windows_min_The Backrooms: Lost Tape,windows_min_The Backrooms: Lost Tape,windows_req_The Backrooms: Lost Tape,windows_req_The Backrooms: Lost Tape,macos_min_The Backrooms: Lost Tape,macos_min_The Backrooms: Lost Tape,macos_req_The Backrooms: Lost Tape,macos_req_The Backrooms: Lost Tape,linux_min_The Backrooms: Lost Tape,linux_min_The Backrooms: Lost Tape,linux_req_The Backrooms: Lost Tape,linux_req_The Backrooms: Lost Tape
операционная система,windows 10,операционная система,windows 10,операционная система,na,операционная система,na,операционная система,na,операционная система,na
процессор,intel i3 8100 or ryzen 3 1200,процессор,intel core i7 6700 or ryzen 7 1700,процессор,na,процессор,na,процессор,na,процессор,na
оперативная память,8 gb,оперативная память,16 gb,оперативная память,na mb,оперативная память,na mb,оперативная память,na mb,оперативная память,na mb
видео карта,gtx 1050 2gb or rx 560 2gb,видео карта,gtx 1070 8gb or rx 580 8gb,видео карта,na,видео карта,na,видео карта,na,видео карта,na
directx,version 11,directx,version 11,диск,na mb,диск,na mb,диск,na mb,диск,na mb
диск,8 gb,диск,8 gb,звуковая карта,na,звуковая карта,na,звуковая карта,na,звуковая карта,na
звуковая карта,any,звуковая карта,any,дополнительно,na,дополнительно,na,дополнительно,na,дополнительно,na
vr support,no,vr support,no,,,,,,,,
,,,,,,,,,,,
windows_min_Nightfall Comes,windows_min_Nightfall Comes,windows_req_Nightfall Comes,windows_req_Nightfall Comes
операционная система,windows 7,операционная система,windows 10
процессор,intel core i5 8600 / amd ryzen 3 3300x,процессор,intel core i5 12400 / amd ryzen 5 5600x
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 950,видео карта,nvidia geforce gtx 1650
directx,version 10,directx,version 11
,,,
windows_min_Emperial Knights,windows_min_Emperial Knights
операционная система,windows 10 ( only)
процессор,intel i3 or amd ryzen 3
оперативная память,12 gb
видео карта,nvidia geforce gtx 980
directx,version 11
сеть,широкополосное подключение
,
windows_min_Shirazu Yama,windows_min_Shirazu Yama
операционная система,windows10
процессор,intel(r) core(tm) i5-8250u cpu @ 1.60ghz 1.80ghz
оперативная память,8 gb
видео карта,amd radeon pro 555x
directx,version 10
диск,3 gb
,
windows_min_Space Worthy,windows_min_Space Worthy,windows_req_Space Worthy,windows_req_Space Worthy
операционная система,windows 7 64bit,операционная система,windows 10 64bit
процессор,3 ghz dual core,процессор,3.5 ghz quad core
оперативная память,8 gb,оперативная память,16 gb
видео карта,gtx 980,видео карта,gtx 1080
directx,version 12,directx,version 12
,,,
windows_min_MEARTH,windows_min_MEARTH,windows_req_MEARTH,windows_req_MEARTH
операционная система,—,операционная система,—
процессор,intel i3 7100 amd ryzen 3 1200,процессор,intel i5 11400f ryzen 5 2600
оперативная память,6 gb,оперативная память,12 gb
видео карта,gtx 750ti amd rx 560,видео карта,gtx 1060 amd rx 580
directx,version 11,directx,version 12
,,,
windows_min_Magi: Mind Game,windows_min_Magi: Mind Game,windows_req_Magi: Mind Game,windows_req_Magi: Mind Game
операционная система,windows 7,операционная система,windows 10
процессор,dual core,процессор,quad core
оперативная память,4 gb,оперативная память,8 gb
видео карта,-,видео карта,-
диск,150 mb,диск,200 mb
,,,
windows_min_Cosmic Ascension,windows_min_Cosmic Ascension
операционная система,windows 10
процессор,intel i5 2500k
оперативная память,8 gb
,
windows_min_Eternal Edge+ Prologue,windows_min_Eternal Edge+ Prologue,windows_req_Eternal Edge+ Prologue,windows_req_Eternal Edge+ Prologue
операционная система,windows 10,операционная система,windows 10
процессор,intel core i5,процессор,intel core i7 or higher
оперативная память,4 gb,оперативная память,4 gb
видео карта,intel hd graphics 3000,видео карта,nvidia geforce gtx 760 / equivalent or higher
directx,version 10,directx,version 10
,,,
windows_min_Dash Around Madly,windows_min_Dash Around Madly,windows_req_Dash Around Madly,windows_req_Dash Around Madly
операционная система,windows 10 64bit,операционная система,windows 10 64bit
процессор,intel core i5-2500k / amd fx-6300,процессор,intel core i7-7700 / amd ryzen 5 1600
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia gtx 960,видео карта,nvidia gtx 1070
directx,version 11,directx,version 11
,,,
