windows_min_Bout,windows_min_Bout
,
windows_min_Bloodied Fear,windows_min_Bloodied Fear,windows_req_Bloodied Fear,windows_req_Bloodied Fear
операционная система,windows 7 sp1,операционная система,windows 10
процессор,intel core i5 4590 or amd fx 8350,процессор,intel core i5 4590 or amd fx 8350
оперативная память,1 gb,оперативная память,1 gb
видео карта,nvidia geforce gtx 970 / amd radeon r9 290,видео карта,nvidia geforce gtx 970 / amd radeon r9 290
диск,500 mb,диск,500 mb
звуковая карта,windows compatible sound card,звуковая карта,windows compatible sound card
,,,
windows_min_Drunken Nuke'em,windows_min_Drunken Nuke'em
операционная система,windows 10 64bits
процессор,intel 4 generation +2ghz
оперативная память,8 gb
видео карта,nvidia gtx 560 2 gb
directx,version 11
сеть,широкополосное подключение
диск,4 gb
,
windows_min_Omega Pilot,windows_min_Omega Pilot,windows_req_Omega Pilot,windows_req_Omega Pilot
операционная система,windows 10,операционная система,windows 10
процессор,intel core i5-4590 / amd fx 8350,процессор,intel core i5-4590 / amd fx 8350
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia gtx 1050 ti/amd radeon rx 470,видео карта,nvidia gtx 1060 / amd radeon rx 480
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,7 gb,диск,7 gb
,,,
windows_min_Cactus Cowboy - Plants at War,windows_min_Cactus Cowboy - Plants at War
операционная система,windows 10 x64
процессор,ryzen 3 2000 series
оперативная память,6 gb
видео карта,nvidia gtx 970 / amd radeon r9 290
диск,2 gb
,
windows_min_On the Wings - Birth of a Hero,windows_min_On the Wings - Birth of a Hero,windows_req_On the Wings - Birth of a Hero,windows_req_On the Wings - Birth of a Hero
операционная система,windows 10,операционная система,windows 10
процессор,i3,процессор,i5
оперативная память,8 gb,оперативная память,8 gb
видео карта,gtx 1050,видео карта,gtx 1650
,,,
windows_min_Presentiment of Death,windows_min_Presentiment of Death,windows_req_Presentiment of Death,windows_req_Presentiment of Death
операционная система,windows 10,операционная система,windows 10
процессор,intel core i5-4590 / amd fx 8350,процессор,intel core i5-4590 / amd fx 8350
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia gtx 1050 ti/amd radeon rx 470,видео карта,nvidia gtx 1060 / amd radeon rx 480
