windows_min_Outpost Defender 2-Beta,windows_min_Outpost Defender 2-Beta
операционная система,windows xp/vista/7/8/8.1/10
процессор,1ghz
видео карта,256mb video memory
,
windows_min_Jumping Jack,windows_min_Jumping Jack
оперативная память,50 mb
,
windows_min_Baka Adventures,windows_min_Baka Adventures,windows_req_Baka Adventures,windows_req_Baka Adventures
операционная система,windows 10 only,операционная система,windows 10 only
процессор,2.4 ghz dual core cpu,процессор,2.6 ghz quad core cpu
видео карта,nvidia gtx 650,видео карта,nvidia gtx 660
directx,version 11,directx,version 11
,,,
windows_min_Swarm the City: Full Release Prologue,windows_min_Swarm the City: Full Release Prologue,windows_req_Swarm the City: Full Release Prologue,windows_req_Swarm the City: Full Release Prologue
операционная система,windows 7 sp1+,операционная система,windows 10 and windows 11
процессор,intel core i3-6100 or amd equivalent,процессор,intel core i5-6500 or amd equivalent
оперативная память,6 gb,оперативная память,8 gb
видео карта,nvidia gtx 750ti or amd equivalent,видео карта,nvidia gtx 1060 6g or amd equivalent
диск,4 gb,диск,4 gb
,,,
windows_min_Zombie Slaughter VR,windows_min_Zombie Slaughter VR,windows_req_Zombie Slaughter VR,windows_req_Zombie Slaughter VR
операционная система,windows 10 64bit,операционная система,windows 10 64bit
процессор,intel core i5 / amd fx 8350,процессор,intel core i7 / amd ryzen 7
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia gtx 1070 / amd radeon rx vega 56,видео карта,nvidia gtx 1080 / amd radeon rx 5700 / any nvidia rtx cards
,,,
windows_min_Popplings,windows_min_Popplings,windows_req_Popplings,windows_req_Popplings
операционная система,windows 10,операционная система,windows 10
процессор,intel core i5 (sixth generation ),процессор,intel core i5 (tenth generation )
оперативная память,8 gb,оперативная память,16 mb
видео карта,intel(r) hd graphics 4000,видео карта,intel(r) hd graphics 4000
,,,
windows_min_GunBoxing,windows_min_GunBoxing
операционная система,"windows 7, windows 8.1, windows 10"
процессор,any dual core cpu
оперативная память,4 gb
видео карта,nvidia geforce gtx 660 1gb
directx,version 11
сеть,широкополосное подключение
,
windows_min_MAGLAM LORD,windows_min_MAGLAM LORD,windows_req_MAGLAM LORD,windows_req_MAGLAM LORD
операционная система,windows10 64bit,операционная система,windows10 64bit
процессор,intel core(tm) i3-4330,процессор,intel core(tm) i3-4330
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gt 1030,видео карта,nvidia geforce gt 1030
directx,version 12,directx,version 12
диск,8 gb,диск,8 gb
,,,
windows_min_Smilemo,windows_min_Smilemo,windows_req_Smilemo,windows_req_Smilemo
операционная система,windows 7 (sp1) / windows 8 / windows 8.1,операционная система,windows 10
процессор,2.6 ghz intel core™ i5-750 or 3.2 ghz amd phenom™ ii x4 955,процессор,3.3 ghz intel core™ i5-6600 or 4.0 ghz amd fx-8350
видео карта,nvidia geforce gtx 460 or amd radeon hd5850 (1 gb vram),видео карта,nvidia geforce gtx 960 or amd radeon hd 7970 (2 gb vram)
диск,250 mb,диск,250 mb
,,,
windows_min_,windows_min_,windows_req_,windows_req_
операционная система,win10,операционная система,—
процессор,,процессор,—
оперативная память,1 gb,оперативная память,1 mb
видео карта,,видео карта,—
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,150 mb,диск,150 mb
,,,
windows_min_Exorcist,windows_min_Exorcist
операционная система,"windows 7, 8, 8.1, 10"
процессор,intel core™ i3 or amd ryzen™ 3
оперативная память,6 gb
видео карта,nvidia geforce gtx 950 or amd radeon™ r7 370
диск,5 gb
,
windows_min_Army of One : War Worlds,windows_min_Army of One : War Worlds,windows_req_Army of One : War Worlds,windows_req_Army of One : War Worlds
операционная система,windows 7 / 8 / 10 / 11,операционная система,windows 7 / 8 / 10 / 11
процессор,cpu pentium 4 2.4 ghz / athlon xp 2500+,процессор,i5 3300 / fx 4100
оперативная память,2 gb,оперативная память,2 gb
видео карта,grficos intel hd / gtx 650 / radeon hd 6570,видео карта,gtx 970 / rx 460
directx,version 10,directx,version 11
диск,10 gb,диск,10 gb
,,,
windows_min_Effigy : The Descent,windows_min_Effigy : The Descent,windows_req_Effigy : The Descent,windows_req_Effigy : The Descent
диск,4 gb,диск,5 gb
операционная система,—,операционная система,windows 10
процессор,—,процессор,intel core i7-1075h
оперативная память,—,оперативная память,32 gb
видео карта,—,видео карта,rtx 2070
directx,—,directx,version 11
,,,
windows_min_Venture Within,windows_min_Venture Within,windows_req_Venture Within,windows_req_Venture Within
операционная система,7,операционная система,10
процессор,requires a with sse2 instruction set support,процессор,requires a with sse2 instruction set support
оперативная память,4 gb,оперативная память,8 gb
видео карта,integrated graphics,видео карта,dedicated graphics card
диск,500 mb,диск,500 mb
,,,
windows_min_C.A.R.L.,windows_min_C.A.R.L.,windows_req_C.A.R.L.,windows_req_C.A.R.L.
операционная система,windows 7,операционная система,windows 10
процессор,intel pentium e2180 2.0 ghz (or amd equivalent),процессор,intel core i5-2500 3.3 ghz (or amd equivalent)
оперативная память,1 gb,оперативная память,4 gb
видео карта,anything with dx9 (shader model 3.0) capability,видео карта,anything with dx9 (shader model 3.0) capability
directx,version 9.0,directx,version 9.0
,,,
windows_min_Lunaela,windows_min_Lunaela,windows_req_Lunaela,windows_req_Lunaela
операционная система,windows 10 / 11,операционная система,windows 10 / 11
процессор,i5,процессор,i7
оперативная память,6 gb,оперативная память,16 gb
видео карта,gtx 1050,видео карта,rtx 3060
диск,5 gb,диск,5 gb
,,,
windows_min_AISZplus,windows_min_AISZplus,windows_req_AISZplus,windows_req_AISZplus
операционная система,windows xp/vista/7/8/10,операционная система,—
процессор,2 gb,процессор,—
,,,
windows_min_A100,windows_min_A100
операционная система,windows 10
процессор,intel(r) core (tm)2 cpu -t7200 @ 2.50 ghz
оперативная память,4 gb
видео карта,ati mobility raedon x1600 / nvidia geforce 8600m gt
directx,version 12
диск,100 mb
,
windows_min_Desolate Shores,windows_min_Desolate Shores,windows_req_Desolate Shores,windows_req_Desolate Shores
операционная система,windows 10,операционная система,windows 10
процессор,1 ghz or faster,процессор,1 ghz or faster
оперативная память,4 gb,оперативная память,8 gb
