windows_min_Chromatic,windows_min_Chromatic
,
windows_min_Ninja Sneaking R,windows_min_Ninja Sneaking R,windows_req_Ninja Sneaking R,windows_req_Ninja Sneaking R
операционная система,windows10 (64bit),операционная система,windows10 (64bit)
процессор,intel core i5,процессор,intel core i7
оперативная память,6 gb,оперативная память,8 gb
видео карта,opengl 4.1 capable gpu,видео карта,opengl 4.1 capable gpu
directx,version 9.0c,directx,version 9.0c
,,,
windows_min_Slava Ukraini!,windows_min_Slava Ukraini!
операционная система,windows 10
процессор,i5-4590
оперативная память,4 gb
видео карта,nvidia gtx 970
диск,8 gb
,
windows_min_Luminous Labyrinth,windows_min_Luminous Labyrinth
операционная система,windows 7
видео карта,graphics card with dx10
,
windows_min_CowboysShowdown,windows_min_CowboysShowdown
операционная система,microsoft windows (32-bit/)
процессор,intel dual-core 2.4 ghz
оперативная память,612 mb
видео карта,directx 9.0 compatible
directx,version 9.0
диск,200 mb
,
windows_min_TYPER GIRL,windows_min_TYPER GIRL
операционная система,windows 7/8/8.1/10 x86/x64
процессор,2.0 ghz dual core
оперативная память,1 gb
видео карта,graphics card supporting directx 9.0c
directx,version 9.0a
диск,300 mb
,
windows_min_Knights of the Exploding Table,windows_min_Knights of the Exploding Table,windows_req_Knights of the Exploding Table,windows_req_Knights of the Exploding Table
операционная система,"windows 7 (sp1+), windows 8, windows 10, windows 11",операционная система,"windows 10, windows 11"
процессор,"x86, x64 architecture with sse2 instruction set support.",процессор,intel(r) core(tm) i5-6500 cpu @ 3.20ghz 3.20 ghz
оперативная память,2 gb,оперативная память,4 gb
видео карта,"dx10, dx11, dx12 capable.",видео карта,intel(r) hd graphics 530
,,,
windows_min_The Backrooms 1998 - Found Footage Survival Horror Game,windows_min_The Backrooms 1998 - Found Footage Survival Horror Game,windows_req_The Backrooms 1998 - Found Footage Survival Horror Game,windows_req_The Backrooms 1998 - Found Footage Survival Horror Game
операционная система,windows 7,операционная система,windows 10
процессор,intel core i5 2500k or amd equivalent,процессор,intel core i7 4790k or amd equivalent
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 660 2 gb or amd equivalent,видео карта,nvidia geforce gtx 970 or amd equivalent
,,,
windows_min_BEWBEWBEW,windows_min_BEWBEWBEW,windows_req_BEWBEWBEW,windows_req_BEWBEWBEW
операционная система,"windows 7, 8, 10, or 11",операционная система,"windows 7, 8, 10, or 11"
оперативная память,2 gb,оперативная память,4 gb
видео карта,128 mb,видео карта,512 mb
диск,50 mb,диск,50 mb
,,,
windows_min_The Legend of Chibi Ninja,windows_min_The Legend of Chibi Ninja
операционная система,windows 7
процессор,intel core i3 @ 2.9ghz
оперативная память,4 gb
видео карта,graphics card with directx 9.0
,
windows_min_RUKIMIN's Disappointing Adventure!,windows_min_RUKIMIN's Disappointing Adventure!,windows_req_RUKIMIN's Disappointing Adventure!,windows_req_RUKIMIN's Disappointing Adventure!
операционная система,"windows 7, 8, 10 (64bit)",операционная система,"windows 7, 8, 10 (64bit)"
процессор,dual core @ 2.00ghz,процессор,dual core @ 3.00ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,1gb of video,видео карта,2gb of video
directx,version 9.0,directx,version 9.0
,,,
windows_min_Sword and Shadow,windows_min_Sword and Shadow
операционная система,win10x64
процессор,i5-8400
оперативная память,8 gb
видео карта,gtx1060
,
windows_min_SOUL JANITOR,windows_min_SOUL JANITOR
операционная система,high sierra 10.13+
процессор,x64 architecture with sse2
оперативная память,1 gb
видео карта,metal capable intel and amd gpus
directx,version 12
диск,2 gb
звуковая карта,?
,
windows_min_Project Medved,windows_min_Project Medved,windows_req_Project Medved,windows_req_Project Medved
операционная система,"windows 7,8,10",операционная система,"windows 7,8,10"
процессор,intel core i3,процессор,intel core i5
диск,3 gb,диск,3 gb
,,,
windows_min_Lorethem,windows_min_Lorethem,windows_req_Lorethem,windows_req_Lorethem
операционная система,microsoft windows 8,операционная система,microsoft windows 10
процессор,3.6ghz cpu dual core,процессор,3.6ghz cpu quad core
оперативная память,8 gb,оперативная память,16 gb
видео карта,geforce gtx 1050 ti 4gb,видео карта,geforce gtx 1060 3gb
диск,3 gb,диск,3 gb
,,,
windows_min_BeachRun,windows_min_BeachRun
операционная система,microsoft windows (32-bit/)
процессор,intel dual-core 2.4 ghz
оперативная память,612 mb
видео карта,directx 9.0 compatible
directx,version 9.0
диск,200 mb
,
windows_min_Magic War,windows_min_Magic War
операционная система,microsoft windows (32-bit/)
процессор,intel dual-core 2.4 ghz
оперативная память,612 mb
видео карта,directx 9.0 compatible
directx,version 9.0
диск,200 mb
,
windows_min_Ultimate Obstacle Course - Prologue,windows_min_Ultimate Obstacle Course - Prologue
операционная система,windows 10
процессор,intel i5-4590 / amd ryzen 5 1500x
оперативная память,8 gb
