windows_min_Nebular Crush,windows_min_Nebular Crush,windows_req_Nebular Crush,windows_req_Nebular Crush
операционная система,windows 7,операционная система,windows 10
процессор,i3,процессор,i7
оперативная память,2 gb,оперативная память,4 gb
видео карта,shader model 3 or higher,видео карта,shader model 3 or higher
directx,version 9.0c,directx,version 9.0c
,,,
windows_min_Galaxy Splitter,windows_min_Galaxy Splitter
,
windows_min_DEV Bloodline,windows_min_DEV Bloodline,windows_req_DEV Bloodline,windows_req_DEV Bloodline
операционная система,windows 7,операционная система,windows 10
процессор,intel core i5-6400,процессор,intel core i7 4770
оперативная память,6 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 960 4gb,видео карта,nvidia geforce gtx 1080 / 1060
directx,version 11,directx,version 12
диск,10 gb,диск,10 gb
звуковая карта,basic soundcard,звуковая карта,basic soundcard
,,,
windows_min_Leave No One Behind: Ia Drang VR,windows_min_Leave No One Behind: Ia Drang VR,windows_req_Leave No One Behind: Ia Drang VR,windows_req_Leave No One Behind: Ia Drang VR
операционная система,windows 10,операционная система,windows 10
процессор,intel core i5-4440 or ryzen 3 1200,процессор,intel core i5-9600 or ryzen 5 3600
оперативная память,8 gb,оперативная память,16 gb
видео карта,geforce rtx 2060,видео карта,geforce rtx 3060
directx,version 11,directx,version 11
,,,
windows_min_The Tyrning Combat Challenge,windows_min_The Tyrning Combat Challenge,windows_req_The Tyrning Combat Challenge,windows_req_The Tyrning Combat Challenge
операционная система,windows 10,операционная система,windows 10
процессор,quad-core intel,процессор,intel i7-6700k
оперативная память,4 gb,оперативная память,16 gb
видео карта,nvidia gtx 470,видео карта,nvidia gtx 980
directx,version 11,directx,version 11
,,,
windows_min_Secret Backrooms,windows_min_Secret Backrooms
операционная система,windows 10
процессор,intel core i5 5th gen
оперативная память,8 gb
видео карта,nvidia gtx 1050 ti 4gb
,
windows_min_Round Table,windows_min_Round Table,windows_req_Round Table,windows_req_Round Table
операционная система,windows 10,операционная система,windows 10
процессор,intel i3 or amd similar,процессор,intel i3 or amd similar
оперативная память,2 gb,оперативная память,2 gb
видео карта,onboard,видео карта,nvidia geforce or ati radeon
,,,
windows_min_Hell Division,windows_min_Hell Division,windows_req_Hell Division,windows_req_Hell Division
операционная система,windows 7/8/8.1/10 (),операционная система,windows 7/8/8.1/10 ()
процессор,intel core i3,процессор,intel core i5
оперативная память,4 gb,оперативная память,8 gb
видео карта,geforce gtx 740,видео карта,geforce gtx 1060
directx,version 11,directx,version 11
,,,
windows_min_Ghosts of Tabor,windows_min_Ghosts of Tabor,windows_req_Ghosts of Tabor,windows_req_Ghosts of Tabor
операционная система,win 10,операционная система,win 10
процессор,i5 6600k,процессор,i7 7700k or higher
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia gtx 1060,видео карта,nvidia 1080gtx or higher
directx,version 11,directx,version 12
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,15 gb,диск,30 gb
звуковая карта,any,звуковая карта,any
vr support,"openxr, seated, standing, roomscale. valve index, htc vives and pico using steamvr. oculus headsets with oculus runtime. wmr headsets with wmr runtime.",vr support,"openxr, seated, standing, roomscale. valve index, htc vives and pico using steamvr. oculus headsets with oculus runtime. wmr headsets with wmr runtime."
,,,
windows_min_Truck World: Driving School,windows_min_Truck World: Driving School
операционная система,windows 7/8/10 ()
процессор,intel i3-4130 3.4 ghz / amd ryzen 3 2200u 3.4 ghz
оперативная память,8 gb
видео карта,"2 gb, geforce gtx 660 / radeon r9 270"
directx,version 11
,
windows_min_The Meaning,windows_min_The Meaning,windows_req_The Meaning,windows_req_The Meaning
операционная система,windows 10 -,операционная система,windows 10 -
процессор,intel core i3 4130 / amd fx 6300,процессор,intel core i5-6400 / amd fx-8350
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia gtx 950 / amd rx 550,видео карта,nvidia gtx 1050 / amd rx 560
directx,version 12,directx,version 12
,,,
windows_min_DEAD ZONE,windows_min_DEAD ZONE,windows_req_DEAD ZONE,windows_req_DEAD ZONE
операционная система,windows 10 64bit,операционная система,windows 10 64bit
процессор,core i7 6700k,процессор,core i7 6700k
видео карта,geforce gtx 950,видео карта,gigabyte gtx 1660
directx,version 11,directx,version 11
диск,10 gb,диск,10 gb
,,,
windows_min_Crazy shark,windows_min_Crazy shark,windows_req_Crazy shark,windows_req_Crazy shark
операционная система,windows 7,операционная система,windows 10
процессор,intel(r) celeron(r) cpu g530 @2.40 ghz,процессор,intel(r) celeron(r) cpu g530 @2.40 ghz
оперативная память,1 gb,оперативная память,2 gb
видео карта,nvidia geforce 9600 gso 512,видео карта,nvidia geforce 9600 gso 1024
,,,
windows_min_Mida's Adventure,windows_min_Mida's Adventure,windows_req_Mida's Adventure,windows_req_Mida's Adventure
операционная система,windows 7,операционная система,windows 10
процессор,intel i3 | amd fx,процессор,intel i3 2100 |; amd fx-4300
оперативная память,2 gb,оперативная память,4 gb
directx,version 11,directx,version 11
,,,
windows_min_Famished zombies: Decisive extermination,windows_min_Famished zombies: Decisive extermination,windows_req_Famished zombies: Decisive extermination,windows_req_Famished zombies: Decisive extermination
операционная система,windows 7,операционная система,windows 10
процессор,3ghz 4-core,процессор,3ghz 6-core
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia gtx1060 or amd rx580,видео карта,nvidia gtx1080 or amd rx5700
directx,version 11,directx,version 12
,,,
