windows_min_Under Waves,windows_min_Under Waves,windows_req_Under Waves,windows_req_Under Waves
операционная система,os x 10.11 or higher,операционная система,10.13 or higher
процессор,"2,26ghz intel core duo",процессор,"1,4ghz intel core i5"
оперативная память,4 gb,оперативная память,8 mb
видео карта,nvidia geforce 9400m 256mb,видео карта,intel hd graphics 5000 1536 mb
,,,
windows_min_El Minero,windows_min_El Minero,macos_min_El Minero,macos_min_El Minero,linux_min_El Minero,linux_min_El Minero
операционная система,windows 7,операционная система,macos 10.10,операционная система,linux ( x86)
процессор,dual core cpu @3ghz,процессор,intel or m1,процессор,dual core cpu @3ghz
оперативная память,4 gb,оперативная память,4 gb,оперативная память,4 gb
видео карта,opengl 3.3 or higher,видео карта,opengl 3.3 or higher,видео карта,opengl 3.3 or higher
,,,,,
windows_min_Yurukill: The Calumniation Games,windows_min_Yurukill: The Calumniation Games
операционная система,windows 10
процессор,intel core i5
оперативная память,8 gb
видео карта,directx 11
directx,version 11
,
windows_min_,windows_min_,windows_req_,windows_req_
операционная система,windows 7/windows 8/windows 10/windows 11,операционная система,windows 7/windows 8/windows 10/windows 11
процессор,core i3,процессор,core i7
оперативная память,1 gb,оперативная память,2 gb
видео карта,integrated,видео карта,gtx970
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Bogdan's HeartQuest - The Invader Slayer,windows_min_Bogdan's HeartQuest - The Invader Slayer,windows_req_Bogdan's HeartQuest - The Invader Slayer,windows_req_Bogdan's HeartQuest - The Invader Slayer
операционная система,windows 7,операционная система,windows 10
процессор,core i5,процессор,core i7
оперативная память,4 gb,оперативная память,8 gb
видео карта,onboard,видео карта,gtx 760
directx,version 9.0,directx,version 11
диск,100 mb,диск,250 mb
,,,
windows_min_Midnight Zone,windows_min_Midnight Zone,windows_req_Midnight Zone,windows_req_Midnight Zone,macos_min_Midnight Zone,macos_min_Midnight Zone,macos_req_Midnight Zone,macos_req_Midnight Zone,linux_min_Midnight Zone,linux_min_Midnight Zone,linux_req_Midnight Zone,linux_req_Midnight Zone
операционная система,windows xp/vista/7/8 or 10,операционная система,windows xp/vista/7/8 or 10,операционная система,mac os12,операционная система,—,операционная система,linux mint 21,операционная система,—
процессор,2.3 ghz intel core 2 duo,процессор,2.3 ghz intel core 2 duo,,,,,,,,
оперативная память,512 mb,оперативная память,1024 mb,,,,,,,,
видео карта,directx 9 compatible video card,видео карта,directx 9 compatible video card with at least 1024mb of vram,,,,,,,,
directx,version 9.0,directx,version 9.0,,,,,,,,
диск,1 gb,диск,2 gb,,,,,,,,
,,,,,,,,,,,
windows_min_Project Wunderwaffe: Prologue,windows_min_Project Wunderwaffe: Prologue,windows_req_Project Wunderwaffe: Prologue,windows_req_Project Wunderwaffe: Prologue
операционная система,windows 8.1x64 / windows 10x64,операционная система,windows 8.1x64 / windows 10x64
процессор,intel core i3 2.5 ghz or amd phenom ii 2.6 ghz,процессор,fourth generation intel core i5 2.5 ghz or amd fx8350 4.0 ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,2gb & amd 7970 or nvidia 770,видео карта,4gb & nvidia 960
directx,version 11,directx,version 11
диск,15 gb,диск,20 gb
,,,
windows_min_Boulder Island,windows_min_Boulder Island,windows_req_Boulder Island,windows_req_Boulder Island
операционная система,"windows 7, windows 8.1, windows 10",операционная система,win10
процессор,intel core i3-4340 / amd fx-6300,процессор,intel core i5-6600k / amd ryzen 5 1600
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia gpu geforce gtx 470 1gb / amd hd 5800 1gb,видео карта,nvidia geforce gtx 660 2gb / amd radeon hd 7850 2gb
directx,version 11,directx,version 12
диск,100 gb,диск,100 gb
,,,
windows_min_get REKTorized,windows_min_get REKTorized,windows_req_get REKTorized,windows_req_get REKTorized
операционная система,windows 10,операционная система,windows 10
процессор,intel core™ i5 with 2.4ghz or amd equivalent,процессор,intel core™ i7 with 2.4ghz or amd equivalent
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx™ 560 or amd radeon™ hd 7770,видео карта,nvidia geforce gtx™ 970 or amd radeon™ r9 380x
directx,version 9.0c,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,3 gb,диск,3 gb
,,,
windows_min_The Faction,windows_min_The Faction,windows_req_The Faction,windows_req_The Faction
операционная система,"windows 7, windows 8 or windows 10;",операционная система,"windows 7, windows 8 or windows 10;"
процессор,"cpu with 2 cores of 2,4 ghz;",процессор,"cpu with 4 cores of 2,4 ghz;"
оперативная память,4 gb,оперативная память,8 gb
видео карта,graphics card that supports directx11 and with at least 1 gb of vram;,видео карта,"graphics card with directx11 support and with at least 2 gb of (nvidia gtx660 or higher, or amd hd5870 or higher);"
directx,version 11,directx,version 11
диск,12 gb,диск,12 gb
звуковая карта,-,звуковая карта,-
,,,
