windows_min_Labyrinthine,windows_min_Labyrinthine,windows_req_Labyrinthine,windows_req_Labyrinthine
операционная система,windows 7 - 64bit,операционная система,windows 10 - 64bit
процессор,intel i5 or amd equivalent,процессор,intel i7 or amd equivalent
оперативная память,6 gb,оперативная память,16 gb
видео карта,ati hd7900 series or nvidia equivalent.,видео карта,gtx 1060 3gb or equivelant.
directx,version 11,directx,—
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,3 gb,диск,5 gb
,,,
windows_min_DRAGON QUEST BUILDERS™ 2,windows_min_DRAGON QUEST BUILDERS™ 2,windows_req_DRAGON QUEST BUILDERS™ 2,windows_req_DRAGON QUEST BUILDERS™ 2
операционная система,windows 7 sp1 / 8.1 / 10,операционная система,windows 10
процессор,amd ryzen™ 3 1300x or above | intel core™ i3-3225 or above,процессор,amd ryzen™ 3 1300x or above | intel core™ i7-3770 or above
оперативная память,6 gb,оперативная память,6 gb
видео карта,amd radeon™ hd 7750 (2gb) / nvidia geforce gt 640 (2gb),видео карта,amd radeon™ rx vega 56 / nvidia geforce gtx 1060 6 gb vram
directx,version 11,directx,version 11
диск,12 gb,диск,12 gb
,,,
windows_min_Sniper: Ghost Warrior,windows_min_Sniper: Ghost Warrior
операционная система,windows xp (sp3) / vista™ (sp1) / 7
процессор,"intel pentium 4 3,2 ghz, intel pentium d 2,66 ghz, amd athlon 64 3500+"
оперативная память,1gb for xp / 2gb for vista and 7
видео карта,"256 mb compatible with dx10.0 or dx9.0c, shader model 3.0"
cards,geforce ( 6800/7600-7950/8600-8800/9600-9800/gtx 260-280 ) or radeon (x1650-1950/ hd2400-2900 / 3650
directx,directx 9.0c
диск,6.5gb
,
windows_min_DOOM Eternal: The Ancient Gods - Part One,windows_min_DOOM Eternal: The Ancient Gods - Part One,windows_req_DOOM Eternal: The Ancient Gods - Part One,windows_req_DOOM Eternal: The Ancient Gods - Part One
операционная система,windows 7 / windows 10,операционная система,windows 10
процессор,"intel core i5 @ 3.3 ghz, or amd ryzen 3 @ 3.1 ghz",процессор,"intel core i7-6700k, or amd ryzen 7 1800x"
оперативная память,8 gb,оперативная память,8 gb
видео карта,"nvidia geforce gtx 1050ti (4gb), gtx 1060 (3gb), gtx 1650 (4gb) or amd radeon r9 280(3gb), amd radeon r9 290 (4gb), rx 470 (4gb)",видео карта,"nvidia geforce gtx 1060 (6gb), nvidia geforce 970 (4gb), amd rx 480 (8gb)"
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,80 gb,диск,80 gb
,,,
windows_min_Heavy Rain,windows_min_Heavy Rain,windows_req_Heavy Rain,windows_req_Heavy Rain
операционная система,windows 7 (),операционная система,windows 7 ()
процессор,intel core i5-4430 @ 3.0 ghz or amd fx-6300 @ 3.5 ghz,процессор,intel core i5-6600k @ 3.5ghz or amd ryzen 3 1300x @ 3.4ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 660 with 2gb vram or amd radeon hd 7870 with 2gb vram,видео карта,nvidia geforce gtx 970 with 4gb vram or amd radeon r9 390 with 4gb vram
directx,version 11,directx,version 11
диск,35 gb,диск,35 gb
,,,
windows_min_Dead Realm,windows_min_Dead Realm,windows_req_Dead Realm,windows_req_Dead Realm
операционная система,"version 10.9: ""mavericks""",операционная система,—
процессор,"version 10.9: ""mavericks""",процессор,—
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia 460 gtx,видео карта,—
directx,version 10,directx,version 10
диск,4 gb,диск,4 gb
,,,
windows_min_Singularity™,windows_min_Singularity™
операционная система,windows xp/vista/windows 7 (does not support windows 2000)
процессор,intel dual core 2.8 ghz or amd ahtlon 64 x2 dual-core 4800+
оперативная память,"1gb for xp, 2gb for vista/win7"
видео карта,3d hardware accelerator card required - 100% directx 9.0c-compliant 256 mb video card and drivers*
directx,directx 9.0c (included)
диск,8gb of uncompressed hard disk space (plus 400 mb for the windows swap file and 12 kb free for saved games)
звуковая карта,100% directx 9.0c-compliant true 16-bit sound card and drivers
other requirements,a 100% windows xp/vista/windows 7-compatible computer system
,
"windows_min_Warhammer 40,000: Eternal Crusade","windows_min_Warhammer 40,000: Eternal Crusade","windows_req_Warhammer 40,000: Eternal Crusade","windows_req_Warhammer 40,000: Eternal Crusade"
операционная система,"operating systems (windows 7, windows 8, windows 10)",операционная система,"operating systems (windows 7, windows 8, windows 10)"
процессор,intel core i5-750 or similar,процессор,—
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia 780gtx or amd radeon 7850 3gb,видео карта,nvidia 970 or amd r9 290 3gb+
directx,version 11,directx,version 11
диск,40 gb,диск,40 gb
,,,
windows_min_PAC-MAN™ Championship Edition DX+,windows_min_PAC-MAN™ Championship Edition DX+
операционная система,"windows xp, windows vista, windows 7, windows 8"
процессор,1 ghz or faster 32-bit (x86) or (x64)
оперативная память,1 gb
видео карта,directx 9 graphics device
directx,version 9.0c
сеть,широкополосное подключение
диск,500 mb
,
windows_min_Company of Heroes - Legacy Edition,windows_min_Company of Heroes - Legacy Edition,windows_req_Company of Heroes - Legacy Edition,windows_req_Company of Heroes - Legacy Edition
операционная система,windows xp or vista,операционная система,windows xp or vista
процессор,2.0 ghz intel pentium iv or amd athlon xp,процессор,3.0 ghz intel pentium iv
оперативная память,512 mb,оперативная память,1 gb
