windows_min_SOS Survival,windows_min_SOS Survival,windows_req_SOS Survival,windows_req_SOS Survival
операционная система,windows/7/8/10,операционная система,windows/7/8/10
процессор,intel: i3 2.4ghz or higher,процессор,"intel i5 2500, i7 2600, 2700"
оперативная память,8 gb,оперативная память,12 gb
видео карта,nvidia geforce 750gtx,видео карта,nvidia geforce gtx 960
directx,version 9.0c,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Unearthing Process,windows_min_Unearthing Process,windows_req_Unearthing Process,windows_req_Unearthing Process
операционная система,any,операционная система,any
диск,300 mb,диск,300 mb
,,,
windows_min_West of Red,windows_min_West of Red
операционная система,osx 10.9 or higher
процессор,"intel(r) core(tm)2 duo 2.4, amd athlon(tm) x2 2.8 ghz"
оперативная память,2 gb
видео карта,"geforce 9600 gs, radeon hd4000, shader model 3.0, 512 mb"
directx,version 9.0
диск,5 gb
,
windows_min_Zup! Arena,windows_min_Zup! Arena,windows_req_Zup! Arena,windows_req_Zup! Arena,macos_min_Zup! Arena,macos_min_Zup! Arena,macos_req_Zup! Arena,macos_req_Zup! Arena,linux_min_Zup! Arena,linux_min_Zup! Arena,linux_req_Zup! Arena,linux_req_Zup! Arena
операционная система,"windows xp, 7, vista, 8, 8.1, 10",операционная система,"windows xp, 7, vista, 8, 8.1, 10",операционная система,mavericks (osx 10.9.x),операционная система,yosemite (osx 10.10.x),операционная система,any,операционная система,any
процессор,intel core i3 2400 mhz,процессор,intel core i5 3000 mhz,процессор,1.6 ghz intel,процессор,1.7 ghz intel,,,,
оперативная память,4 gb,оперативная память,8 gb,видео карта,nvidia or ati graphics card,видео карта,nvidia or ati graphics card,,,,
видео карта,intel hd graphics 520,видео карта,intel hd graphics 630,диск,150 mb,диск,250 mb,,,,
directx,version 9.0,directx,version 9.0,,,,,,,,
,,,,,,,,,,,
windows_min_Drunken Wrestlers 2,windows_min_Drunken Wrestlers 2,windows_req_Drunken Wrestlers 2,windows_req_Drunken Wrestlers 2
операционная система,windows 7,операционная система,—
процессор,3 ghz quad core,процессор,—
оперативная память,4 gb,оперативная память,8 gb
видео карта,radeon 520 or geforce gt 730,видео карта,gtx 1050
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,2 gb,диск,3 gb
,,,
windows_min_Kronorite,windows_min_Kronorite,windows_req_Kronorite,windows_req_Kronorite
операционная система,ubuntu (debian),операционная система,latest version of your linux distro
процессор,intel core i5 2.7ghz,процессор,intel core i5 3.2ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,geforce gtx 750 ti,видео карта,geforce gtx 960
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Last Warrior,windows_min_Last Warrior
операционная система,windows xp
процессор,1.6 ghz
оперативная память,2 gb
видео карта,512 mb
,
windows_min_Lifeblood,windows_min_Lifeblood,windows_req_Lifeblood,windows_req_Lifeblood
операционная система,"windows 8.1, windows 10",операционная система,"windows 8.1, windows 10"
процессор,intel core i5-4430 / amd fx-6300,процессор,intel core i5-6600k / amd ryzen 5 1600
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 960 2gb / amd radeon r7 370 2gb,видео карта,nvidia geforce gtx 1060 3gb / amd radeon rx 580 4gb
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Marble Combat,windows_min_Marble Combat,windows_req_Marble Combat,windows_req_Marble Combat
операционная система,windows 7/8.1/10 ( versions),операционная система,windows 7/8.1/10 ( versions)
процессор,intel core i5-2400 / amd fx-8320,процессор,intel core i7-5820k/amd fx-8350
оперативная память,4096 mb,оперативная память,8192 mb
видео карта,nvidia geforce gtx 670 2gb / amd radeon hd 7870 2gb,видео карта,nvidia geforce gtx 1050 / amd radeon r9 270x
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_P.A.S.,windows_min_P.A.S.,windows_req_P.A.S.,windows_req_P.A.S.
операционная система,"windows 7, 8, 8.1, 10 ( only)",операционная система,"windows 7, 8, 8.1, 10 ( only)"
процессор,i3,процессор,i7
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia 650,видео карта,nvidia 1050ti
directx,version 11,directx,version 11
,,,
windows_min_Playcraft,windows_min_Playcraft
операционная система,"windows 8.1, windows 10"
