windows_min_Warplanes: WW2 Dogfight,windows_min_Warplanes: WW2 Dogfight,windows_req_Warplanes: WW2 Dogfight,windows_req_Warplanes: WW2 Dogfight,macos_min_Warplanes: WW2 Dogfight,macos_min_Warplanes: WW2 Dogfight,macos_req_Warplanes: WW2 Dogfight,macos_req_Warplanes: WW2 Dogfight,linux_min_Warplanes: WW2 Dogfight,linux_min_Warplanes: WW2 Dogfight,linux_req_Warplanes: WW2 Dogfight,linux_req_Warplanes: WW2 Dogfight
операционная система,windows 7,операционная система,windows 7,операционная система,10.9,операционная система,10.9,операционная система,ubuntu 12.04 / steam os,операционная система,ubuntu 12.04 / steam os
процессор,core 2 duo - 1.5 ghz or higher,процессор,core 2 duo - 2.0 ghz or higher,процессор,2 ghz or higher,процессор,2 ghz or higher,процессор,2 ghz or higher,процессор,2 ghz or higher
оперативная память,512 mb,оперативная память,1 gb,оперативная память,512 mb,оперативная память,1 gb,оперативная память,512 mb,оперативная память,1 gb
видео карта,512 mb vram,видео карта,1 gb vram,видео карта,512 mb vram,видео карта,1 gb vram,видео карта,512 mb vram,видео карта,1 gb vram
directx,version 10,directx,version 10,диск,200 mb,диск,200 mb,диск,200 mb,диск,200 mb
диск,200 mb,диск,200 mb,,,,,,,,
,,,,,,,,,,,
windows_min_SYNTHETIK: Arena,windows_min_SYNTHETIK: Arena,windows_req_SYNTHETIK: Arena,windows_req_SYNTHETIK: Arena
операционная система,"windows xp sp3, vista or higher",операционная система,"windows xp sp3, vista or higher"
процессор,intel celeron g1820 2.7 ghz / amd fx 8320 3.5 ghz,процессор,intel core i3-4160 3.6 ghz / amd qc a8-7670k 3.6ghz
оперативная память,4 gb,оперативная память,4 gb
видео карта,"geforce gtx 460, radeon hd 5770, 768 mb vram",видео карта,"geforce gtx 560+ series, radeon r9 270+"
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,700 mb,диск,700 mb
,,,
windows_min_Bloons Adventure Time TD,windows_min_Bloons Adventure Time TD,windows_req_Bloons Adventure Time TD,windows_req_Bloons Adventure Time TD
операционная система,osx 10.8 (64bit),операционная система,osx 10.13 (64bit)
процессор,1.5ghz,процессор,2ghz
оперативная память,2048 mb,оперативная память,2048 mb
видео карта,opengl 2.0,видео карта,opengl 2.0
диск,1024 mb,диск,2048 mb
,,,
windows_min_Ultimate Custom Night,windows_min_Ultimate Custom Night,windows_req_Ultimate Custom Night,windows_req_Ultimate Custom Night
операционная система,"win xp, 7, 8, vista, 10",операционная система,"win xp, 7, 8, vista, 10"
процессор,2 ghz intel pentium 4 or amd athlon,процессор,2 ghz intel pentium 4 or amd athlon
оперативная память,2 gb,оперативная память,2 gb
видео карта,1 gb,видео карта,1 gb
,,,
windows_min_AirMech Strike,windows_min_AirMech Strike,windows_req_AirMech Strike,windows_req_AirMech Strike
операционная система,windows 7,операционная система,windows 10
процессор,intel i3,процессор,intel i5 (quad core )
оперативная память,4 gb,оперативная память,8 gb
видео карта,less than 5 year old gpu,видео карта,gtx 660 or radeon 7970
directx,11.0,directx,11.0
диск,2 gb hd space,диск,4 gb hd space
звуковая карта,yes,звуковая карта,yes
,,,
windows_min_Aimtastic,windows_min_Aimtastic
операционная система,windows 7
оперативная память,512 mb
directx,version 11
,
