windows_min_Hat Trick Header,windows_min_Hat Trick Header
операционная система,"windows 8.1 x64, windows 10 x64"
процессор,intel i5-4590 / amd fx 8350 equivalent
оперативная память,4 gb
видео карта,nvidia geforce gtx 970 / amd radeon r9 290 equivalent
directx,version 11
,
windows_min_Epic Battle Simulator 2,windows_min_Epic Battle Simulator 2,windows_req_Epic Battle Simulator 2,windows_req_Epic Battle Simulator 2
операционная система,windows xp sp2,операционная система,windows 7
процессор,2 ghz or faster,процессор,3 ghz or faster
оперативная память,1 gb,оперативная память,2 gb
видео карта,intel hd 3000,видео карта,geforce gtx 750
directx,version 9.0c,directx,version 11
,,,
windows_min_Trinity.Town: Monastery | Martial Arts and Meditation,windows_min_Trinity.Town: Monastery | Martial Arts and Meditation,windows_req_Trinity.Town: Monastery | Martial Arts and Meditation,windows_req_Trinity.Town: Monastery | Martial Arts and Meditation
операционная система,windows 10,операционная система,windows 10
процессор,intel i5-4590,процессор,intel i7-4770
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 970,видео карта,nvidia geforce gtx 980 ti
directx,version 11,directx,version 11
диск,10 gb,диск,10 gb
vr support,steamvr,vr support,—
дополнительно,"htc vive, oculus rift hmd required",дополнительно,"htc vive, oculus rift hmd required"
,,,
windows_min_Dark Years,windows_min_Dark Years,windows_req_Dark Years,windows_req_Dark Years
операционная система,"windows xp, windows 7, vista, 8.1, windows 10",операционная система,"windows 7, vista 8.1, windows 10"
процессор,intel dual core or core 2 duo 2.6 ghz,процессор,intel core i3 3.0 ghz
оперативная память,2 gb,оперативная память,4 gb
,,,
windows_min_AlienAfterlife,windows_min_AlienAfterlife,windows_req_AlienAfterlife,windows_req_AlienAfterlife
операционная система,windows 10,операционная система,windows 10
процессор,dual core 2.4ghz,процессор,quad core 2.4ghz
оперативная память,8 mb,оперативная память,16 mb
видео карта,nvidia gtx 750 or higher,видео карта,nvidia gtx 780
,,,
windows_min_Exorcise The Demons,windows_min_Exorcise The Demons,windows_req_Exorcise The Demons,windows_req_Exorcise The Demons
операционная система,windows 10,операционная система,windows 10
процессор,amd - 2.9 ghz,процессор,amd phenom ii - 3.3 ghz
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 960,видео карта,nvidia geforce gtx 970
directx,version 11,directx,version 11
диск,1700 mb,диск,1700 mb
,,,
windows_min_Desperate Times,windows_min_Desperate Times,windows_req_Desperate Times,windows_req_Desperate Times
операционная система,windows xp,операционная система,—
процессор,not a potato,процессор,intel core i5
оперативная память,50 mb,оперативная память,200 mb
видео карта,any,видео карта,any
directx,version 9.0c,directx,version 9.0c
,,,
windows_min_Hit Tank PRO,windows_min_Hit Tank PRO
