windows_min_Contort Effect,windows_min_Contort Effect,windows_req_Contort Effect,windows_req_Contort Effect
операционная система,"windows vista ,7, 8, windows 10",операционная система,"windows vista ,7, 8, windows 10"
процессор,intel core i5,процессор,intel core i7 6700k
оперативная память,4 gb,оперативная память,6 gb
видео карта,"nvidia gtx 660 2gb, amd radeon 7850 2gb",видео карта,"nvidia gtx 970 4gb, amd radeon r9 290 4gb"
directx,version 10,directx,version 11
диск,3 gb,диск,3 gb
звуковая карта,directx 9.0c compatible sound card,звуковая карта,directx 9.0c compatible sound card
,,,
windows_min_Hitman: Absolution: Bronson M1928 Gun,windows_min_Hitman: Absolution: Bronson M1928 Gun,windows_req_Hitman: Absolution: Bronson M1928 Gun,windows_req_Hitman: Absolution: Bronson M1928 Gun
операционная система,os x 10.9.2 mavericks,операционная система,os x 10.9.2 mavericks
процессор,2.0 ghz,процессор,2.4 ghz
storage space,24gb,storage space,24gb
оперативная память,4gb memory,оперативная память,8gb memory
видео карта,512 mb*,видео карта,1gb*
directx,10,directx,11
диск,24 gb hd space,диск,24 gb hd space
,,,
windows_min_Victor Vran: Mtorhead Through The Ages,windows_min_Victor Vran: Mtorhead Through The Ages,windows_req_Victor Vran: Mtorhead Through The Ages,windows_req_Victor Vran: Mtorhead Through The Ages,macos_min_Victor Vran: Mtorhead Through The Ages,macos_min_Victor Vran: Mtorhead Through The Ages,macos_req_Victor Vran: Mtorhead Through The Ages,macos_req_Victor Vran: Mtorhead Through The Ages,linux_min_Victor Vran: Mtorhead Through The Ages,linux_min_Victor Vran: Mtorhead Through The Ages,linux_req_Victor Vran: Mtorhead Through The Ages,linux_req_Victor Vran: Mtorhead Through The Ages
операционная система,"windows vista sp2, windows 7, windows 8",операционная система,"windows 7 (), windows 8 (), windows 10 ()",операционная система,osx 10.9 (mavericks),операционная система,osx 10.9 (mavericks),операционная система,ubuntu 12.04,операционная система,ubuntu 12.04
процессор,2 ghz dual core cpu,процессор,2.5 ghz quad core cpu,процессор,2 ghz dual core cpu,процессор,2.5 ghz quad core cpu,процессор,2 ghz dual core cpu,процессор,2.5 ghz quad core cpu
оперативная память,4 gb,оперативная память,8 gb,оперативная память,4 gb,оперативная память,4 gb,оперативная память,4 gb,оперативная память,4 gb
видео карта,"geforce 8800 or higher, amd radeon hd 4000 or higher, intel hd 4000 or higher (min. 512 mb vram)",видео карта,"geforce 560 or higher, amd radeon hd 5800 or higher",видео карта,"opengl 4.1 (geforce 600 or higher, amd radeon 5000 or higher, intel hd 4000 or higher)",видео карта,"opengl 4.1 (geforce 660 or higher, amd radeon 7000 or higher)",видео карта,"opengl 4.1 (geforce 600 or higher, amd radeon 5000 or higher)",видео карта,"opengl 4.1 (geforce 660 or higher, amd radeon 7000 or higher)"
directx,version 9.0c,directx,version 11,диск,1 gb,диск,1 gb,диск,1 gb,диск,1 gb
диск,1 gb,диск,1 gb,сеть,—,сеть,широкополосное подключение,сеть,—,сеть,широкополосное подключение
звуковая карта,directx compatible,звуковая карта,directx compatible,,,,,,,,
,,,,,,,,,,,
windows_min_Kung Fu Panda: Warrior Po and Jombie Master Chicken,windows_min_Kung Fu Panda: Warrior Po and Jombie Master Chicken,windows_req_Kung Fu Panda: Warrior Po and Jombie Master Chicken,windows_req_Kung Fu Panda: Warrior Po and Jombie Master Chicken
операционная система,"windows xp sp3, windows vista sp1, windows 7",операционная система,windows 7
процессор,2.0ghz dual core cpu (any core 2 duo or amd x2 ),процессор,any quad-core intel or amd
оперативная память,1 gb,оперативная память,2 gb
видео карта,512 mb video card using shader model 3 or higher (performance equivalent to amd radeon 4350 or nvidia geforce 7900),видео карта,1 gb video card using shader model 3 or higher (performance equivalent to nvidia 9800 )
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Bad North: Jotunn Edition Deluxe Edition Upgrade,windows_min_Bad North: Jotunn Edition Deluxe Edition Upgrade,windows_req_Bad North: Jotunn Edition Deluxe Edition Upgrade,windows_req_Bad North: Jotunn Edition Deluxe Edition Upgrade
операционная система,os x 10.8+,операционная система,—
процессор,"2,93 ghz intel core i7",процессор,—
оперативная память,4 gb,оперативная память,—
видео карта,ati radeon hd 5750 1gb,видео карта,—
directx,version 11,directx,version 11
диск,4 gb,диск,—
,,,
windows_min_Injustice™ 2 - The Atom,windows_min_Injustice™ 2 - The Atom,windows_req_Injustice™ 2 - The Atom,windows_req_Injustice™ 2 - The Atom
операционная система,windows 7 / windows 10,операционная система,windows 7 / windows 10
процессор,"intel core i5-750, 2.66 ghz / amd phenom ii x4 965, 3.4 ghz or amd ryzen™ 3 1200, 3.1 ghz",процессор,"intel core i3-2100, 3.10 ghz / amd fx-6300, 3.5 ghz or amd ryzen™ 5 1400, 3.2 ghz"
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce™ gtx 670 or nvidia geforce™ gtx 1050 / amd radeon™ hd 7950 or amd radeon™ r9 270,видео карта,nvidia geforce™ gtx 780 or nvidia geforce™ gtx 1060-6gb / amd radeon™ r9 290 or rx 570
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Dragon's Dogma: Dark Arisen Masterworks Collection,windows_min_Dragon's Dogma: Dark Arisen Masterworks Collection
операционная система,not applicable
диск,1020 mb
storage (high-quality audio),additional 2270 mb
,
windows_min_Drunken Fist  Totally Accurate Beat 'em up,windows_min_Drunken Fist  Totally Accurate Beat 'em up
операционная система,windows xp
процессор,"quad-core intel or amd, 2.5 ghz"
оперативная память,4 gb
видео карта,nvidia geforce 470 gtx or amd radeon 6870 hd series card
,
windows_min_In The Long Run The Game Demo,windows_min_In The Long Run The Game Demo,windows_req_In The Long Run The Game Demo,windows_req_In The Long Run The Game Demo
операционная система,windows 10,операционная система,windows 10
процессор,i5,процессор,i7
оперативная память,8 gb,оперативная память,16 gb
видео карта,2 gb,видео карта,6 gb
directx,version 12,directx,version 12
,,,
windows_min_Wavy Side Tail & Golden Wavy Side Tail,windows_min_Wavy Side Tail & Golden Wavy Side Tail,windows_req_Wavy Side Tail & Golden Wavy Side Tail,windows_req_Wavy Side Tail & Golden Wavy Side Tail
операционная система,windows7/8/8.1/10,операционная система,windows7/8/8.1/10
процессор,intel core™ i3,процессор,intel core™ i5
оперативная память,6 gb,оперативная память,8 gb
