windows_min_Call of DutyЃ: Advanced Warfare - Nanotech Premium Personalization Pack,windows_min_Call of DutyЃ: Advanced Warfare - Nanotech Premium Personalization Pack
операционна€ система,windows 7 / windows 8 / windows 8.1
процессор,intel coreЩ i3-530 @ 2.93 ghz / amd phenomЩ ii x4 810 @ 2.60 ghz
оперативна€ пам€ть,6 gb
видео карта,nvidia geforce gts 450 @ 1gb / ati radeonЩ hd 5870 @ 1gbnvidia geforce gts 450 @ 1gb / ati radeonЩ hd 5870 @ 1gb
directx,version 11
сеть,широкополосное подключение
диск,55 gb
звукова€ карта,directx compatible
,
windows_min_Call of DutyЃ: Infinite Warfare - Grandma Knows Best VO Pack,windows_min_Call of DutyЃ: Infinite Warfare - Grandma Knows Best VO Pack
операционна€ система,windows 7
процессор,intel core i3-3225 @ 3.30ghz
оперативна€ пам€ть,8 gb
видео карта,nvidia geforce gtx 660 2gb / amd radeon hd 7850 2gb
directx,version 11
диск,70 gb
звукова€ карта,directx 11 compatible
,
windows_min_Metal Mind,windows_min_Metal Mind,windows_req_Metal Mind,windows_req_Metal Mind
операционна€ система,windows 7,операционна€ система,windows 10
процессор,intel core 2 duo e6320 (2*1866),процессор,intel i3-2100 / amd a8-5600k
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,4 gb
видео карта,geforce 7600 gs (512 mb),видео карта,geforce gtx 630 / radeon hd 6570
directx,version 11,directx,version 11
,,,
windows_min_Mekazoo,windows_min_Mekazoo,windows_req_Mekazoo,windows_req_Mekazoo
операционна€ система,yosemite (10),операционна€ система,el capitan (11)
процессор,i5,процессор,i7-4770
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,8 gb
видео карта,nvidia gtx 570,видео карта,nvidia gtx 960
directx,version 11,directx,version 11
,,,
windows_min_Borderlands: The Pre-Sequel Ultra HD Texture Pack,windows_min_Borderlands: The Pre-Sequel Ultra HD Texture Pack
операционна€ система,windows 7
процессор,intel i3 530 @2.93 ghz/amd phenom ii x4 805 @2.5 ghz
оперативна€ пам€ть,4 gb
видео карта,nvidia geforce gtx 780 @3gb / amd radeon hd 7970 @3gb
directx,version 9.0
,
windows_min_Mafia III Demo,windows_min_Mafia III Demo,windows_req_Mafia III Demo,windows_req_Mafia III Demo
операционна€ система,windows 7,операционна€ система,windows 7
процессор,intel core i5-3550 / amd fx 8150,процессор,intel core i7 3770 / amd fx-8350
оперативна€ пам€ть,6 gb,оперативна€ пам€ть,8 gb
видео карта,"2gb of video memory & nvidia geforce gtx 660, amd radeon hd7870",видео карта,"4gb of video memory & nvidia geforce gtx 780 or geforce gtx 1060, amd radeon r9 290x"
диск,30 gb,диск,30 gb
звукова€ карта,directx compliant sound card,звукова€ карта,directx compliant sound card
,,,
windows_min_StrifeЃ,windows_min_StrifeЃ,macos_min_StrifeЃ,macos_min_StrifeЃ,linux_min_StrifeЃ,linux_min_StrifeЃ
операционна€ система,windows xp service pack 3,операционна€ система,os x 10.7,операционна€ система,linux
процессор,dual-core intel or amd at 2.4 ghz,процессор,dual-core intel or amd at 2.4 ghz,процессор,dual-core intel or amd at 2.4 ghz
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,4 gb,оперативна€ пам€ть,2 gb
видео карта,"nvidia geforce 8600how to download brawl stars on pcplease enable javascriptvideo player is loading.play videoplayunmutecurrent time†0:00/duration†1:00loaded: 3.30%0:00stream type†liveseek to live, currently behind liveliveremaining time†-1:00†1xplayback ratechapterschaptersdescriptionsdescriptions off, selectedsubtitlessubtitles settings, opens subtitles settings dialogsubtitles off, selectedaudio trackmain, selectedauto(360plq)1080pfhd720phdauto(360plq)sharefullscreenthis is a modal window.beginning of dialog window. escape will cancel and close the window.textcolorwhiteblackredgreenblueyellowmagentacyantransparencyopaquesemi-transparentbackgroundcolorblackwhiteredgreenblueyellowmagentacyantransparencyopaquesemi-transparenttransparentwindowcolorblackwhiteredgreenblueyellowmagentacyantransparencytransparentsemi-transparentopaquefont size50%75%100%125%150%175%200%300%400%text edge stylenoneraiseddepresseduniformdropshadowfont familyproportional sans-serifmonospace sans-serifproportional serifmonospace serifcasualscriptsmall capsreset restore all settings to the default valuesdoneclose modal dialogend of dialog window.how to download brawl stars on pc or higher, ati/amd radeon hd 2600 or higher, intel hd 2000 or higher",видео карта,"nvidia geforce 8600 or higher, ati/amd radeon hd 2600 or higher, intel hd 2000 or higher",видео карта,"nvidia geforce 8600 or higher, ati/amd radeon hd 2600 or higher, intel hd 2000 or higher"
directx,version 9.0,сеть,широкополосное подключение,сеть,широкополосное подключение
сеть,широкополосное подключение,диск,4 gb,диск,4 gb
,,,,,
windows_min_Blood of Steel Demo,windows_min_Blood of Steel Demo,windows_req_Blood of Steel Demo,windows_req_Blood of Steel Demo
операционна€ система,windows xp/vista windows 7/8/10,операционна€ система,windows xp/vista windows 7/8/10
процессор,lntel inter coer duo 2.5ghz,процессор,lntel inter coer quad 2ghz
оперативна€ пам€ть,6 mb,оперативна€ пам€ть,8 mb
видео карта,"nvidia geforce gt 430 amd hd5550что такое психолог...please enable javascriptvideo player is loading.play videoplayunmutecurrent time†0:00/duration†1:06loaded: 3.02%0:00stream type†liveseek to live, currently behind liveliveremaining time†-1:06†1xplayback ratechapterschaptersdescriptionsdescriptions off, selectedsubtitlessubtitles settings, opens subtitles settings dialogsubtitles off, selectedaudio trackmain, selectedauto(360plq)1080pfhd720phdauto(360plq)sharefullscreenthis is a modal window.beginning of dialog window. escape will cancel and close the window.textcolorwhiteblackredgreenblueyellowmagentacyantransparencyopaquesemi-transparentbackgroundcolorblackwhiteredgreenblueyellowmagentacyantransparencyopaquesemi-transparenttransparentwindowcolorblackwhiteredgreenblueyellowmagentacyantransparencytransparentsemi-transparentopaquefont size50%75%100%125%150%175%200%300%400%text edge stylenoneraiseddepresseduniformdropshadowfont familyproportional sans-serifmonospace sans-serifproportional serifmonospace serifcasualscriptsmall capsreset restore all settings to the default valuesdoneclose modal dialogend of dialog window.что такое психологи€? изучение концепций",видео карта,geforce gtx 650 ti  amd hd7850
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,Ч
