windows_min_Bed Lying Simulator 2020,windows_min_Bed Lying Simulator 2020
операционна€ система,win 7/8.1/10 (64bit)
процессор,i7
оперативна€ пам€ть,8 gb
видео карта,gtx 660
directx,version 12
,
windows_min_Borderlands 2: Gunzerker Domination Pack,windows_min_Borderlands 2: Gunzerker Domination Pack,windows_req_Borderlands 2: Gunzerker Domination Pack,windows_req_Borderlands 2: Gunzerker Domination Pack
операционна€ система,10.12 (sierra),операционна€ система,10.12 (sierra)
процессор,2.4 ghz intel core 2 duo (dual-core),процессор,2.2ghz intel quad core
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,4 gb
диск,13 gb,диск,Ч
video memory,256 mb,video memory,512 mb
видео карта,ati radeon hd 2600 / nvidia geforce 8800,видео карта,ati radeon hd 5750 / nvidia geforce 650m
звукова€ карта,directx 9.0c compatible,звукова€ карта,directx 9.0c compatible
other requirements,"initial installation requires one-time internet connection for steam authentication; software installations required (included with the game) include steam client, directx 9, microsoft .net 4 framework, visual c++ redistributable 2005, visual c++ redistributable 2008, visual c++ ...  redistributable 2010, and amd cpu drivers (xp only/amd only)  еще",other requirements,"initial installation requires one-time internet connection for steam authentication; software installations required (included with the game) include steam client, directx 9, microsoft .net 4 framework, visual c++ redistributable 2005, visual c++ redistributable 2008, visual c++ ...  redistributable 2010, and amd cpu drivers (xp only/amd only)  еще"
additional,"macintosh mouse and keyboard, borderlands 2 supports the xbox 360 wired gamepad only.",additional,Ч
supported graphicss,"nvidia geforce 8800, gt 120, 320m, 330m, 640m, 650m, 660m, 675mx, 680mx ati radeon hd 2600, hd 3870, hd 4670, hd 4850, hd 5670, hd 5750, hd 5770, hd 5870, hd 6630, hd 6490, hd ...  6750, hd 6770, hd 6970 intel hd graphics 3000, 4000  еще",supported graphicss,Ч
,,,
windows_min_Rage of the Pumpkins - Space Prostitutes Must Die! Again,windows_min_Rage of the Pumpkins - Space Prostitutes Must Die! Again
операционна€ система,microsoft windows xp / vista
процессор,intel core 2 duo ()
оперативна€ пам€ть,2048 mb
видео карта,with 512 mb vram compatible with directx 9
directx,version 9.0
,
windows_min_LEGOЃ Marvel Super Heroes 2 - Out of Time Character Pack,windows_min_LEGOЃ Marvel Super Heroes 2 - Out of Time Character Pack,windows_req_LEGOЃ Marvel Super Heroes 2 - Out of Time Character Pack,windows_req_LEGOЃ Marvel Super Heroes 2 - Out of Time Character Pack
операционна€ система,macos 10.13.5,операционна€ система,Ч
процессор,1.8ghz intel core i3,процессор,Ч
оперативна€ пам€ть,8 gb,оперативна€ пам€ть,Ч
видео карта,"1gb nvidia 650m, 2gb amd radeon m290, intel iris pro 5200 (see notes for more details)",видео карта,Ч
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,25 gb,диск,Ч
,,,
windows_min_The Puzzle Room VR ( Escape The Room ),windows_min_The Puzzle Room VR ( Escape The Room ),windows_req_The Puzzle Room VR ( Escape The Room ),windows_req_The Puzzle Room VR ( Escape The Room )
операционна€ система,"win 7 ,win 10",операционна€ система,win 10
процессор,i5,процессор,i7
видео карта,gt960,видео карта,gt1070
,,,
windows_min_Marvel vs. Capcom: Infinite - Captain Marvel Warbird Costume,windows_min_Marvel vs. Capcom: Infinite - Captain Marvel Warbird Costume,windows_req_Marvel vs. Capcom: Infinite - Captain Marvel Warbird Costume,windows_req_Marvel vs. Capcom: Infinite - Captain Marvel Warbird Costume
операционна€ система,windows 7,операционна€ система,"windows 7, 8, 8.1, 10"
процессор,intel core i3-4160 @ 3.60ghz,процессор,intel core i5-4690k @3.50ghz or amd fx-9370
оперативна€ пам€ть,6 gb,оперативна€ пам€ть,8 gb
видео карта,"nvidia geforce gtx 480, gtx 570, gtx 670,",видео карта,nvidia geforce gtx 960 or amd radeon r7 370
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,59 gb,диск,59 gb
,,,
windows_min_Dungeons & Dragons OnlineЃ Catacombs Starter Pack,windows_min_Dungeons & Dragons OnlineЃ Catacombs Starter Pack,windows_req_Dungeons & Dragons OnlineЃ Catacombs Starter Pack,windows_req_Dungeons & Dragons OnlineЃ Catacombs Starter Pack
операционна€ система,10.7.5,операционна€ система,10.7.5
процессор,2.0 ghz intel core i5,процессор,2.0 ghz intel core i7
оперативна€ пам€ть,2 gb,оперативна€ пам€ть,4 gb
видео карта,intel hd graphics 3000,видео карта,nvidia geforce gt 650m
directx,not required (opengl),directx,not required (opengl)
диск,18 gb of,диск,18 gb of
other requirements,широкополосное подключение,other requirements,широкополосное подключение
additional,"*note: due to potential game changes, the minimum system requirements for this game may change over time.",additional,Ч
,,,
windows_min_Oneiros,windows_min_Oneiros,windows_req_Oneiros,windows_req_Oneiros
операционна€ система,windows 8/7/vista,операционна€ система,windows 10
процессор,core 2 duo e6700 (2.66 ghz),процессор,core 2 quad q9650 (3 ghz)
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,8 gb
видео карта,nvidia geforce 840m or radeon r7 m260,видео карта,nvidia gtx 970
directx,version 9.0c,directx,version 11
,,,
windows_min_NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution - DLC3 Summer Cloth Pack,windows_min_NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution - DLC3 Summer Cloth Pack,windows_req_NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution - DLC3 Summer Cloth Pack,windows_req_NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution - DLC3 Summer Cloth Pack
операционна€ система,windows xp or higher with latest service pack,операционна€ система,windows 7 or higher with latest service pack
процессор,2.3 ghz dual core or amd,процессор,"intel i3-530, 2.93ghz / amd phenom ii x4 940, 3.0ghz"
оперативна€ пам€ть,1 mb,оперативна€ пам€ть,4 mb
видео карта,512 mb video cards pixel shader 4.0 (geforce 8xxx-ati hd2xxx),видео карта,"1024 mb video card, pixel shader 4.0, directx10 gpu"
directx,version 9.0c,directx,version 9.0c
,,,
windows_min_HITMANЩ 2 - Santa Fortuna,windows_min_HITMANЩ 2 - Santa Fortuna,windows_req_HITMANЩ 2 - Santa Fortuna,windows_req_HITMANЩ 2 - Santa Fortuna
операционна€ система,os windows 7,операционна€ система,os windows 7 / windows 8 (8.1) or windows 10
процессор,intel cpu core i5-2500k 3.3ghz / amd cpu phenom ii x4 940,процессор,intel cpu core i7 4790 4 ghz
оперативна€ пам€ть,8 gb,оперативна€ пам€ть,16 gb
видео карта,nvidia geforce gtx 660 / radeon hd 7870,видео карта,nvidia gpu geforce gtx 1070 / amd gpu radeon rx vega 56 8gb
directx,version 11,directx,version 11
,,,
windows_min_Beyond Enemy Lines 2 - Military Airfield,windows_min_Beyond Enemy Lines 2 - Military Airfield
,
windows_min_Nightwalker,windows_min_Nightwalker,windows_req_Nightwalker,windows_req_Nightwalker
операционна€ система,windows 7,операционна€ система,windows 10
процессор,core i3 / amd 2.0 ghz,процессор,core i5 / amd 3.0 ghz
