windows_min_Dead Cells: Rise of the Giant,windows_min_Dead Cells: Rise of the Giant,windows_req_Dead Cells: Rise of the Giant,windows_req_Dead Cells: Rise of the Giant
операционная система,mavericks 10.9,операционная система,mavericks 10.9
процессор,intel i5+,процессор,intel i5+
оперативная память,2 gb,оперативная память,4 gb
видео карта,nvidia 450 gts / radeon hd 5750,видео карта,nvidia gtx 460 / radeon hd 7800
диск,500 mb,диск,500 mb
,,,
windows_min_Call of Duty®: Infinite Warfare - Digital Deluxe Edition,windows_min_Call of Duty®: Infinite Warfare - Digital Deluxe Edition,windows_req_Call of Duty®: Infinite Warfare - Digital Deluxe Edition,windows_req_Call of Duty®: Infinite Warfare - Digital Deluxe Edition
операционная система,windows 7,операционная система,—
процессор,intel core i3-3225 @ 3.30ghz,процессор,—
оперативная память,8 gb,оперативная память,—
видео карта,nvidia geforce gtx 660 2gb / amd radeon hd 7850 2gb,видео карта,—
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,—
диск,130 gb,диск,—
звуковая карта,directx 11 compatible,звуковая карта,—
,,,
windows_min_The guard of dungeon,windows_min_The guard of dungeon,windows_req_The guard of dungeon,windows_req_The guard of dungeon
операционная система,windows xp and newer,операционная система,windows xp and newer
процессор,athlon 2 x3 450,процессор,amd fx6300
оперативная память,1 gb,оперативная память,2 gb
видео карта,geforce en9600 gt,видео карта,geforce gtx 750ti
,,,
windows_min_METAL SLUG DEFENSE - “Ptolemaic Army Pack” Vol.2,windows_min_METAL SLUG DEFENSE - “Ptolemaic Army Pack” Vol.2,windows_req_METAL SLUG DEFENSE - “Ptolemaic Army Pack” Vol.2,windows_req_METAL SLUG DEFENSE - “Ptolemaic Army Pack” Vol.2
операционная система,windows7,операционная система,windows7
процессор,intel core i5 2300 and up,процессор,intel core i5 2300 and up
оперативная память,1 gb,оперативная память,2 gb
видео карта,intel hd graphics,видео карта,nvidia geforce gt 640
диск,300 mb,диск,500 mb
,,,
windows_min_Wonder Boy Returns,windows_min_Wonder Boy Returns,windows_req_Wonder Boy Returns,windows_req_Wonder Boy Returns
операционная система,windows 7 (sp1) / windows 8 / windows 8.1 /,операционная система,windows 7 (sp1) / windows 8 / windows 8.1 /
процессор,2.6 ghz intel core™ i5-750 or 3.2 ghz amd phenom™ ii x4 955,процессор,2.5 ghz intel core™ i5-2400s or 4.0 ghz amd fx-8350
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 460 or amd radeon hd5850 (1 gb vram),видео карта,nvidia geforce gtx 680 or amd radeon r9 290x (2 gb vram)
,,,
windows_min_Survarium - Ultimate Steam Starter Pack,windows_min_Survarium - Ultimate Steam Starter Pack,windows_req_Survarium - Ultimate Steam Starter Pack,windows_req_Survarium - Ultimate Steam Starter Pack
операционная система,—,операционная система,—
процессор,—,процессор,—
оперативная память,4 gb,оперативная память,6 gb
видео карта,—,видео карта,—
directx,version 10,directx,version 11
сеть,широкополосное подключение,сеть,—
диск,16 gb,диск,16 gb
,,,
windows_min_Sacred 3: Underworld Story,windows_min_Sacred 3: Underworld Story,windows_req_Sacred 3: Underworld Story,windows_req_Sacred 3: Underworld Story
операционная система,windows vista sp2 / 7 / 8,операционная система,windows vista sp2 / 7 / 8
процессор,intel pentium d945 (dual core 3400 mhz)/ amd athlon 64 x2 6000+ (dual core 3000 mhz),процессор,intel core i5-4430 (quad core 3000 mhz) / amd phenom 9500 (quad core 2200 mhz)
оперативная память,2 gb,оперативная память,4 gb
видео карта,nvidia geforce gt 610 (1024mb) / ati radeon 4770 (512mb),видео карта,nvidia geforce gt 640 (2048mb) / ati radeon hd 5570 (1024mb)
directx,version 9.0c,directx,version 9.0c
диск,25 gb,диск,25 gb
,,,
windows_min_Metro Conflict: The Origin - TRISH Ghost Skin Pack,windows_min_Metro Conflict: The Origin - TRISH Ghost Skin Pack,windows_req_Metro Conflict: The Origin - TRISH Ghost Skin Pack,windows_req_Metro Conflict: The Origin - TRISH Ghost Skin Pack
операционная система,"microsoft windows 32bit xp(sp3), 7, 8, 10",операционная система,"microsoft windows 64bit xp(sp3), 7, 8, 10"
процессор,dual core 2.4ghz,процессор,dual core 2.4ghz
оперативная память,4 gb,оперативная память,4 gb
видео карта,intel hd3000,видео карта,geforce 9800gt
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
