windows_min_Sniper Ghost Warrior 3 Ц Death Pool weapon skin pack,windows_min_Sniper Ghost Warrior 3 Ц Death Pool weapon skin pack
операционна€ система,"windows 64bit (vista, 7, 8, 10)"
процессор,"cpu dual with hp or quad core, sse1-3, 4+ logical s"
оперативна€ пам€ть,8 gb
видео карта,geforce gtx 760 (2048 mb) or radeon hd 7870 (2048 mb)
directx,version 11
диск,50 gb
,
windows_min_One Piece Burning Blood - CHARACTER PACK,windows_min_One Piece Burning Blood - CHARACTER PACK,windows_req_One Piece Burning Blood - CHARACTER PACK,windows_req_One Piece Burning Blood - CHARACTER PACK
операционна€ система,windows 7,операционна€ система,windows 7
процессор,intel core i3-4170 @ 3.70ghz,процессор,intel core i5-4690kintel core i5-4690k @3.50ghz
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,8 gb
видео карта,nvidia@ geforce@ gtx 460,видео карта,nvidia@ geforce@ gtx 960
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,15 mb,диск,20 gb
,,,
windows_min_Mortal Kombat 11 Klassic Arcade Ninja Skin Pack†1,windows_min_Mortal Kombat 11 Klassic Arcade Ninja Skin Pack†1,windows_req_Mortal Kombat 11 Klassic Arcade Ninja Skin Pack†1,windows_req_Mortal Kombat 11 Klassic Arcade Ninja Skin Pack†1
операционна€ система,windows 7 / windows 10,операционна€ система,windows 7 / windows 10
процессор,"intel core i5-750, 2.66 ghz / amd phenom ii x4 965, 3.4 ghz or amd ryzenЩ 3 1200, 3.1 ghz",процессор,"intel core i5-2300, 2.8 ghz / amd fx-6300, 3.5ghz or amd ryzenЩ 5 1400, 3.2 ghz"
оперативна€ пам€ть,8 gb,оперативна€ пам€ть,8 gb
видео карта,nvidia geforceЩ gtx 670 or nvidia geforceЩ gtx 1050 / amd radeonЩ hd 7950 or amd radeonЩ r9 270,видео карта,nvidia geforceЩ gtx 780 or nvidia geforceЩ gtx 1060-6gb / amd radeonЩ r9 290 or rx 570
directx,version 11,directx,version 11
,,,
windows_min_Iron Armada,windows_min_Iron Armada,windows_req_Iron Armada,windows_req_Iron Armada
операционна€ система,"windows 7, windows 8.1, windows 10",операционна€ система,"windows 7, windows 8.1, windows 10"
процессор,700mhz,процессор,2.0ghz
оперативна€ пам€ть,512 mb,оперативна€ пам€ть,1 gb
видео карта,16mb,видео карта,512mb
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,51.45 mb,диск,51.45 mb
,,,
windows_min_DooM in the Dark,windows_min_DooM in the Dark,windows_req_DooM in the Dark,windows_req_DooM in the Dark
операционна€ система,windows 7/8/10,операционна€ система,windows 7/8/10
процессор,intel core i3,процессор,intel core i5
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,6 gb
видео карта,nvidia geforce 820m,видео карта,nvidia geforce 920mx
directx,version 9.0c,directx,version 11
диск,6 gb,диск,7 gb
,,,
windows_min_DEAD OR ALIVE 5 Last Round: Core Fighters Character: Pai,windows_min_DEAD OR ALIVE 5 Last Round: Core Fighters Character: Pai,windows_req_DEAD OR ALIVE 5 Last Round: Core Fighters Character: Pai,windows_req_DEAD OR ALIVE 5 Last Round: Core Fighters Character: Pai
операционна€ система,windows vista/7/8/8.1 (32bit/64bit),операционна€ система,windows vista/7/8/8.1 (32bit/64bit)
процессор,core i7 870 over,процессор,core i7 2600 over
оперативна€ пам€ть,2 gb,оперативна€ пам€ть,4 gb
видео карта,1280720 pixel over,видео карта,19201080 pixel over true color 4k compatible
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,10 gb,диск,10 gb
звукова€ карта,directx 9.0c over,звукова€ карта,directx 9.0c over
,,,
windows_min_Call of DutyЃ: Black Ops III - Revelations Zombies Map,windows_min_Call of DutyЃ: Black Ops III - Revelations Zombies Map
операционна€ система,10.13.6 (high sierra)
процессор,intel coreЩ i5 (4 cores) @ 2.3 ghz
оперативна€ пам€ть,8 gb
видео карта,ati radeonЩ m295x @ 2gb
directx,version 11
сеть,широкополосное подключение
диск,150 gb
звукова€ карта,directx compatible
,
windows_min_Pac-Man Championship Edition DX+: Pac is Back Skin,windows_min_Pac-Man Championship Edition DX+: Pac is Back Skin
операционна€ система,"windows xp, windows vista, windows 7, windows 8"
процессор,1 ghz or faster 32-bit (x86) or (x64)
оперативна€ пам€ть,1 gb
видео карта,directx 9 graphics device
directx,version 9.0c
диск,500 mb
,
windows_min_Devil May Cry 5 - 300000 Red Orbs,windows_min_Devil May Cry 5 - 300000 Red Orbs,windows_req_Devil May Cry 5 - 300000 Red Orbs,windows_req_Devil May Cry 5 - 300000 Red Orbs
операционна€ система,"windows 7, 8.1, 10",операционна€ система,"windows 7, 8.1, 10"
процессор,"intel coreЩ i5-4460, amd fxЩ-6300,",процессор,"intel coreЩ i7-3770, amd fxЩ-9590,"
оперативна€ пам€ть,8 gb,оперативна€ пам€ть,8 gb
видео карта,"nvidia geforce gtx 760 or amd radeonЩ r7 260x with 2gb video,",видео карта,"nvidia geforce gtx 1060 with 6gb vram, amd radeonЩ rx 480 with 8gb vram,"
directx,version 11,directx,version 11
диск,35 gb,диск,35 gb
,,,
windows_min_Strength of the Sword ULTIMATE,windows_min_Strength of the Sword ULTIMATE,windows_req_Strength of the Sword ULTIMATE,windows_req_Strength of the Sword ULTIMATE
операционна€ система,windows 7,операционна€ система,windows 7
процессор,"core 2 duo, 1.6 ghz",процессор,core i3
оперативна€ пам€ть,2 gb,оперативна€ пам€ть,2 gb
видео карта,directx 10 compatible video card,видео карта,directx 11 compatible video card
directx,version 10,directx,version 11
диск,2 gb,диск,2 gb
звукова€ карта,xaudio compatible sound card,звукова€ карта,xaudio compatible sound card
,,,
windows_min_Mortal Kombat 11 Frost,windows_min_Mortal Kombat 11 Frost,windows_req_Mortal Kombat 11 Frost,windows_req_Mortal Kombat 11 Frost
операционна€ система,windows 7 / windows 10,операционна€ система,windows 7 / windows 10
процессор,"intel core i5-750, 2.66 ghz / amd phenom ii x4 965, 3.4 ghz or amd ryzenЩ 3 1200, 3.1 ghz",процессор,"intel core i5-2300, 2.8 ghz / amd fx-6300, 3.5ghz or amd ryzenЩ 5 1400, 3.2 ghz"
оперативна€ пам€ть,8 gb,оперативна€ пам€ть,8 gb
видео карта,nvidia geforceЩ gtx 670 or nvidia geforceЩ gtx 1050 / amd radeonЩ hd 7950 or amd radeonЩ r9 270,видео карта,nvidia geforceЩ gtx 780 or nvidia geforceЩ gtx 1060-6gb / amd radeonЩ r9 290 or rx 570
directx,version 11,directx,version 11
,,,
windows_min_Call of DutyЃ: Ghosts - Hazmat Special Character,windows_min_Call of DutyЃ: Ghosts - Hazmat Special Character,windows_req_Call of DutyЃ: Ghosts - Hazmat Special Character,windows_req_Call of DutyЃ: Ghosts - Hazmat Special Character
операционна€ система,windows 7 / windows 8,операционна€ система,windows 7 / windows 8
процессор,intel coreЩ 2 duo e8200 2.66 ghz / amd phenomЩ x3 8750 2.4 ghz,процессор,intel coreЩ i5 - 680 @ 3.6ghz
оперативна€ пам€ть,6 gb,оперативна€ пам€ть,8 gb
видео карта,nvidia geforceЩ gtx gts 450 / ati radeonЩ hd 5870,видео карта,nvidia geforceЩ gtx 760 @ 4gb
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,40 gb,диск,40 gb
звукова€ карта,directx compatible sound card,звукова€ карта,directx compatible sound card
,,,
windows_min_Sleeping Dogs: The SWAT Pack,windows_min_Sleeping Dogs: The SWAT Pack,windows_req_Sleeping Dogs: The SWAT Pack,windows_req_Sleeping Dogs: The SWAT Pack
операционна€ система,windows vista service pack 2,операционна€ система,windows 7
процессор,core 2 duo 2.4 ghz or althon x2 2.7 ghz,процессор,quad-core intel or amd cpu
оперативна€ пам€ть,2gb,оперативна€ пам€ть,4gb
диск,15gb,диск,15gb
видео карта,"directx 10 or 11 compatible nvidia or amd ati card, ati radeon 3870 or higher, nvidia geforce 8800 gt or higher",видео карта,"directx 11 nvidia or amd ati card, nvidia geforce gtx 560 or ati radeon 6950"
directx,10,directx,11
,,,
windows_min_REKT! High Octane Stunts,windows_min_REKT! High Octane Stunts
операционна€ система,windows 7 / 8 / 10
процессор,"intel core 2 duo or amd, 2,4ghz or faster"
оперативна€ пам€ть,4 gb
видео карта,nvidia geforce gtx 560ti or amd radeon hd 7850
,
windows_min_Resident Evil 0 Costume Pack 4,windows_min_Resident Evil 0 Costume Pack 4,windows_req_Resident Evil 0 Costume Pack 4,windows_req_Resident Evil 0 Costume Pack 4
,,,
windows_min_Geometry May. I swear it's a nice free game,windows_min_Geometry May. I swear it's a nice free game
операционна€ система,windows 7
процессор,intel core 2 duo 2.1 ghz
видео карта,"2nd generation intel core hd graphics (2000 / 3000), 256mb"
,
windows_min_Tales of Glacier (VR),windows_min_Tales of Glacier (VR),windows_req_Tales of Glacier (VR),windows_req_Tales of Glacier (VR)
операционна€ система,windows7,операционна€ система,windows10
процессор,i5,процессор,i7
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,16 gb
видео карта,gtx970,видео карта,gtx980
,,,
windows_min_Vaccine War,windows_min_Vaccine War,macos_min_Vaccine War,macos_min_Vaccine War,linux_min_Vaccine War,linux_min_Vaccine War
операционна€ система,windows vista,операционна€ система,os 10.6+,операционна€ система,ubuntu 12.04
процессор,intel coreЩ duo or faster,процессор,2.8 ghz intel core 2 duo,процессор,intel coreЩ duo or faster
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,4 gb,видео карта,4 gb de
видео карта,opengl 3.0 compliant video card,диск,500 mb,,
диск,500 mb,дополнительно,"playable with keyboard + mouse, or xbox 360 controller, or ps3 controller",,
,,,,,
windows_min_Conflict: Denied Ops Demo,windows_min_Conflict: Denied Ops Demo
операционна€ система,"microsoftЃ windowsЃ xp, 2000 or vista (admin rights required)"
процессор,intel core 2 duo / athlon 64 x2 multi-core cpu
видео карта,256mb direct x 9.0c card with full shader 3.0 support (nvidia 7900gs )
directx,directx 9.0c
оперативна€ пам€ть,2 gb (required for 8-player multiplayer games)
звукова€ карта,sound blasterЃ x-fiЩ series
диск,7 gb uncompressed free hard disk space
,
windows_min_Virtual Surfing,windows_min_Virtual Surfing,windows_req_Virtual Surfing,windows_req_Virtual Surfing
операционна€ система,windows 7,операционна€ система,windows 10
процессор,2.5 ghz,процессор,dual core 3.5 ghz
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,6 gb
видео карта,2 gb vram opengl 3.3 compatible,видео карта,amd radeon r9 290 / nvidia geforce gtx 780
,,,
windows_min_RE6 / BH6: Onslaught Mode,windows_min_RE6 / BH6: Onslaught Mode,windows_req_RE6 / BH6: Onslaught Mode,windows_req_RE6 / BH6: Onslaught Mode
операционна€ система,"windows vista/xp, windows 7, windows 8",операционна€ система,"windows vista/xp, windows 7, windows 8"
процессор,"intel coretm2 duo 2.4 ghz, amd athlontm x2 2.8 ghz",процессор,"intel coretm2 quad 2.7 ghz, amd phenomtm ii x4 3 ghz"
оперативна€ пам€ть,2 gb,оперативна€ пам€ть,4 gb
видео карта,nvidia geforce 8800gts,видео карта,nvidia geforce gtx 560
directx,9.0c,directx,9.0c
диск,16 gb hd space,диск,16 gb hd space
звукова€ карта,standard audio device,звукова€ карта,standard audio device
,,,
windows_min_One Piece Burning Blood - Wanted Pack,windows_min_One Piece Burning Blood - Wanted Pack,windows_req_One Piece Burning Blood - Wanted Pack,windows_req_One Piece Burning Blood - Wanted Pack
операционна€ система,windows 7,операционна€ система,windows 7
процессор,intel core i3-4170 @ 3.70ghz,процессор,intel core i5-4690k @3.50ghz
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,8 gb
видео карта,nvidia@ geforce@ gtx 460,видео карта,nvidia@ geforce@ gtx 960
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,15 gb,диск,20 gb
,,,
windows_min_Giana Sisters: Twisted Dreams Demo,windows_min_Giana Sisters: Twisted Dreams Demo,windows_req_Giana Sisters: Twisted Dreams Demo,windows_req_Giana Sisters: Twisted Dreams Demo
операционна€ система,windows xp,операционна€ система,windows vista / windows 7
процессор,intel core 2 duo @ 2.8 ghz / amd athlon ii x2 @ 2.8 ghz,процессор,intel core i5 @ 2.66 ghz / amd phenom ii x4 @ 3.0 ghz (or any dual core cpu)
оперативна€ пам€ть,2 gb,оперативна€ пам€ть,3 gb
диск,3.3 gb,диск,3.3 gb
видео карта,"sm3.0 dx9.0c level hardware (nvidia geforce 6800, ati x1800 xt or higher)",видео карта,"nvidia geforce gtx 280, ati hd 4800 or higher"
directx,9,directx,10
additional,keyboard,additional,Ч
,,,
windows_min_How To Be A Real Dude,windows_min_How To Be A Real Dude,windows_req_How To Be A Real Dude,windows_req_How To Be A Real Dude
операционна€ система,"windows xp, 7, 8, 10",операционна€ система,"windows xp, 7, 8, 10"
процессор,dual core 2.4 ghz,процессор,dual core 2.4 ghz
оперативна€ пам€ть,2 gb,оперативна€ пам€ть,4 gb
видео карта,geforce gtx 550,видео карта,geforce gtx 970
,,,
windows_min_World of Speed - Subaru BRZ,windows_min_World of Speed - Subaru BRZ,windows_req_World of Speed - Subaru BRZ,windows_req_World of Speed - Subaru BRZ
операционна€ система,windows 7 x64 sp1 (dxdiag),операционна€ система,wwindows 7 x64 sp1 (dxdiag)
процессор,"intel(r) core(tm) i3 cpu, 3.5ghz",процессор,"intel(r) core(tm) i5 cpu, 3.5ghz or higher"
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,8 gb
видео карта,nvidia geforce gt 440 1gb / nvidia geforce gt 620 1gb or amd radeon r7 240 2g,видео карта,nvidia geforce gtx 660 4gb or amd radeon r9 270 4gb or higher
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,12 gb,диск,12 gb
,,,
macos_min_Arma: Cold War Assault Mac/Linux,macos_min_Arma: Cold War Assault Mac/Linux,macos_req_Arma: Cold War Assault Mac/Linux,macos_req_Arma: Cold War Assault Mac/Linux
операционна€ система,"fedora 25, ubuntu 16.04, steamos, mint 18 ( os required)",операционна€ система,"fedora 25, ubuntu 16.04, steamos, mint 18 ( os required)"
процессор,1+ ghz,процессор,intel core 2 duo 2.66 ghz or amd equivalent
оперативна€ пам€ть,2 gb,оперативна€ пам€ть,4 gb
видео карта,opengl 3.2+ capable gpu with latest nvidia or mesa drivers,видео карта,nvidia geforce gtx 260 with 512 mb vram or amd radeon hd 7850 withg 1 gb vram
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,800 mb,диск,1 gb
звукова€ карта,openal sound compatible audiocard,звукова€ карта,openal sound compatible audiocard
,,,
windows_min_Closers: Collector's Edition,windows_min_Closers: Collector's Edition,windows_req_Closers: Collector's Edition,windows_req_Closers: Collector's Edition
операционна€ система,windows 7,операционна€ система,windows 7
процессор,intel/amd dual core,процессор,intel core i3
оперативна€ пам€ть,2 gb,оперативна€ пам€ть,4 gb
видео карта,geforce 7600,видео карта,geforce 8000
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_I saw IT,windows_min_I saw IT,windows_req_I saw IT,windows_req_I saw IT
операционна€ система,windows 7/8.1/10/vista/xp (32 or ),операционна€ система,windows 7/8.1/10/vista/xp (32 or )
процессор,dual core 2.0ghz,процессор,intel quad-core (i5 2300) or amd octo-core (fx 8150)
оперативна€ пам€ть,2 gb,оперативна€ пам€ть,4 gb
видео карта,"nvidia geforce 400 series or amd radeon hd 6000 series, 1gb video card (minimum shader model 2.0)",видео карта,"nvidia geforce 660ti, amd radeon hd 7950, 2gb video card (minimum shader model 2.0)"
directx,version 9.0,directx,version 10
диск,1 gb,диск,2 gb
,,,
windows_min_Trove - Square Necessities Pack,windows_min_Trove - Square Necessities Pack
операционна€ система,10.7.5
процессор,intel core i5
оперативна€ пам€ть,1 gb
видео карта,intel hd 4000
directx,version 10
сеть,широкополосное подключение
диск,1 gb
,
windows_min_Kingdom Come: Deliverance Ц OST Essentials,windows_min_Kingdom Come: Deliverance Ц OST Essentials
операционна€ система,os windows 7 or windows 8 (8.1)
процессор,"intel cpu core i5-2500k 3.3ghz, amd cpu phenom ii x4 940"
оперативна€ пам€ть,512 mb
видео карта,"nvidia gpu geforce gtx 660, amd gpu radeon hd 7870"
диск,100 mb
звукова€ карта,creative sound blaster zx
,
windows_min_War Thunder - Black Prince Pack,windows_min_War Thunder - Black Prince Pack,windows_req_War Thunder - Black Prince Pack,windows_req_War Thunder - Black Prince Pack,macos_min_War Thunder - Black Prince Pack,macos_min_War Thunder - Black Prince Pack,macos_req_War Thunder - Black Prince Pack,macos_req_War Thunder - Black Prince Pack,linux_min_War Thunder - Black Prince Pack,linux_min_War Thunder - Black Prince Pack,linux_req_War Thunder - Black Prince Pack,linux_req_War Thunder - Black Prince Pack
операционна€ система,windows vista/7/8/10,операционна€ система,windows 7 64bit / 8 64bit / 10 64bit,операционна€ система,sierra 10.12,операционна€ система,sierra 10.12,операционна€ система,"most modern 64bit linux distributions, steamos",операционна€ система,"ubuntu 14.04 64bit, steamos"
процессор,"2,2 ghz",процессор,intel core i5,процессор,dual-core 2.4 ghz (xeon s not supported),процессор,intel core i7 (xeon s not supported),процессор,dual-core 2.4 ghz,процессор,intel core i7
оперативна€ пам€ть,4gb (windows vista/7/8/10),оперативна€ пам€ть,8 gb,оперативна€ пам€ть,4 gb,оперативна€ пам€ть,8 gb,оперативна€ пам€ть,4 gb,оперативна€ пам€ть,8 gb
видео карта,intel hd graphics 4000 / amd radeon 46xx / nvidia geforce gt 520 (the minimum supported resolution for the game is 720p),видео карта,"nvidia geforce gtx 960 or higher, amd r9 280 or higher (directx 11 level video card and drivers)",видео карта,intel 4000 hd/radeon hd5550 / geforce 8800 (the minimum supported resolution for the game is 720p),видео карта,nvidia geforce gtx 680m or higher,видео карта,nvidia 660 with latest proprietary drivers (not older than 6 months) / similar amd with latest proprietary drivers (not older than 6 months; the minimum supported resolution for the game is 720p),видео карта,nvidia 960 with latest proprietary drivers (not older than 6 months) / similar amd with latest proprietary drivers (not older than 6 months)
диск,8.46 gb hd space,диск,21 gb hd space,диск,8.61 gb hd space,диск,22.65 gb hd space,диск,8.6 gb hd space,диск,22.6 gb hd space
,,,,,,,,,,,
windows_min_Monster Showdown,windows_min_Monster Showdown
операционна€ система,windows 10
процессор,intel core i5-4590 or higher
оперативна€ пам€ть,8 gb
видео карта,nvidia gtx 970 or amd radeon r9 290 or higher
directx,version 11
,
windows_min_DC Universe OnlineЩ - Episode 31 : Deluge,windows_min_DC Universe OnlineЩ - Episode 31 : Deluge
операционна€ система,windows 7
процессор,p4 3.0ghz or amd equivalent
оперативна€ пам€ть,1gb
диск,30 gb of free hard drive space
видео карта,nvidia 7800gtx+ or ati 1950+ video card
звукова€ карта,on board
,
windows_min_The Guise,windows_min_The Guise
операционна€ система,windows 7
процессор,2 ghz
оперативна€ пам€ть,4 gb
видео карта,1024 mb
диск,1 gb
,
windows_min_Kung Fu Panda: Spirit Realm,windows_min_Kung Fu Panda: Spirit Realm,windows_req_Kung Fu Panda: Spirit Realm,windows_req_Kung Fu Panda: Spirit Realm
операционна€ система,"windows xp sp3, windows vista sp1, windows 7",операционна€ система,windows 7
процессор,2.0ghz dual core cpu (any core 2 duo or amd x2 ),процессор,any quad-core intel or amd
оперативна€ пам€ть,1 gb,оперативна€ пам€ть,2 gb
видео карта,512 mb video card using shader model 3 or higher (performance equivalent to amd radeon 4350 or nvidia geforce 7900),видео карта,1 gb video card using shader model 3 or higher (performance equivalent to nvidia 9800 )
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Call of DutyЃ: Black Ops II - African Flags of the World Calling Card Pack,windows_min_Call of DutyЃ: Black Ops II - African Flags of the World Calling Card Pack
операционна€ система,windows xp sp3/windows vista/windows 7/ windows 8
процессор,intel core 2 duo e4400 @ 2.00 ghz or amd athlon 64 x2 4000+ @ 2.0 ghz
оперативна€ пам€ть,2 gb
видео карта,amd radeon hd 4670 512mb or nvidia geforce 8800 gt 512mb
directxЃ,9.0c
диск,9 gb hd space
звукова€ карта,directx 9.0c
,
windows_min_Devil May Cry 5 - V & Vergil Alt Colors,windows_min_Devil May Cry 5 - V & Vergil Alt Colors,windows_req_Devil May Cry 5 - V & Vergil Alt Colors,windows_req_Devil May Cry 5 - V & Vergil Alt Colors
операционна€ система,"windows 7, 8.1, 10",операционна€ система,"windows 7, 8.1, 10"
процессор,"intel coreЩ i5-4460, amd fxЩ-6300,",процессор,"intel coreЩ i7-3770, amd fxЩ-9590,"
оперативна€ пам€ть,8 gb,оперативна€ пам€ть,8 gb
видео карта,"nvidia geforce gtx 760 or amd radeonЩ r7 260x with 2gb video,",видео карта,"nvidia geforce gtx 1060 with 6gb vram, amd radeonЩ rx 480 with 8gb vram,"
directx,version 11,directx,version 11
диск,35 gb,диск,35 gb
,,,
windows_min_Deep the Game,windows_min_Deep the Game,windows_req_Deep the Game,windows_req_Deep the Game,macos_min_Deep the Game,macos_min_Deep the Game,macos_req_Deep the Game,macos_req_Deep the Game,linux_min_Deep the Game,linux_min_Deep the Game,linux_req_Deep the Game,linux_req_Deep the Game
операционна€ система,windows xp,операционна€ система,windows 10,операционна€ система,10.6,операционна€ система,10.14,операционна€ система,"ubuntu 14.04, debian 8+, opensuse 13.3+, or fedora linux 24+",операционна€ система,ubuntu 18.10+
процессор,intel pentium 4,процессор,intel core 2 duo,процессор,intel core 2,процессор,intel core 2,процессор,intel pentium 4,процессор,intel core i5-4200m
оперативна€ пам€ть,500 mb,оперативна€ пам€ть,2 gb,оперативна€ пам€ть,500 mb,оперативна€ пам€ть,2 gb,оперативна€ пам€ть,500 mb,оперативна€ пам€ть,2 gb
диск,100 mb,диск,100 mb,диск,100 mb,диск,100 mb,диск,100 mb,диск,100 mb
видео карта,Ч,видео карта,intel hd graphics 4600,,,,,дополнительно,Ч,дополнительно,the game will run fine on any components from 2009 and newer.
,,,,,,,,,,,
windows_min_30 days to survive,windows_min_30 days to survive,windows_req_30 days to survive,windows_req_30 days to survive
операционна€ система,windows xp and newer,операционна€ система,windows xp and newer
процессор,athlon 2 x3 450,процессор,amd fx6300
оперативна€ пам€ть,1024 mb,оперативна€ пам€ть,2048 mb
видео карта,geforce en9600 gt,видео карта,gtx 750ti
,,,
windows_min_Battle Royale: Survivors :,windows_min_Battle Royale: Survivors :
операционна€ система,windows xp sp3
процессор,2 ghz
оперативна€ пам€ть,2 gb
видео карта,512 vram
directx,version 9.0c
сеть,широкополосное подключение
,
windows_min_Overcooked! 2 - Night of the Hangry Horde,windows_min_Overcooked! 2 - Night of the Hangry Horde,windows_req_Overcooked! 2 - Night of the Hangry Horde,windows_req_Overcooked! 2 - Night of the Hangry Horde,macos_min_Overcooked! 2 - Night of the Hangry Horde,macos_min_Overcooked! 2 - Night of the Hangry Horde,macos_req_Overcooked! 2 - Night of the Hangry Horde,macos_req_Overcooked! 2 - Night of the Hangry Horde,linux_min_Overcooked! 2 - Night of the Hangry Horde,linux_min_Overcooked! 2 - Night of the Hangry Horde,linux_req_Overcooked! 2 - Night of the Hangry Horde,linux_req_Overcooked! 2 - Night of the Hangry Horde
операционна€ система,win7-,операционна€ система,win7 -,операционна€ система,macos sierra - 10.12.6,операционна€ система,macos high sierra - 10.13.1,операционна€ система,mint 18 / ubuntu 16.04.01,операционна€ система,mint 18 / ubuntu 16.04.01
процессор,intel i3-2100 / amd a8-5600k,процессор,intel i5-650 / amd a10-5800k,процессор,2.7 ghz intel core i5,процессор,3.1 ghz intel core i5,процессор,intel i3-2100 / amd a8-5600k,процессор,3.1 ghz intel core i5
оперативна€ пам€ть,4 gb,оперативна€ пам€ть,Ч,оперативна€ пам€ть,4 gb,оперативна€ пам€ть,4 gb,оперативна€ пам€ть,4 gb,оперативна€ пам€ть,Ч
видео карта,geforce gtx 630 / radeon hd 6570,видео карта,nvidia geforce gtx 650 / radeon hd 7510,видео карта,nvidia geforce gt 640m,видео карта,amd radeon pro 560 / nvidia geforce gtx 780m,видео карта,geforce 450gts,видео карта,amd radeon pro 560 / nvidia geforce gtx 780m
directx,version 11,directx,Ч,диск,3 gb,диск,Ч,диск,3 gb,диск,Ч
диск,3 gb,диск,Ч,звукова€ карта,directx compatible sound card,звукова€ карта,directx compatible sound card,,,,
,,,,,,,,,,,
