windows_min_SteamWorld Dig,windows_min_SteamWorld Dig,macos_min_SteamWorld Dig,macos_min_SteamWorld Dig,linux_min_SteamWorld Dig,linux_min_SteamWorld Dig
операционная система,windows xp (),операционная система,10.7,операционная система,ubuntu 12.04
процессор,2 ghz,процессор,2 ghz,процессор,2 ghz
оперативная память,512 mb,оперативная память,512 mb,оперативная память,512 mb
видео карта,"opengl 2.1-compatible, 384 mb video memory, framebuffer object support",видео карта,"opengl 2.1-compatible, 384 mb video memory, framebuffer object support",видео карта,"opengl 2.1-compatible, 384 mb video memory, framebuffer object support"
диск,193 mb,диск,120 mb,диск,80 mb
звуковая карта,openal-compatible,звуковая карта,openal-compatible,звуковая карта,openal-compatible
,,,,,
windows_min_Hob,windows_min_Hob
операционная система,windows 7 sp1 / 8.1 / 10
процессор,i3 sandy bridge dual core
оперативная память,4 gb
видео карта,2gb of vram; nvidia geforce gtx 500 series / amd radeon hd 7000 series
directx,version 11
диск,5 gb
,
windows_min_Vagante,windows_min_Vagante
операционная система,windows 7
процессор,intel i3-4005u @ 1.7 ghz
оперативная память,1 gb
видео карта,geforce 9400m
,
windows_min_Lethal League Blaze,windows_min_Lethal League Blaze,windows_req_Lethal League Blaze,windows_req_Lethal League Blaze,macos_min_Lethal League Blaze,macos_min_Lethal League Blaze,macos_req_Lethal League Blaze,macos_req_Lethal League Blaze,linux_min_Lethal League Blaze,linux_min_Lethal League Blaze,linux_req_Lethal League Blaze,linux_req_Lethal League Blaze
операционная система,windows 7,операционная система,windows 10,операционная система,os x 10.6.8,операционная система,—,операционная система,ubuntu 14.04,операционная система,—
процессор,intel core i3 2.5ghz or amd phenom 2.5ghz,процессор,intel core i5 3.2ghz or amd 4.0ghz,процессор,core 2 duo 2ghz+,процессор,—,процессор,core 2 duo - 2.0 ghz or higher,процессор,—
оперативная память,4 gb,оперативная память,8 gb,оперативная память,4 gb,оперативная память,—,оперативная память,4 gb,оперативная память,—
видео карта,nvidia geforce gtx 460 or ati radeon hd 5850,видео карта,nvidia geforce gtx 760 or amd r9 270x,диск,4 gb,диск,—,диск,4 gb,диск,—
directx,version 11,directx,version 11,,,,,,,,
сеть,широкополосное подключение,сеть,широкополосное подключение,,,,,,,,
диск,4 gb,диск,4 gb,,,,,,,,
,,,,,,,,,,,
windows_min_Caster,windows_min_Caster
операционная система,"os x version leopard 10.5.8, snow leopard 10.6.3,"
процессор,800 mhz
оперативная память,64 mb
видео карта,16 mb graphics card (geforce 2 )
диск,32 mb
звуковая карта,directx compatible
,
windows_min_Blood: Fresh Supply™,windows_min_Blood: Fresh Supply™,windows_req_Blood: Fresh Supply™,windows_req_Blood: Fresh Supply™
операционная система,windows 7 (32-bit not supported),операционная система,windows 10 (32-bit not supported)
процессор,intel or amd dual-core at 2.0 ghz,процессор,intel core i5-2300 2.8 ghz/amd phenom ii x4 945 3.0 ghz
оперативная память,1 gb,оперативная память,2 gb
видео карта,gpu with opengl 3.2 or directx 10 support (256 mb),видео карта,—
directx,version 11,directx,—
диск,1 gb,диск,1 gb
звуковая карта,100% directx compatible sound card or onboard sound,звуковая карта,100% directx compatible sound card or onboard sound
,,,
windows_min_Hammerwatch,windows_min_Hammerwatch,windows_req_Hammerwatch,windows_req_Hammerwatch
операционная система,10.8,операционная система,10.8
процессор,1.8 ghz,процессор,any dual core
оперативная память,1 gb,оперативная память,1 gb
видео карта,opengl 1.4 compatible,видео карта,opengl 2.0 compatible
,,,
windows_min_Mr. Prepper,windows_min_Mr. Prepper,windows_req_Mr. Prepper,windows_req_Mr. Prepper
операционная система,windows 8/7/vista/xp,операционная система,windows 7
процессор,3.2 ghz dual core,процессор,3.2 ghz quad core
оперативная память,4 gb,оперативная память,6 gb
видео карта,nvidia geforce 520m or intel hd 4000,видео карта,"geforce 970, radeon rx 580 with 4gb of video"
directx,version 9.0c,directx,version 11
,,,
windows_min_We Need To Go Deeper,windows_min_We Need To Go Deeper
операционная система,mac os 10.12
процессор,"intel core™ i5-2450m (3m cache, up to 3.10 ghz)"
оперативная память,4 gb
видео карта,intel(r) hd graphics 3000
directx,version 9.0c
,
windows_min_Stationeers,windows_min_Stationeers,windows_req_Stationeers,windows_req_Stationeers
операционная система,windows 7+,операционная система,windows 10
процессор,intel core i5 2500k or amd equivalent,процессор,intel core i7 4790k or amd equivalent
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 660 2 gb or amd equivalent,видео карта,nvidia geforce gtx 970 or amd equivalent
directx,version 11,directx,version 11
диск,1 gb,диск,1 gb
дополнительно,voice control requires windows 10,дополнительно,—
,,,
windows_min_Beyond The Wire,windows_min_Beyond The Wire,windows_req_Beyond The Wire,windows_req_Beyond The Wire
операционная система,windows 10 (),операционная система,windows 10 ()
процессор,intel core i or amd ryzen with 4 physical cores,процессор,intel core i or amd ryzen with 6 physical cores
оперативная память,8 gb,оперативная память,16 gb
видео карта,geforce gtx 970 or amd radeon r9 380 with at least 4 gb of vram,видео карта,nvidia gtx 1060 or amd radeon 570 with at least 6gb of vram
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,40 gb,диск,40 gb
,,,
windows_min_Battlerite Royale,windows_min_Battlerite Royale
операционная система,windows xp
процессор,dual core from intel or amd at 2.8 ghz
оперативная память,4 gb
видео карта,intel hd 3000
directx,version 9.0c
