windows_min_SteamDolls - Order Of Chaos : Concept Demo,windows_min_SteamDolls - Order Of Chaos : Concept Demo,windows_req_SteamDolls - Order Of Chaos : Concept Demo,windows_req_SteamDolls - Order Of Chaos : Concept Demo
операционная система,windows 7,операционная система,windows 10
процессор,intel core 2 duo e4500 @ 2.2ghz or amd athlon 64 x2 5600+ @ 2.8 ghz,процессор,intel core i5 2300 or amd fx6120
оперативная память,4 gb,оперативная память,4 gb
видео карта,geforce 240 gt or radeon hd 6570 – 1024 mb (1 gig),видео карта,geforce gtx 550 ti or radeon hd 6770
directx,version 11,directx,version 11
,,,
windows_min_Horizon Chase Turbo - Rookie Series,windows_min_Horizon Chase Turbo - Rookie Series,windows_req_Horizon Chase Turbo - Rookie Series,windows_req_Horizon Chase Turbo - Rookie Series,macos_min_Horizon Chase Turbo - Rookie Series,macos_min_Horizon Chase Turbo - Rookie Series,macos_req_Horizon Chase Turbo - Rookie Series,macos_req_Horizon Chase Turbo - Rookie Series,linux_min_Horizon Chase Turbo - Rookie Series,linux_min_Horizon Chase Turbo - Rookie Series,linux_req_Horizon Chase Turbo - Rookie Series,linux_req_Horizon Chase Turbo - Rookie Series
операционная система,windows 7,операционная система,windows 7,операционная система,10.11 el capitan,операционная система,10.13 high sierra,операционная система,linux ubuntu 16.04,операционная система,linux ubuntu 16.04
процессор,intel core 2 duo 2.0 ghz,процессор,intel core i5 2.5 ghz,процессор,intel core 2 duo 2.0 ghz,процессор,intel core i5 2.5 ghz,процессор,intel core 2 duo 2.0 ghz,процессор,intel core i5 2.5 ghz
оперативная память,2 gb,оперативная память,4 gb,оперативная память,2 gb,оперативная память,4 gb,оперативная память,2 gb,оперативная память,4 gb
видео карта,intel hd graphics 4000,видео карта,geforce 8000 series,видео карта,intel hd graphics 4000,видео карта,geforce 8000 series,видео карта,intel hd graphics 4000,видео карта,geforce 8000 series
directx,version 9.0,directx,version 9.0,диск,500 mb,диск,800 mb,диск,500 mb,диск,800 mb
диск,500 mb,диск,800 mb,сеть,—,сеть,широкополосное подключение,,,,
,,,,,,,,,,,
windows_min_busy spider,windows_min_busy spider,windows_req_busy spider,windows_req_busy spider
операционная система,windows 7 /windows 8 /windows 10,операционная система,windows 7 /windows 8 /windows 10
процессор,inter core i3-2100 / amd fx-6300,процессор,inter core i3-2100 / amd fx-6300
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 760 / amd radeon hd,видео карта,nvidia geforce gtx 760 / amd radeon hd
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,7 gb,диск,7 gb
,,,
windows_min_World of Speed - BMW M3 E30,windows_min_World of Speed - BMW M3 E30,windows_req_World of Speed - BMW M3 E30,windows_req_World of Speed - BMW M3 E30
операционная система,windows 7 x64 sp1 (dxdiag),операционная система,windows 7 x64 sp1 (dxdiag)
процессор,"intel(r) core(tm) i3 cpu, 3.5ghz",процессор,"intel(r) core(tm) i5 cpu, 3.5ghz or higher"
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gt 440 1gb / nvidia geforce gt 620 1gb or amd radeon r7 240 2g,видео карта,nvidia geforce gtx 660 4gb or amd radeon r9 270 4gb or higher
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,12 gb,диск,12 gb
,,,
windows_min_The Escapists - Fhurst Peak Correctional Facility,windows_min_The Escapists - Fhurst Peak Correctional Facility,macos_min_The Escapists - Fhurst Peak Correctional Facility,macos_min_The Escapists - Fhurst Peak Correctional Facility,linux_min_The Escapists - Fhurst Peak Correctional Facility,linux_min_The Escapists - Fhurst Peak Correctional Facility
операционная система,windows xp,операционная система,osx 10.8 mountain lion,операционная система,minimum ubuntu - 12.04; recommended ubuntu - 14.04
процессор,dual core cpu 2.4 ghz,процессор,2ghz intel core 2 duo,процессор,dual core cpu 2.4 ghz
оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb
видео карта,"intel hd graphics 4000, nvidia geforce 8000, ati radeon hd 4800 series",видео карта,nvidia geforce 9400m,видео карта,"intel hd graphics 4000, nvidia geforce 8000, ati radeon hd 4800 series"
звуковая карта,windows compatible card,,,звуковая карта,linux compatible card
,,,,,
windows_min_Call of Duty®: Ghosts - Devastation,windows_min_Call of Duty®: Ghosts - Devastation,windows_req_Call of Duty®: Ghosts - Devastation,windows_req_Call of Duty®: Ghosts - Devastation
операционная система,windows 7 / windows 8,операционная система,windows 7 / windows 8
процессор,intel core™ 2 duo e8200 2.66 ghz / amd phenom™ x3 8750 2.4 ghz,процессор,intel core™ i5 - 680 @ 3.6ghz
оперативная память,6 gb,оперативная память,8 gb
видео карта,nvidia geforce™ gtx gts 450 / ati radeon™ hd 5870,видео карта,nvidia geforce™ gtx 760 @ 4gb
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,40 gb,диск,40 gb
звуковая карта,directx compatible sound card,звуковая карта,directx compatible sound card
,,,
windows_min_Delta Force: Task Force Dagger,windows_min_Delta Force: Task Force Dagger
операционная система,microsoft windows 2000/xp/vista
процессор,intel pentium ii 400mhz
оперативная память,128 mb
диск,480 mb
видео карта,direct3d with 32 mb
звуковая карта,directx-compliant
,
windows_min_War Rock,windows_min_War Rock,windows_req_War Rock,windows_req_War Rock
операционная система,window 7 / 2000 / xp / vista,операционная система,window 7 / 2000 / xp / vista / 10
процессор,intel pentium 4 / amd athlon 64,процессор,intel dual core / intel i3 / amd phenom
оперативная память,1 gb,оперативная память,4 gb
видео карта,geforce 6800 / radeon x550,видео карта,nvidia gtx560 / amd hd7770
directx,version 9.0,directx,version 9.0
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Saints Row IV: Presidential Pack,windows_min_Saints Row IV: Presidential Pack,windows_req_Saints Row IV: Presidential Pack,windows_req_Saints Row IV: Presidential Pack
операционная система,ubuntu 14.04.3 lts or steamos brewmaster,операционная система,ubuntu 14.04.3 lts or steamos brewmaster
процессор,intel core i3-2100 (3.1 ghz) or amd athlon ii x4 645 am3 (3.1 ghz),процессор,intel core i5-2500k (3.3 ghz) or amd fx-4300 (3.8 ghz)
оперативная память,4096 mb,оперативная память,8192 mb
видео карта,geforce gt 440 (1024 mb) or radeon hd 6670 (1024 mb),видео карта,geforce gtx 660 (2048 mb) or radeon hd 6970 (2048 mb)
directx,version 10,directx,version 11
,,,
windows_min_DRAGON BALL XENOVERSE 2 - Extra DLC Pack 1,windows_min_DRAGON BALL XENOVERSE 2 - Extra DLC Pack 1,windows_req_DRAGON BALL XENOVERSE 2 - Extra DLC Pack 1,windows_req_DRAGON BALL XENOVERSE 2 - Extra DLC Pack 1
операционная система,windows 7 and higher ( only),операционная система,windows 10 ( only)
процессор,"amd phenom ii x2 550, 3.1ghz | intel pentium g4400, 3.30ghz",процессор,"intel core i5-3470, 3.20ghz | amd fx-6300, 3.5ghz"
оперативная память,2 gb,оперативная память,4 gb
видео карта,geforce gt 650 |; radeon hd 6570,видео карта,geforce gt 660 |; radeon hd 7770
,,,
windows_min_Potentia,windows_min_Potentia,windows_req_Potentia,windows_req_Potentia
операционная система,windows 10,операционная система,windows 10
процессор,fx-6300 or i5-4440,процессор,fx-8350 or intel i7 3770
оперативная память,4 gb,оперативная память,6 gb
