windows_min_JUMP FORCE Character Pack 9: Trafalgar Law,windows_min_JUMP FORCE Character Pack 9: Trafalgar Law,windows_req_JUMP FORCE Character Pack 9: Trafalgar Law,windows_req_JUMP FORCE Character Pack 9: Trafalgar Law
операционна€ система,windows 7/8/10 ( os required),операционна€ система,windows 7/8/10 ( os required)
процессор,"intel core i5-2300, 2.80 ghz / amd a10-7850k, 3.70 ghz",процессор,intel core i7-6700 / amd ryzen 5 1400
видео карта,"geforce gtx 660 ti, 3 gb / radeon hd 7950, 3 gb",видео карта,geforce gtx 1060 / radeon r9 fury
directx,version 11,directx,version 11
,,,
windows_min_Idle Dungeons,windows_min_Idle Dungeons,windows_req_Idle Dungeons,windows_req_Idle Dungeons
операционна€ система,"windows 7, and above",операционна€ система,windows 10
процессор,2.5ghz or faster x86-compatible,процессор,3.0ghz or faster x86-compatible
оперативна€ пам€ть,1024 mb,оперативна€ пам€ть,2048 mb
видео карта,gtx 700 series or higher or amd equivalent,видео карта,gtx 900 series or higher or amd equivalent
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Gon' E-Choo!,windows_min_Gon' E-Choo!,windows_req_Gon' E-Choo!,windows_req_Gon' E-Choo!
операционна€ система,mac os x 10.8,операционна€ система,mac os x 10.8
процессор,intel core 2 duo,процессор,intel core i5
оперативна€ пам€ть,4 mb,оперативна€ пам€ть,6 mb
видео карта,intel hd graphics 3000,видео карта,nvidia geforce 760
directx,version 9.0,directx,version 9.0c
,,,
windows_min_Sleeping Dogs: Martial Arts Pack,windows_min_Sleeping Dogs: Martial Arts Pack,windows_req_Sleeping Dogs: Martial Arts Pack,windows_req_Sleeping Dogs: Martial Arts Pack
операционна€ система,windows vista service pack 2,операционна€ система,windows 7
процессор,core 2 duo 2.4 ghz or althon x2 2.7 ghz,процессор,quad-core intel or amd cpu
оперативна€ пам€ть,2gb,оперативна€ пам€ть,4gb
диск,15gb,диск,15gb
видео карта,"directx 10 or 11 compatible nvidia or amd ati card, ati radeon 3870 or higher, nvidia geforce 8800 gt or higher",видео карта,"directx 11 nvidia or amd ati card, nvidia geforce gtx 560 or ati radeon 6950"
directx,10,directx,11
,,,
windows_min_Portal 2 Sixense Perceptual Pack,windows_min_Portal 2 Sixense Perceptual Pack
операционна€ система,microsoft windows 8 / windows 7 with service pack 1 or higher
процессор,pc or laptop with 2nd generation intel coreЩ or higher
оперативна€ пам€ть,4 gb
видео карта,video card must be 128 mb or more and should be a directx 9-compatible with support for pixel shader 2.0b (ati radeon x800 or higher / nvidia geforce 7600 or higher / intel hd graphics ...  2000 or higher).  еще
directx,version 9.0c
диск,8 gb
звукова€ карта,directx 9.0c compatible
,
windows_min_Rocket LeagueЃ - Hot WheelsЃ Bone ShakerЩ,windows_min_Rocket LeagueЃ - Hot WheelsЃ Bone ShakerЩ,windows_req_Rocket LeagueЃ - Hot WheelsЃ Bone ShakerЩ,windows_req_Rocket LeagueЃ - Hot WheelsЃ Bone ShakerЩ
операционна€ система,macos x 10.8.5,операционна€ система,macos x 10.8.5
процессор,2.4+ ghz quad core,процессор,2.5+ ghz quad core
оперативна€ пам€ть,2 gb,оперативна€ пам€ть,4 gb
видео карта,nvidia gtx 260 or ati 4850,видео карта,"nvidia gtx 660, ati 7950"
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,5 gb,диск,5 gb
,,,
windows_min_Total War: WARHAMMER II - Repanse de Lyonesse,windows_min_Total War: WARHAMMER II - Repanse de Lyonesse,windows_req_Total War: WARHAMMER II - Repanse de Lyonesse,windows_req_Total War: WARHAMMER II - Repanse de Lyonesse,macos_min_Total War: WARHAMMER II - Repanse de Lyonesse,macos_min_Total War: WARHAMMER II - Repanse de Lyonesse,macos_req_Total War: WARHAMMER II - Repanse de Lyonesse,macos_req_Total War: WARHAMMER II - Repanse de Lyonesse,linux_min_Total War: WARHAMMER II - Repanse de Lyonesse,linux_min_Total War: WARHAMMER II - Repanse de Lyonesse,linux_req_Total War: WARHAMMER II - Repanse de Lyonesse,linux_req_Total War: WARHAMMER II - Repanse de Lyonesse
операционна€ система,windows 7 64bit,операционна€ система,windows 7 / 8 (8.1)/ 10 64bit,операционна€ система,macos 10.14,операционна€ система,Ч,операционна€ система,ubuntu 18.04,операционна€ система,ubuntu 18.04
