windows_min_Buccaneers!,windows_min_Buccaneers!,windows_req_Buccaneers!,windows_req_Buccaneers!
операционная система,"windows 7, 8 or 10",операционная система,windows 10
процессор,intel core i3 2100 / amd fx-4100,процессор,intel core i5 4590 / amd ryzen 5 1500x
оперативная память,4 gb,оперативная память,8 gb
видео карта,intel hd 4000 series,видео карта,nvidia geforce gtx 970 / amd radeon r9 290
directx,version 11,directx,version 11
диск,5 gb,диск,5 gb
,,,
windows_min_Alien: Isolation - Lost Contact,windows_min_Alien: Isolation - Lost Contact,windows_req_Alien: Isolation - Lost Contact,windows_req_Alien: Isolation - Lost Contact,macos_min_Alien: Isolation - Lost Contact,macos_min_Alien: Isolation - Lost Contact,macos_req_Alien: Isolation - Lost Contact,macos_req_Alien: Isolation - Lost Contact,linux_min_Alien: Isolation - Lost Contact,linux_min_Alien: Isolation - Lost Contact,linux_req_Alien: Isolation - Lost Contact,linux_req_Alien: Isolation - Lost Contact
операционная система,windows 7 (32bit),операционная система,windows 7 (64bit),операционная система,macos 10.10.4,операционная система,—,операционная система,"ubuntu 14.04, steamos",операционная система,"ubuntu 14.04, steamos"
процессор,3.16ghz intel core 2 duo e8500,процессор,"amd: phenom ii x4 955 - 4 core, 3.2 ghz or intel: core 2 quad q9650 - 4 core, 3.0 ghz",процессор,2ghz intel core i5,процессор,—,процессор,2.6ghz intel i3,процессор,3.2ghz+ intel i7 quad core
оперативная память,4 gb,оперативная память,8 gb,оперативная память,4 gb,оперативная память,—,оперативная память,4 gb,оперативная память,8 gb
видео карта,1gb (amd radeon hd 5550 or nvidia geforce gt 430),видео карта,2gb (amd gpu: amd radeon r9 200 series or nvidia gpu: nvidia geforce gtx660),видео карта,"1gb amd 5750, 1gb nvidia 650m, 1.5 gb intel iris pro 5200 (see notes for more details)",видео карта,—,видео карта,nvidia 6xx series (driver version: 355.11),видео карта,nvidia 970 (driver version: 355.11)
,,,,диск,35 gb,диск,—,диск,35 gb,диск,35 gb
,,,,,,,,,,,
windows_min_One Sole Purpose,windows_min_One Sole Purpose,windows_req_One Sole Purpose,windows_req_One Sole Purpose
операционная система,windows 8,операционная система,windows 10
процессор,intel core 2 quad q6600 or amd equivalent,процессор,intel core i5-6400 or amd equivalent
оперативная память,2 gb,оперативная память,8 gb
видео карта,gtx 750 ti,видео карта,gtx 960 4gb
directx,version 11,directx,version 12
,,,
windows_min_Battle royale simulator,windows_min_Battle royale simulator,windows_req_Battle royale simulator,windows_req_Battle royale simulator
операционная система,windows 10 32-bit,операционная система,windows 10 32-bit
процессор,i5,процессор,i5
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia geforce 470 gtx or amd radeon 6870 hd series card or higher.,видео карта,nvidia geforce 470 gtx or amd radeon 6870 hd series card or higher.
directx,version 11,directx,version 12
,,,
