windows_min_LOST PLANETЃ 3 - Map Pack 3,windows_min_LOST PLANETЃ 3 - Map Pack 3,windows_req_LOST PLANETЃ 3 - Map Pack 3,windows_req_LOST PLANETЃ 3 - Map Pack 3
операционна€ система,windows xp,операционна€ система,windows 7
процессор,dual core cpu 2.5 ghz,процессор,quad core 2.7 ghz
оперативна€ пам€ть,3 gb,оперативна€ пам€ть,8 gb
видео карта,"nvidia geforce 9800, ati radeonЩ hd 4770",видео карта,nvidia geforce gtx 460
диск,16 gb,диск,16 gb
,,,
windows_min_Orcs Must Die! 2 - Are We There Yeti?,windows_min_Orcs Must Die! 2 - Are We There Yeti?,windows_req_Orcs Must Die! 2 - Are We There Yeti?,windows_req_Orcs Must Die! 2 - Are We There Yeti?
операционна€ система,"windows xp, windows vista, windows 7",операционна€ система,Ч
процессор,2ghz dual core,процессор,Ч
оперативна€ пам€ть,2 gb,оперативна€ пам€ть,Ч
видео карта,nvidia geforce 6800 or ati radeon x1950 with 256mb vram,видео карта,Ч
directx,9.0c,directx,Ч
диск,9 gb hd space,диск,Ч
additional,broadband internet connection recommended for co-op play.,additional,broadband internet connection recommended for co-op play.
,,,
windows_min_Tokyo Warfare Turbo,windows_min_Tokyo Warfare Turbo
операционна€ система,10
процессор,i5 3470
оперативна€ пам€ть,4 gb
видео карта,gtx 800 series
directx,version 11
,
windows_min_Tom Clancy's Rainbow SixЃ Siege - Pro League Vigil Set,windows_min_Tom Clancy's Rainbow SixЃ Siege - Pro League Vigil Set,windows_req_Tom Clancy's Rainbow SixЃ Siege - Pro League Vigil Set,windows_req_Tom Clancy's Rainbow SixЃ Siege - Pro League Vigil Set
операционна€ система,"windows 7, windows 8.1, windows 10",операционна€ система,"windows 7 sp1, windows 8.1, windows 10"
процессор,intel core i3 560 @ 3.3 ghz or amd phenom ii x4 945 @ 3.0 ghz,процессор,intel core i5-2500k @ 3.3 ghz or amd fx-8120 @ 3.1 ghz
