windows_min_Tom Clancy's Splinter Cell Conviction™ Deluxe Edition,windows_min_Tom Clancy's Splinter Cell Conviction™ Deluxe Edition
операционная система,only snow leopard 10.6.
процессор,intel core™2 duo (intel core i7 recommended)
оперативная память,2 gb (3 gb recommended)
видео карта,512 mb video card (see supported list*)
directx,directx 9.0c
диск,10 gb
звуковая карта,any
peripherals supported,"mouse, keyboard, headset, 12-button gamepads with analog sticks"
интернет,широкополосное подключение
периферия,"keyboard, mouse"
,
windows_min_Ace Combat Assault Horizon - Enhanced Edition,windows_min_Ace Combat Assault Horizon - Enhanced Edition,windows_req_Ace Combat Assault Horizon - Enhanced Edition,windows_req_Ace Combat Assault Horizon - Enhanced Edition
операционная система,"windows xp, windows vista, windows 7, 8 (32 or versions, optimized for and multicore s )",операционная система,"windows vista, windows 7, 8 (32 or versions, optimized for and multicore s )"
процессор,intel core 2 duo 1.8ghz or amd athlon x2 2.4 ghz,процессор,"intel core 2 quad 2.7ghz, amd phenom ii x4 3ghz"
оперативная память,2 gb,оперативная память,4 gb
видео карта,nvidia geforce 8800gt and higher ; ati radeon hd 3850 and higher,видео карта,nvidia geforce 8800gt and higher ; ati radeon hd 3850
directx,9.0c,directx,9.0c
диск,16 gb hd space,диск,20gb
звуковая карта,direct sound compatible,звуковая карта,direct sound compatible
other requirements,широкополосное подключение,other requirements,широкополосное подключение
,,,
windows_min_SENRAN KAGURA SHINOVI VERSUS,windows_min_SENRAN KAGURA SHINOVI VERSUS,windows_req_SENRAN KAGURA SHINOVI VERSUS,windows_req_SENRAN KAGURA SHINOVI VERSUS
операционная система,"windows 7, windows 8.1, windows 10",операционная система,"windows 7, windows 8.1, windows 10"
процессор,intel core i3-530 @ 2.93 ghz / amd phenom ii x4 810 @ 2.60 ghz,процессор,intel core i5-2500k @ 3.3 ghz
оперативная память,6 gb,оперативная память,8 gb
видео карта,nvidia geforce gts 450 / ati radeon hd 5870 (1gb vram),видео карта,nvidia geforce gtx 760
directx,version 9.0,directx,version 9.0
диск,6 gb,диск,6 gb
,,,
windows_min_PULSAR: Lost Colony,windows_min_PULSAR: Lost Colony,windows_req_PULSAR: Lost Colony,windows_req_PULSAR: Lost Colony,macos_min_PULSAR: Lost Colony,macos_min_PULSAR: Lost Colony,macos_req_PULSAR: Lost Colony,macos_req_PULSAR: Lost Colony,linux_min_PULSAR: Lost Colony,linux_min_PULSAR: Lost Colony,linux_req_PULSAR: Lost Colony,linux_req_PULSAR: Lost Colony
операционная система,windows xp sp3,операционная система,windows 10,операционная система,mac os x 10.7,операционная система,mac os x 10.10,операционная система,ubuntu 12.04 (32 bit),операционная система,ubuntu 12.04 (32 bit)
процессор,2 ghz dual core,процессор,2.8 ghz quad core,процессор,2 ghz dual core,процессор,2.8 ghz quad core,процессор,2 ghz dual core,процессор,2.8 ghz quad core
оперативная память,4 gb,оперативная память,4 gb,оперативная память,4 gb,оперативная память,4 gb,оперативная память,4 gb,оперативная память,4 gb
видео карта,intel hd 5000 (shader model 3),видео карта,nvidia geforce gtx 1060,видео карта,intel hd 5000 (shader model 3),видео карта,1 gb dedicated graphics,видео карта,intel hd 5000 (shader model 3),видео карта,nvidia geforce gtx 1060
directx,version 11,directx,version 11,диск,10 gb,диск,10 gb,диск,10 gb,диск,10 gb
диск,10 gb,диск,10 gb,дополнительно,modern graphics card required (supported by manufacturer),дополнительно,—,дополнительно,modern graphics card required (supported by manufacturer),дополнительно,—
дополнительно,modern graphics card required (supported by manufacturer),дополнительно,—,сеть,—,сеть,широкополосное подключение,сеть,—,сеть,широкополосное подключение
,,,,,,,,,,,
windows_min_Victor Vran ARPG,windows_min_Victor Vran ARPG,windows_req_Victor Vran ARPG,windows_req_Victor Vran ARPG,macos_min_Victor Vran ARPG,macos_min_Victor Vran ARPG,macos_req_Victor Vran ARPG,macos_req_Victor Vran ARPG,linux_min_Victor Vran ARPG,linux_min_Victor Vran ARPG,linux_req_Victor Vran ARPG,linux_req_Victor Vran ARPG
операционная система,"windows vista sp2, windows 7, windows 8",операционная система,"windows 7 (), windows 8 ()",операционная система,osx 10.11,операционная система,osx 10.11,операционная система,ubuntu 12.04,операционная система,ubuntu 12.04
процессор,2 ghz dual core cpu,процессор,2.5 ghz quad core cpu,процессор,2 ghz dual core cpu,процессор,2.5 ghz quad core cpu,процессор,2 ghz dual core cpu,процессор,2.5 ghz quad core cpu
оперативная память,4 gb,оперативная память,8 gb,оперативная память,4 gb,оперативная память,4 gb,оперативная память,4 gb,оперативная память,4 gb
видео карта,"geforce 8800 or higher, amd radeon hd 4000 or higher, intel hd 4000 or higher (min. 512 mb vram)",видео карта,"geforce 560 or higher, amd radeon hd 5800 or higher",видео карта,"opengl 4.1 (geforce 600 or higher, amd radeon 5000 or higher, intel hd 4000 or higher)",видео карта,"opengl 4.1 (geforce 660 or higher, amd radeon 7000 or higher)",видео карта,"opengl 4.1 (geforce 600 or higher, amd radeon 5000 or higher)",видео карта,"opengl 4.1 (geforce 660 or higher, amd radeon 7000 or higher)"
directx,version 9.0c,directx,version 11,диск,4 gb,диск,4 gb,диск,4 gb,диск,4 gb
диск,4 gb,диск,4 gb,,,,,,,,
звуковая карта,directx compatible,звуковая карта,directx compatible,,,,,,,,
,,,,,,,,,,,
windows_min_Tom Clancy's Rainbow Six® Siege - Year 3 Pass,windows_min_Tom Clancy's Rainbow Six® Siege - Year 3 Pass,windows_req_Tom Clancy's Rainbow Six® Siege - Year 3 Pass,windows_req_Tom Clancy's Rainbow Six® Siege - Year 3 Pass
операционная система,"windows 7, windows 8.1, windows 10",операционная система,"windows 7 sp1, windows 8.1, windows 10"
процессор,intel core i3 560 @ 3.3 ghz or amd phenom ii x4 945 @ 3.0 ghz,процессор,intel core i5-2500k @ 3.3 ghz or amd fx-8120 @ 3.1 ghz
