windows_min_King Arthur's Gold,windows_min_King Arthur's Gold,windows_req_King Arthur's Gold,windows_req_King Arthur's Gold,macos_min_King Arthur's Gold,macos_min_King Arthur's Gold,macos_req_King Arthur's Gold,macos_req_King Arthur's Gold,linux_min_King Arthur's Gold,linux_min_King Arthur's Gold,linux_req_King Arthur's Gold,linux_req_King Arthur's Gold
операционная система,windows 7,операционная система,windows 10,операционная система,os x mavericks,операционная система,os x yosemite,операционная система,ubuntu 12.04,операционная система,ubuntu 18
процессор,1.5 ghz,процессор,intel core i5 2.1ghz,процессор,intel core 2 duo 2.1ghz,процессор,intel core i5 2.1ghz,процессор,1.5 ghz,процессор,intel core i5 2.1ghz
оперативная память,1 gb,оперативная память,2 gb,оперативная память,1 gb,оперативная память,2 gb,оперативная память,1 gb,оперативная память,2 gb
видео карта,64mb integrated,видео карта,512mb dedicated,видео карта,64mb integrated,видео карта,512mb dedicated,видео карта,64mb integrated,видео карта,512mb dedicated
сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,широкополосное подключение
,,,,,,,,,,,
windows_min_GUILTY GEAR XX ACCENT CORE PLUS R,windows_min_GUILTY GEAR XX ACCENT CORE PLUS R,windows_req_GUILTY GEAR XX ACCENT CORE PLUS R,windows_req_GUILTY GEAR XX ACCENT CORE PLUS R
операционная система,windows 7 / 8 / 8.1,операционная система,windows 7 / 8 / 8.1
процессор,intel core2 duo,процессор,intel core i5 / i7
оперативная память,2 gb,оперативная память,4 gb
видео карта,nvidia geforce 7900 gt / amd radeon x1900 / nvidia geforce gt 620 (windows 8.1),видео карта,nvidia geforce 8800 gt / amd radeon hd3700 / nvidia geforce gt 650 (windows 8.1)
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,3 gb,диск,3 gb
,,,
windows_min_Vikings - Wolves of Midgard,windows_min_Vikings - Wolves of Midgard,windows_req_Vikings - Wolves of Midgard,windows_req_Vikings - Wolves of Midgard,macos_min_Vikings - Wolves of Midgard,macos_min_Vikings - Wolves of Midgard,macos_req_Vikings - Wolves of Midgard,macos_req_Vikings - Wolves of Midgard,linux_min_Vikings - Wolves of Midgard,linux_min_Vikings - Wolves of Midgard,linux_req_Vikings - Wolves of Midgard,linux_req_Vikings - Wolves of Midgard
операционная система,windows 7/8/10 64bit versions,операционная система,windows 7/8/10 64bit versions,операционная система,10.12,операционная система,—,операционная система,ubuntu 14.04,операционная система,—
процессор,intel compatible 2.1 ghz dual core,процессор,intel core i7,процессор,2.4 ghz intel i5,процессор,—,процессор,2.4 ghz intel i5,процессор,—
оперативная память,4 gb,оперативная память,8 gb,оперативная память,8 gb,оперативная память,—,оперативная память,8 gb,оперативная память,—
видео карта,gtx460 2gb or compatible,видео карта,nvidia geforce gtx 970,видео карта,nvidia gtx 660ti (4gb) or amd 7870 (4gb),видео карта,—,видео карта,nvidia gtx 660ti (4gb) or amd 7870 (4gb),видео карта,—
