windows_min_The Drone Racing League Simulator,windows_min_The Drone Racing League Simulator,windows_req_The Drone Racing League Simulator,windows_req_The Drone Racing League Simulator
операционная система,macos catalina,операционная система,macos catalina
процессор,3.7 ghz or faster,процессор,—
оперативная память,12 gb,оперативная память,—
видео карта,2x2048mb vram,видео карта,—
directx,version 11,directx,—
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,5 gb,диск,—
,,,
windows_min_Dead Pixels,windows_min_Dead Pixels
операционная система,windows xp
процессор,"intel core 2, 2ghz"
оперативная память,512 mb
видео карта,128 mb video and at least shader model 2.0
directx,9.0c
,
windows_min_Total War: WARHAMMER - Blood for the Blood God,windows_min_Total War: WARHAMMER - Blood for the Blood God,windows_req_Total War: WARHAMMER - Blood for the Blood God,windows_req_Total War: WARHAMMER - Blood for the Blood God,macos_min_Total War: WARHAMMER - Blood for the Blood God,macos_min_Total War: WARHAMMER - Blood for the Blood God,macos_req_Total War: WARHAMMER - Blood for the Blood God,macos_req_Total War: WARHAMMER - Blood for the Blood God,linux_min_Total War: WARHAMMER - Blood for the Blood God,linux_min_Total War: WARHAMMER - Blood for the Blood God,linux_req_Total War: WARHAMMER - Blood for the Blood God,linux_req_Total War: WARHAMMER - Blood for the Blood God
операционная система,windows 7 64bit,операционная система,windows 7/8.1/10 64bit,операционная система,macos 10.12.4,операционная система,—,операционная система,"ubuntu 16.10, steamos 2.0",операционная система,ubuntu 16.04 or steam os 2.0 ( required)
процессор,intel core™ 2 duo 3.0ghz,процессор,intel core i5-4570 3.2ghz/ amd fx 8350,процессор,2.0ghz intel core i5,процессор,—,процессор,"3.4ghz intel core i3-4130, 3.5ghz amd fx6300",процессор,3.4 ghz intel core i7-4770
оперативная память,3 gb,оперативная память,8 gb,оперативная память,8 gb,оперативная память,—,оперативная память,4 gb,оперативная память,8 gb
видео карта,(directx 11) amd radeon hd 5770 1024mb |; nvidia gts 450 1024mb |; intel hd4000 @720p,видео карта,(directx 11) amd radeon r9 270x 2048mb |; nvidia geforce gtx 760 2048mb @1080p,видео карта,"all amd graphics cards released from 2014 onwards, all nvidia cards with 2gb+ vram released from 2012 onwards, (macbookpro only) intel iris graphics 540 & 550 cards released from 2016 onwards",видео карта,—,видео карта,"1gb nvidia 650ti (driver version 367.28), 2gb amd r9 270 (mesa 13.0.1 driver compiled using llvm 3.9)",видео карта,"4gb nvidia 970 (driver version 367.28), 4gb amd rx 480 (mesa 13.0.1 driver compiled using llvm 3.9)"
directx,version 11,directx,version 11,диск,37 gb,диск,—,диск,29 gb,диск,35 gb
диск,35 gb,диск,35 gb,дополнительно,"the following graphics cards are capable of running the game, but do not consistently meet the standards required for official support: all nvidia cards with 1 gb vram released from 2012 onwards, all intel iris ...  and iris pro cards released from 2013 onwards apart from the 540 and 550 cards listed above.  еще",дополнительно,—,дополнительно,amd gpu's are not supported on steam os. intel gpu's are not supported at time of release.,дополнительно,amd gpu's are not supported on steam os. intel gpu's are not supported at time of release.
,,,,,,,,,,,
windows_min_Raw Data,windows_min_Raw Data,windows_req_Raw Data,windows_req_Raw Data
операционная система,windows 10,операционная система,windows 10
процессор,intel i5-4590,процессор,intel i7-4770
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 970,видео карта,nvidia geforce gtx 980 ti
directx,version 11,directx,version 12
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_HARDCORE MECHA,windows_min_HARDCORE MECHA,windows_req_HARDCORE MECHA,windows_req_HARDCORE MECHA
операционная система,windows 7,операционная система,windows 10
процессор,intel core2 duo e8400 or amd athlon 64 x2 6000+,процессор,intel i5-4430 or amd fx-8100
оперативная память,2 gb,оперативная память,4 gb
видео карта,geforce 9600 gt or amd hd 3870 512mb,видео карта,geforce gtx 550ti or amd hd 6770
directx,version 9.0,directx,version 9.0
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,10 gb,диск,10 gb
,,,
windows_min_Splatter - Zombiecalypse Now,windows_min_Splatter - Zombiecalypse Now,windows_req_Splatter - Zombiecalypse Now,windows_req_Splatter - Zombiecalypse Now,macos_min_Splatter - Zombiecalypse Now,macos_min_Splatter - Zombiecalypse Now,macos_req_Splatter - Zombiecalypse Now,macos_req_Splatter - Zombiecalypse Now,linux_min_Splatter - Zombiecalypse Now,linux_min_Splatter - Zombiecalypse Now,linux_req_Splatter - Zombiecalypse Now,linux_req_Splatter - Zombiecalypse Now
операционная система,windows vista,операционная система,"windows 7, 8, 10",операционная система,osx 10.7,операционная система,osx 10.7,операционная система,ermyeah2.0,операционная система,newandshiny
процессор,2x 2ghz with sse2,процессор,2x 3ghz,процессор,dualcore with sse2,процессор,2x 3ghz,процессор,2x 2ghz with sse2,процессор,2x 3ghz
оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb
видео карта,"sm3.0 gpu with 768mb memory, mobile/integrated gpus might not work!",видео карта,nvidia geforce gtx 470 or amd radeon hd 4850,видео карта,"sm3.0 gpu with at least 768mb memory, mobile/integrated gpus might not work!",видео карта,nvidia geforce gtx 470 or amd radeon hd 4850,видео карта,"sm3.0 gpu with 768mb memory, mobile/integrated gpus might not work!",видео карта,nvidia geforce gtx 470 or amd radeon hd 4850
directx,version 9.0c,directx,version 9.0c,диск,500 mb,диск,500 mb,диск,500 mb,диск,500 mb
,,,,,,,,,,,
windows_min_The LEGO® Movie - Videogame,windows_min_The LEGO® Movie - Videogame,windows_req_The LEGO® Movie - Videogame,windows_req_The LEGO® Movie - Videogame
операционная система,mac os: 10.8.5,операционная система,mac os: 10.9.5
процессор,1.8ghz,процессор,2.4ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,256 mb,видео карта,512 mb
directx,version 10,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,9 gb,диск,9 gb
,,,
windows_min_Edge of Space,windows_min_Edge of Space
операционная система,windows 7
процессор,2.9 ghz or higher
оперативная память,2 gb
видео карта,512 mb video memory
directx,9.0
диск,900 mb hd space
,
windows_min_XERA: Survival,windows_min_XERA: Survival,windows_req_XERA: Survival,windows_req_XERA: Survival
операционная система,"windows 7, windows 8.1, windows 10",операционная система,"windows 7, windows 8.1, windows 10"
процессор,intel core i3-4340 / amd fx-6300,процессор,intel core i5-6600k / amd ryzen 5 1600
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 960 2gb / amd radeon r7 370 2gb,видео карта,nvidia geforce gtx 1060 3gb / amd radeon rx 580 4gb
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,50 gb,диск,50 gb
,,,
windows_min_Rampage Knights,windows_min_Rampage Knights
операционная система,os x 10.6.6 - 10.14
процессор,1ghz
оперативная память,1 gb
видео карта,opengl 3.2 compatible
,
windows_min_Lichdom: Battlemage,windows_min_Lichdom: Battlemage,windows_req_Lichdom: Battlemage,windows_req_Lichdom: Battlemage
операционная система,"windows 7 32-bit/, windows 8, windows 8.1",операционная система,"windows 7, windows 8, windows 8.1"
процессор,3.0 ghz dual core (amd fx 4100 or intel core 2 duo),процессор,2.8 ghz quad core (amd fx 8350 or intel i7 860)
оперативная память,4 gb,оперативная память,8 gb
видео карта,directx 10 compatible with 512 (radeon hd4870 or nvidia 8800 gt),видео карта,directx 11 compatible with 2048mb (radeon hd 7950 or nvidia gtx 670)
directx,version 10,directx,version 11
диск,12 gb,диск,12 gb
,,,
windows_min_Life Goes On: Done to Death,windows_min_Life Goes On: Done to Death,windows_req_Life Goes On: Done to Death,windows_req_Life Goes On: Done to Death,macos_min_Life Goes On: Done to Death,macos_min_Life Goes On: Done to Death,macos_req_Life Goes On: Done to Death,macos_req_Life Goes On: Done to Death,linux_min_Life Goes On: Done to Death,linux_min_Life Goes On: Done to Death,linux_req_Life Goes On: Done to Death,linux_req_Life Goes On: Done to Death
операционная система,windows vista,операционная система,windows 7,операционная система,os x 10.6.9 snow leopard,операционная система,os x 10.8.5 mountain lion,операционная система,ubuntu 32/64,операционная система,ubuntu 64
процессор,intel core 2 duo 2.4 ghz,процессор,intel i3 3.3ghz,процессор,2.4 ghz,процессор,2.4 ghz,процессор,intel core 2 duo 2.4ghz,процессор,intel i3 3.3 ghz
