windows_min_FATE,windows_min_FATE
операционная система,"windows 2000, xp, vista, 7 or 8"
процессор,800 mhz pc
оперативная память,512 mb
видео карта,16 mb 3d graphics accelerator
directx,version 8.0
,
windows_min_Velvet Assassin,windows_min_Velvet Assassin,windows_req_Velvet Assassin,windows_req_Velvet Assassin
операционная система,mac os x 10.7.5 or higher,операционная система,—
процессор,intel core 2 duo cpu,процессор,—
оперативная память,2 gb,оперативная память,—
видео карта,"ati hd 2600, nvidia 8600 with minimum 256 vram",видео карта,—
диск,5 gb hdd space,диск,—
звуковая карта,stereo sound,звуковая карта,5.1 surround sound
,,,
windows_min_Legendary,windows_min_Legendary,windows_req_Legendary,windows_req_Legendary
операционная система,windows xp sp2 or windows vista,операционная система,windows xp sp2 or windows vista
процессор,2.0+ ghz single core,процессор,2.4+ ghz dual core
оперативная память,512mb of system,оперативная память,1gb of system
видео карта,nvidia 6200+ or ati radeon 9600+ video card,видео карта,nvidia 7800gtx+ or ati x1300+ video card
,,,
windows_min_Mars: War Logs,windows_min_Mars: War Logs,windows_req_Mars: War Logs,windows_req_Mars: War Logs
операционная система,windows xp sp3/windows vista sp2/windows 7/windows 8,операционная система,—
процессор,amd/intel dual-core 2.2 ghz,процессор,—
оперативная память,2048 mb,оперативная память,—
видео карта,512 mb 100% directx 9 and shaders 4.0 compatible,видео карта,—
directx,9.0,directx,—
диск,3 gb hd space,диск,—
звуковая карта,directx 9 compatible,звуковая карта,—
,,,
windows_min_Seraph's Last Stand,windows_min_Seraph's Last Stand
операционная система,windows 7
процессор,2.8 ghz
оперативная память,1 gb
,
windows_min_Trials Evolution: Gold Edition,windows_min_Trials Evolution: Gold Edition,windows_req_Trials Evolution: Gold Edition,windows_req_Trials Evolution: Gold Edition
операционная система,windows vista sp2 or windows 7,операционная система,windows 7 / windows 8
процессор,intel core2 duo e6700 @ 2.6 ghz or amd athlon64 x2 6000+ @ 3.0ghz,процессор,quad-core intel or amd cpu
оперативная память,2 gb,оперативная память,4 gb
видео карта,"directx 10 compliant, 512 mb video memory",видео карта,"directx 11 compliant, 1024 mb video memory"
directx®,11,directx®,11
диск,4 gb hd space,диск,5 gb hd space
звуковая карта,directx 9.0c compatible,звуковая карта,directx 9.0c compatible
,,,
windows_min_BRINK,windows_min_BRINK,windows_req_BRINK,windows_req_BRINK
операционная система,xp(sp3)/vista/windows 7,операционная система,xp(sp3)/vista/windows 7
процессор,intel core 2 duo 2.4ghz,процессор,intel quad core i5
оперативная память,2gb,оперативная память,3gb
диск,8gb of free space,диск,8gb of free space
,,,
windows_min_Arma 2,windows_min_Arma 2,windows_req_Arma 2,windows_req_Arma 2
операционная система,windows xp or windows vista,операционная система,windows xp or windows vista
процессор,"dual core cpu (intel pentium 4 3.0 ghz, intel core 2.0 ghz, amd athlon 3200+ or faster)",процессор,quad core cpu or fast dual core cpu (intel core 2.8 ghz or amd athlon 64 x2 4400+ or faster)
оперативная память,1 gb,оперативная память,2 gb
видео карта,gpu (nvidia geforce 7800 / ati radeon 1800 or faster) with shader model 3 and 256 mb vram,видео карта,fast gpu (nvidia geforce 8800gt or ati radeon 4850 or faster) with shader model 3 and 512 or more mb vram
,,,
windows_min_Shank 2,windows_min_Shank 2
операционная система,os x 10.6 snow leopard
процессор,2.4 ghz
оперативная память,1.5 gb
диск,1.5 gb
видео карта,"256 mb vram, nvidia geforce 6800 ultra or ati radeon x1950 pro,"
звуковая карта,100% directx9.0c compatible sound card and drivers
,
windows_min_Prince of Persia®,windows_min_Prince of Persia®
операционная система,windows xp/windows vista (only)
процессор,dual core 2.6 ghz intel pentium d or amd athlon™ 64 x2 3800+ (intel core 2 duo 2.2 ghz or amd athlon 64 x2 4400+ recommended)
оперативная память,1 gb windows xp/2 gb windows vista
видео карта,256 mb directx 10.0–compliant video card or directx 9.0–compliant card with shader model 3.0 or higher (see supported list)*
directx,directx 9.0 or 10.0 libraries
диск,9 gb
звуковая карта,directx 9.0 or 10.0–compliant sound card (5.1 sound card recommended)
,
windows_min_Sanctum,windows_min_Sanctum,windows_req_Sanctum,windows_req_Sanctum
операционная система,os x 10.6.3,операционная система,—
процессор,1.6 ghz dual core,процессор,—
