windows_min_BIT.TRIP RUNNER,windows_min_BIT.TRIP RUNNER
операционная система,"os x version snow leopard 10.6.3, ."
процессор,2.0+ ghz
оперативная память,512 mb
directx,directx 9.0c and shader model 3 with 128 mb of memory
диск,100 mb
звуковая карта,any sound card capable of stereo output
,
windows_min_Vigil: The Longest Night,windows_min_Vigil: The Longest Night,windows_req_Vigil: The Longest Night,windows_req_Vigil: The Longest Night,macos_min_Vigil: The Longest Night,macos_min_Vigil: The Longest Night,macos_req_Vigil: The Longest Night,macos_req_Vigil: The Longest Night,linux_min_Vigil: The Longest Night,linux_min_Vigil: The Longest Night,linux_req_Vigil: The Longest Night,linux_req_Vigil: The Longest Night
операционная система,windows vista,операционная система,windows 10,операционная система,???,операционная система,???,операционная система,???,операционная система,???
процессор,intel core 2 duo 2.8 ghz,процессор,intel core 2 duo or amd athlon 64 x2 5600+,процессор,???,процессор,???,процессор,???,процессор,???
оперативная память,2 gb,оперативная память,4 gb,оперативная память,2 mb,оперативная память,4 mb,оперативная память,2 mb,оперативная память,4 mb
видео карта,directx 10 compatible video card with shader model 3.0 support,видео карта,nvidia 9600gt or ati radeon™ hd 5000+,видео карта,???,видео карта,???,видео карта,???,видео карта,???
directx,version 10,directx,version 11,диск,5 mb,диск,5 mb,диск,5 mb,диск,5 mb
диск,5 gb,диск,5 gb,звуковая карта,???,звуковая карта,???,звуковая карта,???,звуковая карта,???
,,,,,,,,,,,
windows_min_The Technomancer,windows_min_The Technomancer
операционная система,windows 7 / 8 / 10 ( versions only)
процессор,"amd fx-4100 x4 (3,6 ghz)/intel core i5-2500 (3,3 ghz)"
оперативная память,4 gb
видео карта,"1 gb, directx 11, amd radeon hd 6950 / nvidia geforce gtx 560"
directx,version 11
диск,11 gb
звуковая карта,directx compatible
,
windows_min_Fear The Wolves,windows_min_Fear The Wolves,windows_req_Fear The Wolves,windows_req_Fear The Wolves
операционная система,windows 7/8/10 (s),операционная система,windows 7/8/10 (s)
процессор,intel core i3-2130 (3.4 ghz)/amd fx-4100 (3.6 ghz),процессор,intel core i7-3930k (3.2 ghz)/amd ryzen 5 1600 (3.2 ghz)
оперативная память,8 gb,оперативная память,16 gb
видео карта,"1 gb, geforce gtx 650 ti/radeon r7 260",видео карта,"4 gb, geforce gtx 970 / radeon r9 390"
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Guacamelee! 2,windows_min_Guacamelee! 2
операционная система,"windows 10, 8, 7"
процессор,2 ghz+
оперативная память,1 gb
видео карта,"shader model 5.0 (dx11 support required), 2 gb available graphics memory"
directx,version 11
диск,2 gb
,
windows_min_Halo Infinite,windows_min_Halo Infinite,windows_req_Halo Infinite,windows_req_Halo Infinite
операционная система,windows 10 rs5 x64,операционная система,windows 10 19h2 x64
процессор,amd ryzen 5 1600 or intel i5-4440,процессор,amd ryzen 7 3700x or intel i7-9700k
оперативная память,8 gb,оперативная память,16 gb
видео карта,amd rx 570 or nvidia gtx 1050 ti,видео карта,radeon rx 5700 xt or nvidia rtx 2070
directx,version 12,directx,version 12
,,,
windows_min_Zeno Clash,windows_min_Zeno Clash,windows_req_Zeno Clash,windows_req_Zeno Clash
операционная система,microsoft windows xp / vista / vista64,операционная система,microsoft windows xp / vista / vista64
процессор,intel pentium 4 3.0 ghz,процессор,intel core 2 duo 2.4ghz
оперативная память,1 gb,оперативная память,1 gb
диск,at least 3 gb of free space,диск,at least 3 gb of free space
видео карта,"128 mb, shader model 2.0, ati 9600, nvidia 6600",видео карта,"shader model 3.0, nvidia 7600, ati x1600"
звуковая карта,directx 9.0c compatible sound card,звуковая карта,directx 9.0c compatible sound card
directx,"directx 9.0c, directx 10",directx,"directx 9.0c, directx 10"
,,,
windows_min_Double Dragon: Neon,windows_min_Double Dragon: Neon,windows_req_Double Dragon: Neon,windows_req_Double Dragon: Neon
операционная система,windows 7-32bit or windows 8-32bit,операционная система,windows 7-64bit or windows 8-64bit
процессор,"amd athlon 64 x2 dual core 4600+, 2.4ghz / intel pentium d 805 2.66ghz or higher",процессор,amd athlon 7850 dual core 2.8ghz / intel core 2 duo e7500 2.93 ghz
оперативная память,1 gb,оперативная память,2 gb
видео карта,nvidia geforce 9600 gt 512 mb / ati radeon hd 4650 1gb or higher | shader model 3+,видео карта,nvidia geforce 9600 gt 1gb / ati radeon hd 4650 1gb |; shader model 3+
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,3 gb,диск,3 gb
,,,
windows_min_Beasts of Prey,windows_min_Beasts of Prey,windows_req_Beasts of Prey,windows_req_Beasts of Prey,macos_min_Beasts of Prey,macos_min_Beasts of Prey,macos_req_Beasts of Prey,macos_req_Beasts of Prey,linux_min_Beasts of Prey,linux_min_Beasts of Prey,linux_req_Beasts of Prey,linux_req_Beasts of Prey
операционная система,windows xp (vista/7/8),операционная система,windows xp (vista/7/8),операционная система,mac os x 10.6,операционная система,mac os x 10.6,операционная система,ubuntu 14.04 lts,операционная система,ubuntu 14.04 lts
процессор,intel/amd x32 / x64,процессор,i7 cpu,процессор,intel/amd x32 / x64,процессор,i7 cpu,процессор,intel/amd x32 / x64,процессор,i7 cpu
оперативная память,2048 mb,оперативная память,4096 mb,оперативная память,2048 mb,оперативная память,4096 mb,оперативная память,2048 mb,оперативная память,2048 mb
видео карта,nvidia geforce or amd,видео карта,nvidia geforce 560gtx or higher,видео карта,nvidia geforce or amd,видео карта,nvidia geforce 560gtx or higher,видео карта,nvidia geforce or amd,видео карта,nvidia geforce 560gtx or higher
directx,version 9.0c,directx,version 9.0c,диск,1500 mb,диск,1500 mb,диск,1500 mb,диск,1500 mb
,,,,,,,,,,,
windows_min_Ikaruga,windows_min_Ikaruga,windows_req_Ikaruga,windows_req_Ikaruga
операционная система,windows 8 / 7 / vista / xp,операционная система,windows 7
процессор,intel core2 duo / athron64 x2,процессор,intel or amd multicore recently 5 years
оперативная память,1 gb,оперативная память,2 gb
видео карта,directx 9.0c support (256 mb vram),видео карта,nvidia or amd in recently 5 years
directx,version 9.0c,directx,version 9.0c
диск,512 mb,диск,512 mb
,,,
windows_min_Contractors,windows_min_Contractors,windows_req_Contractors,windows_req_Contractors
операционная система,windows 7,операционная система,windows 10
процессор,intel i5-6400k 2.7ghz,процессор,intel i7-4790 3.6 ghz
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia gtx 1060,видео карта,nvidia gtx 1070
,,,
windows_min_HELLGATE: London,windows_min_HELLGATE: London,windows_req_HELLGATE: London,windows_req_HELLGATE: London
операционная система,windows xp,операционная система,"windows 7, 9, 10"
процессор,2 ghz,процессор,2.4 ghz
оперативная память,2 gb,оперативная память,4 gb
видео карта,"nvidia geforce 6800+, ati radeon r300+",видео карта,"nvidia geforce 9800+, ati radeon hd 5000+"
directx,version 9.0,directx,version 9.0
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Redeemer: Enhanced Edition,windows_min_Redeemer: Enhanced Edition
операционная система,"win7 sp1, windows 8.1, windows 10"
процессор,intel(r) core(tm) i3-6300 cpu
оперативная память,4 gb
видео карта,amd radeon r9 200 series
directx,version 11
диск,7 gb
,
windows_min_Forward to the Sky,windows_min_Forward to the Sky,macos_min_Forward to the Sky,macos_min_Forward to the Sky,linux_min_Forward to the Sky,linux_min_Forward to the Sky
операционная система,windows xp+,операционная система,mac os x 10.6+,операционная система,ubuntu 12.04 lts
процессор,2.0 ghz dual core,процессор,"1,4 ghz intel i5, 2.0 ghz dual core",процессор,2.0 ghz dual core
оперативная память,4 gb,оперативная память,4 gb,оперативная память,4 gb
видео карта,dx9 (shader model 2.0) capabilities,видео карта,intel hd graphics 4000,видео карта,"shader model 3.0, 256 mb vram"
,,,,,
windows_min_Superfighters Deluxe,windows_min_Superfighters Deluxe,windows_req_Superfighters Deluxe,windows_req_Superfighters Deluxe
операционная система,windows vista service pack 2,операционная система,windows 10
процессор,"intel dual core 2.2+ ghz (), 4 cores if you plan to host an online game",процессор,intel icore 5 2.4 ghz+ ()
оперативная память,2 gb,оперативная память,2 gb
видео карта,512 mb graphics card supporting directx 9.0c shader model 2.0,видео карта,—
