windows_min_Planet Nomads,windows_min_Planet Nomads,windows_req_Planet Nomads,windows_req_Planet Nomads,macos_min_Planet Nomads,macos_min_Planet Nomads,macos_req_Planet Nomads,macos_req_Planet Nomads,linux_min_Planet Nomads,linux_min_Planet Nomads,linux_req_Planet Nomads,linux_req_Planet Nomads
операционная система,win 10 - 64bit,операционная система,win 10 - 64bit,операционная система,osx 10+,операционная система,—,операционная система,"use good measure (tested on ubuntu 18.04, opensuse leap 42.1)",операционная система,—
процессор,4 core cpu @3ghz,процессор,intel core i7-6700k @4ghz,процессор,4 core cpu @3ghz,процессор,—,процессор,4 core cpu @3ghz,процессор,—
оперативная память,8 gb,оперативная память,16 gb,оперативная память,8 gb,оперативная память,—,оперативная память,8 gb,оперативная память,—
видео карта,nvidia geforce gtx 950 (or amd equivalent),видео карта,nvidia geforce gtx 1080ti,видео карта,geforce gt650m,видео карта,—,видео карта,nvidia geforce gtx 950 (or amd equivalent),видео карта,—
directx,version 11,directx,version 12,диск,6 gb,диск,—,диск,6 gb,диск,—
диск,6 gb,диск,6 gb,дополнительно,planet nomads is still in development and system requirements may change.,дополнительно,planet nomads is still in development and system requirements may change.,дополнительно,planet nomads is still in development and system requirements may change.,дополнительно,planet nomads is still in development and system requirements may change.
звуковая карта,directx compatible,звуковая карта,directx compatible,,,,,,,,
,,,,,,,,,,,
windows_min_ Antinomy of Common Flowers.,windows_min_ Antinomy of Common Flowers.
операционная система,windows 7 / 8 / 8.1 /10
процессор,"intel core i5, 2.0 ghz"
оперативная память,2 gb
видео карта,nvidia geforce gts 450
directx,version 11
сеть,широкополосное подключение
диск,1 gb
звуковая карта,directsound compatible
,
windows_min_Devil May Cry 4,windows_min_Devil May Cry 4,windows_req_Devil May Cry 4,windows_req_Devil May Cry 4
операционная система,windows xp service pack 2,операционная система,windows vista
процессор,intel 4 pentium,процессор,intel core 2 duo
оперативная память,512 mb,оперативная память,1gb
видео карта,nvidia geforce 6600 series,видео карта,nvidia geforce 8600 series
,,,
windows_min_Mighty No. 9,windows_min_Mighty No. 9,windows_req_Mighty No. 9,windows_req_Mighty No. 9,macos_min_Mighty No. 9,macos_min_Mighty No. 9,macos_req_Mighty No. 9,macos_req_Mighty No. 9,linux_min_Mighty No. 9,linux_min_Mighty No. 9,linux_req_Mighty No. 9,linux_req_Mighty No. 9
операционная система,windows 7,операционная система,windows 7,операционная система,10.9+,операционная система,10.11.,операционная система,"ubuntu 15.04 +, linux mint 17.1, steamos brewmaster, ubuntu 14.04.3 (x64)",операционная система,"ubuntu 15.04 +, linux mint 17.1, steamos brewmaster, ubuntu 14.04.3 (x64)"
процессор,intel core 2 quad @ 2.8 ghz or amd phenom x4,процессор,intel core i5 @ 3.3 ghz or amd phenom ii x6,процессор,intel core i5-2520m (4 * 2500),процессор,intel core i5-4570 (4 * 3200),процессор,intel core 2 quad @ 2.8 ghz or amd phenom x4,процессор,intel core i5 @ 3.3 ghz or amd phenom ii x6
оперативная память,4 gb,оперативная память,8 gb,оперативная память,4 gb,оперативная память,8 gb,оперативная память,4096 mb,оперативная память,8192 mb
видео карта,radeon hd 7770 or nvidia geforce gtx 550 ti,видео карта,radeon hd 7950 or nvidia geforce gtx 660 ti,видео карта,radeon hd 6630m,видео карта,radeon hd 8192m,видео карта,nvidia geforce gtx 550 ti or amd radeon hd 7770,видео карта,nvidia geforce gtx 660 ti or amd radeon hd 7950
диск,2 gb,диск,2 gb,диск,2 gb,диск,2 gb,диск,2 gb,диск,2 gb
,,,,,,,,,,,
windows_min_Rise of the Triad,windows_min_Rise of the Triad,windows_req_Rise of the Triad,windows_req_Rise of the Triad
операционная система,windows xp or vista 32-bit,операционная система,windows 7
процессор,2.4 ghz dual core,процессор,2.4 ghz quad core
оперативная память,2 gb,оперативная память,4 gb
видео карта,ati radeon hd 3870 / nvidia 8800 gt,видео карта,amd radeon hd 6950 / nvidia gtx 560
directx,9.0,directx,9.0
диск,7 gb hd space,диск,7 gb hd space
звуковая карта,directx compatible,звуковая карта,directx compatible
,,,
windows_min_RAID: World War II,windows_min_RAID: World War II,windows_req_RAID: World War II,windows_req_RAID: World War II
операционная система,windows 7,операционная система,windows 10
процессор,"intel core i5-2300, 2.80 ghz | amd fx-4350, 4.2 ghz",процессор,"intel core i5-4570, 3.4 ghz | amd fx-6300, 3.5 ghz"
оперативная память,4 gb,оперативная память,8 gb
видео карта,"geforce gtx 460 |; radeon hd 6870, 512 mb vram",видео карта,"geforce gtx 960 |; radeon r9 280x, 2 gb vram"
directx,version 9.0,directx,version 11
,,,
windows_min_The Swords of Ditto: Mormo's Curse,windows_min_The Swords of Ditto: Mormo's Curse,windows_req_The Swords of Ditto: Mormo's Curse,windows_req_The Swords of Ditto: Mormo's Curse,macos_min_The Swords of Ditto: Mormo's Curse,macos_min_The Swords of Ditto: Mormo's Curse,macos_req_The Swords of Ditto: Mormo's Curse,macos_req_The Swords of Ditto: Mormo's Curse,linux_min_The Swords of Ditto: Mormo's Curse,linux_min_The Swords of Ditto: Mormo's Curse,linux_req_The Swords of Ditto: Mormo's Curse,linux_req_The Swords of Ditto: Mormo's Curse
операционная система,windows 7/8/8.1/10 x86/x64,операционная система,windows 7/8/8.1/10 x64,операционная система,osx 10.11 or higher,операционная система,osx 10.11 or higher,операционная система,ubuntu 18.04 lts,операционная система,ubuntu 18.04 lts
