windows_min_Celeste,windows_min_Celeste,macos_min_Celeste,macos_min_Celeste,linux_min_Celeste,linux_min_Celeste
операционная система,windows 7,операционная система,"lion 10.7.5, 32/",операционная система,"glibc 2.17+, 32/"
процессор,intel core i3 m380,процессор,intel core i3 m380,процессор,intel core i3 m380
оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb
видео карта,intel hd 4000,видео карта,opengl 3.0+ (2.1 with arb extensions acceptable),видео карта,opengl 3.0+ (2.1 with arb extensions acceptable)
directx,version 10,диск,1200 mb,диск,1200 mb
,,,,,
windows_min_ATLAS,windows_min_ATLAS
операционная система,windows 7/8.1/10 ( versions)
процессор,intel core i5-2400 / amd fx-8320
оперативная память,4 gb
видео карта,nvidia gtx 770 2gb / amd radeon hd 7870 2gb
диск,120 gb
,
windows_min_Broforce,windows_min_Broforce,macos_min_Broforce,macos_min_Broforce,macos_req_Broforce,macos_req_Broforce,linux_min_Broforce,linux_min_Broforce,linux_req_Broforce,linux_req_Broforce
операционная система,windows vista,операционная система,os 10.6+,операционная система,os 10.6+,операционная система,ubuntu 12.04,операционная система,—
процессор,intel core™ duo or faster,процессор,2.8 ghz intel core 2 duo,процессор,3.1 ghz intel core 2 duo,процессор,intel core™ duo or faster,процессор,—
оперативная память,4 gb,оперативная память,8 gb,оперативная память,2 gb,оперативная память,8 gb,оперативная память,—
видео карта,opengl 3.0 compliant video card,диск,150 mb,диск,150 mb,дополнительно,gamepad highly recommended.,дополнительно,—
диск,1300 mb,дополнительно,gamepad highly recommended.,дополнительно,gamepad highly recommended.,,,,
,,,,,,,,,
windows_min_Killing Floor,windows_min_Killing Floor,windows_req_Killing Floor,windows_req_Killing Floor,macos_min_Killing Floor,macos_min_Killing Floor,macos_req_Killing Floor,macos_req_Killing Floor,linux_min_Killing Floor,linux_min_Killing Floor,linux_req_Killing Floor,linux_req_Killing Floor
операционная система,windows xp/vista,операционная система,windows xp/vista,операционная система,"os x version leopard 10.5.8, snow leopard 10.6.3, .",операционная система,—,операционная система,"ubuntu 12.04 lts, fully updated",операционная система,"ubuntu 12.04 lts, fully updated"
процессор,1.2 ghz,процессор,2.4 ghz,процессор,intel mac,процессор,—,процессор,1.2 ghz,процессор,2.4 ghz
оперативная память,1 gb,оперативная память,2 gb,видео карта,nvidia or ati gpu (intel gpus unsupported),видео карта,—,оперативная память,1 gb,оперативная память,2 gb
видео карта,64 mb dx9 compliant,видео карта,128 mb dx9 compliant with ps 2.0 support,,,,,видео карта,"nvidia, ati, or intel gpu with hardware-accelerated drivers",видео карта,"nvidia, ati, or intel gpu with hardware-accelerated drivers"
диск,2 gb free hard drive space,диск,2 gb free hard drive space,,,,,диск,2 gb free hard drive space,диск,2 gb free hard drive space
,,,,,,,,,,,
windows_min_Getting Over It with Bennett Foddy,windows_min_Getting Over It with Bennett Foddy,windows_req_Getting Over It with Bennett Foddy,windows_req_Getting Over It with Bennett Foddy,macos_min_Getting Over It with Bennett Foddy,macos_min_Getting Over It with Bennett Foddy,macos_req_Getting Over It with Bennett Foddy,macos_req_Getting Over It with Bennett Foddy,linux_min_Getting Over It with Bennett Foddy,linux_min_Getting Over It with Bennett Foddy,linux_req_Getting Over It with Bennett Foddy,linux_req_Getting Over It with Bennett Foddy
операционная система,windows vista,операционная система,windows 10,операционная система,macos 10.9,операционная система,macos 10.11,операционная система,ubuntu 12.04+ or steamos,операционная система,ubuntu 12.04+ or steamos
процессор,2 ghz dual core cpu,процессор,2.5 ghz dual core cpu,процессор,2 ghz dual core cpu,процессор,2.5 ghz dual core cpu,процессор,2 ghz dual core cpu,процессор,2.5 ghz dual core cpu
оперативная память,2 gb,оперативная память,4 gb,оперативная память,2 gb,оперативная память,4 gb,оперативная память,2 gb,оперативная память,4 gb
видео карта,intel hd graphics 4000,видео карта,geforce gtx 970 / radeon rx470,видео карта,intel hd graphics 4000,видео карта,geforce gtx 970 / radeon rx470,видео карта,intel hd graphics 4000,видео карта,geforce gtx 970 / radeon rx470
directx,version 11,directx,version 11,сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,широкополосное подключение,сеть,широкополосное подключение
сеть,широкополосное подключение,сеть,широкополосное подключение,диск,2 gb,диск,2 gb,диск,2 gb,диск,2 gb
,,,,,,,,,,,
windows_min_Katana ZERO,windows_min_Katana ZERO,windows_req_Katana ZERO,windows_req_Katana ZERO
операционная система,mac os x 10.11 or higher,операционная система,mac os x 10.11 or higher
процессор,intel core i5-3210m (2 * 2500),процессор,intel core i5-5350u (2 * 1800)
оперативная память,4 gb,оперативная память,4 gb
видео карта,intel hd graphics 530,видео карта,intel hd graphics 6000
directx,version 10,directx,—
диск,200 mb,диск,200 mb
,,,
windows_min_It Takes Two,windows_min_It Takes Two,windows_req_It Takes Two,windows_req_It Takes Two
операционная система,windows 8.1 or windows 10,операционная система,windows 8.1 or windows 10
процессор,intel core i3-2100t or amd fx 6100,процессор,intel core i5 3570k or amd ryzen 3 1300x
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 660 or amd r7 260x,видео карта,nvidia geforce gtx 980 or amd r9 290x
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Far Cry® 4,windows_min_Far Cry® 4,windows_req_Far Cry® 4,windows_req_Far Cry® 4
операционная система,windows 7 (sp1) / windows 8 / windows 8.1 / ( only),операционная система,windows 7 (sp1) / windows 8 / windows 8.1 / ( only)
процессор,2.6 ghz intel core™ i5-750 or 3.2 ghz amd phenom™ ii x4 955,процессор,2.5 ghz intel core™ i5-2400s or 4.0 ghz amd fx-8350
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 460 or amd radeon hd5850 (1 gb vram),видео карта,nvidia geforce gtx 680 or amd radeon r9 290x (2 gb vram)
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,30 gb,диск,30 gb
звуковая карта,directx-compatible (5.1 surround sound recommended),звуковая карта,directx-compatible (5.1 surround sound recommended)
,,,
windows_min_Pummel Party,windows_min_Pummel Party
операционная система,windows 7
процессор,dual core 2.4ghz
оперативная память,3 gb
видео карта,geforce 8800 gt / amd hd 6850 / intel hd graphics 4400 or above
directx,version 11
сеть,широкополосное подключение
,
windows_min_SPORE™,windows_min_SPORE™
операционная система,microsoft windows xp with service pack 1 and vista
процессор,2.0 ghz intel pentium 4
оперативная память,512 mb (768 mb for vista)
видео карта,"128 mb video card, with support for pixel shader 2.0"
directx,the latest version of directx 9.0c or higher
,
windows_min_Resident Evil 7 Biohazard,windows_min_Resident Evil 7 Biohazard,windows_req_Resident Evil 7 Biohazard,windows_req_Resident Evil 7 Biohazard
операционная система,"windows 7, 8, 8.1, 10",операционная система,"windows 7, 8, 8.1, 10"
процессор,"intel core™ i5-4460, 2.70ghz or amd fx™-6300",процессор,intel core™ i7 3770 3.4ghz or amd equivalent
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 760 or amd radeon™ r7 260x with 2gb video,видео карта,nvidia geforce gtx 1060 with 3gb vram
directx,version 11,directx,version 11
диск,24 gb,диск,24 gb
звуковая карта,directsound compatible (must support directx 9.0c or higher),звуковая карта,directsound compatible (must support directx 9.0c or higher)
,,,
windows_min_Alien: Isolation,windows_min_Alien: Isolation,windows_req_Alien: Isolation,windows_req_Alien: Isolation,macos_min_Alien: Isolation,macos_min_Alien: Isolation,macos_req_Alien: Isolation,macos_req_Alien: Isolation,linux_min_Alien: Isolation,linux_min_Alien: Isolation,linux_req_Alien: Isolation,linux_req_Alien: Isolation
операционная система,windows 7 (32bit),операционная система,windows 7 (64bit),операционная система,macos 10.10.4,операционная система,—,операционная система,"ubuntu 14.04, steamos",операционная система,"ubuntu 14.04, steamos"
процессор,3.16ghz intel core 2 duo e8500,процессор,"amd: phenom ii x4 955 - 4 core, 3.2 ghz or intel: core 2 quad q9650 - 4 core, 3.0 ghz",процессор,2ghz intel core i5,процессор,—,процессор,2.6ghz intel i3,процессор,3.2ghz+ intel i7 quad core
оперативная память,4 gb,оперативная память,8 gb,оперативная память,4 gb,оперативная память,—,оперативная память,4 gb,оперативная память,8 gb
видео карта,1gb (amd radeon hd 5550 or nvidia geforce gt 430),видео карта,2gb (amd gpu: amd radeon r9 200 series or nvidia gpu: nvidia geforce gtx660),видео карта,"1gb amd 5750, 1gb nvidia 650m, 1.5 gb intel iris pro 5200 (see notes for more details)",видео карта,—,видео карта,nvidia 6xx series (driver version: 355.11),видео карта,nvidia 970 (driver version: 355.11)
directx,version 11,directx,version 11,диск,35 gb,диск,—,диск,35 gb,диск,35 gb
