windows_min_Crystalline,windows_min_Crystalline
операционная система,10.4+
процессор,1.4 ghz
оперативная память,2 gb
видео карта,"intel hd graphics, nvidia 600 series, amd 7000 series"
,
windows_min_Tower Wars,windows_min_Tower Wars
операционная система,snow leopard (10.6.x)
процессор,intel core duo (2 ghz )
оперативная память,2 gb
диск,1.6 gb
видео карта,ati radeon 2400 / nvidia geforce 8600
directx,directx version 9.0c
звуковая карта,windows compatible sound device
,
windows_min_Spooky's Jump Scare Mansion: HD Renovation,windows_min_Spooky's Jump Scare Mansion: HD Renovation
операционная система,macos 10.12
процессор,dual core >; 2ghz
оперативная память,4 gb
видео карта,dedicated graphics card w/ 1gb vram or higher
directx,version 9.0
диск,400 mb
,
windows_min_Project Arrhythmia,windows_min_Project Arrhythmia,windows_req_Project Arrhythmia,windows_req_Project Arrhythmia,macos_min_Project Arrhythmia,macos_min_Project Arrhythmia,macos_req_Project Arrhythmia,macos_req_Project Arrhythmia,linux_min_Project Arrhythmia,linux_min_Project Arrhythmia,linux_req_Project Arrhythmia,linux_req_Project Arrhythmia
операционная система,windows 7 sp1+,операционная система,windows 8+,операционная система,osx 10,операционная система,osx 10,операционная система,ubuntu,операционная система,ubuntu
процессор,2 ghz+ (this varies with core count),процессор,3 ghz+ (this varies with core count),процессор,2 ghz or higher,процессор,3 ghz or higher,процессор,2 ghz or higher,процессор,3 ghz or higher
оперативная память,2 gb,оперативная память,6 gb,оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb
directx,version 10,directx,version 10,диск,200 mb,диск,500 mb,диск,200 mb,диск,500 mb
диск,200 mb,диск,500 mb,,,,,,,,
,,,,,,,,,,,
windows_min_The Convenience Store | ,windows_min_The Convenience Store | 
операционная система,windows 7 sp1+
процессор,intel/amd
оперативная память,4 gb
видео карта,nvidia/amd
directx,version 11
диск,2 gb
звуковая карта,yes
,
windows_min_MEMORIES OF MARS,windows_min_MEMORIES OF MARS,windows_req_MEMORIES OF MARS,windows_req_MEMORIES OF MARS
операционная система,windows 7,операционная система,windows 10
процессор,intel core i5-4670k (amd fx 6300).,процессор,intel core i5-7600k (amd ryzen 5-1600)
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia gtx 660,видео карта,nvidia gtx 1060 6gb
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,14 gb,диск,14 gb
,,,
windows_min_Mercenary Kings: Reloaded Edition,windows_min_Mercenary Kings: Reloaded Edition,macos_min_Mercenary Kings: Reloaded Edition,macos_min_Mercenary Kings: Reloaded Edition,linux_min_Mercenary Kings: Reloaded Edition,linux_min_Mercenary Kings: Reloaded Edition
операционная система,vista,операционная система,mac os x v10.7,операционная система,"glibc 2.15+, 32/. s3tc support is not required."
процессор,intel core™ duo or faster,процессор,intel core™ duo or faster,процессор,intel core™ duo or faster
видео карта,opengl 3.0 compliant video card,видео карта,opengl 3.0 compliant video card,видео карта,opengl 3.0 compliant video card
оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb
,,,,,
windows_min_SAMURAI WARRIORS 4-II,windows_min_SAMURAI WARRIORS 4-II,windows_req_SAMURAI WARRIORS 4-II,windows_req_SAMURAI WARRIORS 4-II
операционная система,windows,операционная система,windows
процессор,core2 duo 2.4ghz,процессор,core i7 860 better
оперативная память,1 gb,оперативная память,2 gb
видео карта,"640*480 pixel over, high color",видео карта,"1280*720 pixel over, true color"
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,11 gb,диск,11 gb
,,,
windows_min_Alien Rage - Unlimited,windows_min_Alien Rage - Unlimited,windows_req_Alien Rage - Unlimited,windows_req_Alien Rage - Unlimited
операционная система,windows xp/vista/win 7/win 8,операционная система,windows xp/vista/win 7/win 8
процессор,"intel dual core 2,6 ghz amd",процессор,core 2 quad 2 ghz amd
оперативная память,2 gb,оперативная память,4 gb
видео карта,geforce 8800 gt,видео карта,geforce gtx 460
directx,version 9.0c,directx,version 9.0c
,,,
windows_min_Sniper Art of Victory,windows_min_Sniper Art of Victory
операционная система,windows xp/vista
процессор,"1,6 ghz cpu"
оперативная память,512 mb
видео карта,ati radeon 8500or geforce3 class gfx card ( recommended)
directx,version 9.0
диск,2 gb
,
windows_min_Shio,windows_min_Shio,windows_req_Shio,windows_req_Shio
операционная система,osx 10.7,операционная система,—
процессор,intel i5,процессор,—
видео карта,intel hd 4000,видео карта,—
directx,version 9.0c,directx,version 9.0c
,,,
windows_min_Raji: An Ancient Epic,windows_min_Raji: An Ancient Epic,windows_req_Raji: An Ancient Epic,windows_req_Raji: An Ancient Epic
операционная система,steamos + ubuntu,операционная система,steamos + ubuntu
процессор,intel core i5-4400 (3.1 ghz) / amd fx-6300 (3.5 ghz),процессор,intel core i5-7400 (3.50 ghz) / amd fx-8100 (2.8 ghz)
оперативная память,8 gb,оперативная память,16 gb
видео карта,geforce gtx 760 / amd radeon r9 270,видео карта,geforce gtx 1060 / amd rx 480
directx,version 11,directx,version 11
диск,3 gb,диск,3 gb
,,,
windows_min_Blood Trail,windows_min_Blood Trail,windows_req_Blood Trail,windows_req_Blood Trail
операционная система,windows 10,операционная система,windows 10
процессор,intel core i5 3.6 ghz or higher,процессор,intel core i7 4 ghz or higher
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia gtx 970 or higher,видео карта,nvidia gtx 1080 or higher
directx,version 11,directx,version 11
,,,
windows_min_Serious Sam Classic: The Second Encounter,windows_min_Serious Sam Classic: The Second Encounter,windows_req_Serious Sam Classic: The Second Encounter,windows_req_Serious Sam Classic: The Second Encounter
операционная система,"windows 95 osr2, windows 98, windows 98se, windows me, windows nt 4.0 (with service pack 5), windows 2000, windows xp, windows vista or windows 7 operating system",операционная система,—
процессор,"amd k6-3 400mhz, pentium ii or celeron-a 300mhz",процессор,amd athlon 650mhz or pentium iii 650mhz range
оперативная память,64mb,оперативная память,128mb
видео карта,full opengl compliant 3d accelerator,видео карта,"nvidia geforce256 or tnt2 ultra, powervr kyro, s3 savage2000, 3dfx voodoo3, ati rage128 pro"
диск,450mb free hard disk space,диск,550mb free hard disk space
,,,
