windows_min_Sneak Thief,windows_min_Sneak Thief,windows_req_Sneak Thief,windows_req_Sneak Thief
операционная система,windows xp,операционная система,windows 7
процессор,dual core @2.4 ghz,процессор,intel core i3 or amd equivalent
оперативная память,2 gb,оперативная память,4 gb
видео карта,intel hd graphics 4000,видео карта,directx 11 graphics card
directx,version 9.0,directx,version 11
диск,1 gb,диск,1 gb
,,,
windows_min_Toukiden: Kiwami,windows_min_Toukiden: Kiwami,windows_req_Toukiden: Kiwami,windows_req_Toukiden: Kiwami
операционная система,windows 8/8.1 (64bit required),операционная система,windows 8/8.1 (64bit required)
процессор,core i7 870 2.8ghz,процессор,core i7 2600 3.4ghz
оперативная память,2 gb,оперативная память,4 gb
видео карта,"640*480 pixel over, high color",видео карта,"1980*1080 pixel over, true color"
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,21 gb,диск,21 gb
,,,
windows_min_Blue Estate The Game,windows_min_Blue Estate The Game,windows_req_Blue Estate The Game,windows_req_Blue Estate The Game
операционная система,windows vista,операционная система,"windows 7, 8 or 8.1"
процессор,dual core 2.0ghz,процессор,dual core 3.0ghz
оперативная память,2 gb,оперативная память,2 gb
видео карта,ati or nvidia card w/ 512 mb (not recommended for intel hd graphics cards),видео карта,ati or nvidia card w/ 1024 mb (nvidia geforce gtx 260 or ati hd 4890)
directx,version 9.0,directx,version 9.0
,,,
windows_min_Valakas Story,windows_min_Valakas Story,windows_req_Valakas Story,windows_req_Valakas Story
операционная система,windows /7/8/10,операционная система,windows /7/8/10
процессор,"quad-core intel or amd, 2.5 ghz or faster",процессор,amd ryzen 7 or intel core i7
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce 470 gtx or amd radeon 6870 hd series card or higher,видео карта,nvidia geforce gtx 1050ti or amd radeon rx 590
directx,version 9.0,directx,version 9.0
диск,19 gb,диск,19 gb
звуковая карта,directx compatible sound card with latest drivers,звуковая карта,directx compatible sound card with latest drivers
,,,
windows_min_BlazBlue: Continuum Shift Extend,windows_min_BlazBlue: Continuum Shift Extend,windows_req_BlazBlue: Continuum Shift Extend,windows_req_BlazBlue: Continuum Shift Extend
операционная система,windows 7 / 8 / 8.1,операционная система,windows 7 / 8 / 8.1
процессор,intel core2 duo,процессор,intel core i5 / i7
оперативная память,2 gb,оперативная память,4 gb
видео карта,nvidia geforce 7900 gt / amd radeon x1900 / nvidia geforce gt 620 (windows 8.1),видео карта,nvidia geforce 8800 gt / amd radeon hd3700 / nvidia geforce gt 650 (windows 8.1)
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,10 gb,диск,10 gb
,,,
windows_min_BioShock Infinite: Burial at Sea - Episode Two,windows_min_BioShock Infinite: Burial at Sea - Episode Two,windows_req_BioShock Infinite: Burial at Sea - Episode Two,windows_req_BioShock Infinite: Burial at Sea - Episode Two,macos_min_BioShock Infinite: Burial at Sea - Episode Two,macos_min_BioShock Infinite: Burial at Sea - Episode Two,macos_req_BioShock Infinite: Burial at Sea - Episode Two,macos_req_BioShock Infinite: Burial at Sea - Episode Two,linux_min_BioShock Infinite: Burial at Sea - Episode Two,linux_min_BioShock Infinite: Burial at Sea - Episode Two,linux_req_BioShock Infinite: Burial at Sea - Episode Two,linux_req_BioShock Infinite: Burial at Sea - Episode Two
операционная система,windows vista service pack 2 32-bit,операционная система,windows 7 service pack 1,операционная система,10.12 (sierra),операционная система,10.12 (sierra),операционная система,"ubuntu 14.10, mint 17.1 or similar linux distribution",операционная система,"ubuntu 14.10, mint 17.1 or similar linux distribution"
процессор,intel core 2 duo 2.4 ghz / amd athlon x2 2.7 ghz,процессор,quad core,процессор,2.2 ghz intel core 2 duo (dual-core),процессор,2.2 quad core,процессор,intel core 2 duo 2.4 ghz / amd athlon x2 2.7 ghz,процессор,intel core i5 3ghz (or similar amd )
оперативная память,2 gb,оперативная память,4 gb,оперативная память,4 gb,оперативная память,4 gb,оперативная память,4 gb,оперативная память,8 gb
видео карта,directx10 compatible ati radeon hd 3870 / nvidia 8800 gt / intel hd 3000 integrated graphics,видео карта,"directx11 compatible, amd radeon hd 6950 / nvidia geforce gtx 560",видео карта,ati radeon hd 3870 / nvidia geforce 640m,видео карта,ati radeon hd 5870 / nvidia geforce gtx 775m,видео карта,nvidia/amd opengl 4.1 / directx 10.0 level compatible,видео карта,nvidia/amd opengl 4.2 / directx 10.1 level compatible
диск,30 gb,диск,30 gb,диск,30 gb,диск,30 gb,диск,20 gb,диск,30 gb
звуковая карта,directx compatible,звуковая карта,directx compatible,дополнительно,bioshock infinite supports both the microsoft xbox 360 wired gamepad and the playstation 3 dualshock 3 wireless controller in addition to the macintosh mouse and keyboard.,дополнительно,—,звуковая карта,alsa/pulseaudio compatible,звуковая карта,alsa/pulseaudio compatible
,,,,supported graphicss,"nvidia geforce 640m, 650m, 660m, 675mx, 680mx, 750m, 755m, 775m, 780m ati radeon hd 3870, hd 4850, hd 5670, hd 5750, hd 5770, hd 5870, hd 6750, hd 6770, hd 6970, hd 7950 (10.9.2 only) ...  firepro d300, d500, d700 intel hd graphics 4000, 5000, iris, iris pro  еще",supported graphicss,—,дополнительно,—,дополнительно,recommended graphics drivers nvidia: nvidia 340.65 amd: fglrx 14.12 (currently only radeon 7xxx and greater series cards are supported) mesa drivers and intel graphics are not currently supported.
