windows_min_Groove Coaster,windows_min_Groove Coaster,windows_req_Groove Coaster,windows_req_Groove Coaster
операционная система,windows7/8.1/10 (64bit),операционная система,—
процессор,2.0 ghz+,процессор,—
оперативная память,2 gb,оперативная память,4 gb
directx,version 11,directx,version 11
диск,400 mb,диск,—
,,,
windows_min_Hoa,windows_min_Hoa,windows_req_Hoa,windows_req_Hoa
операционная система,10.13.6 (high sierra),операционная система,—
процессор,intel core™ i5 (4 cores) @ 2.3 ghz,процессор,—
оперативная память,8 gb,оперативная память,—
видео карта,ati radeon m295x @ 2gb,видео карта,—
directx,version 11,directx,version 11
диск,8 gb,диск,—
,,,
windows_min_FEMINAZI: The Triggering,windows_min_FEMINAZI: The Triggering
операционная система,windows 7
процессор,1.2 ghz
оперативная память,512 mb
видео карта,"directx 9 compatible, at least 256mb video memory"
directx,version 9.0
,
windows_min_Hentai Arena | Battle Royale,windows_min_Hentai Arena | Battle Royale,macos_min_Hentai Arena | Battle Royale,macos_min_Hentai Arena | Battle Royale,linux_min_Hentai Arena | Battle Royale,linux_min_Hentai Arena | Battle Royale
операционная система,windows 7+,операционная система,macos x,операционная система,linux+ or steamos+
процессор,intel pentium or similar,процессор,intel pentium or similar,процессор,intel pentium or similar
оперативная память,4 gb,оперативная память,4 gb,оперативная память,4 gb
видео карта,directx compatible 1024 vram,видео карта,directx compatible 1024 vram,видео карта,directx compatible 1024 vram
диск,600 mb,диск,600 mb,диск,600 mb
,,,,,
windows_min_Zuma's Revenge!,windows_min_Zuma's Revenge!
операционная система,windows xp/vista
процессор,"700mhz (minimum, lo-res mode); 1+ghz (recommended, hi-res mode)"
оперативная память,"256mb (minimum, lo-res mode); 768+mb (recommended, hi-res mode)"
видео карта,"directx-compatible; 16mb (minimum, lo-res mode), 92+mb (recommended, hi-res mode) 16-bit or 32-bit color mode (256 colors may not work) - note: for hi-res mode, you need at least 768mb of and at least 92mb of ...  video, as well as a desktop resolution greater than or equal to 1000 pixels in height.  еще"
directx,"8.1 (required, lo-res mode); 9.0c+ (required, hi-res mode)"
диск,250+mb
звуковая карта,directx-compatible
,
windows_min_LARA CROFT AND THE TEMPLE OF OSIRIS™,windows_min_LARA CROFT AND THE TEMPLE OF OSIRIS™,windows_req_LARA CROFT AND THE TEMPLE OF OSIRIS™,windows_req_LARA CROFT AND THE TEMPLE OF OSIRIS™
операционная система,"windows vista, windows 7, windows 8",операционная система,"windows vista, windows 7, windows 8"
процессор,2.0 ghz high end dual core cpu,процессор,quad core cpu: amd phenom ii x4 955 or intel core i5-750
оперативная память,4 gb,оперативная память,8 gb
видео карта,amd radeon hd 6000 series / nvidia geforce 500 series,видео карта,amd radeon hd r7/ nvidia gtx 650
directx,version 11,directx,version 11
,,,
windows_min_Prince of Persia: The Two Thrones™,windows_min_Prince of Persia: The Two Thrones™
операционная система,windows® 2000/xp (only)
процессор,1.0 ghz amd athlon or intel pentium iii (1.5 ghz pentium iv or amd athlon recommended)
оперативная память,256 mb (512 mb recommended)
видео карта,32 mb directx 9.0c compliant (128 mb recommended) (see supported list*)
directx,directx 9.0c
,
windows_min_Swords and Sandals Classic Collection,windows_min_Swords and Sandals Classic Collection,windows_req_Swords and Sandals Classic Collection,windows_req_Swords and Sandals Classic Collection
операционная система,windows 7,операционная система,10
процессор,500mhz,процессор,500mhz
оперативная память,1 gb,оперативная память,1 gb
,,,
windows_min_Batman™: Arkham Origins Blackgate - Deluxe Edition,windows_min_Batman™: Arkham Origins Blackgate - Deluxe Edition,windows_req_Batman™: Arkham Origins Blackgate - Deluxe Edition,windows_req_Batman™: Arkham Origins Blackgate - Deluxe Edition
операционная система,"32-bit: vista, win 7, win 8",операционная система,"vista, win 7, win 8"
процессор,"intel core 2 duo, 2.4 ghz; amd athlon x2, 2.8 ghz",процессор,"intel core i5-750, 2.67 ghz; amd phenom ii x4 965, 3.4 ghz"
оперативная память,2 gb,оперативная память,4 gb
видео карта,nvidia geforce 8800 gts; amd radeon hd 3850,видео карта,nvidia geforce gtx 560; amd radeon hd 6950
directx,version 10,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,3 gb,диск,3 gb
,,,
windows_min_Bionic Commando,windows_min_Bionic Commando
операционная система,windows xp service pack 2 or windows vista (service pack is optional)
процессор,dual-core (intel core™2 duo 2.4 ghz or amd athlon™ x2 5200+ 2.6 ghz)
оперативная память,1.5 gb
видео карта,"directx9.0c/shader3.0 compatible, vram 512 mb (nvidia geforce&reg 7800 series or ati radeon™ x1900)"
звуковая карта,directx9.0c compatible sound cards
directx,directx9.0c
диск,8.0 gb free space
,
windows_min_Outland,windows_min_Outland,windows_req_Outland,windows_req_Outland,macos_min_Outland,macos_min_Outland,macos_req_Outland,macos_req_Outland,linux_min_Outland,linux_min_Outland,linux_req_Outland,linux_req_Outland
операционная система,windows xp,операционная система,windows 7,операционная система,10.6.x,операционная система,10.9.x,операционная система,kernel 2.6.32,операционная система,kernel 3.12
процессор,intel core 2 @ 2ghz / amd athlon 64 x2 4200+,процессор,intel/amd quad core @ 2.3ghz,процессор,intel core 2 @ 2ghz,процессор,intel quad core @ 2.3ghz,процессор,intel core 2 @ 2ghz / amd athlon 64 x2 4200+,процессор,intel/amd quad core @ 2.3ghz
оперативная память,2 gb,оперативная память,4 gb,оперативная память,2 gb,оперативная память,4 gb,оперативная память,2 gb,оперативная память,4 gb
видео карта,"512mb nvidia geforce gtx 460 / 550, amd radeon hd 5770",видео карта,"1gb nvidia geforce gtx 560 / 640+, amd radeon hd 6850+",видео карта,512mb amd radeon hd5750,видео карта,1gb nvidia geforce gtx 650,видео карта,"512mb nvidia geforce gtx 460 / 550, amd radeon hd 5770",видео карта,"1gb nvidia geforce gtx 560 / 640+, amd radeon hd 6850+"
directx,version 9.0c,directx,version 11,диск,800 mb,диск,800 mb,диск,650 mb,диск,650 mb
диск,650 mb,диск,650 mb,сеть,—,сеть,широкополосное подключение,сеть,—,сеть,широкополосное подключение
звуковая карта,directx compatible,звуковая карта,directx compatible,,,,,,,,
,,,,,,,,,,,
windows_min_Waves,windows_min_Waves,windows_req_Waves,windows_req_Waves
операционная система,"windows xp sp2, vista, 7",операционная система,—
процессор,2.0+ ghz,процессор,dual core
оперативная память,1 gb,оперативная память,2 gb
видео карта,shader model 3 compatible video card,видео карта,—
directx,9.0c,directx,9.0c
,,,
windows_min_Miasmata,windows_min_Miasmata,windows_req_Miasmata,windows_req_Miasmata
операционная система,"windows xp, vista, 7",операционная система,"windows xp, vista, 7"
процессор,"intel core2 duo, amd athlon64 x2,",процессор,"intel core i5 / i7, amd equivalent"
оперативная память,2 gb,оперативная память,4 gb
видео карта,"nvidia geforce 8600gt, ati radeon 3670hd",видео карта,"nvidia geforce gtx 280, ati radeon 4870"
directx®,9.0,directx®,11
диск,3 gb hd space,диск,3 gb hd space
,,,
windows_min_Microcosmum: survival of cells,windows_min_Microcosmum: survival of cells
операционная система,windows 7 / 8 / 10
процессор,1 ghz
оперативная память,512 mb
видео карта,128 mb
directx,version 9.0c
,
windows_min_Crimzon Clover WORLD IGNITION,windows_min_Crimzon Clover WORLD IGNITION,windows_req_Crimzon Clover WORLD IGNITION,windows_req_Crimzon Clover WORLD IGNITION
