windows_min_Lead and Gold: Gangs of the Wild West,windows_min_Lead and Gold: Gangs of the Wild West
операционная система,xp/vista/windows 7
процессор,dual-core (intel core 2 duo 2.4 ghz or amd athlon x2 5200+ 2.6 ghz)
оперативная память,1.5 gb
диск,2.0 gb free space
видео карта,"directx 9.0c/shader3.0 compatible, vram 512 mb (nvidia geforce 7800 series or ati radeon x1900)"
звуковая карта,directx 9.0c compatible sound cards
,
windows_min_UNDER the SAND - a road trip game,windows_min_UNDER the SAND - a road trip game
операционная система,windows 7
процессор,2.0+ ghz
оперативная память,4 gb
видео карта,nvidia geforce 470 gtx
directx,version 10
диск,500 mb
,
windows_min_Apsulov: End of Gods,windows_min_Apsulov: End of Gods
операционная система,"windows 7, 8, 8.1, 10"
процессор,intel core i3 amd
оперативная память,4 gb
видео карта,gtx760
directx,version 11
диск,8 gb
,
windows_min_GOCCO OF WAR,windows_min_GOCCO OF WAR
операционная система,windows7 / windows8 / windows10 ( / 32-bit)
процессор,intel core™ i3-530 @ 2.93 ghz
оперативная память,2 gb
видео карта,nvidia geforce gt 640
directx,version 11
сеть,широкополосное подключение
диск,2 gb
,
windows_min_Shaolin vs Wutang,windows_min_Shaolin vs Wutang,windows_req_Shaolin vs Wutang,windows_req_Shaolin vs Wutang
операционная система,windows 7,операционная система,windows 10
процессор,i5,процессор,i7
оперативная память,8 gb,оперативная память,8 gb
видео карта,geforce gtx 750 ti,видео карта,geforce gtx 1060
directx,version 9.0c,directx,version 11
,,,
windows_min_In Death,windows_min_In Death,windows_req_In Death,windows_req_In Death
операционная система,windows 7 sp1 +,операционная система,windows 10
процессор,intel i5-4590,процессор,intel i7-4790
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 970 / amd radeon rx 480,видео карта,nvidia geforce gtx 1060
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,6 gb,диск,6 gb
,,,
windows_min_Blade Kitten,windows_min_Blade Kitten,windows_req_Blade Kitten,windows_req_Blade Kitten
операционная система,"windows xp sp2, vista sp2, 7",операционная система,"windows xp sp2, vista sp2, 7"
процессор,intel core2 duo 1.8 ghz or amd athlon x2 +3800,процессор,intel core2duo e8400 or amd phenom ii x2 555
оперативная память,1gb,оперативная память,2gb
видео карта,ati radeon x1800 or nvidia geforce 7800,видео карта,ati radeon hd 3850 or nvidia geforce 8800
directx,directx 9.0c,directx,directx 9.0c
диск,3gb free,диск,3gb free
звуковая карта,directx 9.0c-compatible,звуковая карта,directx 9.0c-compatible
other requirements,internet connection required,other requirements,internet connection required
,,,
windows_min_Eryi's Action,windows_min_Eryi's Action
операционная система,windows xp / vista / 7 / 10
процессор,1 ghz
оперативная память,512 mb
видео карта,directx-compatible graphics card
directx,version 9.0c
диск,200 mb
,
