windows_min_Post Apocalyptic Mayhem,windows_min_Post Apocalyptic Mayhem
операционная система,windows xp/vista™/7
процессор,intel p4 3.0ghz or similar amd
оперативная память,1gb
диск,1gb
видео карта,"nvidia geforce 6800 ultra, ati radeon x1800 xt"
directx,"9.0c, june 2010 update"
,
windows_min_Kingdom Under Fire: The Crusaders,windows_min_Kingdom Under Fire: The Crusaders
операционная система,windows 7 32bit
процессор,intel core 2 duo or amd athlon 64x2 5600+
оперативная память,4 gb
видео карта,nvidia geforce gt 420 or ati™ radeon™ hd 6850 or intel hd graphics 4000 with 2 gb vram
directx,version 9.0
,
windows_min_Fruit Ninja VR,windows_min_Fruit Ninja VR,windows_req_Fruit Ninja VR,windows_req_Fruit Ninja VR
операционная система,windows 7,операционная система,windows 10
процессор,intel i5-4590 / amd fx 8350,процессор,intel i5-4590 / amd fx 8350
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 970,видео карта,nvidia gtx 1060
диск,800 mb,диск,800 mb
,,,
windows_min_Block Story™,windows_min_Block Story™,windows_req_Block Story™,windows_req_Block Story™
операционная система,10.8,операционная система,—
процессор,2.0 ghz dual-core,процессор,3.0 ghz quad-core
оперативная память,2 gb,оперативная память,—
видео карта,"geforce 8800 or radeon hd4800 series, 512 mb of memory",видео карта,—
directx,version 9.0,directx,version 9.0
,,,
windows_min_Blazing Chrome,windows_min_Blazing Chrome,windows_req_Blazing Chrome,windows_req_Blazing Chrome
операционная система,windows 7 32-bit,операционная система,windows 7
процессор,intel core 2 duo e8400 or amd phenom ii x2 550,процессор,intel core 2 duo e8400 or amd phenom ii x2 550
оперативная память,2 gb,оперативная память,2 gb
видео карта,geforce 9600 gt or radeon hd 3870,видео карта,geforce 9600 gt or radeon hd 3870
directx,version 11,directx,version 11
,,,
windows_min_Death end re;Quest,windows_min_Death end re;Quest,windows_req_Death end re;Quest,windows_req_Death end re;Quest
операционная система,windows 7 64bit (directx 11 equivalent),операционная система,windows 10 64bit (directx 11 equivalent)
процессор,intel i5 2.3ghz or amd a9 2.9ghz equivalent,процессор,intel i5 3.3ghz or amd fx-8350 4.0ghz equivalent
оперативная память,4 gb,оперативная память,8 gb
видео карта,vram 1 gb graphics card that can support directx 12.0 or more,видео карта,nvidia geforce gtx 960ati mobility radeon r9 290
звуковая карта,directsound (directx) compatible sound card,звуковая карта,directsound (directx) compatible sound card
,,,
windows_min_No More Room in Hell,windows_min_No More Room in Hell,macos_min_No More Room in Hell,macos_min_No More Room in Hell,linux_min_No More Room in Hell,linux_min_No More Room in Hell
операционная система,windows vista,операционная система,macos x 10.9 mavericks,операционная система,ubuntu 14.04lts (highly recommend non-lts latest)
процессор,dual core 2.4 ghz,процессор,dual core 2.4 ghz,процессор,dual core 2.8 ghz
оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb
видео карта,radeon hd 5000 series or nvidia geforce 200 series,видео карта,radeon hd 5000 series or nvidia geforce 200 series,видео карта,radeon hd 5000 series or nvidia geforce 200 series
directx,9.0c,диск,10 gb hd space,диск,10 gb hd space
диск,10 gb hd space,other requirements,"mouse, keyboard, broadband internet connection with at least 5mbps up/down",other requirements,"mouse, keyboard, broadband internet connection with at least 5mbps up/down"
звуковая карта,directx 9.0c compatible sound,,,,
,,,,,
windows_min_Dementium II HD,windows_min_Dementium II HD,windows_req_Dementium II HD,windows_req_Dementium II HD
операционная система,windows xp/vista/7,операционная система,windows 7 sp-1
процессор,intel core 2 duo e6750 2.66 ghz / amd athlon ii x2 245e,процессор,intel core i3-2500 / amd athlon ii x4 650
оперативная память,2 gb,оперативная память,4 gb
видео карта,nvidia geforce 8800gt / amd radeon hd 5700,видео карта,nvidia geforce gtx 285 / amd radeon hd 5830
directx,version 9.0c,directx,—
диск,4 gb,диск,4 gb
,,,
