windows_min_Hitman: Absolution™,windows_min_Hitman: Absolution™,windows_req_Hitman: Absolution™,windows_req_Hitman: Absolution™
операционная система,os x 10.11.6 (as of version 1.1.1),операционная система,os x 10.12.2 (as of version 1.1.1)
процессор,2.0 ghz,процессор,2.4 ghz
storage space,24gb,storage space,24gb
оперативная память,4gb memory,оперативная память,8gb memory
видео карта,512 mb*,видео карта,1gb*
directx,10,directx,11
диск,24 gb hd space,диск,24 gb hd space
other requirements,"the following graphics cards are not supported: ati x1xxx series, ati hd2xxx series, intel gma series, intel hd3000, intel hd 4000, nvidia 7xxx series, nvidia 8xxx series, nvidia 9xxx series, nvidia 1xx series and nvidia ...  3xx series.  еще",other requirements,"the following graphics cards are not supported: ati x1xxx series, ati hd2xxx series, intel gma series, intel hd3000, intel hd4000, nvidia 7xxx series, nvidia 8xxx series, nvidia 9xxx series, nvidia 1xx series and nvidia 3xx ...  series.  еще"
,,,
windows_min_KovaaK's,windows_min_KovaaK's,windows_req_KovaaK's,windows_req_KovaaK's
операционная система,windows 10 (latest service pack),операционная система,windows 10 (latest service pack)
процессор,intel core i3 or amd phenom x3 865,процессор,intel core™ i5 or amd phenom™ ii x3
оперативная память,4 gb,оперативная память,16 gb
видео карта,"nvidia geforce gtx 460, ati radeon hd 4850, or intel hd graphics 4400",видео карта,nvidia geforce gtx 660 or amd radeon™ hd 7950
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Sons Of The Forest,windows_min_Sons Of The Forest,windows_req_Sons Of The Forest,windows_req_Sons Of The Forest
операционная система,windows 10,операционная система,windows 10
процессор,intel core i5-8400 or amd ryzen 3 3300x,процессор,intel core i7-8700k or amd ryzen 5 3600x
оперативная память,12 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 1060 3gb or amd radeon rx 570 4gb,видео карта,nvidia geforce 1080ti or amd radeon rx 5700 xt
directx,version 11,directx,version 11
диск,20 gb,диск,20 gb
,,,
windows_min_Alan Wake,windows_min_Alan Wake,windows_req_Alan Wake,windows_req_Alan Wake
операционная система,windows xp sp2,операционная система,windows 7
процессор,dual core 2ghz intel or 2.8ghz amd,процессор,quad core 2.66ghz intel or 3.2ghz amd
оперативная память,2 gb,оперативная память,4 gb
видео карта,directx 10 compatible with 512mb,видео карта,directx 10 compatible with 1gb
directx,9.0c,directx,10
диск,8 gb hd space,диск,8 gb hd space
,,,
windows_min_Borderlands: The Pre-Sequel,windows_min_Borderlands: The Pre-Sequel,windows_req_Borderlands: The Pre-Sequel,windows_req_Borderlands: The Pre-Sequel,macos_min_Borderlands: The Pre-Sequel,macos_min_Borderlands: The Pre-Sequel,macos_req_Borderlands: The Pre-Sequel,macos_req_Borderlands: The Pre-Sequel,linux_min_Borderlands: The Pre-Sequel,linux_min_Borderlands: The Pre-Sequel,linux_req_Borderlands: The Pre-Sequel,linux_req_Borderlands: The Pre-Sequel
операционная система,windows xp sp3,операционная система,windows xp sp3/vista/win 7/win 8,операционная система,10.12 (sierra),операционная система,—,операционная система,"steamos, ubuntu 14.04",операционная система,—
процессор,2.4 ghz dual core,процессор,2.3 ghz quad core,процессор,2.4 ghz intel core 2 duo (dual-core),процессор,—,процессор,"intel core 2 quad, amd phenom ii x4",процессор,—
оперативная память,2048 mb,оперативная память,2048 mb,оперативная память,4 gb,оперативная память,—,оперативная память,4 gb,оперативная память,—
видео карта,nvidia geforce 8500 / ati radeon hd 2600,видео карта,nvidia geforce gtx 560 / ati radeon hd 5850,видео карта,ati radeon hd 2600 / nvidia geforce 8800 / intel hd 4000,видео карта,—,видео карта,nvidia geforce 260,видео карта,—
directx,version 9.0,directx,version 10,диск,13 gb,диск,—,диск,13 gb,диск,—
диск,13 gb,диск,20 gb,дополнительно,"notice: it is possible for mac and pc to become out of sync during updates or patches. within this short time period, mac users will only be able to play other mac users.",дополнительно,—,дополнительно,"ati/amd and intel chipsets are not supported. don't meet the above requirements? that doesn't mean your configuration wont run borderlands: the pre-sequel. visit the borderlands: the pre-sequel community page to share your experience with other ...  linux players and learn about how to send bugs to aspyr. your feedback will help us improve borderlands: the pre-sequel linux and future aaa linux releases! notice:the linux version is only available in english, french, italian, german, and spanish.  еще",дополнительно,—
звуковая карта,directx 9 compliant,звуковая карта,directx 9.0 c compliant,внимание,"this game is not supported on volumes formatted as mac os extended (case sensitive). notice:the mac version is only available in english, french, italian, german, and spanish.",внимание,—,,,,
,,,,,,,,,,,
windows_min_Bastion,windows_min_Bastion
операционная система,"os x version leopard 10.5.8, snow leopard 10.6.3, ."
процессор,1.7 ghz dual core
оперативная память,2 gb
диск,1.5 gb free space
видео карта,512 mb vram
directx,9.0c
,
windows_min_Transistor,windows_min_Transistor,macos_min_Transistor,macos_min_Transistor,linux_min_Transistor,linux_min_Transistor
операционная система,windows 7 32-bit,операционная система,10.7.5,операционная система,"glibc 2.15+, 32/"
процессор,dual core cpu - 2.6ghz,процессор,dual core cpu - 2.6ghz,процессор,dual core cpu - 2.6ghz
оперативная память,4 gb,оперативная память,4 gb,оперативная память,4 gb
видео карта,1gb of vram: intel hd 3000 gpu / amd hd 5450 / nvidia 9400 gt,видео карта,opengl 3.0+ (2.1 with arb extensions acceptable),видео карта,opengl 3.0+ (2.1 with arb extensions acceptable)
,,,,,
windows_min_Deadside,windows_min_Deadside,windows_req_Deadside,windows_req_Deadside
операционная система,"windows 7, windows 8.1, windows 10",операционная система,"windows 7, windows 8.1, windows 10"
процессор,core i3 / amd fx,процессор,core i5 / amd ryzen 5
оперативная память,4 gb,оперативная память,8 gb
видео карта,gt 1030 / rx 550,видео карта,gtx 1060 / rx 580
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_HITMAN™ 2,windows_min_HITMAN™ 2,windows_req_HITMAN™ 2,windows_req_HITMAN™ 2
операционная система,os windows 7,операционная система,os windows 10
процессор,intel cpu core i5-2500k 3.3ghz / amd cpu phenom ii x4 940,процессор,intel cpu core i7 4790 4 ghz
