windows_min_The Dark Occult,windows_min_The Dark Occult,windows_req_The Dark Occult,windows_req_The Dark Occult
операционная система,windows 7s,операционная система,windows 7s
процессор,intel core i3-530,процессор,intel core i5
оперативная память,6 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 760 2 go or amd radeon™ r7 260x with 2gb video,видео карта,nvidia geforce gtx 970 4 go
directx,version 11,directx,version 11
диск,10 gb,диск,10 gb
звуковая карта,directx compatible,звуковая карта,directx compatible
,,,
windows_min_,windows_min_,windows_req_,windows_req_
операционная система,windosw x64,операционная система,windosw x64
процессор,intel i5,процессор,intel i7
оперативная память,8 gb,оперативная память,16 gb
directx,version 12,directx,version 12
диск,8 gb,диск,15 gb
,,,
windows_min_Half-Life: Alyx - Final Hours,windows_min_Half-Life: Alyx - Final Hours
операционная система,sierra 10.12+
процессор,x64 architecture with sse2
оперативная память,2 gb
видео карта,dx10
directx,version 10
,
windows_min_Iron Front: Digital War Edition,windows_min_Iron Front: Digital War Edition
операционная система,"windows xp, windows vista or windows 7"
процессор,dual-core intel core 2.4 ghz or amd athlon 2.4 ghz
оперативная память,1 gb
видео карта,nvidia geforce 8600gt or ati radeon 3650 or faster with shader model 3 and 512 mb vram
,
windows_min_Asterigos: Curse of the Stars,windows_min_Asterigos: Curse of the Stars,windows_req_Asterigos: Curse of the Stars,windows_req_Asterigos: Curse of the Stars
операционная система,win10 s version 21h2,операционная система,win10 s version 21h2
процессор,intel i7-6700 or amd ryzen5 1500x or faster,процессор,intel i7-9700 or amd ryzen5 2600x or faster
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia gtx960 4gb or amd 380x 4gb or higher,видео карта,nvidia rtx2060 8gb or amd 5700 8gb or higher
directx,version 12,directx,version 12
диск,12 gb,диск,12 gb
,,,
windows_min_Battlezone 98 Redux,windows_min_Battlezone 98 Redux,windows_req_Battlezone 98 Redux,windows_req_Battlezone 98 Redux
операционная система,mac os 10.9.5 (mavericks),операционная система,—
процессор,2.6 ghz intel core i5,процессор,—
оперативная память,4 gb,оперативная память,—
видео карта,intel iris 1536mb .,видео карта,—
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,3 gb,диск,3 gb
,,,
windows_min_The Ball,windows_min_The Ball
операционная система,"windows xp sp2, vista, or windows 7"
процессор,2.0+ ghz (dual core recommended)
оперативная память,1 gb (2 gb recommended)
видео карта,sm3 compatible video card (gf6800 minimum - gf8800 or higher recommended)
directx,directx 9
диск,1.5 gb
,
windows_min_Tesla vs Lovecraft,windows_min_Tesla vs Lovecraft,macos_min_Tesla vs Lovecraft,macos_min_Tesla vs Lovecraft,linux_min_Tesla vs Lovecraft,linux_min_Tesla vs Lovecraft
операционная система,windows xp / vista / 7 / 8 / 10,операционная система,os x 10.8+ recommended,операционная система,ubuntu 16.04 or steamos
процессор,2 ghz,процессор,2 ghz,процессор,2 ghz
оперативная память,2048 mb,оперативная память,2048 mb,оперативная память,2048 mb
видео карта,sm 3.0+,видео карта,sm 3.0+,видео карта,sm 3.0+
directx,version 9.0c,диск,380 mb,диск,182 mb
,,,,,
windows_min_Nidhogg 2,windows_min_Nidhogg 2,windows_req_Nidhogg 2,windows_req_Nidhogg 2
операционная система,mac os 10.7+,операционная система,mac os 10.7+
процессор,3.0 ghz dual core cpu,процессор,3.0 ghz dual core cpu
оперативная память,1 gb,оперативная память,2 gb
видео карта,gpu with at least 256mb of vram,видео карта,gpu with at least 512mb of vram
directx,version 9.0c,directx,version 9.0c
диск,750 mb,диск,750 mb
,,,
windows_min_Slash It,windows_min_Slash It,macos_min_Slash It,macos_min_Slash It,linux_min_Slash It,linux_min_Slash It
операционная система,windows xp,операционная система,mac osx 10.8+,операционная система,ubuntu 12
процессор,1.5ghz +,процессор,1.5ghz +,процессор,1.5ghz +
оперативная память,1 gb,оперативная память,1 gb,оперативная память,1 gb
видео карта,256 mb or higher,видео карта,256 mb or higher,видео карта,256 mb or higher
directx,version 9.0c,диск,250 mb,диск,250 mb
,,,,,
windows_min_GRIME,windows_min_GRIME
операционная система,windows 7
процессор,intel i5 3470 or amd equivelent
оперативная память,4 gb
видео карта,nvidia geforce 960 or amd equivelent
directx,version 10
,
windows_min_The Uncertain: Light At The End,windows_min_The Uncertain: Light At The End,windows_req_The Uncertain: Light At The End,windows_req_The Uncertain: Light At The End
операционная система,os x yosemite or higher,операционная система,os x yosemite or higher
процессор,i3 and up,процессор,i5 and up
оперативная память,4096 mb,оперативная память,8192 mb
видео карта,discrete,видео карта,discrete
directx,version 11,directx,version 11
диск,15 gb,диск,15 gb
,,,
windows_min_Fear the Night - ,windows_min_Fear the Night - ,windows_req_Fear the Night - ,windows_req_Fear the Night - 
операционная система,"windows 7 service pack 1, windows 8, or windows 10",операционная система,"windows 7 service pack 1, windows 8, or windows 10"
процессор,intel core i5 2500k,процессор,intel core i7-5820k 6x 3.3 ghz
оперативная память,8 gb,оперативная память,16 gb
видео карта,geforce gtx 670 or higher,видео карта,geforce gtx 1060 or higher
directx,version 10,directx,version 10
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
macos_min_Call of Duty: United Offensive,macos_min_Call of Duty: United Offensive
операционная система,"mac os x 10.4.11, 10.5.7"
процессор,2.0 ghz or faster
оперативная память,1 gb or higher
video memory,128 mb or higher
graphics (ati),radeon&trade 9800
graphics (nvidia),geforce&reg 5200 **
диск,2.5 gb free disk space
периферия,macintosh mouse and keyboard
supported video cards,—
*apple original cpus only; cpu upgrades not supported,—
внимание,—
,
windows_min_Blue Fire,windows_min_Blue Fire,windows_req_Blue Fire,windows_req_Blue Fire
операционная система,windows 10,операционная система,windows 10
процессор,"requires a, dual core 3.0ghz",процессор,"quad-core intel or amd, 3.0 ghz or faster"
оперативная память,8 gb,оперативная память,16 gb
видео карта,directx 11 or directx 12 compatible graphics card,видео карта,directx 11 or directx 12 compatible graphics card
directx,version 11,directx,version 11
,,,
windows_min_Toy Soldiers: Complete,windows_min_Toy Soldiers: Complete,windows_req_Toy Soldiers: Complete,windows_req_Toy Soldiers: Complete
операционная система,windows xp sp3,операционная система,windows 7 sp1
процессор,intel core 2 duo 2.0 ghz or amd athlon 64 x2 2.0 ghz,процессор,intel core i3 3.5 ghz or amd a4-series 3.4 ghz
оперативная память,2 gb,оперативная память,4 gb
видео карта,nvidia geforce 8800 gt 512 mb or amd hd 4830 512 mb,видео карта,nvidia geforce 8800 gt 1gb or amd hd 4830 1gb
directx,version 9.0c,directx,version 9.0c
диск,12 gb,диск,12 mb
звуковая карта,directx 9.0 compliant sound card,звуковая карта,directx 9.0 compliant sound card
дополнительно,"3gb memory required for windows vista, windows 7 and windows 8.",дополнительно,"4gb memory recommended for windows vista, windows 7 and windows 8."
,,,
windows_min_Lone Survivor: The Director's Cut,windows_min_Lone Survivor: The Director's Cut,windows_req_Lone Survivor: The Director's Cut,windows_req_Lone Survivor: The Director's Cut
операционная система,osx 10.6.8,операционная система,osx 10.6.8
процессор,core duo,процессор,core duo
оперативная память,2 gb,оперативная память,2 gb
видео карта,any with hardware 3d acceleration,видео карта,nvidia / amd gpu with 256 mb or more
directx,directx 7.0,directx,directx 7.0
диск,300 mb hd space,диск,300 mb hd space
,,,
windows_min_Strike Vector EX,windows_min_Strike Vector EX,windows_req_Strike Vector EX,windows_req_Strike Vector EX
операционная система,"windows 7 sp1 ( only), windows 8 ( only), windows 10 ( only)",операционная система,"windows 7 sp1 ( only), windows 8 ( only), windows 10 ( only)"
процессор,"x64 dual core cpu, 2+ ghz",процессор,"x64 quad core cpu, 3+ ghz"
оперативная память,4 gb,оперативная память,8 gb
видео карта,discrete non mobile gpu with 1 gb,видео карта,discrete non mobile gpu with 2 gb
directx,version 11,directx,version 11
диск,7 gb,диск,7 gb
звуковая карта,any,звуковая карта,any
дополнительно,internet connection required for online multiplayer,дополнительно,—
,,,
windows_min_THE KING OF FIGHTERS '97 GLOBAL MATCH,windows_min_THE KING OF FIGHTERS '97 GLOBAL MATCH
операционная система,windows vista
процессор,intel pentium 4 1.8ghz dual core
видео карта,onboard graphics chipset with 256mb video
directx,version 9.0
диск,200 mb
,
windows_min_UNDER NIGHT IN-BIRTH Exe:Late,windows_min_UNDER NIGHT IN-BIRTH Exe:Late
операционная система,windows 7 / 8 / 8.1
процессор,"intel core i5, 2.0 ghz"
оперативная память,2 gb
видео карта,nvidia geforce gtx 560 / radeon hd 7770
directx,version 9.0c
сеть,широкополосное подключение
диск,8 gb
,
windows_min_Touhou: Scarlet Curiosity | ,windows_min_Touhou: Scarlet Curiosity | ,windows_req_Touhou: Scarlet Curiosity | ,windows_req_Touhou: Scarlet Curiosity | 
операционная система,windows 7,операционная система,windows 7+
процессор,"intel core i3 (2-core, 2.4ghz)",процессор,intel core i5-2300 / amd fx-6350
оперативная память,2 gb,оперативная память,6 gb
видео карта,geforce gts 450,видео карта,nvidia geforce gtx 950 / amd radeon r7 360
directx,version 10,directx,version 10
диск,4 gb,диск,4 gb
,,,
windows_min_The Bard's Tale,windows_min_The Bard's Tale,macos_min_The Bard's Tale,macos_min_The Bard's Tale,linux_min_The Bard's Tale,linux_min_The Bard's Tale
операционная система,windows 7,операционная система,os x 10.6.0 or higher,операционная система,x11 enabled linux distro
процессор,pentium 4 2ghz / amd athlonxp 2400,диск,3.6gb hard disk space,процессор,pentium 4 2ghz / amd athlonxp 2400
оперативная память,512mb,,,оперативная память,512mb
видео карта,geforce fx5700 / ati radeon 9600,,,видео карта,geforce fx5700 / ati radeon 9600
directx,9.0c,,,opengl,2.0 compatible video card and compatible drivers
диск,6gb of free space,,,диск,3.8gb of free space
,,,,,
windows_min_Zenith: The Last City,windows_min_Zenith: The Last City
операционная система,windows 10
процессор,dual core with hyper-threading
оперативная память,8 gb
видео карта,geforce gtx 970
directx,version 10
сеть,широкополосное подключение
,
"windows_min_Warhammer 40,000: Kill Team","windows_min_Warhammer 40,000: Kill Team"
операционная система,windows 7 / windows 8
процессор,2.0ghz dual core
оперативная память,2 gb
видео карта,nvidia 8800 gts or radeon hd 4770 or intel hd 4200 512mb
directx,version 10
,
windows_min_Holopoint,windows_min_Holopoint,windows_req_Holopoint,windows_req_Holopoint
операционная система,windows 10,операционная система,windows 10
оперативная память,8 gb,оперативная память,16 gb
видео карта,gtx 970,видео карта,gtx 980
,,,
windows_min_Fortune Summoners,windows_min_Fortune Summoners,windows_req_Fortune Summoners,windows_req_Fortune Summoners
операционная система,windows xp/vista/7,операционная система,windows 7
процессор,pentium iii 1.0ghz,процессор,pentium iv 2.4ghz
оперативная память,384 mb,оперативная память,512 mb
видео карта,directx 8 or higher compatible video card,видео карта,directx 8 or higher compatible video card
directx,dx80,directx,dx90
диск,250 mb hd space,диск,250 mb hd space
,,,
windows_min_Fight of Gods,windows_min_Fight of Gods,windows_req_Fight of Gods,windows_req_Fight of Gods
операционная система,windows 7 ( versions required),операционная система,windows 7 ( versions required)
процессор,i5-4460,процессор,i7-4790
оперативная память,4 gb,оперативная память,8 gb
видео карта,geforce gtx 750,видео карта,geforce gtx 960
directx,version 11,directx,version 11
диск,3 gb,диск,3 gb
,,,
windows_min_Anodyne,windows_min_Anodyne,windows_req_Anodyne,windows_req_Anodyne
операционная система,10.6,операционная система,10.6
процессор,"1.5 ghz, single core",процессор,—
оперативная память,1 gb,оперативная память,—
видео карта,any,видео карта,—
диск,100 mb hd space,диск,—
звуковая карта,any,звуковая карта,—
,,,
windows_min_Pascal's Wager: Definitive Edition,windows_min_Pascal's Wager: Definitive Edition,windows_req_Pascal's Wager: Definitive Edition,windows_req_Pascal's Wager: Definitive Edition
операционная система,"windows 7 sp1 64bit, windows 8.1 64bit windows 10 64bit",операционная система,"windows 7 sp1 64bit, windows 8.1 64bit windows 10 64bit"
процессор,intel core i3-2100 / amd fx-6300,процессор,intel core i7-3770 / amd fx-8350
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 750 ti / ati radeon hd 7950,видео карта,nvidia geforce gtx 970 / ati radeon r9 series
directx,version 11,directx,version 11
диск,25 gb,диск,25 gb
,,,
windows_min_Alpha Prime,windows_min_Alpha Prime
операционная система,windows 2000/xp/vista
процессор,2.0 ghz
оперативная память,512 mb
видео карта,directx compatible 128 mb graphics card
directx,directx 9.0c
звуковая карта,directx compatible sound card
,
windows_min_Near Death,windows_min_Near Death,macos_min_Near Death,macos_min_Near Death,linux_min_Near Death,linux_min_Near Death
операционная система,windows 7 ( os required),операционная система,os x 10.10,операционная система,( os required)
процессор,intel core i5 2.00 ghz or amd equivalent ( required),процессор,intel core i5 2.00 ghz or amd equivalent ( required),процессор,intel core i5 2.00 ghz or amd equivalent ( required)
оперативная память,4 gb,оперативная память,4 gb,оперативная память,4 gb
видео карта,nvidia geforce gtx 650 with 1gb memory (or amd equivalent),видео карта,nvidia geforce gtx 650 with 1gb memory (or amd equivalent),видео карта,nvidia geforce gtx 650 with 1gb memory (or amd equivalent)
,,,,,
windows_min_Q.U.B.E: Director's Cut,windows_min_Q.U.B.E: Director's Cut
операционная система,mac osx 10.6
процессор,2.0+ ghz (dual core recommended)
оперативная память,2 gb
видео карта,nvidia 8000 series or higher (shader model 3 compatible & 128mb or more memory)
directx,version 9.0c
,
windows_min_Monster Slayers,windows_min_Monster Slayers
операционная система,os x 10.7.0
процессор,2 ghz intel core 2 duo
оперативная память,256 mb
видео карта,opengl 2.1 compatible graphics card
directx,version 9.0
диск,40 mb
,
windows_min_Garten of Banban 2,windows_min_Garten of Banban 2
операционная система,windows 7
процессор,2.5 ghz quad-core intel or amd
видео карта,directx 11 or 12 compatible graphics card
,
windows_min_Alien Shooter 2 - The Legend,windows_min_Alien Shooter 2 - The Legend
