windows_min_Super Panda Adventures,windows_min_Super Panda Adventures
операционная система,"windows 8, windows 7, windows vista, windows xp"
процессор,1 ghz or higher
оперативная память,1024 mb
видео карта,256 mb
directx,version 9.0
диск,100 mb
,
windows_min_Tallowmere,windows_min_Tallowmere,windows_req_Tallowmere,windows_req_Tallowmere,macos_min_Tallowmere,macos_min_Tallowmere,macos_req_Tallowmere,macos_req_Tallowmere,linux_min_Tallowmere,linux_min_Tallowmere,linux_req_Tallowmere,linux_req_Tallowmere
операционная система,windows 7 sp1,операционная система,windows 10,операционная система,macos 10.12 or higher,операционная система,macos 10.15 catalina,операционная система,"steamos, ubuntu 16.04, or similar",операционная система,"steamos, ubuntu 18.04, or similar"
процессор,2 ghz or faster; 32-bit or cpu,процессор,—,процессор,2 ghz or faster; cpu,процессор,—,процессор,2 ghz or faster; cpu,процессор,—
оперативная память,2 gb,оперативная память,—,оперативная память,2 gb,оперативная память,—,оперативная память,2 gb,оперативная память,—
видео карта,onboard or dedicated gpu; 256 mb; shader model 4.0,видео карта,—,видео карта,onboard or dedicated gpu; 256 mb,видео карта,—,видео карта,onboard or dedicated gpu; 256 mb,видео карта,—
directx,version 11,directx,—,диск,130 mb,диск,—,диск,130 mb,диск,—
диск,130 mb,диск,—,звуковая карта,onboard,звуковая карта,—,звуковая карта,onboard,звуковая карта,—
звуковая карта,onboard,звуковая карта,—,дополнительно,"play with keyboard (and optionally mouse buttons), or use a controller. successfully tested with xbox 360, ps3, and ps4 controllers.",дополнительно,—,дополнительно,"play with keyboard (and optionally mouse buttons), or use a controller. successfully tested with xbox 360, ps3, and ps4 controllers.",дополнительно,—
,,,,,,,,,,,
windows_min_Suicide Guy,windows_min_Suicide Guy,windows_req_Suicide Guy,windows_req_Suicide Guy,macos_min_Suicide Guy,macos_min_Suicide Guy,macos_req_Suicide Guy,macos_req_Suicide Guy,linux_min_Suicide Guy,linux_min_Suicide Guy,linux_req_Suicide Guy,linux_req_Suicide Guy
операционная система,windows xp sp3,операционная система,windows 7 or higher,операционная система,mac os x 10.6 snow leopard,операционная система,mac os x 10.9 mavericks or higher,операционная система,ubuntu 12.10 lts,операционная система,ubuntu 13.10
процессор,intel dual-core 2.6 ghz / amd dual-core athlon 3.0 ghz,процессор,quad-core,процессор,intel dual-core 2.4 ghz,процессор,quad-core,процессор,intel dual-core 2.9 ghz / amd dual-core 3.5 ghz,процессор,quad-core
оперативная память,1 gb,оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb
видео карта,sm 3.0 with 512mb vram; nvidia geforce 8500 gt / amd radeon hd 4650,видео карта,sm 3.0 with 1gb vram; nvidia geforce gtx 280 / amd radeon hd 4830,видео карта,nvidia geforce 640m / ati radeon hd 5750 with at least 512mb vram,видео карта,nvidia geforce 640m / ati radeon hd 6750m with at least 1gb vram,видео карта,sm 3.0 with 512mb vram; nvidia geforce gtx 550 ti / amd radeon hd 6670,видео карта,sm 3.0 with 1gb vram; nvidia geforce gtx 770 / amd radeon hd 7970
directx,version 9.0,directx,version 10,диск,2 gb,диск,2 gb,диск,2 gb,диск,2 gb
,,,,,,,,,,,
windows_min_8BitBoy™,windows_min_8BitBoy™
операционная система,10.8.1 or above
процессор,intel core 2 duo or amd athlon ii
оперативная память,2 gb
видео карта,intel hd 4000 / radeon hd 6310
directx,version 9.0c
диск,100 mb
,
windows_min_Hover Junkers,windows_min_Hover Junkers,windows_req_Hover Junkers,windows_req_Hover Junkers
операционная система,windows 7,операционная система,windows 10
процессор,intel i5-4590 3.3 ghz,процессор,intel i7-4770 3.4 ghz
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia gtx 970,видео карта,nvidia gtx 980
диск,20 gb,диск,20 gb
,,,
windows_min_Tcheco in the Castle of Lucio,windows_min_Tcheco in the Castle of Lucio
операционная система,windows vista/7/8
процессор,2.0 ghz
оперативная память,1 gb
видео карта,256 mb video card
directx,version 9.0
диск,160 mb
,
windows_min_The Walking Dead Onslaught,windows_min_The Walking Dead Onslaught,windows_req_The Walking Dead Onslaught,windows_req_The Walking Dead Onslaught
операционная система,windows 10,операционная система,windows 10
процессор,intel core i5-4590 / amd fx 8350,процессор,intel i5-4590 / amd ryzen 5 1500x
оперативная память,12 gb,оперативная память,12 gb
видео карта,nvidia gtx 970 / amd radeon r9 290,видео карта,nvidia gtx 1080 / amd radeon rx 480
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Let Them Come,windows_min_Let Them Come,windows_req_Let Them Come,windows_req_Let Them Come
операционная система,mac os x 10.7,операционная система,mac os x 10.7
процессор,1.2ghz+,процессор,2ghz+
оперативная память,1024 mb,оперативная память,2048 mb
видео карта,512mb,видео карта,1gb
directx,version 10,directx,—
диск,250 mb,диск,500 mb
,,,
windows_min_The Fisherman - Fishing Planet,windows_min_The Fisherman - Fishing Planet,windows_req_The Fisherman - Fishing Planet,windows_req_The Fisherman - Fishing Planet
операционная система,"windows 7, 8, 10 x64",операционная система,"windows 7, 8, 10 x64"
процессор,dual-core 2.4 ghz,процессор,quad-core 3.0 ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,graphics card intel hd4600 or higher,видео карта,graphics card with 2 gb video: nvidia geforce gtx 660
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Legacy of Kain: Defiance,windows_min_Legacy of Kain: Defiance
операционная система,windows xp/ windows vista / windows 7
процессор,1.8ghz
оперативная память,1 gb
видео карта,3d graphics compatible with directx 9
directx,9.0b
,
windows_min_Legends of Ellaria,windows_min_Legends of Ellaria,windows_req_Legends of Ellaria,windows_req_Legends of Ellaria
операционная система,windows 7/8/10 ( os required),операционная система,windows 7/8/10 ( os required)
процессор,intel core i5-2300 2.8 ghz,процессор,intel core i7 4790 3.6 ghz
оперативная память,12 gb,оперативная память,12 gb
видео карта,nvidia gtx 750 ti 2gb,видео карта,nvidia gtx 1070 3gb
directx,version 11,directx,version 11
,,,
windows_min_Delivery from the Pain:Survival / :,windows_min_Delivery from the Pain:Survival / :,windows_req_Delivery from the Pain:Survival / :,windows_req_Delivery from the Pain:Survival / :
операционная система,windows 7/win8/win10,операционная система,windows 7/win8/win10
процессор,2.0 ghz dual core,процессор,2.8 ghz quad core
оперативная память,1 gb,оперативная память,2 gb
видео карта,nv 6600 / ati x700,видео карта,nv 8600/ ati x2500
directx,version 9.0c,directx,version 9.0c
диск,1 gb,диск,2 gb
звуковая карта,direct sound,звуковая карта,direct sound
,,,
windows_min_Apex Legends™,windows_min_Apex Legends™,windows_req_Apex Legends™,windows_req_Apex Legends™
операционная система,windows 7,операционная система,windows 7
процессор,"amd fx 4350, intel core i3 6300",процессор,ryzen 5 cpu
оперативная память,6 gb,оперативная память,8 gb
видео карта,"amd radeon™ hd 7730, nvidia geforce gt 640",видео карта,"amd radeon™ r9 290, nvidia geforce gtx 970"
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
