windows_min_Serious Sam VR: The First Encounter,windows_min_Serious Sam VR: The First Encounter,windows_req_Serious Sam VR: The First Encounter,windows_req_Serious Sam VR: The First Encounter
операционная система,ubuntu 14.04,операционная система,ubuntu 14.04
процессор,intel core i5 - 4590 equivalent,процессор,intel core i7-6800 equivalent
оперативная память,6 gb,оперативная память,6 gb
видео карта,amd r9 290 or nvidia gtx 970,видео карта,amd fury or nvidia gtx 1070
directx,version 11,directx,version 11
диск,10 gb,диск,10 gb
,,,
windows_min_Galactic Junk League,windows_min_Galactic Junk League,windows_req_Galactic Junk League,windows_req_Galactic Junk League
операционная система,osx 10.6,операционная система,osx 10.6
процессор,intel dual core,процессор,intel core i5
оперативная память,4 gb,оперативная память,8 gb
видео карта,512 mb,видео карта,1 gb or higher
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Serious Sam Double D XXL,windows_min_Serious Sam Double D XXL
операционная система,"xp, vista, 7"
процессор,2.0 ghz or faster (dual-core recommended)
оперативная память,1gb
диск,500mb
видео карта,"128 mb card, supports shader model 2.0"
directx,9.0c
звуковая карта,directx 9.0c compatible sound card
,
windows_min_Castlevania Anniversary Collection,windows_min_Castlevania Anniversary Collection,windows_req_Castlevania Anniversary Collection,windows_req_Castlevania Anniversary Collection
операционная система,windows 10 - 64bit,операционная система,windows 10 - 64bit
процессор,intel core i3-4160,процессор,intel core i3-6300
оперативная память,4 gb,оперативная память,4 gb
видео карта,intel hd graphics 4400 (vram 128mb),видео карта,geforce gtx 750ti (vram 2gb)
directx,version 11,directx,version 11
диск,800 mb,диск,800 mb
звуковая карта,directx 11 compatible,звуковая карта,directx 11 compatible
,,,
windows_min_2 (Wushu Chronicles 2),windows_min_2 (Wushu Chronicles 2),windows_req_2 (Wushu Chronicles 2),windows_req_2 (Wushu Chronicles 2)
операционная система,windows 7 | windows 8 | windows 10,операционная система,windows 7 | windows 8 | windows 10
процессор,intel core i3-2100 |; amd fx-6300,процессор,intel core i5-2500k |; amd ryzen 5 1400
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 760 |; amd radeon hd 7950,видео карта,nvidia geforce gtx 970 |; amd radeon rx 570
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,15 gb,диск,15 gb
,,,
windows_min_Gynophobia,windows_min_Gynophobia,windows_req_Gynophobia,windows_req_Gynophobia
операционная система,—,операционная система,os x mavericks
процессор,—,процессор,"intel core i5 2,3 mhz"
оперативная память,—,оперативная память,4 gb
видео карта,—,видео карта,intel hd graphics 3000
,,,
windows_min_Eon Altar,windows_min_Eon Altar,windows_req_Eon Altar,windows_req_Eon Altar
операционная система,os x 10.8.5,операционная система,os x 10.11
процессор,intel core i5 @ 2.5ghz,процессор,intel core i7 @ 3ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,intel iris 1536 mb,видео карта,nvidia gtx 750m / or amd radeon r9 m370x with 1024 vram
directx,version 9.0,directx,version 11
диск,4 gb,диск,4 gb
звуковая карта,direct x compatible,звуковая карта,direct x compatible
,,,
windows_min_MONSTER HUNTER RISE,windows_min_MONSTER HUNTER RISE,windows_req_MONSTER HUNTER RISE,windows_req_MONSTER HUNTER RISE
операционная система,windows 10 (),операционная система,windows 10 ()
процессор,intel core™ i3-4130 or core™ i5-3470 or amd fx™-6100,процессор,intel core™ i5-4460 or amd fx™-8300
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia geforce gt 1030 (ddr4) or amd radeon™ rx 550,видео карта,nvidia geforce gtx 1060 (vram 3gb) or amd radeon™ rx 570 (vram 4gb)
directx,version 12,directx,version 12
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,23 gb,диск,23 gb
,,,
windows_min_Shatter,windows_min_Shatter
операционная система,"os x version snow leopard 10.6, ."
процессор,2.0 ghz
оперативная память,512 mb
диск,250 mb of free space
видео карта,128 mb vram
звуковая карта,directx 9.0c compatible audio card
directx,9.0c
,
windows_min_Asura: Vengeance Edition,windows_min_Asura: Vengeance Edition,windows_req_Asura: Vengeance Edition,windows_req_Asura: Vengeance Edition,macos_min_Asura: Vengeance Edition,macos_min_Asura: Vengeance Edition,macos_req_Asura: Vengeance Edition,macos_req_Asura: Vengeance Edition,linux_min_Asura: Vengeance Edition,linux_min_Asura: Vengeance Edition,linux_req_Asura: Vengeance Edition,linux_req_Asura: Vengeance Edition
операционная система,"windows 7, 8, 10",операционная система,"windows 7, 8, 10",операционная система,os x el captain,операционная система,os x sierra,операционная система,latest steam os,операционная система,latest steam os
процессор,intel core 2 duo,процессор,intel i7,процессор,intel core 2 duo,процессор,intel i7,процессор,intel core 2 duo,процессор,intel i7
оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb
видео карта,intel hd graphics 4000 or higher,видео карта,nvidia gefore gtx 750 ti or higher,видео карта,intel hd graphics 4000 or higher,видео карта,nvidia gefore gtx 750 ti or higher,видео карта,intel hd graphics 4000 or higher,видео карта,nvidia gefore gtx 750 ti or higher
directx,version 9.0c,directx,version 9.0c,диск,2 gb,диск,2 gb,диск,2 gb,диск,2 gb
диск,2 gb,диск,2 gb,,,,,,,,
,,,,,,,,,,,
windows_min_BLACKHOLE,windows_min_BLACKHOLE,windows_req_BLACKHOLE,windows_req_BLACKHOLE,macos_min_BLACKHOLE,macos_min_BLACKHOLE,macos_req_BLACKHOLE,macos_req_BLACKHOLE,linux_min_BLACKHOLE,linux_min_BLACKHOLE,linux_req_BLACKHOLE,linux_req_BLACKHOLE
операционная система,windows 7 a 8.1,операционная система,windows 10 64bit,операционная система,snow leopard (10.6),операционная система,yosemite (10.10),операционная система,linux (most distros should work),операционная система,ubuntu 14.04
процессор,intel core 2 duo,процессор,intel core i5 2.5 ghz,процессор,intel,процессор,intel core i5,процессор,intel core 2 duo,процессор,intel core i5
оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb,оперативная память,4 gb,оперативная память,2 gb,оперативная память,4 gb
видео карта,intel graphics / 512mb vram,видео карта,nvidia gtx 560ti &; higher / 1gb vram,видео карта,sm4 512mb vram,видео карта,sm4 1gb vram,видео карта,sm4 512mb vram,видео карта,sm4 1gb vram
directx,version 9.0c,directx,version 9.0c,диск,2 gb,диск,2 gb,диск,2 gb,диск,2 gb
диск,2 gb,диск,4 gb,сеть,—,сеть,широкополосное подключение,сеть,—,сеть,широкополосное подключение
звуковая карта,compatible with directx: 9.0c,звуковая карта,compatible with directx: 9.0c,дополнительно,—,дополнительно,recommended xbox 360 controller with xinput drivers installed,дополнительно,—,дополнительно,recommended xbox 360 controller with xinput drivers installed
дополнительно,"warning: laptop graphics card are not supported, but may be functional",дополнительно,recommended xbox 360 controller for windows,,,,,,,,
,,,,,,,,,,,
windows_min_Front Mission Evolved,windows_min_Front Mission Evolved,windows_req_Front Mission Evolved,windows_req_Front Mission Evolved
операционная система,"windows xp, vista, windows 7",операционная система,"windows xp, vista, windows 7"
процессор,intel pentium d 1.8 ghz or amd athlon 64 x2 1.8 ghz,процессор,intel core 2 duo 2.4 ghz or amd athlon 64 x2 2.4 ghz
оперативная память,"1gb (xp), 2gb (vista/7)",оперативная память,"2gb (xp), 3gb (vista/7)"
видео карта,512mb nvidia geforce 7800 series graphics card,видео карта,512mb nvidia geforce 8800 series graphics card
directx,9.0c,directx,9.0c
диск,11 gb free space,диск,11 gb free space
