windows_min_Outpost Zero,windows_min_Outpost Zero
операционная система,windows 7/8.1/10 ( versions)
процессор,intel core i5-2400 / amd fx-8320
оперативная память,8 gb
видео карта,nvidia gtx 670 2gb / amd radeon hd 7870 2gb
directx,version 10
,
windows_min_Press Forward OOOOONNNNN,windows_min_Press Forward OOOOONNNNN
операционная система,windows 7 or above
процессор,core m3
оперативная память,4 gb
видео карта,intel graphics series
,
windows_min_Overture,windows_min_Overture
операционная система,snow leopard (10.6.x)
процессор,2.0 ghz
оперативная память,1 gb
видео карта,integrated graphics
диск,50 mb
,
windows_min_BattleRush 2,windows_min_BattleRush 2,windows_req_BattleRush 2,windows_req_BattleRush 2
операционная система,windows 7/8/10 32-bit,операционная система,windows 7/8/10
процессор,"intel or amd, 2.5 ghz or faster",процессор,"quad-core intel or amd, 3 ghz or faster"
оперативная память,4096 mb,оперативная память,8192 mb
видео карта,nvidia geforce 470 gtx or amd radeon 6870 hd series card or higher,видео карта,nvidia geforce 1050 gtx or amd radeon rx560 series card or higher
directx,version 10,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_World of Speed,windows_min_World of Speed,windows_req_World of Speed,windows_req_World of Speed
операционная система,windows 7 x64 sp1,операционная система,windows 7 x64 sp1
процессор,"intel(r) core(tm) i3 cpu, 3.5ghz",процессор,"intel(r) core(tm) i5 cpu, 3.5ghz"
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gt 440 1gb / nvidia geforce gt 620 1gb / amd radeon r7 240 2g,видео карта,nvidia geforce gtx 660 4gb / amd radeon r9 270 4gb
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,12 gb,диск,12 gb
,,,
windows_min_Force of Nature 2: Ghost Keeper,windows_min_Force of Nature 2: Ghost Keeper,windows_req_Force of Nature 2: Ghost Keeper,windows_req_Force of Nature 2: Ghost Keeper
операционная система,windows 7 sp1+ (x64 only),операционная система,windows 7 sp1+ (x64 only)
оперативная память,4 gb,оперативная память,8 gb
видео карта,"any graphics card with dx10 capabilities, 1gb vram",видео карта,nvidia geforce gtx 960 / amd radeon hd 7970
directx,version 10,directx,version 11
,,,
windows_min_Sine Mora,windows_min_Sine Mora,windows_req_Sine Mora,windows_req_Sine Mora
операционная система,x86 or x versions of microsoft windows xp/vista/win7,операционная система,—
процессор,md/intel single or dual-core running at 2.2ghz (intel pentium d or amd athlon 64 x2 are probably the lowest cpu architectures recommended),процессор,amd/intel dual/triple/quad-core running at 2.6 ghz
оперативная память,1024 mb,оперативная память,1536 mb
видео карта,ati/nvidia graphic card with at least 256mb of dedicated vram and with at least directx 9.0c and shader model 3.0 support. ati radeon hd 3600 and nvidia geforce 8600 are minimum required graphic cards. the ...  game also works on the latest generation of intel hd 3000 igps and amd 6500 series igps but other previous generation igps are not supported.  еще,видео карта,ati/nvidia dedicated graphic card with at least 512mb of dedicated vram and with at least directx 9.0c and shader model 3.0 support. ati radeon hd 3800 series and nvidia geforce gtx260 and above are recommended ...  graphic cards.  еще
directx,9.0c,directx,—
диск,300 mb hd space,диск,—
звуковая карта,integrated or dedicated directx 9 compatible soundcard.,звуковая карта,—
,,,
windows_min_Hide and Seek,windows_min_Hide and Seek,windows_req_Hide and Seek,windows_req_Hide and Seek
операционная система,"windows 7, windows 8.1, windows 10",операционная система,"windows 7, windows 8.1, windows 10"
процессор,intel core i5-4430 / amd fx-6300,процессор,intel core i5-6600k / amd ryzen 5
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 660 1gb / amd radeon hd 6790 1gb,видео карта,nvidia geforce gtx 960 2gb / amd radeon r7 370 2gb
,,,
windows_min_Atari Vault,windows_min_Atari Vault,macos_min_Atari Vault,macos_min_Atari Vault,linux_min_Atari Vault,linux_min_Atari Vault
операционная система,"windows 7, 8.1, or 10",операционная система,osx 10.8,операционная система,"steamos, ubuntu 12.04+,"
процессор,2.0 ghz,процессор,2ghz,процессор,"2.0 ghz, 32 or"
оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb
видео карта,directx 9.0c or higher compatible,видео карта,opengl 2.1,видео карта,open gl 2.0
directx,version 9.0c,диск,2 gb,диск,2 gb
диск,1 gb,дополнительно,1.5 gb disk space required. network required for online play,дополнительно,network required for online play
,,,,,
windows_min_Lovecraft's Untold Stories,windows_min_Lovecraft's Untold Stories
операционная система,osx 10.6
процессор,dual core cpu 2ghz
оперативная память,2 gb
видео карта,intel hd 3000 gpu / amd hd 5450 / nvidia 9400 gt
directx,version 9.0c
диск,2 gb
,
windows_min_Silver,windows_min_Silver,macos_min_Silver,macos_min_Silver,linux_min_Silver,linux_min_Silver
операционная система,"windows xp, vista windows 7, windows 8, windows 10 (32 or )",операционная система,osx: 10.7 lion,операционная система,ubuntu and steamos
процессор,cpu 1ghz,процессор,cpu 1ghz,процессор,intel 1.4 ghz
оперативная память,256 mb,оперативная память,256 mb,оперативная память,256 mb
видео карта,opengl 2.0 compatible,видео карта,opengl 2.0 compatible,видео карта,opengl 2.0 compatible gpu
диск,4 gb,диск,4 gb,диск,4 gb
,,,,,
windows_min_Dinosaur Fossil Hunter,windows_min_Dinosaur Fossil Hunter,windows_req_Dinosaur Fossil Hunter,windows_req_Dinosaur Fossil Hunter
операционная система,windows 10,операционная система,windows 10
процессор,intel core i5,процессор,intel core i7
оперативная память,8 gb,оперативная память,16 gb
видео карта,rx 570 4gb vram / geforce gtx 960 4gb vram,видео карта,geforce gtx 1070 8gb vram
directx,version 11,directx,version 12
диск,15 gb,диск,20 gb
звуковая карта,directx compatible,звуковая карта,directx compatible
,,,
windows_min_Metaverse Keeper / ,windows_min_Metaverse Keeper / ,windows_req_Metaverse Keeper / ,windows_req_Metaverse Keeper / 
операционная система,os x 10.12,операционная система,os x 10.12
процессор,i3,процессор,i5
оперативная память,4 gb,оперативная память,4 gb
видео карта,geforce 9600gt or radeon hd4800 series,видео карта,—
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,2 gb,диск,2 gb
,,,
windows_min_VERSUS SQUAD,windows_min_VERSUS SQUAD,windows_req_VERSUS SQUAD,windows_req_VERSUS SQUAD
