windows_min_Skul: The Hero Slayer,windows_min_Skul: The Hero Slayer,windows_req_Skul: The Hero Slayer,windows_req_Skul: The Hero Slayer,macos_min_Skul: The Hero Slayer,macos_min_Skul: The Hero Slayer,macos_req_Skul: The Hero Slayer,macos_req_Skul: The Hero Slayer,linux_min_Skul: The Hero Slayer,linux_min_Skul: The Hero Slayer,linux_req_Skul: The Hero Slayer,linux_req_Skul: The Hero Slayer
операционная система,windows 7+,операционная система,windows 7+,операционная система,mac os x 10.12+,операционная система,mac os x 10.12+,операционная система,ubuntu,операционная система,ubuntu
процессор,dual core from intel or amd at 2.8 ghz,процессор,dual core from intel or amd at 2.8 ghz,процессор,dual core from intel or amd at 2.8 ghz,процессор,dual core from intel or amd at 2.8 ghz,процессор,dual core from intel or amd at 2.8 ghz,процессор,dual core from intel or amd at 2.8 ghz
оперативная память,4 gb,оперативная память,8 gb,оперативная память,4 gb,оперативная память,8 gb,оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia 450 gts / radeon hd 5750,видео карта,nvidia gtx 460 / radeon hd 7800,видео карта,nvidia 450 gts / radeon hd 5750,видео карта,nvidia gtx 460 / radeon hd 7800,видео карта,nvidia 450 gts / radeon hd 5750,видео карта,nvidia gtx 460 / radeon hd 7800
directx,version 11,directx,version 12,диск,1 gb,диск,2 gb,диск,1 gb,диск,2 gb
диск,1 gb,диск,2 gb,дополнительно,"macbook, macbook pro or imac 2012",дополнительно,"macbook, macbook pro or imac 2012",дополнительно,opengl 3.2+,дополнительно,opengl 3.2+
,,,,,,,,,,,
windows_min_Blood and Bacon,windows_min_Blood and Bacon
операционная система,"windows vista, windows 7, windows 8 and up"
процессор,1.2 ghz pentium 4 minimum
оперативная память,600 mb
видео карта,"shader model 3.0, direct3d, hardware acceleration"
directx,version 10
диск,300 mb
звуковая карта,sound card is required or virtual sound card
,
windows_min_Nioh: Complete Edition /  Complete Edition,windows_min_Nioh: Complete Edition /  Complete Edition,windows_req_Nioh: Complete Edition /  Complete Edition,windows_req_Nioh: Complete Edition /  Complete Edition
операционная система,"windows 10 64bit, windows 8.1 64bit, windows 7 64bit",операционная система,"windows 10 64bit, windows 8.1 64bit, windows 7 64bit"
процессор,intel core™ i5 3550 or over,процессор,intel core™ i7 4770k or over
оперативная память,6 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 780 vram 3gb or over amd radeon™ r9 280 vram 3gb or over,видео карта,nvidia geforce gtx 1060 vram 6gb or over amd radeon™ r9 380x vram 4gb or over
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,80 gb,диск,80 gb
,,,
windows_min_Blackwake,windows_min_Blackwake,windows_req_Blackwake,windows_req_Blackwake
операционная система,os x 10.8,операционная система,—
процессор,i5 / i7 cpu,процессор,—
оперативная память,8 gb,оперативная память,—
видео карта,"r9 270, gtx 660 equivalent",видео карта,—
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,4 gb,диск,—
,,,
windows_min_Forza Horizon 5,windows_min_Forza Horizon 5,windows_req_Forza Horizon 5,windows_req_Forza Horizon 5
операционная система,windows 10 version 15063.0 or higher,операционная система,windows 10 version 15063.0 or higher
процессор,intel i5-4460 or amd ryzen 3 1200,процессор,intel i5-8400 or amd ryzen 5 1500x
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia gtx 970 or amd rx 470,видео карта,nvidia gtx 1070 or amd rx 590
directx,version 12,directx,version 12
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Wreckfest,windows_min_Wreckfest,windows_req_Wreckfest,windows_req_Wreckfest
операционная система,windows 10,операционная система,windows 10
процессор,intel core™ i3 with 2.8 ghz or amd equivalent,процессор,intel core™ i5 with 3.0 ghz or amd equivalent
оперативная память,8 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx™ 560 or amd radeon™ hd 7770,видео карта,nvidia geforce gtx™ 970 or amd radeon™ r9 380x
directx,version 11,directx,version 11
диск,32 gb,диск,32 gb
звуковая карта,directx-compatible,звуковая карта,directx-compatible
,,,
