windows_min_GOLD EXPRESS,windows_min_GOLD EXPRESS,windows_req_GOLD EXPRESS,windows_req_GOLD EXPRESS
операционная система,"windows 7, windows 8.1, windows 10",операционная система,"windows 7, windows 8.1, windows 10 ( version)"
процессор,"intel i3 8130u(2cores, 2.3ghz)",процессор,"intel i5 2500(4 core, 3.3hgz)"
оперативная память,4 gb,оперативная память,6 gb
видео карта,nvidia geforce gt 730,видео карта,nvidia geforce gtx 1050
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,10 gb,диск,10 gb
,,,
windows_min_Warhammer: Vermintide 2 - Back to Ubersreik,windows_min_Warhammer: Vermintide 2 - Back to Ubersreik,windows_req_Warhammer: Vermintide 2 - Back to Ubersreik,windows_req_Warhammer: Vermintide 2 - Back to Ubersreik
операционная система,windows 7 windows 8 (8.1) or windows 10,операционная система,windows 10
процессор,intel core i5-2300 @ 2.80 ghz / amd fx-4350 @ 4.2 ghz,процессор,intel core i7- 3770 @ 3.5 ghz or amd fx-8350 @ 4 ghz
оперативная память,6 gb,оперативная память,6 gb
видео карта,nvidia geforce gtx 460 or amd radeon hd 5870,видео карта,nvidia geforce gtx 970 / 1060 or ati radeon r9 series
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Flamebreak,windows_min_Flamebreak,macos_min_Flamebreak,macos_min_Flamebreak,linux_min_Flamebreak,linux_min_Flamebreak
операционная система,windows 7,операционная система,10.6+,операционная система,ubuntu 16.04+
процессор,1.5 ghz+,процессор,1.5 ghz+,процессор,1.5 ghz+
оперативная память,1 gb,оперативная память,1 gb,оперативная память,1 gb
видео карта,opengl 4.1+ supported graphics card,видео карта,opengl 4.1+ supported graphics card (https://support.apple.com/en-us/ht202823),видео карта,opengl es 3.2+ supported graphics card
диск,200 mb,диск,200 mb,диск,200 mb
,,,,,
windows_min_Skautfold: Shrouded in Sanity,windows_min_Skautfold: Shrouded in Sanity,windows_req_Skautfold: Shrouded in Sanity,windows_req_Skautfold: Shrouded in Sanity
операционная система,windows 7,операционная система,—
процессор,1.2 ghz,процессор,—
оперативная память,2 gb,оперативная память,—
видео карта,512mb,видео карта,—
directx,version 10,directx,—
диск,1 gb,диск,—
,,,
windows_min_Soda Drinker Pro,windows_min_Soda Drinker Pro,windows_req_Soda Drinker Pro,windows_req_Soda Drinker Pro
операционная система,windows 7,операционная система,windows 7
процессор,2.0 ghz,процессор,3.0 ghz
оперативная память,4 mb,оперативная память,8 mb
видео карта,ge force 8600 or equivelant,видео карта,nvidia geforce gtx 650 ti
directx,version 9.0c,directx,version 11
,,,
windows_min_Fantasy Versus,windows_min_Fantasy Versus
операционная система,mac os x 10.6+
процессор,"1,4 ghz intel i5, 2.0 ghz dual core"
оперативная память,2 gb
видео карта,intel hd graphics 4000
сеть,широкополосное подключение
,
windows_min_SNK HEROINES Tag Team Frenzy,windows_min_SNK HEROINES Tag Team Frenzy,windows_req_SNK HEROINES Tag Team Frenzy,windows_req_SNK HEROINES Tag Team Frenzy
операционная система,windows 7,операционная система,"windows 7, 8, 8.1, 10"
процессор,intel core i3-4160 @ 3.40ghz,процессор,intel core i5-4670 @ 3.40ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,"nvidia geforce gtx 480, intel hd graphics 4400, ati radeon™ hd 5000 series, . opengl 4.3 required.",видео карта,nvidia geforce gtx 950
диск,16 gb,диск,16 gb
дополнительно,"compatible with xinput and directinput usb devices including gamepads and arcade sticks based on xbox 360, xbox one, and dualshock controllers.",дополнительно,"compatible with xinput and directinput usb devices including gamepads and arcade sticks based on xbox 360, xbox one, and dualshock controllers."
,,,
windows_min_Heavy Metal Machines,windows_min_Heavy Metal Machines,windows_req_Heavy Metal Machines,windows_req_Heavy Metal Machines
операционная система,windows 7 (),операционная система,windows 7 ()
процессор,2.0 ghz dual core,процессор,2.3+ ghz quad core
оперативная память,4 gb,оперативная память,8 gb
видео карта,"amd or nvidia graphics card with at least 512 mb video and shader model 3.0 support. (nvidia gt 710, amd radeon r5 240)",видео карта,amd or nvidia graphics card with 1024 mb+ video and shader model 3.0+ support. (nvidia gtx 550 ti or amd radeon hd 7750)
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,9 gb,диск,9 gb
,,,
windows_min_Island 359™,windows_min_Island 359™
операционная система,windows 7 sp1
процессор,intel i5-4590 / amd fx 8350
оперативная память,4 gb
видео карта,nvidia geforce gtx 970 / amd radeon™ r9 290
диск,11 gb
,
windows_min_DEATH STRANDING DIRECTOR'S CUT,windows_min_DEATH STRANDING DIRECTOR'S CUT,windows_req_DEATH STRANDING DIRECTOR'S CUT,windows_req_DEATH STRANDING DIRECTOR'S CUT
операционная система,windows 10,операционная система,windows 10
процессор,intel core™ i5-3470 or amd ryzen™ 3 1200,процессор,intel™ core i7-3770 or amd ryzen™ 5 1600
оперативная память,8 gb,оперативная память,8 gb
видео карта,geforce gtx 1050 4 gb or amd radeon™ rx 560 4 gb,видео карта,geforce gtx 1060 6 gb or amd radeon™ rx 590
directx,version 12,directx,version 12
диск,80 gb,диск,80 gb
звуковая карта,directx compatible,звуковая карта,directx compatible
,,,
windows_min_Arboria,windows_min_Arboria,windows_req_Arboria,windows_req_Arboria
операционная система,windows 7 / 8 / 10,операционная система,windows 7 / 8 /10
процессор,"intel core i3 3.2 ghz, amd phenom ii x4 955 - 4 core, 3.2 ghz",процессор,"intel core i5-8400, amd ryzen 5 1600"
оперативная память,8 gb gb,оперативная память,16 gb
видео карта,radeon r9 280 or nvidia geforce gtx 660,видео карта,radeon rx 580 or nvidia geforce gtx 1060 6gb
directx,version 11,directx,version 11
диск,17 gb,диск,17 gb
,,,
windows_min_Republique,windows_min_Republique,windows_req_Republique,windows_req_Republique
операционная система,os x 10.13.6,операционная система,os x 10.13.6
процессор,2.0 ghz dual core,процессор,2.4 ghz intel i5
оперативная память,2 gb,оперативная память,4 gb
видео карта,"intel iris, nvidia gt 640 or amd radeon hd 7550 w/ 1024 mb",видео карта,"intel iris pro, nvidia gtx 660 ti, or amd radeon hd 7870 w/ 2048 mb"
directx,version 11,directx,version 11
,,,
windows_min_Livelock,windows_min_Livelock,windows_req_Livelock,windows_req_Livelock
операционная система,"windows vista 64bit, window 7 64bit, windows 8 64bit, windows 10 64bit (32bit os not supported)",операционная система,"window 7 64bit, windows 8 64bit, windows 10 64bit (32bit os not supported)"
процессор,amd/intel dual-core 2.4 ghz,процессор,intel core i5-2500k @ 3.3 ghz or amd fx-8350 @ 4.0 ghz
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia gtx 650 / amd radeon hd 7800,видео карта,nvidia gtx 670 / amd radeon hd 7870
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Escape Machines,windows_min_Escape Machines
операционная система,windows xp/windows vista/windows 7/8
процессор,2.5 ghz
оперативная память,1 gb
видео карта,directx 9.0 compatible
directx,version 9.0
диск,550 mb
,
