windows_min_Act of War: Direct Action,windows_min_Act of War: Direct Action
операционная система,windows 2000/xp
процессор,pentium 4 1.5 ghz (3.0 ghz recommended)
оперативная память,256 mb (512 mb recommended)
видео карта,64 mb hardware t&l-compatible video card (256 mb recommended)
звуковая карта,directx version windows 2000/xp-compatible sound card
,
windows_min_Noct,windows_min_Noct,macos_min_Noct,macos_min_Noct,linux_min_Noct,linux_min_Noct
операционная система,windows vista,операционная система,mac os 10.6,операционная система,ubuntu (2013+) or equivilent
процессор,intel from 2ghz or equivilent amd family,процессор,intel 2ghz,процессор,intel from 2ghz or equivilent amd family
оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb
видео карта,geforce 6800gt with 256 mb of / ati x800 with 256 mb,видео карта,geforce 6800gt with 256 mb of / ati x800 with 256 mb,видео карта,geforce 6800gt with 256 mb of / ati x800 with 256 mb
directx,version 9.0,сеть,широкополосное подключение,сеть,широкополосное подключение
сеть,широкополосное подключение,диск,500 mb,диск,500 mb
диск,500 mb,звуковая карта,directx 9 compatible,звуковая карта,directx 9 compatible
,,,,,
windows_min_Paranormal,windows_min_Paranormal,windows_req_Paranormal,windows_req_Paranormal
операционная система,osx 10.8,операционная система,osx 10.9
процессор,2.0 ghz dual-core cpu,процессор,2.8 ghz quad-core cpu
оперативная память,2 gb,оперативная память,4 gb
видео карта,512 mb graphics memory.,видео карта,1024 mb graphics memory
directx,version 9.0c,directx,version 11
диск,4 gb,диск,4 gb
,,,
windows_min_Skylar & Plux: Adventure On Clover Island,windows_min_Skylar & Plux: Adventure On Clover Island
операционная система,windows 7
процессор,intel core™ i5-2500
оперативная память,4 gb
видео карта,nvidia geforce gtx 570
directx,version 11
диск,6 gb
,
windows_min_Borderlands: The Zombie Island of Dr. Ned,windows_min_Borderlands: The Zombie Island of Dr. Ned
операционная система,windows xp/vista
процессор,2.4 ghz with sse2 support
оперативная память,1gb system (2gb recommended with vista)
видео карта,256mb video (geforce 7 series or higher/radeon hd3000 series or higher)
диск,8 gb or more free space
,
windows_min_Cold Fear™,windows_min_Cold Fear™
операционная система,windows 2000/xp only
процессор,"1 ghz minimum, (2 ghz recommended)"
оперативная память,"256mb minimum, (512mb recommended)"
видео карта,directx 9 compliant 64mb (128mb recommended). see supported list*
directx,directx 9.0
звуковая карта,direct x 9.0 compliant
диск,2.2 gb
input devices,"mouse, keyboard, windows compliant game pad."
,
windows_min_Rocket League® - DC Super Heroes DLC Pack,windows_min_Rocket League® - DC Super Heroes DLC Pack,windows_req_Rocket League® - DC Super Heroes DLC Pack,windows_req_Rocket League® - DC Super Heroes DLC Pack
операционная система,macos x 10.8.5,операционная система,macos x 10.8.5
процессор,2.4+ ghz quad core,процессор,2.5+ ghz quad core
оперативная память,2 gb,оперативная память,4 gb
видео карта,nvidia gtx 260 or ati 4850,видео карта,"nvidia gtx 660, ati 7950"
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,7 gb,диск,7 gb
,,,
windows_min_Seraph,windows_min_Seraph,windows_req_Seraph,windows_req_Seraph
операционная система,windows 7 or higher,операционная система,windows 7 or higher
процессор,intel i3 3.0ghz,процессор,intel i5 3.0ghz
оперативная память,4 gb,оперативная память,4 gb
видео карта,nvidia geforce gt 450,видео карта,nvidia geforce gtx 560
directx,version 9.0c,directx,version 10
,,,
windows_min_OmniBus,windows_min_OmniBus,macos_min_OmniBus,macos_min_OmniBus,linux_min_OmniBus,linux_min_OmniBus
операционная система,windows vista,операционная система,mac os x 10.8,операционная система,ubuntu 12.04
процессор,2.4 ghz intel core 2 duo,оперативная память,2 gb,оперативная память,2 gb
оперативная память,2 gb,диск,200 mb,диск,200 mb
диск,200 mb,дополнительно,a government issued license to drive an out of control bus.,дополнительно,a government issued license to drive an out of control bus.
,,,,,
windows_min_The Spike,windows_min_The Spike
операционная система,windows 7 / 8 / 8.1 / 10
процессор,any w/ a clock rate of 2 ghz
оперативная память,1 gb
видео карта,cpu-integrated or on-board graphics
directx,version 11
,
windows_min_Eximius: Seize the Frontline,windows_min_Eximius: Seize the Frontline,windows_req_Eximius: Seize the Frontline,windows_req_Eximius: Seize the Frontline
операционная система,windows 7 sp1 (x64),операционная система,"windows 7 sp1 (x64), windows 8 (x64), windows 10 (x64)"
процессор,intel core i5-2500k cpu,процессор,intel core i7 4790k cpu
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 960 or amd r9 280,видео карта,nvidia geforce gtx 1070 or amd radeon rx vega 56
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,30 gb,диск,30 gb
звуковая карта,directx compatible,звуковая карта,directx compatible
,,,
windows_min_Nigate Tale,windows_min_Nigate Tale,windows_req_Nigate Tale,windows_req_Nigate Tale
операционная система,windows 7 sp1,операционная система,windows 10
процессор,dual core 3.0ghz,процессор,core i5
оперативная память,2000 mb,оперативная память,4000 mb
видео карта,1gb vram / opengl 2.1+ support,видео карта,1060
directx,version 10,directx,version 10
,,,
windows_min_Hand Simulator: Horror,windows_min_Hand Simulator: Horror,windows_req_Hand Simulator: Horror,windows_req_Hand Simulator: Horror
операционная система,"windows 7, windows 8.1, windows 10",операционная система,"windows 7, windows 8.1, windows 10"
процессор,intel core i3-4340 / amd fx-6300,процессор,intel core i5-6600k / amd ryzen 5 1600
оперативная память,2 gb,оперативная память,—
видео карта,nvidia geforce gtx 960 2gb / amd radeon r7 370 2gb,видео карта,—
directx,version 11,directx,—
диск,7 gb,диск,7 gb
,,,
windows_min_Demonologist,windows_min_Demonologist,windows_req_Demonologist,windows_req_Demonologist
операционная система,"windows 10,",операционная система,"windows 10,"
процессор,intel i5 or new-gen i3 / amd equivalent,процессор,intel i7 or amd equivalent (amd fx 9500+ series)
видео карта,nvidia geforce gtx 1050 4gb,видео карта,nvidia gtx 1660s
directx,version 11,directx,version 12
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Black Future '88,windows_min_Black Future '88
операционная система,windows 7
процессор,intel core 2 duo e6320 (2*1866)
оперативная память,2 gb
видео карта,geforce 7600 gs (512 mb)
,
windows_min_Death's Hangover,windows_min_Death's Hangover,windows_req_Death's Hangover,windows_req_Death's Hangover
операционная система,windows xp or above,операционная система,windows vista or above
процессор,2.0ghz,процессор,2.0ghz duo core
оперативная память,1 gb,оперативная память,1 gb
видео карта,64mb graphics card,видео карта,64mb graphics card
directx,version 9.0c,directx,version 9.0c
диск,218 mb,диск,218 mb
,,,
windows_min_Tale of Fallen Dragons,windows_min_Tale of Fallen Dragons,windows_req_Tale of Fallen Dragons,windows_req_Tale of Fallen Dragons
операционная система,windows 7,операционная система,windows 7
процессор,1.2ghz+,процессор,2ghz+
оперативная память,2 gb,оперативная память,4 gb
видео карта,512mb,видео карта,1gb
,,,
windows_min_Zombie Estate 2,windows_min_Zombie Estate 2
операционная система,windows 7 (or higher)
оперативная память,4 gb
видео карта,gpu capable of shader model 2 and directx 9.0c .
directx,version 9.0c
сеть,широкополосное подключение
,
windows_min_Citadels,windows_min_Citadels,windows_req_Citadels,windows_req_Citadels
операционная система,windows xp (sp2) / vista / 7 / 8,операционная система,windows xp (sp2) / vista / 7 / 8
процессор,2.5 ghz dual core,процессор,3.5 ghz dual core
оперативная память,2 gb,оперативная память,4 gb
видео карта,1gb graphics memory with shader 3.0,видео карта,"1gb graphics memory with shader 3.0 (nvidia geforce gtx 650, amd radeon hd 7700 )"
directx,version 9.0c,directx,version 9.0c
сеть,широкополосное подключение,сеть,—
диск,8 gb,диск,8 gb
звуковая карта,directx 9 compatible,звуковая карта,—
,,,
windows_min_ROKH,windows_min_ROKH,windows_req_ROKH,windows_req_ROKH
операционная система,"windows 7 service pack 1, or windows 8 or windows 10",операционная система,"windows 7 service pack 1, or windows 8 or windows 10"
процессор,intel i7 2.8 ghz or amd equivalent,процессор,intel i7 3.4 ghz or amd equivalent
оперативная память,8 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 560i (medium settings),видео карта,nvidia geforce gtx 960 (ultra settings)
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,30 gb,диск,30 gb
,,,
windows_min_R-Type Final 2,windows_min_R-Type Final 2,windows_req_R-Type Final 2,windows_req_R-Type Final 2
операционная система,windows 7 64bit,операционная система,windows 7 64bit
процессор,dual core amd or intel @ 3.0 ghz or faster,процессор,quad core amd or intel @ 2.8 ghz or faster
оперативная память,4 gb,оперативная память,8 gb
видео карта,"gtx 950, amd r9 280",видео карта,"gtx 1060, amd rx 580"
directx,version 11,directx,version 11
,,,
windows_min_Deadlink,windows_min_Deadlink,windows_req_Deadlink,windows_req_Deadlink
операционная система,windows 10,операционная система,windows 10
процессор,amd fx-8350 or intel i5-3570,процессор,amd ryzen™ 5 2600 (intel i7-4770)
оперативная память,6 gb,оперативная память,16 gb
видео карта,amd radeon™ hd 7970 or nvidia geforce gtx 680 2 gb,видео карта,amd radeon™ rx 590 or nvidia geforce gtx 1060 6gb
directx,version 11,directx,version 12
,,,
windows_min_Marauders,windows_min_Marauders,windows_req_Marauders,windows_req_Marauders
операционная система,windows 10,операционная система,windows 10
процессор,intel core i5-6600 / amd ryzen 3 1300x,процессор,intel core i5-8400 / amd ryzen 5 2600x
оперативная память,12 gb,оперативная память,16 gb
видео карта,nvidia geforce gtx 960 4gb / amd radeon r9 380 4gb,видео карта,nvidia geforce gtx 1060 6gb /amd radeon rx 590 8gb
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,10 gb,диск,10 gb
,,,
windows_min_Mana Spark,windows_min_Mana Spark,macos_min_Mana Spark,macos_min_Mana Spark,linux_min_Mana Spark,linux_min_Mana Spark
операционная система,win 7,операционная система,os 10.6+ up to 10.13,операционная система,ubuntu 14.04
процессор,intel core 2 duo e6320 (2*1866),оперативная память,2 gb,процессор,intel core 2 duo e6320 (2*1866)
оперативная память,2 gb,диск,500 mb,оперативная память,2 gb
видео карта,geforce 7600 gs (512 mb),,,видео карта,geforce 7600 gs (512 mb)
,,,,,
windows_min_//N.P.P.D. RUSH//- The milk of Ultraviolet,windows_min_//N.P.P.D. RUSH//- The milk of Ultraviolet
операционная система,windows xp service pack 3
процессор,dual core 1.8
оперативная память,1 gb
видео карта,graphics card with latest drivers
directx,version 9.0c
диск,100 mb
,
windows_min_SAMURAI SHODOWN V SPECIAL / ,windows_min_SAMURAI SHODOWN V SPECIAL / 
операционная система,windows vista
процессор,intel pentium 4 1.8ghz dual core
видео карта,onboard graphics chipset with 256mb video
directx,version 9.0
диск,330 mb
,
windows_min_Shattered - Tale of the Forgotten King,windows_min_Shattered - Tale of the Forgotten King,windows_req_Shattered - Tale of the Forgotten King,windows_req_Shattered - Tale of the Forgotten King
операционная система,"windows 8.1 64bit, windows 10 64bit",операционная система,windows 10 64bit
процессор,intelcore i3-2100,процессор,intelcore i5-7600
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 970,видео карта,nvidia geforce gtx 1060 6gb
диск,15 gb,диск,15 gb
,,,
windows_min_Behold the Kickmen,windows_min_Behold the Kickmen
операционная система,10.12
процессор,2.4ghz
оперативная память,4 gb
видео карта,geforce 8800 equivalent or higher
directx,version 9.0c
диск,1 gb
звуковая карта,yes
,
windows_min_Prison Run and Gun,windows_min_Prison Run and Gun,macos_min_Prison Run and Gun,macos_min_Prison Run and Gun,linux_min_Prison Run and Gun,linux_min_Prison Run and Gun
операционная система,windows xp,операционная система,os x lion 10.7.5,операционная система,ubuntu 12.04.4 lts
процессор,2 ghz,процессор,2 ghz,процессор,2 ghz
оперативная память,2 gb,оперативная память,2 gb,оперативная память,2 gb
видео карта,intel gma 900,видео карта,intel gma 950,видео карта,intel gma 900
диск,100 mb,диск,100 mb,диск,130 mb
,,,,,
windows_min_Roundabout,windows_min_Roundabout,macos_min_Roundabout,macos_min_Roundabout,linux_min_Roundabout,linux_min_Roundabout
операционная система,"windows 7 with sp1, windows 8",операционная система,mac os x snow leopard 10.6,операционная система,tested on steamos and ubuntu 14.04 lts
процессор,intel core i5-2500 or faster,процессор,intel core i5-2500 or faster,процессор,intel core i5-2500 or faster
оперативная память,4096 mb,оперативная память,4096 mb,оперативная память,4096 mb
видео карта,"directx 11 compatible graphics device required: nvidia 400 series or higher, amd 6000 series or higher. some amd 5-series cards may also work with minor issues.",видео карта,"directx 11 compatible graphics device required: nvidia 400 series or higher, amd 6000 series or higher. some amd 5-series cards may also work with minor issues.",видео карта,"directx 11 compatible graphics device required: nvidia 400 series or higher, amd 6000 series or higher. some amd 5-series cards may also work with minor issues."
directx,version 11,диск,4 gb,диск,4 gb
диск,4 gb,звуковая карта,yes,звуковая карта,yes
звуковая карта,yes,дополнительно,plays best with an xbox 360 or playstation 4 controller.,дополнительно,plays best with an xbox 360 or playstation 4 controller.
,,,,,
windows_min_Mahou Arms,windows_min_Mahou Arms
операционная система,windows 10
оперативная память,4 gb
видео карта,opengl or directx compatible graphics card
directx,version 10
,
windows_min_Iron Sky: Invasion,windows_min_Iron Sky: Invasion,windows_req_Iron Sky: Invasion,windows_req_Iron Sky: Invasion,macos_min_Iron Sky: Invasion,macos_min_Iron Sky: Invasion,macos_req_Iron Sky: Invasion,macos_req_Iron Sky: Invasion,linux_min_Iron Sky: Invasion,linux_min_Iron Sky: Invasion,linux_req_Iron Sky: Invasion,linux_req_Iron Sky: Invasion
операционная система,windows xp,операционная система,windows vista (),операционная система,osx 10.7,операционная система,osx 10.7,операционная система,ubuntu 16.04 lts or steamos,операционная система,ubuntu 16.04 lts or steamos
процессор,intel/amd 2 ghz,процессор,intel/amd 2 ghz multicore,процессор,intel 2 ghz,процессор,intel 2 ghz multicore,процессор,intel or amd single core cpu,процессор,intel or amd multi-core cpu with 2.0 ghz
оперативная память,2 gb,оперативная память,4 gb,оперативная память,2 gb,оперативная память,4 gb,оперативная память,2 gb,оперативная память,4 gb
видео карта,"per-pixel-shader 3.0, 512 mb",видео карта,radeon hd 2900 / geforce 8800 gtx,видео карта,"per-pixel-shader 3.0, 512 mb",видео карта,radeon hd 2900 / geforce 8800 gtx (),видео карта,"per-pixel-shader 3.0, 512 mb",видео карта,radeon hd 2900 / geforce 8800 gtx ()
directx,9.0c,directx,11,диск,1500 mb hd space,диск,1500 mb hd space,диск,1700 mb hd space,диск,1700 mb hd space
диск,1500 mb hd space,диск,1500 mb hd space,other requirements,широкополосное подключение,other requirements,широкополосное подключение,other requirements,широкополосное подключение,other requirements,широкополосное подключение
,,,,,,,,,,,
windows_min_THE HOUSE OF THE DEAD: Remake,windows_min_THE HOUSE OF THE DEAD: Remake,windows_req_THE HOUSE OF THE DEAD: Remake,windows_req_THE HOUSE OF THE DEAD: Remake
операционная система,windows 10,операционная система,windows 10
процессор,intel i5 3570k / amd ryzen 3 3300x,процессор,intel i7-7700 / amd ryzen 5 5600x
оперативная память,8 gb,оперативная память,16 gb
видео карта,desktop gtx 1050ti / 1650 / amd radeon rx 570,видео карта,nvidia gtx 1070 / 1660 super / amd radeon rx vega 56
directx,version 11,directx,version 11
,,,
windows_min_Dungeon of Zolthan,windows_min_Dungeon of Zolthan
операционная система,mac 10.8
процессор,1 ghz
оперативная память,2 gb
видео карта,256mb graphics
,
windows_min_Tasty Planet: Back for Seconds,windows_min_Tasty Planet: Back for Seconds
операционная система,10.6
процессор,1.4
оперативная память,512 mb
directx,version 7.0
,
windows_min_Bendy and the Ink Machine™: Chapter Four,windows_min_Bendy and the Ink Machine™: Chapter Four
операционная система,sierra
процессор,32
оперативная память,8 gb
видео карта,4gb dedicated
directx,version 12
,
windows_min_Valkyrie of Phantasm,windows_min_Valkyrie of Phantasm,windows_req_Valkyrie of Phantasm,windows_req_Valkyrie of Phantasm
операционная система,windows 8.1/10/11 (),операционная система,windows 8.1/10/11 ()
процессор,intel core™ i3 (4th gen ),процессор,intel core™ i5 (4th gen )
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 750,видео карта,nvidia geforce gtx 1070
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
диск,5 gb,диск,5 gb
,,,
windows_min_Dead Island: Epidemic,windows_min_Dead Island: Epidemic,windows_req_Dead Island: Epidemic,windows_req_Dead Island: Epidemic
операционная система,windows 7 sp1,операционная система,windows 7 sp1 or higher
процессор,intel core 2 duo 1.8 ghz,процессор,intel core i5-2300
оперативная память,2 gb,оперативная память,4 gb
видео карта,nvidia geforce 8800gt or radeon hd 3870,видео карта,nvidia geforce gtx 660 or radeon hd 7870
диск,3 gb,диск,4 gb
,,,
windows_min_Poi,windows_min_Poi,windows_req_Poi,windows_req_Poi,macos_min_Poi,macos_min_Poi,macos_req_Poi,macos_req_Poi,linux_min_Poi,linux_min_Poi,linux_req_Poi,linux_req_Poi
операционная система,windows xp sp2,операционная система,windows 8/10,операционная система,os x lion (10.7),операционная система,os x el capitan (10.11),операционная система,ubuntu 13.10,операционная система,ubuntu 14.04
процессор,intel core 2 duo,процессор,intel core i5,процессор,intel core 2 duo,процессор,intel core i5,процессор,intel core 2 duo,процессор,intel core i5
оперативная память,2 gb,оперативная память,4 gb,оперативная память,2 gb,оперативная память,4 gb,оперативная память,2 gb,оперативная память,4 gb
видео карта,nvidia geforce 200 series,видео карта,nvidia geforce 400 series,видео карта,nvidia geforce gt 650m,видео карта,nvidia geforce gtx 775m,видео карта,nvidia geforce 200 series,видео карта,nvidia geforce 400 series
directx,version 9.0c,directx,version 11,диск,1 gb,диск,1 gb,диск,1 gb,диск,1 gb
,,,,,,,,,,,
windows_min_Men of Valor,windows_min_Men of Valor,windows_req_Men of Valor,windows_req_Men of Valor
операционная система,windows xp / vista / 7 / 8 / 10 32 or,операционная система,windows xp / vista / 7 / 8 /10 32 or
процессор,"1,5 ghz",процессор,amd/intel dual-core running at 2 ghz or higher
оперативная память,512 mb,оперативная память,1 gb
