windows_min_Okaeri,windows_min_Okaeri,windows_req_Okaeri,windows_req_Okaeri
операционная система,windows 7 sp1+,операционная система,windows 10 x64
процессор,intel/amd,процессор,intel/amd
оперативная память,4 gb,оперативная память,8 gb
видео карта,integrated graphics,видео карта,gtx 750
directx,version 11,directx,version 11
диск,5 gb,диск,5 gb
звуковая карта,yes,звуковая карта,yes
,,,
windows_min_Upside Down,windows_min_Upside Down,macos_min_Upside Down,macos_min_Upside Down,linux_min_Upside Down,linux_min_Upside Down
операционная система,windows xp,операционная система,mac osx 10.8+,операционная система,ubuntu 12.04.05 lts (precise pangolin)
процессор,1.5ghz +,процессор,1.5ghz +,процессор,intel dual core 2.0 ghz
оперативная память,1 gb,оперативная память,1 gb,оперативная память,1 gb
видео карта,256 mb or higher,диск,600 mb,видео карта,256 mb or higher
,,,,,
windows_min_Bloons TD Battles,windows_min_Bloons TD Battles,windows_req_Bloons TD Battles,windows_req_Bloons TD Battles
операционная система,osx 10.8,операционная система,osx 10.13
процессор,1.5ghz,процессор,2ghz
оперативная память,512 mb,оперативная память,1024 mb
видео карта,opengl 2.0,видео карта,opengl 2.0
диск,512 mb,диск,512 mb
,,,
windows_min_Friday the 13th: The Game - Spring Break 1984 Clothing Pack,windows_min_Friday the 13th: The Game - Spring Break 1984 Clothing Pack,windows_req_Friday the 13th: The Game - Spring Break 1984 Clothing Pack,windows_req_Friday the 13th: The Game - Spring Break 1984 Clothing Pack
операционная система,"windows 7, windows 8, windows 10",операционная система,"windows 7, windows 8, windows 10"
процессор,"intel core i3-530 (2 * 2930), amd athlon ii x2 270 (2 * 3400)",процессор,"intel core i3-3240 (2 * 3400), amd athlon x4 860k (4 * 3700)"
оперативная память,4096 mb,оперативная память,6144 mb
видео карта,"geforce gtx 650 ti (1024 mb), radeon hd 7770 (1024 mb)",видео карта,"geforce gtx 750 ti (2048 mb), radeon r9 270x (2048 mb)"
directx,version 11,directx,version 11
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_ JianPo,windows_min_ JianPo,windows_req_ JianPo,windows_req_ JianPo
операционная система,windows 7,операционная система,windows 10
процессор,intel core i5,процессор,intel core i7
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia gtx750ti,видео карта,nvidia gtx970
directx,version 11,directx,version 11
диск,16 gb,диск,16 gb
,,,
windows_min_Soldiers of the Universe,windows_min_Soldiers of the Universe
операционная система,windows 7
процессор,intel core i3-3225 @ 3.30ghz
оперативная память,4 gb
видео карта,nvidia geforce gtx 500 series 1gb / amd radeon hd 6000 series 1gb
directx,version 11
диск,15 gb
,
windows_min_Havocado: Ragdoll Fighter,windows_min_Havocado: Ragdoll Fighter,windows_req_Havocado: Ragdoll Fighter,windows_req_Havocado: Ragdoll Fighter
операционная система,snow leopard,операционная система,macos sierra
процессор,"2nd generation core i3, amd a6, or higher",процессор,core i5
оперативная память,4 gb,оперативная память,8 gb
видео карта,"nvidia 8800 gt, amd 5670, intel hd 3000",видео карта,sm4 1gb vram
directx,version 10,directx,version 10
сеть,широкополосное подключение,сеть,—
,,,
windows_min_Dead Estate,windows_min_Dead Estate
операционная система,windows 7
процессор,intel core 2 duo e6320 (2*1866)
оперативная память,2 gb
видео карта,geforce 7600 gs (512 mb)
диск,100 mb
,
windows_min_WARMODE,windows_min_WARMODE,windows_req_WARMODE,windows_req_WARMODE
операционная система,"windows 7, 8, 10",операционная система,"windows 7, 8, 10"
процессор,core i3,процессор,core i5-i7
оперативная память,4 gb,оперативная память,8 gb
видео карта,nvidia geforce gtx 650ti,видео карта,nvidia geforce gtx 1060
directx,version 11,directx,—
сеть,широкополосное подключение,сеть,широкополосное подключение
,,,
windows_min_Don't Knock Twice,windows_min_Don't Knock Twice,windows_req_Don't Knock Twice,windows_req_Don't Knock Twice
операционная система,windows 7,операционная система,windows 10
процессор,core i3 / amd a6 2.4ghz,процессор,intel i5-4590 / amd fx 8350
оперативная память,4 gb,оперативная память,4 gb
видео карта,nvidia geforce gtx 260 / amd radeon hd 5750. opengl 3.3,видео карта,nvidia geforce gtx 970 / amd radeon™ r9 290
directx,version 11,directx,version 11
диск,2 gb,диск,2 gb
,,,
windows_min_MEANDERS,windows_min_MEANDERS,windows_req_MEANDERS,windows_req_MEANDERS
операционная система,windows vista,операционная система,windows 10
процессор,core i3 / amd a6 2.4ghz,процессор,core i5 / amd fx 2.4ghz
оперативная память,2 gb,оперативная память,4 gb
видео карта,nvidia geforce gt 240 / amd radeon hd 4670 / intel hd graphics 4000,видео карта,nvidia geforce gtx 470 / amd radeon hd 6870
directx,version 10,directx,version 11
,,,
windows_min_6180 the moon,windows_min_6180 the moon,macos_min_6180 the moon,macos_min_6180 the moon,linux_min_6180 the moon,linux_min_6180 the moon
операционная система,windows xp/vista/7/8,операционная система,mac os x 10.6 or above,операционная система,ubuntu
процессор,1.6ghz,процессор,intel 1.6ghz,процессор,1.6gb
